name,trade_date,pe,pb,float_mv,total_mv
教育,20240102,141.57,3.47,4920586.0,8975086.069518
教育,20240103,142.8,3.51,4963495.0,9063823.53605
教育,20240104,142.63,3.51,4957350.0,9062405.036118
教育,20240105,138.89,3.42,4827433.0,8823050.534347
教育,20240108,137.39,3.38,4775280.0,8741601.750671
教育,20240109,137.2,3.37,4768832.0,8718741.738642
教育,20240110,135.59,3.33,4712582.0,8612117.864818
教育,20240111,140.47,3.45,4882341.0,8927294.604407
教育,20240112,139.19,3.43,4837781.0,8849345.13733
教育,20240115,139.13,3.43,4835647.0,8844811.94065
教育,20240116,137.1,3.4,4817792.0,8775682.596355
教育,20240117,133.51,3.31,4691492.0,8556254.944271
教育,20240118,131.99,3.28,4638048.0,8450437.681551
教育,20240119,130.83,3.25,4597206.0,8375574.532223
教育,20240122,124.12,3.08,4361639.0,7943851.266843
教育,20240123,126.61,3.14,4449073.0,8102344.736033
教育,20240124,129.32,3.21,4544093.0,8265862.931688
教育,20240125,135.32,3.37,4754934.0,8648912.140895
教育,20240126,135.32,3.37,4755118.0,8648681.365189
教育,20240129,130.08,3.24,4570817.0,8315733.653648
教育,20240130,124.59,3.1,4378069.0,7964705.765579
教育,20240131,118.52,2.95,4164861.0,7589479.554049
教育,20240201,114.21,2.84,4013399.0,7308921.326025
教育,20240202,110.81,2.76,3893809.0,7097372.036763
教育,20240205,100.58,2.5,3534385.0,6466292.717958
教育,20240206,98.66,2.45,3466944.0,6353206.684572
教育,20240207,98.71,2.45,3467849.0,6371600.940936
教育,20240208,104.73,2.6,3679148.0,6746595.188526
教育,20240219,114.24,2.82,4013296.0,7345118.733252
教育,20240220,115.44,2.86,4055502.0,7416864.623516
教育,20240221,120.55,2.98,4235035.0,7732409.293042
教育,20240222,121.16,3.0,4256395.0,7774423.015644
教育,20240223,123.71,3.06,4345970.0,7928077.052246
教育,20240226,126.52,3.13,4444758.0,8118672.72848
教育,20240227,130.46,3.24,4583195.0,8374041.496939
教育,20240228,125.17,3.1,4397253.0,8031668.768354
教育,20240229,130.17,3.23,4573098.0,8351817.783814
教育,20240301,128.99,3.2,4531518.0,8270761.676461
