name,trade_date,pe,pb,float_mv,total_mv
数字芯片设计,20240102,86.16,4.75,52563439.0,107845667.903076
数字芯片设计,20240103,83.42,4.6,51533776.0,105268872.437023
数字芯片设计,20240104,81.43,4.49,50926401.0,104516718.617717
数字芯片设计,20240105,80.37,4.43,49991327.0,102464428.558538
数字芯片设计,20240108,77.89,4.29,48325136.0,99082940.34953
数字芯片设计,20240109,78.09,4.3,48425093.0,99096388.461039
数字芯片设计,20240110,77.0,4.24,47835788.0,97821031.643225
数字芯片设计,20240111,78.41,4.32,48702333.0,99335791.593469
数字芯片设计,20240112,77.28,4.26,47638638.0,97022274.874482
数字芯片设计,20240115,77.08,4.25,47710488.0,97385625.648324
数字芯片设计,20240116,75.97,4.19,47286042.0,96565977.962677
数字芯片设计,20240117,74.09,4.08,46136268.0,94305068.065513
数字芯片设计,20240118,75.69,4.17,47252237.0,96715079.201457
数字芯片设计,20240119,74.87,4.13,46866690.0,95902762.630466
数字芯片设计,20240122,72.05,3.97,45220952.0,92705471.560676
数字芯片设计,20240123,72.28,3.98,45814747.0,94190165.928835
数字芯片设计,20240124,72.52,4.0,45458969.0,93611641.137745
数字芯片设计,20240125,74.71,4.12,46493904.0,95564553.805743
数字芯片设计,20240126,72.06,3.97,44765145.0,92143732.499086
数字芯片设计,20240129,70.38,3.88,43870934.0,90517260.599458
数字芯片设计,20240130,68.39,3.77,42177089.0,86849257.929899
数字芯片设计,20240131,66.05,3.64,40692967.0,83994025.295282
数字芯片设计,20240201,65.91,3.63,41225464.0,85330356.411081
数字芯片设计,20240202,62.44,3.44,39403366.0,81854602.370608
数字芯片设计,20240205,60.11,3.31,38235009.0,79651983.917516
数字芯片设计,20240206,64.04,3.55,40837491.0,85487421.405441
数字芯片设计,20240207,65.45,3.63,41749776.0,87428688.865886
数字芯片设计,20240208,69.04,3.82,43658205.0,91049979.090947
数字芯片设计,20240219,69.09,3.83,45207704.0,94910937.441473
数字芯片设计,20240220,70.43,3.9,45154900.0,94166957.43794
数字芯片设计,20240221,71.06,3.94,45037900.0,93543467.760035
数字芯片设计,20240222,72.8,4.03,46481654.0,97648910.888978
数字芯片设计,20240223,73.2,4.05,46752974.0,98070768.065369
数字芯片设计,20240226,73.63,4.08,47525841.0,100040961.389679
数字芯片设计,20240227,76.94,4.26,50046480.0,105445126.720628
数字芯片设计,20240228,73.46,4.07,47112002.0,99016705.720013
数字芯片设计,20240229,79.27,4.39,50180825.0,105109584.155126
数字芯片设计,20240301,80.86,4.48,51132724.0,107029446.213726
数字芯片设计,20240304,80.53,4.46,51375272.0,107479327.619396
数字芯片设计,20240305,80.15,4.44,51022225.0,106648851.36621
数字芯片设计,20240306,78.76,4.36,50159869.0,104930442.689345
数字芯片设计,20240307,76.82,4.26,48625638.0,101593691.571496
数字芯片设计,20240308,78.26,4.34,49872893.0,104128005.898969
数字芯片设计,20240311,79.42,4.4,50793292.0,106001397.343564
数字芯片设计,20240312,81.11,4.49,50952666.0,105693700.116445
数字芯片设计,20240313,80.83,4.48,50997270.0,105909704.187256
数字芯片设计,20240314,79.12,4.38,50278547.0,104483429.725091
数字芯片设计,20240315,79.56,4.41,50495804.0,105108443.928342
数字芯片设计,20240318,82.17,4.55,52287832.0,108811860.663788
数字芯片设计,20240319,82.03,4.54,51500361.0,107130845.532001
数字芯片设计,20240320,81.92,4.54,51449092.0,107061287.535383
数字芯片设计,20240321,82.38,4.56,51504037.0,106770132.403818
数字芯片设计,20240322,81.25,4.5,50915489.0,105682565.382905
数字芯片设计,20240325,78.07,4.32,49290084.0,102575304.194002
数字芯片设计,20240326,78.22,4.33,48553922.0,100625065.073385
数字芯片设计,20240327,75.18,4.16,46727030.0,97010806.419897
数字芯片设计,20240328,77.27,4.28,47959153.0,99502211.500851
数字芯片设计,20240329,77.18,4.28,48064912.0,99919332.228324
数字芯片设计,20240401,76.42,4.34,48776182.0,101506678.087096
数字芯片设计,20240402,74.78,4.25,47926624.0,99714239.816384
数字芯片设计,20240403,74.7,4.24,47480690.0,98645736.731023
数字芯片设计,20240408,72.54,4.12,46214298.0,97442359.067099
数字芯片设计,20240409,73.21,4.16,46619423.0,98254138.069285
数字芯片设计,20240410,71.24,4.05,45126818.0,95135193.244329
数字芯片设计,20240411,72.45,4.12,45776614.0,95984980.619128
数字芯片设计,20240412,73.15,4.16,46623036.0,97850883.660373
数字芯片设计,20240415,71.42,4.16,46582956.0,97627584.90686
数字芯片设计,20240416,68.5,3.99,44718148.0,93805640.40171
数字芯片设计,20240417,73.43,4.28,47517434.0,99516817.754363
数字芯片设计,20240418,74.1,4.19,47021897.0,98525674.214675
数字芯片设计,20240419,71.83,4.07,45494172.0,95427475.955122
数字芯片设计,20240422,78.32,4.13,45769854.0,95637883.516741
数字芯片设计,20240423,77.63,4.09,45387925.0,94850793.390315
数字芯片设计,20240424,78.87,4.15,46703431.0,97788556.868289
数字芯片设计,20240425,78.86,4.13,46661968.0,97630030.322521
数字芯片设计,20240426,80.38,4.22,48336910.0,101338161.998765
数字芯片设计,20240429,73.23,4.2,49913919.0,104592859.386794
数字芯片设计,20240430,72.73,4.17,49468103.0,103525191.79503
数字芯片设计,20240506,163.86,4.94,49940359.0,104245950.517423
数字芯片设计,20240507,162.72,4.9,49590646.0,103264124.577821
数字芯片设计,20240508,160.55,4.84,48929604.0,101978864.03473
数字芯片设计,20240509,164.32,4.95,50072666.0,104216004.014097
数字芯片设计,20240510,160.79,4.84,48977225.0,101384425.622882
数字芯片设计,20240513,159.57,4.81,48603554.0,100123316.917317
数字芯片设计,20240514,160.0,4.82,48725234.0,100323389.718623
数字芯片设计,20240515,157.69,4.75,48030162.0,99072413.167763
数字芯片设计,20240516,157.41,4.74,47945516.0,99216005.715646
数字芯片设计,20240517,159.75,4.81,48661263.0,100933858.084083
数字芯片设计,20240520,160.52,4.84,48907027.0,101591460.791298
数字芯片设计,20240521,158.51,4.78,48295940.0,100222904.246593
数字芯片设计,20240522,159.34,4.8,48547499.0,100746308.835231
数字芯片设计,20240523,156.33,4.71,47651286.0,99124258.318698
数字芯片设计,20240524,150.71,4.54,45907699.0,95349605.739206
数字芯片设计,20240527,155.51,4.69,47372799.0,98498930.065125
数字芯片设计,20240528,155.3,4.68,47297289.0,98222974.434398
数字芯片设计,20240529,154.54,4.66,47062088.0,97744919.150868
数字芯片设计,20240530,157.68,4.75,48016442.0,99519116.495355
数字芯片设计,20240531,158.94,4.79,48400714.0,100624858.413693
数字芯片设计,20240603,162.75,4.89,49578757.0,102338598.463939
数字芯片设计,20240604,161.64,4.85,49276524.0,101766992.571859
数字芯片设计,20240605,161.88,4.86,49362001.0,101953090.127717
数字芯片设计,20240606,159.01,4.77,48491797.0,100040266.605119
数字芯片设计,20240607,158.35,4.75,48273581.0,99486004.969816
数字芯片设计,20240611,165.13,4.95,50347016.0,103987413.126705
数字芯片设计,20240612,164.95,4.94,50299278.0,103871753.401831
数字芯片设计,20240613,167.86,5.03,51164551.0,105821377.43663
数字芯片设计,20240614,168.21,5.04,51269591.0,105931298.665336
数字芯片设计,20240617,171.43,5.14,52241618.0,107777366.973456
数字芯片设计,20240618,171.39,5.14,52226822.0,107898583.188134
数字芯片设计,20240619,172.15,5.16,52471828.0,108258193.211867
数字芯片设计,20240620,338.44,5.17,3538427.0,108398491.827618
数字芯片设计,20240621,98.26,5.2,53200468.0,108773345.197991
数字芯片设计,20240624,95.13,5.04,51489068.0,105196174.288375
数字芯片设计,20240625,91.5,4.85,49526662.0,101172401.939704
数字芯片设计,20240626,94.01,4.98,50925935.0,103860189.344547
数字芯片设计,20240627,93.1,4.92,50496987.0,102525450.648405
数字芯片设计,20240628,93.67,4.95,50819323.0,103032656.982476
数字芯片设计,20240701,93.14,4.92,50544593.0,102533044.421954
数字芯片设计,20240702,91.23,4.82,49504607.0,100664710.635056
数字芯片设计,20240703,92.04,4.86,49967402.0,101628696.042454
数字芯片设计,20240704,90.57,4.78,49160778.0,99694888.848652
数字芯片设计,20240705,91.25,4.82,49517641.0,100587882.173513
数字芯片设计,20240708,91.94,4.86,49891962.0,100966161.470639
数字芯片设计,20240709,95.73,5.06,51954208.0,105156592.269188
数字芯片设计,20240710,96.36,5.09,52281405.0,105676043.334704
数字芯片设计,20240711,97.41,5.15,53032566.0,106894750.552438
数字芯片设计,20240712,97.7,5.17,53201519.0,106795970.434415
数字芯片设计,20240715,98.32,5.2,53516028.0,107412458.904724
数字芯片设计,20240716,102.43,5.42,55709900.0,112527440.17801
数字芯片设计,20240717,101.11,5.34,55277729.0,110301157.577873
数字芯片设计,20240718,100.9,5.33,55176781.0,110234884.663746
数字芯片设计,20240719,103.37,5.46,56513836.0,113201579.097369
数字芯片设计,20240722,103.56,5.45,56718880.0,112961413.618028
数字芯片设计,20240723,98.28,5.17,53822219.0,107276046.685348
数字芯片设计,20240724,97.66,5.14,53533810.0,106723148.848803
数字芯片设计,20240725,96.47,5.08,52871813.0,105580524.628137
数字芯片设计,20240726,96.27,5.07,52773358.0,105328293.873982
数字芯片设计,20240729,94.86,5.0,52005511.0,103782846.265654
数字芯片设计,20240730,95.67,5.04,52449371.0,104785757.511444
数字芯片设计,20240731,99.35,5.24,55693678.0,111238337.68547
数字芯片设计,20240801,99.82,5.26,55952768.0,111678765.527762
数字芯片设计,20240802,96.27,5.08,54040770.0,107911441.069818
数字芯片设计,20240805,90.76,4.79,50932122.0,101711335.575605
数字芯片设计,20240806,91.77,4.84,51502500.0,102985056.617516
数字芯片设计,20240807,90.2,4.76,50644918.0,101100583.474048
数字芯片设计,20240808,90.3,4.76,50701844.0,101209853.482638
数字芯片设计,20240809,90.76,4.79,50952097.0,101684933.794551
数字芯片设计,20240812,90.54,4.78,50972652.0,101332882.990904
数字芯片设计,20240813,91.34,4.82,51435421.0,102221178.440537
数字芯片设计,20240814,90.69,4.79,51097595.0,101645517.608196
数字芯片设计,20240815,91.56,4.83,51589492.0,102864890.716913
数字芯片设计,20240816,91.11,4.8,51339643.0,102352333.713837
数字芯片设计,20240819,90.84,4.79,51161381.0,101962729.760714
数字芯片设计,20240820,89.85,4.72,50610528.0,100722876.32437
数字芯片设计,20240821,89.66,4.7,50493825.0,100963578.258455
数字芯片设计,20240822,88.73,4.65,49968061.0,100016733.695401
数字芯片设计,20240823,88.04,4.61,49597109.0,99170884.041655
数字芯片设计,20240826,87.04,4.53,49129874.0,98059361.186304
数字芯片设计,20240827,85.75,4.47,48415983.0,96802967.726417
数字芯片设计,20240828,85.26,4.44,48136679.0,96142215.881273
数字芯片设计,20240829,85.97,4.48,48544836.0,96942276.295273
数字芯片设计,20240830,89.33,4.66,50435176.0,100888628.809524
数字芯片设计,20240902,71.44,4.49,48585643.0,97281142.994514
数字芯片设计,20240903,72.0,4.52,48960204.0,97722672.72492
数字芯片设计,20240904,71.41,4.49,48557469.0,96965051.703979
数字芯片设计,20240905,70.58,4.43,48000390.0,95591055.066046
数字芯片设计,20240906,69.85,4.39,47483353.0,94736855.311675
数字芯片设计,20240909,69.66,4.38,47398078.0,94451142.626084
数字芯片设计,20240910,70.41,4.42,47907832.0,95666892.854332
数字芯片设计,20240911,70.41,4.42,47905220.0,95739529.000285
数字芯片设计,20240912,69.33,4.35,47168145.0,94102735.781696
数字芯片设计,20240913,69.01,4.34,46943942.0,93792125.565256
数字芯片设计,20240918,68.06,4.27,46294857.0,92080440.492658
数字芯片设计,20240919,68.75,4.31,46772340.0,93155639.647716
数字芯片设计,20240920,68.29,4.28,46453030.0,92607162.419244
数字芯片设计,20240923,67.94,4.26,46224335.0,92260750.225058
数字芯片设计,20240924,70.76,4.44,48128096.0,95970824.900468
数字芯片设计,20240925,71.3,4.47,48487353.0,96618969.039555
数字芯片设计,20240926,74.71,4.68,50823280.0,101059791.211593
数字芯片设计,20240927,80.13,5.02,54514736.0,108154884.637672
数字芯片设计,20240930,92.97,5.83,63265979.0,126301189.745617
