name,trade_date,pe,pb,float_mv,total_mv
文娱用品,20240102,39.31,3.21,4105940.0,10714349.636362
文娱用品,20240103,39.02,3.18,4075567.0,10616262.04037
文娱用品,20240104,39.19,3.2,4085744.0,10642985.219963
文娱用品,20240105,39.02,3.18,4059441.0,10535294.276098
文娱用品,20240108,38.42,3.13,3997265.0,10388221.071394
文娱用品,20240109,38.85,3.17,4041561.0,10519164.000193
文娱用品,20240110,38.2,3.12,3972059.0,10354025.763897
文娱用品,20240111,38.53,3.14,4006881.0,10416383.909737
文娱用品,20240112,37.95,3.1,3951149.0,10270425.045524
文娱用品,20240115,38.02,3.1,3958650.0,10269520.388152
文娱用品,20240116,37.68,3.07,3919529.0,10181270.811636
文娱用品,20240117,37.25,3.04,3872471.0,10044933.399713
文娱用品,20240118,37.17,3.03,3860915.0,10016063.607938
文娱用品,20240119,37.74,3.08,3919948.0,10144162.161688
文娱用品,20240122,36.56,2.98,3796816.0,9759620.680663
文娱用品,20240123,36.31,2.96,3759537.0,9651270.93179
文娱用品,20240124,36.8,3.0,3796102.0,9756379.461794
文娱用品,20240125,37.52,3.06,3870072.0,9968854.016561
文娱用品,20240126,37.12,3.03,3829141.0,9858119.345185
文娱用品,20240129,35.77,2.92,3689940.0,9533063.339206
文娱用品,20240130,34.1,2.78,3515359.0,9081421.57117
文娱用品,20240131,32.43,2.65,3335806.0,8631516.881656
文娱用品,20240201,31.87,2.6,3275751.0,8489383.680427
文娱用品,20240202,30.92,2.52,3173581.0,8230114.593812
文娱用品,20240205,28.71,2.34,2937579.0,7661217.220732
文娱用品,20240206,29.02,2.37,2978186.0,7815776.415819
文娱用品,20240207,28.46,2.32,2918389.0,7716937.169412
文娱用品,20240208,29.66,2.42,3068241.0,8089754.238491
文娱用品,20240219,30.7,2.5,3172103.0,8334184.946699
文娱用品,20240220,31.08,2.54,3209366.0,8438992.343041
文娱用品,20240221,32.31,2.64,3327486.0,8713687.196265
文娱用品,20240222,33.35,2.72,3427905.0,8984935.72018
文娱用品,20240223,33.9,2.77,3488298.0,9140617.344153
文娱用品,20240226,34.18,2.79,3518601.0,9195863.42385
文娱用品,20240227,34.8,2.84,3585321.0,9361035.572627
文娱用品,20240228,33.12,2.7,3399839.0,8883945.683423
文娱用品,20240229,33.86,2.76,3476611.0,9068875.492076
文娱用品,20240301,33.75,2.75,3470052.0,9031395.129799
文娱用品,20240304,33.84,2.76,3478051.0,9033907.488869
文娱用品,20240305,33.42,2.73,3426890.0,8877834.050251
文娱用品,20240306,33.67,2.75,3454433.0,8920290.381212
文娱用品,20240307,33.13,2.7,3398578.0,8807009.390365
文娱用品,20240308,33.27,2.71,3415136.0,8788639.060511
文娱用品,20240311,34.12,2.78,3497736.0,8994094.320389
文娱用品,20240312,35.19,2.87,3605191.0,9308670.195909
文娱用品,20240313,35.38,2.89,3623031.0,9390322.663656
文娱用品,20240314,34.95,2.85,3580319.0,9281237.890942
文娱用品,20240315,35.4,2.9,3650486.0,9430720.131875
文娱用品,20240318,36.0,2.95,3714601.0,9604381.355092
文娱用品,20240319,35.76,2.93,3691773.0,9551236.592246
文娱用品,20240320,36.18,2.97,3745969.0,9633544.249705
文娱用品,20240321,36.62,3.0,3783035.0,9660306.296385
文娱用品,20240322,36.11,2.96,3728447.0,9534924.030043
文娱用品,20240325,35.43,2.91,3649491.0,9369086.343938
文娱用品,20240326,35.97,2.93,3678008.0,9469768.521655
文娱用品,20240327,34.97,2.85,3582719.0,9242772.695638
文娱用品,20240328,35.38,2.88,3622256.0,9332860.072479
文娱用品,20240329,35.73,2.91,3655619.0,9430360.306356
文娱用品,20240401,36.17,3.0,3799906.0,9824600.96996
文娱用品,20240402,36.07,2.99,3786525.0,9784930.272755
文娱用品,20240403,35.96,2.98,3773793.0,9739333.947342
文娱用品,20240408,34.85,2.89,3653264.0,9417847.397716
文娱用品,20240409,35.33,2.93,3708801.0,9552965.099356
文娱用品,20240410,34.51,2.86,3618842.0,9330757.494365
文娱用品,20240411,34.25,2.84,3595704.0,9255487.174739
文娱用品,20240412,34.07,2.82,3576732.0,9198854.026646
文娱用品,20240415,32.44,2.69,3403992.0,8813218.628447
文娱用品,20240416,30.56,2.53,3213114.0,8391043.335894
文娱用品,20240417,32.23,2.67,3392021.0,8814797.488635
文娱用品,20240418,32.51,2.69,3415717.0,8887421.102073
文娱用品,20240419,29.34,2.61,3332931.0,8664125.293905
文娱用品,20240422,28.9,2.58,3310602.0,8620140.147703
文娱用品,20240423,29.86,2.6,3313562.0,8621098.160813
文娱用品,20240424,30.22,2.64,3358697.0,8732344.776157
文娱用品,20240425,30.84,2.69,3372371.0,8797811.994057
文娱用品,20240426,31.13,2.73,3410886.0,8861984.003194
文娱用品,20240429,32.34,2.78,3504682.0,9120078.755695
