name,trade_date,pe,pb,float_mv,total_mv
旅游及景区,20240102,51.78,2.61,5815512.0,11654148.244388
旅游及景区,20240103,52.75,2.66,5924764.0,11898199.134371
旅游及景区,20240104,53.21,2.68,5976406.0,12021819.09303
旅游及景区,20240105,52.61,2.65,5909418.0,11916264.572629
旅游及景区,20240108,52.42,2.65,5887494.0,11902178.341995
旅游及景区,20240109,54.47,2.75,6118453.0,12377719.447532
旅游及景区,20240110,53.66,2.71,6027110.0,12231004.885829
旅游及景区,20240111,53.82,2.72,6045515.0,12276304.342345
旅游及景区,20240112,52.97,2.67,5949772.0,12106304.031564
旅游及景区,20240115,55.25,2.79,6205300.0,12641946.148221
旅游及景区,20240116,56.22,2.84,6315027.0,12864795.549389
旅游及景区,20240117,54.53,2.76,6124654.0,12531939.669516
旅游及景区,20240118,53.39,2.7,5996224.0,12252263.291701
旅游及景区,20240119,54.85,2.78,6160669.0,12564920.23899
旅游及景区,20240122,51.62,2.61,5797738.0,11862726.314497
旅游及景区,20240123,51.43,2.6,5776599.0,11782584.481123
旅游及景区,20240124,52.09,2.63,5850245.0,11904971.897005
旅游及景区,20240125,53.75,2.72,6037152.0,12241391.716777
旅游及景区,20240126,53.39,2.7,5996735.0,12149805.683358
旅游及景区,20240129,51.82,2.62,5820494.0,11758943.456551
旅游及景区,20240130,50.86,2.57,5712648.0,11541097.015503
旅游及景区,20240131,47.52,2.4,5336790.0,10786158.289667
旅游及景区,20240201,46.53,2.35,5225305.0,10575012.165171
旅游及景区,20240202,46.46,2.36,5217414.0,10545419.239025
旅游及景区,20240205,43.49,2.2,4883295.0,9860298.840141
旅游及景区,20240206,45.02,2.28,5055458.0,10160894.757835
旅游及景区,20240207,45.65,2.32,5125885.0,10257192.535933
旅游及景区,20240208,47.71,2.42,5357588.0,10712013.634784
旅游及景区,20240219,48.81,2.48,5481274.0,10997556.623045
旅游及景区,20240220,48.9,2.48,5491440.0,11032589.087751
旅游及景区,20240221,49.37,2.5,5543783.0,11146246.936296
旅游及景区,20240222,49.96,2.53,5609938.0,11301928.346947
旅游及景区,20240223,49.87,2.53,5599521.0,11282192.928156
旅游及景区,20240226,49.72,2.52,5582659.0,11241771.104065
旅游及景区,20240227,50.44,2.55,5664198.0,11405457.803022
旅游及景区,20240228,48.9,2.48,5491094.0,11023721.51283
旅游及景区,20240229,49.89,2.53,5601994.0,11236680.322733
旅游及景区,20240301,50.34,2.55,5653190.0,11328526.282416
旅游及景区,20240304,50.12,2.54,5628285.0,11285013.3348
旅游及景区,20240305,50.38,2.55,5656681.0,11351170.760146
旅游及景区,20240306,50.63,2.57,5685094.0,11438512.389948
旅游及景区,20240307,51.9,2.63,5828217.0,11748247.009706
旅游及景区,20240308,50.86,2.58,5710777.0,11487271.892862
旅游及景区,20240311,51.42,2.61,5773866.0,11604817.686969
旅游及景区,20240312,51.68,2.67,5912164.0,11882129.277905
旅游及景区,20240313,51.34,2.65,5873864.0,11797077.44442
旅游及景区,20240314,51.82,2.68,5928862.0,11905877.460527
旅游及景区,20240315,52.08,2.69,5957699.0,11967489.857202
旅游及景区,20240318,52.73,2.72,6032424.0,12147311.830439
旅游及景区,20240319,52.41,2.71,5995527.0,12072051.512109
旅游及景区,20240320,52.97,2.74,6059570.0,12193212.219084
旅游及景区,20240321,53.7,2.78,6143627.0,12378890.638352
旅游及景区,20240322,52.46,2.72,6028532.0,12142409.820429
旅游及景区,20240325,50.36,2.66,5884325.0,11826167.961127
旅游及景区,20240326,50.16,2.65,5860789.0,11765487.291089
旅游及景区,20240327,49.31,2.61,5761653.0,11582607.674631
旅游及景区,20240328,50.05,2.66,5883416.0,11778101.842323
旅游及景区,20240329,51.26,2.72,6025174.0,12060245.358282
旅游及景区,20240401,50.99,2.79,6149507.0,12287576.48977
旅游及景区,20240402,51.12,2.8,6165191.0,12320298.133199
旅游及景区,20240403,46.54,2.78,6132335.0,12242401.859341
旅游及景区,20240408,45.63,2.73,6012671.0,12021065.374042
旅游及景区,20240409,47.31,2.83,6233929.0,12441765.645764
旅游及景区,20240410,47.27,2.83,6237340.0,12438427.407252
旅游及景区,20240411,48.78,2.93,6436191.0,12819942.590058
旅游及景区,20240412,49.27,2.96,6501762.0,12967236.100744
旅游及景区,20240415,47.59,2.86,6279899.0,12501412.569859
旅游及景区,20240416,44.21,2.66,5832917.0,11579071.110206
旅游及景区,20240417,45.44,2.73,5995909.0,11885176.265794
旅游及景区,20240418,46.13,2.77,6086445.0,12091414.491448
旅游及景区,20240419,44.52,2.71,5963239.0,11845090.347994
旅游及景区,20240422,44.66,2.77,6093328.0,12117153.861276
旅游及景区,20240423,43.46,2.71,5925855.0,11809736.546767
旅游及景区,20240424,44.69,2.77,6056812.0,12076120.416008
旅游及景区,20240425,44.61,2.76,6046870.0,12095854.237772
旅游及景区,20240426,49.83,2.86,6071567.0,12128601.24669
旅游及景区,20240429,50.6,2.92,6166127.0,12300599.298596
旅游及景区,20240430,48.15,2.83,5970078.0,11901734.138149
旅游及景区,20240506,45.11,2.79,5879367.0,11725338.385731
旅游及景区,20240507,45.37,2.81,5913136.0,11798163.037369
旅游及景区,20240508,44.58,2.76,5809492.0,11585794.528974
旅游及景区,20240509,44.98,2.78,5862420.0,11691490.479276
旅游及景区,20240510,45.57,2.82,5939448.0,11850897.699681
旅游及景区,20240513,44.78,2.77,5836025.0,11643331.61131
旅游及景区,20240514,44.85,2.77,5845618.0,11672892.747309
旅游及景区,20240515,44.62,2.76,5815502.0,11619702.428612
旅游及景区,20240516,45.39,2.81,5915972.0,11828601.877289
旅游及景区,20240517,45.63,2.82,5947036.0,11882196.511142
旅游及景区,20240520,46.77,2.89,6095301.0,12196102.647281
旅游及景区,20240521,46.84,2.9,6104942.0,12240511.654503
旅游及景区,20240522,46.08,2.85,6005176.0,12024580.786711
旅游及景区,20240523,44.55,2.76,5806604.0,11625494.890628
旅游及景区,20240524,44.31,2.74,5774815.0,11573107.890601
旅游及景区,20240527,44.67,2.76,5822194.0,11653725.601796
旅游及景区,20240528,44.34,2.75,5800498.0,11589027.356467
旅游及景区,20240529,45.25,2.8,5919130.0,11835035.536162
旅游及景区,20240530,44.59,2.76,5832510.0,11654516.547026
旅游及景区,20240531,44.67,2.77,5843231.0,11671147.371405
旅游及景区,20240603,43.53,2.7,5694011.0,11370875.311166
旅游及景区,20240604,43.97,2.72,5752217.0,11486353.070897
旅游及景区,20240605,43.38,2.69,5674259.0,11328259.635646
旅游及景区,20240606,41.42,2.6,5404181.0,10970397.180468
旅游及景区,20240607,41.99,2.64,5479626.0,11132330.561396
旅游及景区,20240611,41.31,2.6,5390873.0,10950165.215439
旅游及景区,20240612,41.44,2.6,5407223.0,10993976.188791
旅游及景区,20240613,40.87,2.57,5320287.0,10841881.631541
旅游及景区,20240614,41.18,2.59,5360607.0,10933331.543585
旅游及景区,20240617,41.2,2.59,5363249.0,10935539.531842
旅游及景区,20240618,41.18,2.59,5361371.0,10927413.453996
旅游及景区,20240619,40.71,2.56,5299764.0,10790874.363212
旅游及景区,20240620,74.78,2.48,1925460.0,10461925.104597
旅游及景区,20240621,39.48,2.49,5139553.0,10462753.194184
旅游及景区,20240624,37.83,2.38,4924628.0,10025153.580308
旅游及景区,20240625,38.82,2.44,5053925.0,10294679.113219
旅游及景区,20240626,39.13,2.46,5094275.0,10381870.495507
旅游及景区,20240627,38.77,2.44,5047124.0,10286799.291431
旅游及景区,20240628,38.96,2.45,5071223.0,10337905.828184
旅游及景区,20240701,39.8,2.51,5181794.0,10561695.057541
旅游及景区,20240702,39.77,2.5,5176890.0,10550888.560123
旅游及景区,20240703,40.12,2.53,5222880.0,10642298.810025
旅游及景区,20240704,38.69,2.44,5036019.0,10259632.348655
旅游及景区,20240705,39.13,2.46,5093809.0,10374601.794428
旅游及景区,20240708,38.66,2.43,5032477.0,10252872.003162
旅游及景区,20240709,39.17,2.47,5098609.0,10387210.572531
旅游及景区,20240710,38.58,2.43,5022691.0,10234676.757784
旅游及景区,20240711,39.95,2.51,5200960.0,10587193.703146
旅游及景区,20240712,40.02,2.52,5210346.0,10597410.662509
旅游及景区,20240715,38.96,2.45,5071555.0,10299578.230922
旅游及景区,20240716,38.89,2.45,5062774.0,10287325.052591
旅游及景区,20240717,38.82,2.44,5053752.0,10266536.163522
旅游及景区,20240718,39.27,2.47,5112748.0,10392207.222062
旅游及景区,20240719,38.86,2.45,5058165.0,10286861.171555
旅游及景区,20240722,38.64,2.43,5030244.0,10230574.336521
旅游及景区,20240723,38.05,2.39,4952780.0,10083696.842674
旅游及景区,20240724,37.29,2.35,4854584.0,9869812.002346
旅游及景区,20240725,37.45,2.36,4875136.0,9920145.379049
旅游及景区,20240726,37.83,2.38,4925082.0,10011044.124638
旅游及景区,20240729,37.4,2.35,4868448.0,9909592.872203
旅游及景区,20240730,37.5,2.36,4882097.0,9944471.412306
旅游及景区,20240731,41.12,2.55,5353017.0,10793130.695702
旅游及景区,20240801,40.88,2.53,5321708.0,10752379.886058
旅游及景区,20240802,40.78,2.52,5308918.0,10717631.564304
旅游及景区,20240805,41.38,2.56,5363270.0,10857750.982667
旅游及景区,20240806,42.67,2.64,5530206.0,11192980.474679
旅游及景区,20240807,42.07,2.6,5452713.0,11031629.646999
旅游及景区,20240808,42.09,2.6,5455440.0,11048013.073234
旅游及景区,20240809,41.41,2.56,5366688.0,10877132.306354
旅游及景区,20240812,40.05,2.48,5190501.0,10513838.160815
旅游及景区,20240813,40.18,2.49,5207447.0,10540662.128083
旅游及景区,20240814,39.8,2.46,5158426.0,10439229.50971
旅游及景区,20240815,40.6,2.51,5262141.0,10672494.207653
旅游及景区,20240816,40.16,2.49,5205401.0,10554953.022416
旅游及景区,20240819,40.13,2.49,5201658.0,10540873.077246
旅游及景区,20240820,39.57,2.45,5128070.0,10399170.636916
旅游及景区,20240821,39.66,2.46,5140551.0,10425052.792025
旅游及景区,20240822,38.66,2.4,5010388.0,10161675.705825
旅游及景区,20240823,38.97,2.42,5050309.0,10251598.922482
旅游及景区,20240826,38.87,2.43,5037620.0,10214038.636303
旅游及景区,20240827,38.87,2.43,5037286.0,10216205.427539
旅游及景区,20240828,38.88,2.43,5038964.0,10231337.85826
旅游及景区,20240829,38.96,2.44,5049829.0,10253231.97564
旅游及景区,20240830,39.97,2.5,5179796.0,10518469.857501
旅游及景区,20240902,37.72,2.47,5128570.0,10422638.147871
旅游及景区,20240903,38.0,2.49,5167217.0,10496445.715947
旅游及景区,20240904,38.68,2.48,5303082.0,10442744.174296
旅游及景区,20240905,39.23,2.52,5377171.0,10588512.40018
旅游及景区,20240906,39.09,2.51,5358486.0,10568895.775475
旅游及景区,20240909,39.5,2.54,5415275.0,10677010.368351
旅游及景区,20240910,38.5,2.47,5278362.0,10399006.583582
旅游及景区,20240911,37.98,2.44,5206260.0,10258910.736519
旅游及景区,20240912,37.74,2.42,5173837.0,10198585.862547
旅游及景区,20240913,37.3,2.4,5113286.0,10092335.296066
旅游及景区,20240918,37.31,2.4,5114363.0,10095452.758607
旅游及景区,20240919,37.92,2.44,5198910.0,10255269.370608
旅游及景区,20240920,37.73,2.42,5172320.0,10208313.907518
旅游及景区,20240923,37.62,2.42,5157303.0,10176183.621597
旅游及景区,20240924,39.12,2.51,5362984.0,10579862.444457
旅游及景区,20240925,39.87,2.56,5464948.0,10788409.305966
旅游及景区,20240926,41.79,2.68,5728451.0,11282587.39295
旅游及景区,20240927,43.39,2.79,5948049.0,11694782.535252
旅游及景区,20240930,48.64,3.12,6667332.0,13068447.881357
旅游及景区,20241008,48.9,3.14,6703098.0,13113396.072586
旅游及景区,20241009,43.69,2.81,5988740.0,11734428.161753
旅游及景区,20241010,44.35,2.85,6080222.0,11934374.134979
旅游及景区,20241011,42.9,2.75,5880417.0,11573213.483478
旅游及景区,20241014,43.12,2.77,5907807.0,11633054.073584
旅游及景区,20241015,42.48,2.73,5819368.0,11471007.013697
旅游及景区,20241016,42.74,2.74,5854797.0,11534066.489916
旅游及景区,20241017,42.83,2.75,5867696.0,11558040.344983
旅游及景区,20241018,44.43,2.85,6086498.0,11982342.483212
旅游及景区,20241021,46.85,3.01,6417612.0,12636226.19978
旅游及景区,20241022,46.69,3.0,6395861.0,12608819.893512
旅游及景区,20241023,46.56,2.99,6378970.0,12586752.404376
旅游及景区,20241024,46.43,2.98,6360979.0,12554706.613878
旅游及景区,20241025,46.66,2.95,6392578.0,12647988.434905
旅游及景区,20241028,47.05,2.96,6445745.0,12730374.077029
旅游及景区,20241029,46.42,2.91,6359808.0,12573358.085105
旅游及景区,20241030,46.45,2.9,6363739.0,12570466.242597
旅游及景区,20241031,46.57,2.9,6380091.0,12626426.078502
旅游及景区,20241101,46.58,2.84,6295176.0,12454328.166087
旅游及景区,20241104,47.39,2.89,6404793.0,12700603.388816
旅游及景区,20241105,48.0,2.92,6486553.0,12873722.806324
旅游及景区,20241106,48.89,2.98,6606596.0,13154072.628376
旅游及景区,20241107,51.04,3.11,6897013.0,13754422.237654
旅游及景区,20241108,50.74,3.09,6857477.0,13673233.081096
旅游及景区,20241111,50.87,3.1,6874128.0,13708753.233179
旅游及景区,20241112,51.21,3.12,6920590.0,13779909.473296
旅游及景区,20241113,49.45,3.01,6682359.0,13310467.631562
旅游及景区,20241114,48.2,2.93,6513895.0,12971924.956778
旅游及景区,20241115,47.35,2.88,6398553.0,12741396.797096
旅游及景区,20241118,46.4,2.82,6270551.0,12493184.978421
旅游及景区,20241119,47.24,2.88,6390858.0,12745281.27056
旅游及景区,20241120,47.62,2.9,6442413.0,12847878.382615
旅游及景区,20241121,47.53,2.89,6430469.0,12817807.925729
旅游及景区,20241122,46.0,2.8,6222841.0,12421635.173119
旅游及景区,20241125,47.56,2.9,6434429.0,12880902.365355
旅游及景区,20241126,48.04,2.93,6498895.0,13022544.393697
旅游及景区,20241127,48.52,2.95,6563859.0,13146483.467914
旅游及景区,20241128,48.55,2.96,6568931.0,13148935.516533
旅游及景区,20241129,49.01,2.98,6630653.0,13269694.558723
旅游及景区,20241202,50.32,3.06,6807442.0,13642811.219003
旅游及景区,20241203,50.05,3.05,6771719.0,13573011.305432
旅游及景区,20241204,49.23,3.0,6660098.0,13352841.587099
旅游及景区,20241205,50.25,3.06,6798857.0,13658134.920886
旅游及景区,20241206,50.82,3.09,6875615.0,13818748.345609
旅游及景区,20241209,50.02,3.05,6766790.0,13581051.415468
旅游及景区,20241210,50.83,3.09,6876986.0,13792863.675023
旅游及景区,20241211,51.82,3.16,7011224.0,14045667.277878
旅游及景区,20241212,53.89,3.28,7290440.0,14622282.757112
旅游及景区,20241213,55.16,3.36,7462347.0,15017090.933589
旅游及景区,20241216,56.03,3.41,7580708.0,15314153.489685
旅游及景区,20241217,53.0,3.23,7170369.0,14441940.642032
旅游及景区,20241218,51.88,3.16,7018603.0,14085748.479008
旅游及景区,20241219,51.56,3.14,6975402.0,13994639.447076
旅游及景区,20241220,51.06,3.11,6908661.0,13862125.595034
旅游及景区,20241223,48.87,2.98,6611264.0,13234016.374827
旅游及景区,20241224,49.07,2.99,6638676.0,13257887.557286
旅游及景区,20241225,48.24,2.94,6526381.0,13003971.928366
旅游及景区,20241226,45.29,2.99,6683757.0,13118968.296486
旅游及景区,20241227,45.95,3.03,6780892.0,13328778.014607
旅游及景区,20241230,44.65,2.95,6589497.0,12930705.096945
旅游及景区,20241231,44.1,2.91,6508020.0,12783349.149848
旅游及景区,20250102,44.31,2.93,6538997.0,12862355.362566
旅游及景区,20250103,41.96,2.77,6191444.0,12152804.748387
旅游及景区,20250106,41.25,2.72,6087468.0,11940424.60378
旅游及景区,20250107,41.92,2.77,6186113.0,12137381.686566
旅游及景区,20250108,41.81,2.76,6170063.0,12124164.578586
旅游及景区,20250109,41.55,2.74,6131781.0,12047812.330581
旅游及景区,20250110,40.25,2.66,5940373.0,11679609.635551
旅游及景区,20250113,40.76,2.69,6014677.0,11841853.386024
旅游及景区,20250114,42.2,2.79,6227262.0,12260853.074734
旅游及景区,20250115,42.64,2.82,6293080.0,12390015.914931
旅游及景区,20250116,43.01,2.84,6347686.0,12484018.386981
旅游及景区,20250117,43.21,2.85,6376596.0,12537087.564955
旅游及景区,20250120,43.56,2.88,6428217.0,12598487.942785
旅游及景区,20250121,43.07,2.84,6355663.0,12461264.974221
旅游及景区,20250122,42.06,2.78,6207304.0,12163062.621729
旅游及景区,20250123,42.07,2.78,6208936.0,12160481.436276
旅游及景区,20250124,42.7,2.81,6300691.0,12328535.718535
旅游及景区,20250127,42.52,2.8,6275242.0,12272071.097727
旅游及景区,20250205,41.76,2.75,6162451.0,12034218.677567
旅游及景区,20250206,42.37,2.79,6252742.0,12230314.348967
旅游及景区,20250207,42.38,2.79,6254638.0,12229335.591085
旅游及景区,20250210,43.56,2.87,6428367.0,12580695.0
旅游及景区,20250211,43.18,2.85,6372700.0,12478321.0
旅游及景区,20250212,43.38,2.86,6401248.0,12529468.0
旅游及景区,20250213,43.54,2.87,6425514.0,12561349.0
旅游及景区,20250214,43.09,2.84,6358748.0,12425521.0
