name,trade_date,pe,pb,float_mv,total_mv
旅游综合,20240102,,6.06,907996.0,1966698.602492
旅游综合,20240103,,6.12,914683.0,1989750.172312
旅游综合,20240104,,6.16,916614.0,1990831.778362
旅游综合,20240105,,6.03,897506.0,1947885.126322
旅游综合,20240108,,5.97,885959.0,1923162.996748
旅游综合,20240109,,6.11,904022.0,1961297.797829
旅游综合,20240110,,5.97,885251.0,1925934.222586
旅游综合,20240111,,5.99,891370.0,1946737.855234
旅游综合,20240112,,5.89,876333.0,1909498.210925
旅游综合,20240115,,6.08,899713.0,1959918.881738
旅游综合,20240116,,6.19,910102.0,1977123.993013
旅游综合,20240117,,5.9,870231.0,1890413.560405
旅游综合,20240118,,5.79,858599.0,1866866.89851
旅游综合,20240119,,5.97,875321.0,1897436.652378
旅游综合,20240122,,5.48,811109.0,1754471.366142
旅游综合,20240123,,5.4,806958.0,1750554.265173
旅游综合,20240124,,5.56,825655.0,1787803.030638
旅游综合,20240125,,5.94,869074.0,1871815.205462
旅游综合,20240126,,5.85,861121.0,1865282.085425
旅游综合,20240129,,5.65,836993.0,1812186.109224
旅游综合,20240130,,5.41,807212.0,1750294.83244
旅游综合,20240131,,5.05,757512.0,1645297.814533
旅游综合,20240201,,4.84,723802.0,1571299.508721
旅游综合,20240202,,4.83,712777.0,1540902.230161
旅游综合,20240205,,4.35,651154.0,1410610.19049
旅游综合,20240206,,4.46,662065.0,1424376.07893
旅游综合,20240207,,4.47,659402.0,1411266.715274
旅游综合,20240208,,4.88,712628.0,1521682.414649
旅游综合,20240219,,4.96,730581.0,1570804.277189
旅游综合,20240220,,4.96,739965.0,1590794.663622
旅游综合,20240221,,4.97,741749.0,1596419.70412
旅游综合,20240222,,5.05,755651.0,1630252.53593
旅游综合,20240223,,5.14,764505.0,1649820.308779
旅游综合,20240226,,5.09,758661.0,1639733.725716
旅游综合,20240227,,5.22,776432.0,1676736.817611
旅游综合,20240228,,4.94,737225.0,1591024.581236
旅游综合,20240229,,5.06,755376.0,1629989.164208
旅游综合,20240301,,5.22,771880.0,1656304.294102
旅游综合,20240304,,5.22,769459.0,1650559.347035
旅游综合,20240305,,5.17,764354.0,1641669.716013
旅游综合,20240306,,5.31,782870.0,1701870.60072
旅游综合,20240307,,5.49,802146.0,1742613.874323
旅游综合,20240308,,5.28,778251.0,1684950.283501
旅游综合,20240311,,5.29,779634.0,1686508.876692
旅游综合,20240312,,5.46,801169.0,1735673.992761
旅游综合,20240313,,5.47,798639.0,1727609.852456
旅游综合,20240314,,5.59,817310.0,1763133.000993
