name,trade_date,pe,pb,float_mv,total_mv
普钢,20240102,21.4,0.71,16790716.0,48773600.485421
普钢,20240103,21.68,0.72,17012554.0,49449765.766263
普钢,20240104,21.72,0.72,17045914.0,49510620.436312
普钢,20240105,21.66,0.72,16993644.0,49411298.671143
普钢,20240108,21.27,0.7,16693154.0,48583177.099351
普钢,20240109,21.32,0.7,16733146.0,48691330.332936
普钢,20240110,21.21,0.7,16639636.0,48348018.228856
普钢,20240111,21.18,0.7,16619852.0,48248049.025408
普钢,20240112,21.18,0.7,16619495.0,48182080.913088
普钢,20240115,21.08,0.7,16538387.0,47907650.116006
普钢,20240116,21.09,0.7,16548436.0,47925375.831599
普钢,20240117,20.75,0.69,16283747.0,47146071.831484
普钢,20240118,20.48,0.68,16072599.0,46522918.392743
普钢,20240119,20.41,0.67,16017021.0,46412368.525472
普钢,20240122,19.67,0.65,15436122.0,44798439.010933
普钢,20240123,19.75,0.65,15499723.0,44988158.443376
普钢,20240124,20.34,0.67,15960242.0,46377290.280694
普钢,20240125,21.18,0.7,16615611.0,48221415.403592
普钢,20240126,21.46,0.71,16836968.0,48929339.351659
普钢,20240129,21.33,0.7,16735794.0,48638714.247139
普钢,20240130,21.05,0.69,16517102.0,48010908.265287
普钢,20240131,20.76,0.69,16290222.0,47377249.01047
普钢,20240201,20.56,0.68,16135523.0,46950759.463955
普钢,20240202,20.33,0.67,15954474.0,46493113.896425
普钢,20240205,19.92,0.66,15631852.0,45633313.542221
普钢,20240206,20.67,0.68,16217587.0,47249351.766881
普钢,20240207,21.21,0.7,16646888.0,48343845.477644
普钢,20240208,21.42,0.71,16810443.0,48824442.085045
普钢,20240219,21.66,0.72,16997374.0,49412853.240851
普钢,20240220,21.78,0.72,17093011.0,49747532.293079
普钢,20240221,21.81,0.72,17113186.0,49805528.504576
普钢,20240222,22.03,0.73,17290274.0,50363803.087918
普钢,20240223,22.04,0.73,17297351.0,50417791.321755
普钢,20240226,21.86,0.72,17149540.0,49972031.032634
普钢,20240227,22.02,0.73,17281234.0,50423948.959402
普钢,20240228,21.81,0.72,17113427.0,49934541.08639
普钢,20240229,22.08,0.73,17329626.0,50548846.506776
普钢,20240301,21.98,0.73,17243357.0,50364114.499521
普钢,20240304,21.75,0.72,17069904.0,49860061.621504
普钢,20240305,21.73,0.72,17054382.0,49866189.079825
普钢,20240306,21.8,0.72,17102250.0,49962797.270785
普钢,20240307,22.27,0.74,17477941.0,51032224.999251
普钢,20240308,22.3,0.74,17501239.0,51075928.023297
普钢,20240311,21.8,0.73,17444032.0,50896226.558511
普钢,20240312,21.44,0.72,17155717.0,50029629.723416
普钢,20240313,21.31,0.72,17052657.0,49789923.156037
普钢,20240314,21.27,0.72,17020624.0,49729892.268171
普钢,20240315,21.73,0.73,17281859.0,50579342.580386
普钢,20240318,21.68,0.73,17245767.0,50567281.364592
普钢,20240319,22.01,0.74,17509156.0,51151040.56166
普钢,20240320,21.83,0.73,17365651.0,50757139.4796
普钢,20240321,21.76,0.73,17305175.0,50565287.968182
普钢,20240322,21.52,0.72,17113531.0,50068124.798926
普钢,20240325,21.48,0.72,17083246.0,50026796.27873
普钢,20240326,21.46,0.72,17068086.0,49977831.112941
普钢,20240327,21.25,0.71,16903633.0,49498480.535882
普钢,20240328,21.25,0.71,16902798.0,49471486.121248
普钢,20240329,21.56,0.73,17147757.0,50264052.367955
普钢,20240401,22.15,0.73,17313705.0,50749621.650035
普钢,20240402,22.48,0.74,17566446.0,51443228.478754
普钢,20240403,22.62,0.75,17680956.0,51729402.858008
普钢,20240408,22.53,0.74,17607284.0,51580785.450299
普钢,20240409,22.62,0.75,17682798.0,51719942.513351
普钢,20240410,22.37,0.74,17485270.0,51212596.929293
普钢,20240411,22.65,0.75,17655784.0,51693871.742463
普钢,20240412,22.55,0.74,17580710.0,51520055.54517
普钢,20240415,22.59,0.75,17681404.0,51889839.414344
普钢,20240416,22.24,0.74,17401516.0,51230943.848384
普钢,20240417,22.89,0.76,17914808.0,52715496.973851
普钢,20240418,23.05,0.76,18040752.0,53105435.756459
普钢,20240419,23.42,0.77,18270395.0,53557421.425611
普钢,20240422,22.84,0.76,17959020.0,52606330.036818
普钢,20240423,21.51,0.74,17497359.0,51130858.116779
普钢,20240424,21.63,0.74,17595872.0,51415838.871914
普钢,20240425,21.77,0.75,17707436.0,51733341.303894
普钢,20240426,21.83,0.75,17769414.0,51946102.433396
普钢,20240429,21.26,0.75,17818125.0,52089699.307956
普钢,20240430,20.76,0.74,17398516.0,51011467.084424
普钢,20240506,22.36,0.75,17557354.0,51473830.093544
普钢,20240507,22.13,0.74,17380482.0,50925790.218657
普钢,20240508,21.85,0.73,17161053.0,50326467.69151
普钢,20240509,22.1,0.74,17358170.0,50910381.102486
普钢,20240510,22.13,0.74,17380516.0,51054056.129296
普钢,20240513,22.07,0.74,17335558.0,50992573.258616
普钢,20240514,21.87,0.73,17171756.0,50429348.475598
普钢,20240515,21.75,0.73,17082667.0,50187006.851305
普钢,20240516,22.02,0.74,17292381.0,50767570.098306
普钢,20240517,22.24,0.74,17469052.0,51252709.856549
普钢,20240520,22.22,0.74,17447449.0,51186401.156286
普钢,20240521,22.07,0.74,17332001.0,50868921.774577
普钢,20240522,22.23,0.74,17454330.0,51274741.075021
普钢,20240523,21.78,0.73,17105065.0,50219645.355268
普钢,20240524,21.66,0.72,17002007.0,49924561.570605
普钢,20240527,21.79,0.73,17108756.0,50262300.71871
普钢,20240528,21.68,0.73,17020478.0,50036234.845648
普钢,20240529,21.71,0.73,17040009.0,50112675.476191
普钢,20240530,21.71,0.73,17045161.0,50101845.815993
普钢,20240531,21.6,0.72,16955040.0,49789515.325429
普钢,20240603,21.14,0.71,16596105.0,48909222.619687
普钢,20240604,21.25,0.71,16680171.0,49233347.116453
普钢,20240605,20.9,0.7,16407832.0,48546064.670575
普钢,20240606,20.6,0.69,16172109.0,47888936.658846
普钢,20240607,20.89,0.7,16397406.0,48433599.624752
普钢,20240611,20.53,0.69,16113784.0,47553140.300791
普钢,20240612,20.53,0.69,16115841.0,47613318.375448
普钢,20240613,20.07,0.67,15754748.0,46514787.537215
普钢,20240614,20.43,0.68,16040261.0,47366702.284327
