name,trade_date,pe,pb,float_mv,total_mv
服装家纺,20240102,22.79,1.74,12368599.0,30733064.995854
服装家纺,20240103,22.65,1.72,12290756.0,30633720.294086
服装家纺,20240104,22.77,1.73,12356314.0,30782453.097945
服装家纺,20240105,22.46,1.71,12189606.0,30399346.955992
服装家纺,20240108,22.13,1.68,12004696.0,29888576.646511
服装家纺,20240109,22.45,1.71,12174642.0,30359799.195427
服装家纺,20240110,22.43,1.71,12163873.0,30429426.127949
服装家纺,20240111,22.58,1.72,12245592.0,30651703.090978
服装家纺,20240112,22.37,1.7,12131999.0,30369525.925291
服装家纺,20240115,22.66,1.72,12287944.0,30716415.467852
服装家纺,20240116,22.72,1.73,12320120.0,30776673.927775
服装家纺,20240117,22.58,1.72,12242202.0,30614615.965725
服装家纺,20240118,22.38,1.7,12130747.0,30390023.987495
服装家纺,20240119,22.42,1.71,12151673.0,30499743.861052
服装家纺,20240122,21.15,1.61,11463591.0,28844527.541481
服装家纺,20240123,20.98,1.6,11385530.0,28615700.40572
服装家纺,20240124,21.58,1.64,11711962.0,29448624.897858
服装家纺,20240125,21.92,1.67,11890857.0,29868631.913471
服装家纺,20240126,22.02,1.68,11940919.0,29990832.733882
服装家纺,20240129,21.64,1.65,11736022.0,29529041.664424
服装家纺,20240130,21.08,1.61,11431502.0,28739717.614501
服装家纺,20240131,20.44,1.56,11082855.0,27835504.268885
服装家纺,20240201,20.22,1.54,10957770.0,27560129.531107
服装家纺,20240202,19.69,1.5,10667385.0,26838319.968271
服装家纺,20240205,18.92,1.44,10242002.0,25792231.898037
服装家纺,20240206,19.22,1.46,10400959.0,26231175.918133
服装家纺,20240207,19.25,1.47,10415956.0,26340880.728058
服装家纺,20240208,19.93,1.52,10791185.0,27253359.268765
服装家纺,20240219,20.37,1.55,11026824.0,27792688.841277
服装家纺,20240220,20.43,1.56,11063723.0,27894343.714495
服装家纺,20240221,20.57,1.57,11130981.0,28036303.324662
服装家纺,20240222,20.73,1.58,11224871.0,28220956.267096
服装家纺,20240223,20.87,1.59,11300721.0,28379881.784158
服装家纺,20240226,20.95,1.6,11344031.0,28468083.300869
服装家纺,20240227,21.31,1.62,11542246.0,28954420.526407
服装家纺,20240228,20.56,1.57,11129556.0,27914423.214312
服装家纺,20240229,21.08,1.61,11457061.0,28714132.049836
服装家纺,20240301,21.08,1.61,11459516.0,28657406.618434
服装家纺,20240304,21.18,1.62,11513674.0,28744298.48094
服装家纺,20240305,21.06,1.61,11444845.0,28544914.459373
服装家纺,20240306,21.26,1.62,11552072.0,28766632.514804
服装家纺,20240307,21.05,1.61,11436159.0,28507786.34328
服装家纺,20240308,21.4,1.63,11606587.0,29020374.788001
服装家纺,20240311,21.57,1.64,11697439.0,29261459.536305
服装家纺,20240312,21.61,1.65,11725669.0,29293943.194447
