name,trade_date,pe,pb,float_mv,total_mv
机床工具,20240102,60.08,3.93,5447072.0,11717041.942225
机床工具,20240103,59.1,3.86,5356795.0,11521285.715506
机床工具,20240104,58.72,3.84,5320577.0,11450516.510712
机床工具,20240105,56.89,3.72,5160205.0,11146322.660634
机床工具,20240108,55.47,3.63,5023785.0,10850461.292013
机床工具,20240109,57.02,3.73,5146524.0,11100536.121223
机床工具,20240110,55.76,3.59,5095613.0,10845715.978478
机床工具,20240111,56.84,3.66,5196629.0,11053758.820028
机床工具,20240112,55.88,3.6,5109566.0,10888727.348442
机床工具,20240115,55.45,3.57,5069235.0,10807933.550366
机床工具,20240116,55.17,3.55,5055931.0,10794463.55896
机床工具,20240117,52.91,3.41,4848697.0,10344235.74925
机床工具,20240118,52.85,3.41,4850667.0,10315972.918719
机床工具,20240119,52.08,3.36,4775005.0,10161181.020258
机床工具,20240122,48.53,3.13,4472134.0,9522767.399747
机床工具,20240123,48.65,3.13,4491797.0,9575576.739633
机床工具,20240124,49.23,3.17,4536260.0,9653818.378271
机床工具,20240125,50.54,3.26,4649159.0,9890594.992961
机床工具,20240126,49.92,3.22,4582295.0,9740031.900923
机床工具,20240129,48.41,3.12,4448357.0,9448542.978054
机床工具,20240130,47.29,3.05,4346651.0,9226945.834668
机床工具,20240131,44.8,2.89,4112230.0,8740301.403004
机床工具,20240201,44.49,2.87,4095799.0,8710613.284465
机床工具,20240202,42.68,2.75,3924679.0,8404652.625312
机床工具,20240205,39.81,2.55,3657267.0,7921809.772132
机床工具,20240206,40.98,2.63,3786891.0,8227862.514662
机床工具,20240207,40.72,2.61,3773475.0,8212517.806288
机床工具,20240208,43.76,2.8,4056433.0,8799225.455199
机床工具,20240219,45.11,2.89,4171421.0,8993256.694802
机床工具,20240220,45.54,2.92,4216563.0,9070251.847182
机床工具,20240221,46.1,2.95,4267646.0,9190565.970173
机床工具,20240222,47.61,3.05,4392308.0,9421212.996496
机床工具,20240223,49.79,3.19,4600895.0,9867475.62819
机床工具,20240226,55.01,3.53,5088759.0,10917369.489041
机床工具,20240227,56.56,3.62,5213887.0,11160202.067808
机床工具,20240228,51.51,3.3,4744943.0,10128955.492581
机床工具,20240229,54.87,3.52,5072765.0,10862191.954861
机床工具,20240301,56.25,3.6,5209230.0,11179200.833706
机床工具,20240304,56.49,3.62,5215603.0,11135647.155469
机床工具,20240305,55.07,3.53,5089443.0,10863749.3858
机床工具,20240306,57.22,3.67,5290773.0,11278759.399066
机床工具,20240307,56.66,3.63,5250871.0,11237675.642313
机床工具,20240308,56.98,3.65,5283315.0,11282761.534839
机床工具,20240311,56.88,3.64,5273340.0,11258835.553286
机床工具,20240312,57.07,3.66,5292838.0,11271575.738429
机床工具,20240313,56.84,3.64,5257074.0,11192235.796053
机床工具,20240314,56.56,3.62,5239088.0,11184416.2714
机床工具,20240315,57.58,3.69,5330729.0,11402413.721063
机床工具,20240318,59.43,3.81,5474006.0,11642455.550225
机床工具,20240319,58.66,3.76,5404515.0,11488346.155736
机床工具,20240320,58.74,3.76,5400256.0,11471681.52347
机床工具,20240321,58.77,3.77,5398887.0,11447431.649885
机床工具,20240322,57.43,3.68,5276842.0,11196439.265945
机床工具,20240325,55.92,3.55,5096109.0,10830867.476803
机床工具,20240326,55.17,3.52,5060487.0,10770239.261184
机床工具,20240327,52.55,3.35,4836106.0,10325712.751354
机床工具,20240328,54.23,3.46,4997893.0,10641926.375772
机床工具,20240329,55.01,3.51,5056518.0,10765461.640713
机床工具,20240401,59.82,3.56,5134521.0,10939619.274194
机床工具,20240402,59.17,3.52,5072493.0,10816114.484846
机床工具,20240403,58.32,3.46,4998397.0,10665891.422079
机床工具,20240408,56.81,3.38,4877188.0,10409693.811559
机床工具,20240409,57.22,3.4,4924045.0,10503795.223067
机床工具,20240410,59.0,3.51,5064992.0,10779850.438034
机床工具,20240411,58.77,3.49,5049012.0,10770052.228087
机床工具,20240412,57.65,3.43,4953302.0,10602741.609024
机床工具,20240415,50.81,3.35,4843597.0,10408453.08777
机床工具,20240416,46.43,3.06,4449599.0,9632428.524077
机床工具,20240417,49.61,3.27,4730320.0,10288089.917435
机床工具,20240418,48.1,3.22,4687055.0,10201192.425535
机床工具,20240419,64.84,3.16,4606351.0,10036462.977245
机床工具,20240422,64.24,3.13,4572169.0,9980343.281584
