name,trade_date,pe,pb,float_mv,total_mv
机械设备,20240102,28.36,2.18,169808566.0,366156597.90985
机械设备,20240103,28.1,2.16,167896756.0,362071435.019127
机械设备,20240104,27.9,2.15,167036691.0,359894787.851441
机械设备,20240105,27.48,2.12,163933432.0,354096893.642209
机械设备,20240108,26.94,2.08,160549872.0,346702239.433424
机械设备,20240109,27.33,2.11,162667119.0,350959029.820095
机械设备,20240110,26.97,2.08,160531692.0,346435373.637795
机械设备,20240111,27.34,2.11,162891792.0,351436577.760858
机械设备,20240112,27.12,2.09,161509463.0,348664364.977438
机械设备,20240115,27.02,2.08,160670022.0,347006851.700675
机械设备,20240116,26.93,2.07,160058462.0,345661972.601467
机械设备,20240117,26.33,2.03,156066508.0,337229322.192329
机械设备,20240118,26.26,2.02,155670868.0,335769880.416027
机械设备,20240119,25.89,1.99,153392616.0,330699348.696722
机械设备,20240122,24.67,1.9,145787608.0,313938478.818497
机械设备,20240123,24.82,1.91,146794482.0,315485446.824257
机械设备,20240124,25.21,1.94,148788972.0,319818111.488994
机械设备,20240125,25.99,2.0,153600108.0,330762933.802139
机械设备,20240126,25.91,1.99,152564997.0,328342806.87426
机械设备,20240129,25.27,1.94,148702181.0,320546855.564242
机械设备,20240130,24.65,1.9,144932806.0,312085557.820017
机械设备,20240131,23.88,1.84,140063927.0,301150775.127981
机械设备,20240201,23.72,1.83,139138645.0,298739058.56424
机械设备,20240202,23.1,1.78,135100568.0,289828944.986334
机械设备,20240205,22.15,1.71,128765645.0,275458760.033222
机械设备,20240206,23.09,1.78,134526482.0,288124262.879978
机械设备,20240207,23.35,1.8,135886783.0,290572645.619162
机械设备,20240208,24.34,1.87,142478592.0,304722209.979277
机械设备,20240219,24.81,1.91,145021977.0,309938054.14283
机械设备,20240220,25.02,1.93,146351552.0,312768391.697589
机械设备,20240221,25.21,1.94,147536535.0,315574015.361216
机械设备,20240222,25.62,1.97,150010693.0,320733074.069786
机械设备,20240223,25.96,2.0,152535079.0,326708749.942279
机械设备,20240226,26.74,2.06,157375197.0,337742601.539612
机械设备,20240227,27.2,2.09,160397897.0,343987116.554311
机械设备,20240228,25.93,2.0,152185752.0,326025783.901346
机械设备,20240229,26.98,2.08,158594057.0,339785404.256374
机械设备,20240301,27.38,2.11,161026182.0,344933787.576372
机械设备,20240304,27.58,2.12,161999169.0,346728647.110227
机械设备,20240305,27.37,2.11,160417797.0,343261608.862283
机械设备,20240306,27.82,2.14,163027971.0,348910916.190592
机械设备,20240307,27.86,2.14,162956870.0,349123550.46484
机械设备,20240308,28.12,2.16,164625717.0,352623426.459593
机械设备,20240311,28.22,2.17,165575293.0,354437765.798905
机械设备,20240312,28.18,2.17,165549041.0,354250296.017883
机械设备,20240313,28.15,2.16,165409588.0,353764261.326786
机械设备,20240314,28.05,2.16,164621361.0,352162431.635622
机械设备,20240315,28.37,2.18,166730995.0,357035763.638919
机械设备,20240318,28.73,2.21,169582594.0,362906857.580421
机械设备,20240319,28.4,2.19,167798770.0,359273937.292872
