name,trade_date,pe,pb,float_mv,total_mv
板材,20240102,22.0,0.7,14501795.0,43682865.262584
板材,20240103,22.3,0.71,14705425.0,44317717.149794
板材,20240104,22.36,0.72,14742743.0,44390796.018319
板材,20240105,22.29,0.71,14699390.0,44308904.874866
板材,20240108,21.9,0.7,14441970.0,43580809.208274
板材,20240109,21.94,0.7,14464425.0,43649903.85821
板材,20240110,21.81,0.7,14379627.0,43325256.448825
板材,20240111,21.77,0.7,14355554.0,43215534.204069
板材,20240112,21.77,0.7,14353839.0,43147414.850203
板材,20240115,21.67,0.69,14285732.0,42907794.09032
板材,20240116,21.71,0.7,14310857.0,42963015.515223
板材,20240117,21.35,0.68,14079277.0,42261378.023408
板材,20240118,21.07,0.68,13892959.0,41692780.136864
板材,20240119,21.01,0.67,13851797.0,41612251.007218
板材,20240122,20.28,0.65,13368414.0,40220973.027922
板材,20240123,20.36,0.65,13426849.0,40390196.187294
板材,20240124,20.98,0.67,13829209.0,41650955.778444
板材,20240125,21.84,0.7,14398996.0,43310630.263863
板材,20240126,22.12,0.71,14586449.0,43934479.963894
板材,20240129,21.99,0.7,14500596.0,43682675.386953
板材,20240130,21.74,0.7,14333530.0,43170426.784889
板材,20240131,21.5,0.69,14175355.0,42688233.205603
板材,20240201,21.31,0.68,14052179.0,42338577.543972
板材,20240202,21.13,0.68,13932737.0,42018839.944923
板材,20240205,20.8,0.67,13710739.0,41397505.717104
板材,20240206,21.54,0.69,14200328.0,42818661.204463
板材,20240207,22.16,0.71,14612984.0,43893458.239868
板材,20240208,22.33,0.72,14724068.0,44253240.294563
板材,20240219,22.53,0.72,14852558.0,44709620.45997
板材,20240220,22.66,0.73,14940153.0,45027035.338523
板材,20240221,22.67,0.73,14945281.0,45044553.838923
板材,20240222,22.88,0.73,15084701.0,45516148.980919
板材,20240223,22.82,0.73,15047608.0,45473906.607194
板材,20240226,22.63,0.73,14922518.0,45080656.717696
板材,20240227,22.82,0.73,15047650.0,45515329.801597
板材,20240228,22.64,0.73,14925514.0,45128777.974989
板材,20240229,22.89,0.73,15093066.0,45636594.247546
板材,20240301,22.79,0.73,15026639.0,45496002.177965
板材,20240304,22.58,0.72,14888498.0,45073027.261612
板材,20240305,22.6,0.72,14903870.0,45150733.504162
板材,20240306,22.65,0.73,14931247.0,45198704.68458
板材,20240307,23.17,0.74,15273686.0,46195384.745252
板材,20240308,23.2,0.74,15296652.0,46241447.200508
板材,20240311,22.57,0.74,15228760.0,46040046.291367
板材,20240312,22.15,0.73,14947108.0,45182957.473615
板材,20240313,22.02,0.72,14854730.0,44967781.865488
板材,20240314,21.97,0.72,14824976.0,44912272.27869
板材,20240315,22.45,0.73,15044480.0,45674021.043323
板材,20240318,22.4,0.73,15011793.0,45669267.708062
板材,20240319,22.79,0.74,15269145.0,46237494.272884
板材,20240320,22.57,0.74,15124363.0,45845170.677675
板材,20240321,22.47,0.73,15057865.0,45644595.05205
板材,20240322,22.24,0.73,14905333.0,45233847.312169
板材,20240325,22.22,0.73,14888273.0,45226213.670709
板材,20240326,22.17,0.72,14852827.0,45143073.88812
板材,20240327,21.96,0.72,14715439.0,44724533.969775
板材,20240328,21.96,0.72,14711848.0,44692310.485545
板材,20240329,22.29,0.73,14932875.0,45387838.331924
板材,20240401,22.95,0.73,15060821.0,45783945.105533
板材,20240402,23.29,0.75,15286227.0,46407865.814301
板材,20240403,23.44,0.75,15380495.0,46646507.06911
板材,20240408,23.36,0.75,15326914.0,46546586.672897
板材,20240409,23.47,0.75,15398578.0,46673990.264191
板材,20240410,23.19,0.74,15218650.0,46210142.709792
板材,20240411,23.45,0.75,15386245.0,46674510.742399
板材,20240412,23.37,0.75,15337005.0,46552136.323996
板材,20240415,23.43,0.75,15444119.0,46948661.320426
板材,20240416,23.11,0.74,15236650.0,46459228.750602
板材,20240417,23.78,0.76,15673868.0,47779548.909367
板材,20240418,23.94,0.77,15784402.0,48136819.794242
板材,20240419,24.2,0.78,15997042.0,48545831.731813
板材,20240422,23.55,0.77,15710534.0,47656421.513253
板材,20240423,22.06,0.75,15312093.0,46316004.810147
板材,20240424,22.21,0.75,15418299.0,46616648.123239
板材,20240425,22.36,0.76,15525437.0,46925673.064419
板材,20240426,22.5,0.76,15620880.0,47205104.744878
板材,20240429,21.87,0.76,15658569.0,47318347.742973
板材,20240430,21.33,0.75,15275561.0,46322514.935412
板材,20240506,22.49,0.76,15403455.0,46719387.908194
板材,20240507,22.27,0.75,15246359.0,46220622.136528
板材,20240508,21.98,0.74,15048504.0,45672645.903507
板材,20240509,22.22,0.75,15213635.0,46186334.823884
板材,20240510,22.25,0.75,15237917.0,46330411.177273
板材,20240513,22.22,0.75,15212805.0,46316968.057601
板材,20240514,21.98,0.74,15054081.0,45760102.140486
板材,20240515,21.86,0.73,14969041.0,45531456.986381
板材,20240516,22.13,0.74,15150496.0,46039626.778233
板材,20240517,22.37,0.75,15314728.0,46492424.202372
板材,20240520,22.31,0.75,15279042.0,46396643.090676
板材,20240521,22.16,0.74,15175098.0,46106197.357356
板材,20240522,22.32,0.75,15285644.0,46482378.880461
板材,20240523,21.88,0.74,14985960.0,45540616.001094
板材,20240524,21.75,0.73,14890633.0,45262914.589123
板材,20240527,21.92,0.74,15001633.0,45612344.415948
板材,20240528,21.82,0.73,14932881.0,45427758.253947
板材,20240529,21.84,0.73,14950787.0,45503091.09963
板材,20240530,21.86,0.74,14965887.0,45517336.220987
板材,20240531,21.75,0.73,14887303.0,45228630.949649
板材,20240603,21.3,0.72,14579466.0,44473784.887371
板材,20240604,21.42,0.72,14659152.0,44792945.149452
板材,20240605,21.09,0.71,14432460.0,44205899.244552
板材,20240606,20.81,0.7,14243221.0,43666753.889758
板材,20240607,21.09,0.71,14435816.0,44136459.696246
板材,20240611,20.71,0.7,14177250.0,43311978.071099
板材,20240612,20.7,0.7,14167784.0,43352342.185244
板材,20240613,20.2,0.68,13829559.0,42307732.14434
板材,20240614,20.59,0.69,14091526.0,43104680.781635
板材,20240617,20.04,0.67,13714176.0,41882797.185949
