name,trade_date,pe,pb,float_mv,total_mv
检测服务,20240102,27.23,2.88,5218749.0,10527990.851379
检测服务,20240103,27.03,2.86,5171298.0,10406164.480163
检测服务,20240104,26.79,2.83,5137263.0,10356519.85713
检测服务,20240105,26.46,2.8,5066608.0,10177440.383954
检测服务,20240108,25.74,2.72,4937277.0,9945741.777704
检测服务,20240109,25.94,2.74,4969857.0,9962102.516776
检测服务,20240110,25.75,2.72,4928033.0,9855434.87785
检测服务,20240111,25.79,2.73,4946345.0,9932945.075555
检测服务,20240112,25.42,2.69,4880503.0,9823694.382071
检测服务,20240115,24.95,2.64,4796922.0,9674722.750667
检测服务,20240116,24.38,2.58,4693983.0,9502855.711168
检测服务,20240117,23.57,2.49,4544293.0,9213684.531799
检测服务,20240118,22.98,2.43,4440720.0,9058261.356283
检测服务,20240119,22.8,2.41,4399908.0,8946979.708373
检测服务,20240122,22.06,2.33,4245069.0,8553977.754184
检测服务,20240123,22.23,2.35,4276460.0,8594793.488008
检测服务,20240124,23.32,2.47,4485689.0,8976702.226567
检测服务,20240125,24.47,2.59,4731435.0,9558718.878213
检测服务,20240126,23.58,2.49,4597814.0,9413696.330039
检测服务,20240129,22.89,2.42,4470621.0,9189762.864091
检测服务,20240130,22.15,2.34,4342072.0,8981073.026765
检测服务,20240131,21.6,2.29,4224389.0,8661506.114488
检测服务,20240201,21.05,2.23,4102431.0,8370674.941028
检测服务,20240202,20.17,2.13,3945902.0,8063098.732948
检测服务,20240205,19.61,2.08,3796068.0,7561165.000149
检测服务,20240206,21.32,2.26,4099291.0,8082231.826522
检测服务,20240207,21.71,2.3,4163956.0,8166852.518643
检测服务,20240208,22.36,2.37,4291263.0,8488435.481533
检测服务,20240219,22.4,2.37,4325518.0,8658321.666826
检测服务,20240220,22.36,2.37,4325280.0,8677484.1657
检测服务,20240221,22.66,2.4,4393946.0,8857998.110011
检测服务,20240222,22.86,2.42,4430818.0,8932359.184433
检测服务,20240223,23.22,2.46,4499442.0,9082687.473684
检测服务,20240226,23.3,2.47,4513230.0,9116996.194679
检测服务,20240227,23.71,2.51,4600624.0,9322761.331519
检测服务,20240228,22.54,2.38,4373191.0,8852748.034372
检测服务,20240229,23.3,2.47,4521474.0,9163491.543594
检测服务,20240301,23.39,2.48,4544902.0,9232018.709763
检测服务,20240304,23.35,2.47,4538861.0,9203153.842759
检测服务,20240305,22.89,2.42,4435751.0,8955439.624107
检测服务,20240306,22.88,2.42,4440718.0,8986453.82198
检测服务,20240307,22.43,2.37,4353555.0,8813433.536416
检测服务,20240308,22.45,2.38,4358870.0,8835626.797858
