name,trade_date,pe,pb,float_mv,total_mv
模拟芯片设计,20240102,130.4,5.68,20276574.0,44307371.699354
模拟芯片设计,20240103,126.57,5.51,19750879.0,43134315.25913
模拟芯片设计,20240104,124.4,5.42,19361510.0,42407063.981713
模拟芯片设计,20240105,123.15,5.36,19043661.0,41654215.6844
模拟芯片设计,20240108,118.65,5.17,18274367.0,40022017.042153
模拟芯片设计,20240109,119.44,5.15,18214532.0,39742415.970382
模拟芯片设计,20240110,117.99,5.08,18001997.0,39243952.853575
模拟芯片设计,20240111,119.24,5.14,18270394.0,39788623.72364
模拟芯片设计,20240112,117.61,5.07,17972388.0,39098639.372589
模拟芯片设计,20240115,118.5,5.11,18001102.0,39290005.872593
模拟芯片设计,20240116,118.05,5.09,17894373.0,39035154.4955
模拟芯片设计,20240117,114.21,4.92,17275970.0,37677798.799107
模拟芯片设计,20240118,115.53,4.98,17395680.0,37933374.236671
模拟芯片设计,20240119,114.77,4.95,17232410.0,37606640.027834
模拟芯片设计,20240122,106.28,4.58,16120960.0,35092171.865334
模拟芯片设计,20240123,105.74,4.56,16187068.0,35318532.590986
模拟芯片设计,20240124,105.99,4.57,16174910.0,35273465.231397
模拟芯片设计,20240125,108.01,4.65,16579827.0,36235618.717971
模拟芯片设计,20240126,106.33,4.58,16090474.0,35071593.134944
模拟芯片设计,20240129,101.99,4.39,15474530.0,33805256.471041
模拟芯片设计,20240130,99.29,4.28,14997942.0,32718122.490863
模拟芯片设计,20240131,97.44,4.17,14466775.0,31721666.636819
模拟芯片设计,20240201,98.03,4.2,14521110.0,31851261.659252
模拟芯片设计,20240202,94.73,4.05,13865450.0,30304871.778351
模拟芯片设计,20240205,91.79,3.93,13073348.0,28423183.228594
模拟芯片设计,20240206,97.65,4.18,14128203.0,30709668.016779
模拟芯片设计,20240207,99.69,4.27,14567903.0,31682888.137967
模拟芯片设计,20240208,104.31,4.46,15413232.0,33596327.664258
模拟芯片设计,20240219,103.66,4.44,15460189.0,33650478.812759
模拟芯片设计,20240220,103.68,4.44,15436126.0,33656142.010436
模拟芯片设计,20240221,105.38,4.51,15586871.0,33874722.350688
模拟芯片设计,20240222,106.36,4.55,15760461.0,34267248.888804
模拟芯片设计,20240223,106.2,4.55,15969440.0,34785661.352142
模拟芯片设计,20240226,107.24,4.59,16148824.0,35234610.171743
模拟芯片设计,20240227,111.05,4.75,16782436.0,36626128.598354
模拟芯片设计,20240228,105.84,4.53,15724718.0,34163671.809798
模拟芯片设计,20240229,112.21,4.8,16659339.0,36279278.794111
模拟芯片设计,20240301,115.02,4.92,17041976.0,37116319.785952
模拟芯片设计,20240304,115.75,4.95,17193356.0,37438810.146197
模拟芯片设计,20240305,115.67,4.95,16958886.0,36893557.804434
模拟芯片设计,20240306,114.53,4.9,16765369.0,36475029.792785
模拟芯片设计,20240307,112.28,4.81,16358653.0,35583456.708875
模拟芯片设计,20240308,114.52,4.9,16743785.0,36449841.857488
模拟芯片设计,20240311,114.91,4.92,16877112.0,36802247.199835
模拟芯片设计,20240312,115.82,4.96,16988834.0,37040235.323278
模拟芯片设计,20240313,115.22,4.93,16953090.0,36961531.844254
模拟芯片设计,20240314,112.38,4.81,16608434.0,36286070.555685
模拟芯片设计,20240315,113.47,4.86,16783797.0,36763783.933219
模拟芯片设计,20240318,116.03,4.97,17347188.0,37876952.377478
模拟芯片设计,20240319,117.23,5.02,17455942.0,38120745.743874
模拟芯片设计,20240320,116.55,4.99,17399928.0,38018323.666479
模拟芯片设计,20240321,114.82,4.91,17138946.0,37457945.278848
模拟芯片设计,20240322,112.36,4.81,16787791.0,36712958.429605
模拟芯片设计,20240325,108.8,4.66,16077948.0,35157990.964906
模拟芯片设计,20240326,108.02,4.62,15836455.0,34612362.89709
模拟芯片设计,20240327,103.18,4.42,15141703.0,33130336.953791
模拟芯片设计,20240328,105.51,4.52,15438076.0,33710039.078127
模拟芯片设计,20240329,106.49,4.56,15734415.0,34301932.626459
模拟芯片设计,20240401,108.77,4.66,15981666.0,34809414.684811
模拟芯片设计,20240402,106.36,4.54,15740729.0,34286051.59812
模拟芯片设计,20240403,105.27,4.49,15584377.0,33881679.774983
模拟芯片设计,20240408,101.47,4.33,15430540.0,32694813.412999
模拟芯片设计,20240409,102.28,4.37,15577292.0,32982220.124581
模拟芯片设计,20240410,99.35,4.24,15098529.0,31960317.079092
模拟芯片设计,20240411,88.73,4.2,14955446.0,31663073.471126
模拟芯片设计,20240412,89.51,4.23,14983164.0,31671155.399722
模拟芯片设计,20240415,89.04,4.21,14784790.0,31244640.166982
模拟芯片设计,20240416,85.99,4.06,14157565.0,29866752.038802
模拟芯片设计,20240417,89.72,4.24,14864748.0,31414188.253321
模拟芯片设计,20240418,88.25,4.17,14686750.0,31162511.947479
模拟芯片设计,20240419,86.32,4.08,14281319.0,30245422.005083
模拟芯片设计,20240422,86.41,4.08,14628384.0,30731831.693999
模拟芯片设计,20240423,87.47,4.13,14857905.0,31179263.314011
模拟芯片设计,20240424,89.51,4.26,15201014.0,31951822.933835
模拟芯片设计,20240425,89.76,4.27,15214927.0,31956760.102681
模拟芯片设计,20240426,87.58,4.34,15717122.0,32682436.285132
模拟芯片设计,20240429,79.41,4.4,16362295.0,33982419.703861
模拟芯片设计,20240430,78.65,4.36,16197748.0,33691847.737766
模拟芯片设计,20240506,124.26,3.37,16336442.0,33957086.164088
模拟芯片设计,20240507,123.65,3.36,16256163.0,33810230.710724
模拟芯片设计,20240508,121.21,3.29,15945976.0,33125326.179253
模拟芯片设计,20240509,123.77,3.36,16282823.0,33830676.640516
模拟芯片设计,20240510,121.9,3.31,16036368.0,33251870.824838
模拟芯片设计,20240513,119.53,3.24,15725239.0,32468561.189097
模拟芯片设计,20240514,119.84,3.25,15765396.0,32570228.619534
模拟芯片设计,20240515,118.05,3.2,15529400.0,32062989.255077
模拟芯片设计,20240516,119.39,3.2,15706588.0,32166912.522869
模拟芯片设计,20240517,121.18,3.24,15942055.0,32629981.126948
模拟芯片设计,20240520,120.67,3.23,15874011.0,32478232.561987
模拟芯片设计,20240521,118.87,3.18,15638203.0,32016982.833885
模拟芯片设计,20240522,120.71,3.2,15879339.0,32356613.139592
模拟芯片设计,20240523,119.24,3.16,15686817.0,31955104.296636
模拟芯片设计,20240524,117.14,3.11,15410706.0,31356690.043689
模拟芯片设计,20240527,119.04,3.16,15660495.0,31803722.724103
模拟芯片设计,20240528,120.11,3.18,15800393.0,31956579.537502
模拟芯片设计,20240529,119.08,3.16,15665616.0,31691355.22507
模拟芯片设计,20240530,123.56,3.27,16254567.0,32778656.810061
模拟芯片设计,20240531,124.5,3.3,16378169.0,33066293.923871
模拟芯片设计,20240603,125.7,3.32,16543288.0,33145797.56081
模拟芯片设计,20240604,124.03,3.28,16323397.0,32642393.07205
模拟芯片设计,20240605,125.05,3.31,16457319.0,32834887.204842
模拟芯片设计,20240606,123.57,3.27,16263035.0,32314550.54369
模拟芯片设计,20240607,122.01,3.22,16057260.0,32013477.836027
模拟芯片设计,20240611,127.29,3.36,16752611.0,33437258.604356
模拟芯片设计,20240612,127.83,3.38,16822403.0,33509325.310189
模拟芯片设计,20240613,130.95,3.46,17233339.0,34461941.041786
模拟芯片设计,20240614,130.11,3.44,17123089.0,34188102.587919
模拟芯片设计,20240617,133.29,3.52,17541274.0,35017663.780309
模拟芯片设计,20240618,134.27,3.55,17671929.0,35279025.131582
模拟芯片设计,20240619,133.16,3.52,17525638.0,35024164.249294
模拟芯片设计,20240620,,3.6,,35862561.825527
模拟芯片设计,20240621,93.17,3.61,17964465.0,35916401.362974
模拟芯片设计,20240624,90.85,3.51,17517444.0,34808103.06138
模拟芯片设计,20240625,86.78,3.35,16731503.0,33283527.86141
模拟芯片设计,20240626,88.35,3.41,17034538.0,33941522.920791
模拟芯片设计,20240627,85.76,3.32,16536921.0,32958911.315593
模拟芯片设计,20240628,84.92,3.29,16441687.0,32789581.965131
模拟芯片设计,20240701,82.45,3.23,16306116.0,31969858.69621
模拟芯片设计,20240702,80.58,3.16,15936067.0,31243780.34924
模拟芯片设计,20240703,80.98,3.17,16013772.0,31393244.202171
模拟芯片设计,20240704,78.73,3.09,15568829.0,30516651.53964
模拟芯片设计,20240705,78.58,3.08,15543834.0,30519010.468266
模拟芯片设计,20240708,77.64,3.04,15357765.0,30051076.612893
模拟芯片设计,20240709,81.33,3.19,16088988.0,31474991.606163
模拟芯片设计,20240710,80.78,3.16,15979097.0,31295374.060632
模拟芯片设计,20240711,82.39,3.23,16297235.0,31910050.207818
模拟芯片设计,20240712,82.01,3.21,16222789.0,31721324.576549
模拟芯片设计,20240715,81.57,3.2,16136735.0,31538432.231321
模拟芯片设计,20240716,83.69,3.28,16556008.0,32367852.743261
模拟芯片设计,20240717,82.37,3.23,16293588.0,31851713.922778
模拟芯片设计,20240718,82.05,3.21,16230831.0,31683355.657665
模拟芯片设计,20240719,86.49,3.39,17111730.0,33270639.059271
模拟芯片设计,20240722,87.96,3.43,17411424.0,33663205.195035
模拟芯片设计,20240723,84.08,3.28,16645036.0,32162205.555368
模拟芯片设计,20240724,81.11,3.17,16117542.0,31154576.169995
模拟芯片设计,20240725,80.43,3.14,15981365.0,30924095.619192
模拟芯片设计,20240726,81.25,3.17,16144210.0,31246451.672732
模拟芯片设计,20240729,79.89,3.12,15874999.0,30658316.316494
模拟芯片设计,20240730,81.34,3.18,16162438.0,31141888.815815
模拟芯片设计,20240731,84.49,3.3,16789794.0,32399683.329688
模拟芯片设计,20240801,85.27,3.33,16943091.0,32679695.062506
模拟芯片设计,20240802,82.22,3.21,16336951.0,31549780.220585
模拟芯片设计,20240805,78.96,3.08,15700002.0,30288013.129889
模拟芯片设计,20240806,79.32,3.1,15771697.0,30514322.42404
模拟芯片设计,20240807,79.17,3.09,15742358.0,30434437.217942
模拟芯片设计,20240808,79.5,3.1,15808507.0,30532902.111337
模拟芯片设计,20240809,79.31,3.1,15770444.0,30466046.132072
模拟芯片设计,20240812,77.96,3.04,15502373.0,29983577.322505
模拟芯片设计,20240813,78.68,3.07,15646032.0,30273021.343812
模拟芯片设计,20240814,77.73,3.03,15456516.0,29849317.7036
模拟芯片设计,20240815,78.55,3.05,15443578.0,29996709.727098
模拟芯片设计,20240816,78.13,3.03,15361381.0,29892758.504212
模拟芯片设计,20240819,77.86,3.03,15308541.0,29818912.862263
模拟芯片设计,20240820,75.77,2.96,15105834.0,29213590.804063
模拟芯片设计,20240821,75.05,2.94,14962864.0,28911402.483979
模拟芯片设计,20240822,74.05,2.9,14763391.0,28519595.944087
模拟芯片设计,20240823,73.51,2.87,14657658.0,28332324.842838
模拟芯片设计,20240826,73.51,2.88,14656202.0,28398832.892937
模拟芯片设计,20240827,71.98,2.82,14351015.0,27812224.428993
模拟芯片设计,20240828,72.13,2.82,14380537.0,27873522.438318
模拟芯片设计,20240829,73.24,2.87,14601927.0,28338040.466351
模拟芯片设计,20240830,76.44,3.0,15242270.0,29480121.39013
模拟芯片设计,20240902,67.46,2.87,14586150.0,28200749.972691
模拟芯片设计,20240903,67.9,2.89,14680342.0,28406695.721881
模拟芯片设计,20240904,67.68,2.88,14634140.0,28314614.000988
模拟芯片设计,20240905,68.42,2.91,14791783.0,28568060.740393
模拟芯片设计,20240906,66.87,2.85,14456971.0,27890091.712243
模拟芯片设计,20240909,66.63,2.84,14406113.0,27761852.288104
模拟芯片设计,20240910,67.22,2.86,14531991.0,28022906.6669
模拟芯片设计,20240911,67.14,2.85,14514616.0,27956883.463345
模拟芯片设计,20240912,66.49,2.82,14375104.0,27703136.71503
模拟芯片设计,20240913,64.91,2.76,14040713.0,27074070.760574
模拟芯片设计,20240918,64.42,2.74,13932969.0,26870630.085138
模拟芯片设计,20240919,65.75,2.79,14220804.0,27364474.647849
模拟芯片设计,20240920,65.41,2.78,14147085.0,27193068.479139
模拟芯片设计,20240923,64.41,2.74,13932244.0,26812971.258428
模拟芯片设计,20240924,67.09,2.85,14510588.0,27918929.249169
模拟芯片设计,20240925,67.64,2.87,14631312.0,28140162.754431
模拟芯片设计,20240926,70.56,3.0,15262772.0,29337135.747767
模拟芯片设计,20240927,76.44,3.25,16533148.0,31714159.968971
模拟芯片设计,20240930,89.05,3.78,19269249.0,36938324.512485
模拟芯片设计,20241008,104.9,4.45,22698474.0,43593335.00293
模拟芯片设计,20241009,103.79,4.4,22457751.0,42864592.406833
模拟芯片设计,20241010,97.35,4.13,21064453.0,40253835.417875
模拟芯片设计,20241011,91.06,3.85,19711063.0,37515839.279957
模拟芯片设计,20241014,95.09,4.02,20584437.0,39174587.496069
模拟芯片设计,20241015,93.24,3.94,20185243.0,38458980.904845
模拟芯片设计,20241016,90.94,3.84,19662512.0,37516621.076107
模拟芯片设计,20241017,91.27,3.86,19735679.0,37635737.608934
模拟芯片设计,20241018,100.93,4.27,21825253.0,41557795.665814
模拟芯片设计,20241021,104.28,4.41,22548164.0,42984495.950871
模拟芯片设计,20241022,103.24,4.38,22315579.0,42493758.167876
模拟芯片设计,20241023,102.11,4.33,22071415.0,42092320.532994
模拟芯片设计,20241024,102.58,4.35,22172225.0,42214008.90883
模拟芯片设计,20241025,104.59,4.43,22606612.0,42920400.762411
模拟芯片设计,20241028,105.41,4.45,22786273.0,43110740.270042
模拟芯片设计,20241029,102.99,4.34,22262629.0,42180428.354131
模拟芯片设计,20241030,101.7,4.29,21983479.0,41501460.857158
模拟芯片设计,20241031,103.7,4.37,22416074.0,42231857.485052
模拟芯片设计,20241101,100.25,4.11,21030772.0,39721779.10824
模拟芯片设计,20241104,101.03,4.14,21194115.0,40198158.313054
模拟芯片设计,20241105,106.29,4.36,22374219.0,42411521.860454
模拟芯片设计,20241106,108.13,4.44,22745963.0,43011202.300871
模拟芯片设计,20241107,109.94,4.51,23127874.0,43823910.176104
模拟芯片设计,20241108,110.19,4.52,23180113.0,44067969.30649
