name,trade_date,pe,pb,float_mv,total_mv
水力发电,20240102,22.31,2.42,21658932.0,98037148.910614
水力发电,20240103,22.44,2.44,21786365.0,98600803.167242
水力发电,20240104,22.49,2.44,21794884.0,98801521.470973
水力发电,20240105,22.41,2.43,21725801.0,98489327.347845
水力发电,20240108,22.26,2.42,21578160.0,97822688.849655
水力发电,20240109,22.17,2.41,21487971.0,97344542.747085
水力发电,20240110,22.02,2.39,21347432.0,96710656.80738
水力发电,20240111,21.82,2.37,21148654.0,95736973.16959
水力发电,20240112,22.15,2.4,21469410.0,97164562.435143
水力发电,20240115,22.12,2.4,21441429.0,97186730.286715
水力发电,20240116,22.14,2.4,21457492.0,97301775.178889
水力发电,20240117,21.9,2.38,21231788.0,96284490.690863
水力发电,20240118,21.83,2.37,21162311.0,95926930.04141
水力发电,20240119,21.91,2.38,21240082.0,96189502.323304
水力发电,20240122,21.52,2.34,20860066.0,94418753.203077
水力发电,20240123,21.6,2.35,20940674.0,94924381.530845
水力发电,20240124,22.17,2.41,21486061.0,97313907.947302
水力发电,20240125,22.37,2.43,21684068.0,98283881.505608
水力发电,20240126,22.59,2.45,21893611.0,99207638.507195
水力发电,20240129,22.76,2.47,22071175.0,99987780.290516
水力发电,20240130,22.59,2.45,21912050.0,99237687.129387
水力发电,20240131,22.82,2.48,22130895.0,100207674.484088
水力发电,20240201,22.6,2.45,21918041.0,99393473.363351
水力发电,20240202,22.69,2.46,22009804.0,100411087.030252
水力发电,20240205,22.95,2.49,22258904.0,101525650.786681
水力发电,20240206,22.95,2.49,22260070.0,101635252.324289
水力发电,20240207,22.95,2.49,22256373.0,101555753.560153
水力发电,20240208,22.89,2.48,22195644.0,101142961.054632
水力发电,20240219,23.56,2.56,22853552.0,104228810.004185
水力发电,20240220,23.82,2.58,23097399.0,105358793.437894
水力发电,20240221,23.61,2.56,22581093.0,104501418.018622
水力发电,20240222,23.83,2.58,22790452.0,105515288.506128
水力发电,20240223,23.95,2.6,22901764.0,106146886.685137
水力发电,20240226,23.32,2.53,22298062.0,103271847.811172
水力发电,20240227,23.35,2.53,22333532.0,103417169.962226
水力发电,20240228,23.57,2.55,22537562.0,104349440.20132
水力发电,20240229,23.39,2.53,22371224.0,103592836.66076
水力发电,20240301,23.36,2.53,22337133.0,103341003.158395
水力发电,20240304,23.87,2.59,22825849.0,105838046.770067
水力发电,20240305,24.25,2.63,23191750.0,107458622.209554
水力发电,20240306,24.22,2.62,23158729.0,107399228.729211
水力发电,20240307,24.55,2.66,23372880.0,107900250.764606
水力发电,20240308,24.57,2.66,23395105.0,108119876.440627
水力发电,20240311,24.44,2.65,23267844.0,107281516.721041
水力发电,20240312,23.6,2.56,22465250.0,103620057.879675
水力发电,20240313,23.67,2.56,22535584.0,103874746.073174
水力发电,20240314,23.58,2.55,22449698.0,103571322.445603
水力发电,20240315,23.62,2.56,22490717.0,103830038.094222
水力发电,20240318,23.61,2.56,22481348.0,103700373.526688
水力发电,20240319,23.61,2.56,22482708.0,103598015.032878
水力发电,20240320,23.88,2.59,22739614.0,104686402.634183
水力发电,20240321,23.78,2.58,22643100.0,104223464.981348
水力发电,20240322,23.82,2.58,22677453.0,104246163.305688
水力发电,20240325,23.8,2.58,22663628.0,104214328.414985
水力发电,20240326,23.73,2.57,22595757.0,104006353.866228
水力发电,20240327,23.76,2.57,22619226.0,104207461.310571
水力发电,20240328,23.79,2.58,22651705.0,104319409.466341
水力发电,20240329,23.94,2.59,22794579.0,105114679.864324
水力发电,20240401,23.6,2.57,22588841.0,104126139.051119
