name,trade_date,pe,pb,float_mv,total_mv
油品石化贸易,20240102,8.43,1.75,4125349.0,7570773.689952
油品石化贸易,20240103,8.41,1.75,4113601.0,7542145.758638
油品石化贸易,20240104,8.62,1.79,4215351.0,7708400.861699
油品石化贸易,20240105,8.53,1.77,4170299.0,7624828.871243
油品石化贸易,20240108,8.48,1.76,4146972.0,7572322.055984
油品石化贸易,20240109,8.66,1.8,4238131.0,7724750.042284
油品石化贸易,20240110,8.58,1.78,4198023.0,7655782.713676
油品石化贸易,20240111,8.43,1.75,4124057.0,7536291.195399
油品石化贸易,20240112,8.42,1.75,4118779.0,7523151.368453
油品石化贸易,20240115,8.57,1.78,4190849.0,7645506.535872
油品石化贸易,20240116,8.53,1.77,4173800.0,7603867.304958
油品石化贸易,20240117,8.37,1.74,4093555.0,7453075.266761
油品石化贸易,20240118,8.3,1.72,4060396.0,7386058.840587
油品石化贸易,20240119,8.1,1.68,3960810.0,7224196.219624
油品石化贸易,20240122,7.72,1.6,3775832.0,6896021.245451
油品石化贸易,20240123,7.84,1.63,3833865.0,6974889.368791
油品石化贸易,20240124,7.95,1.65,3888922.0,7073748.151095
油品石化贸易,20240125,8.39,1.74,4104968.0,7456402.944809
油品石化贸易,20240126,8.37,1.74,4094012.0,7437936.570561
油品石化贸易,20240129,8.0,1.66,3913600.0,7120949.623816
油品石化贸易,20240130,7.86,1.63,3846908.0,6989744.203479
油品石化贸易,20240131,7.81,1.62,3821929.0,6922569.956953
油品石化贸易,20240201,7.59,1.58,3714418.0,6734137.480604
油品石化贸易,20240202,7.28,1.51,3560002.0,6465531.950084
油品石化贸易,20240205,6.91,1.43,3378330.0,6124133.854126
油品石化贸易,20240206,7.13,1.48,3486471.0,6297230.81481
油品石化贸易,20240207,7.11,1.48,3476954.0,6253022.478526
油品石化贸易,20240208,7.31,1.52,3573270.0,6447039.084385
油品石化贸易,20240219,7.62,1.58,3729486.0,6715642.149318
油品石化贸易,20240220,7.7,1.6,3766249.0,6783882.047166
油品石化贸易,20240221,7.78,1.62,3805740.0,6857585.899547
油品石化贸易,20240222,8.27,1.72,4043991.0,7267301.685985
油品石化贸易,20240223,8.27,1.72,4043277.0,7277630.771048
油品石化贸易,20240226,8.23,1.71,4027883.0,7258807.243954
油品石化贸易,20240227,8.28,1.72,4051490.0,7309532.200438
油品石化贸易,20240228,7.91,1.64,3868274.0,6967883.453674
油品石化贸易,20240229,8.04,1.67,3933369.0,7083463.366295
油品石化贸易,20240301,8.28,1.72,4050049.0,7281842.15462
油品石化贸易,20240304,8.64,1.79,4224436.0,7570946.200312
油品石化贸易,20240305,8.68,1.8,4244632.0,7592703.96532
油品石化贸易,20240306,8.66,1.8,4234505.0,7579094.392832
油品石化贸易,20240307,8.9,1.85,4352979.0,7775303.160906
油品石化贸易,20240308,8.96,1.86,4384011.0,7834802.273634
油品石化贸易,20240311,8.7,1.81,4254622.0,7625221.966907
油品石化贸易,20240312,8.42,1.75,4116255.0,7409406.517899
油品石化贸易,20240313,8.42,1.75,4117138.0,7427572.530457
油品石化贸易,20240314,8.59,1.78,4202502.0,7556710.252685
油品石化贸易,20240315,8.41,1.75,4112970.0,7410362.028142
油品石化贸易,20240318,8.24,1.71,4029627.0,7285546.322409
油品石化贸易,20240319,8.2,1.7,4008827.0,7244603.725364
油品石化贸易,20240320,8.29,1.72,4053891.0,7322579.659318
油品石化贸易,20240321,8.31,1.73,4066121.0,7341001.432487
油品石化贸易,20240322,8.24,1.71,4031973.0,7270243.780349
油品石化贸易,20240325,8.3,1.72,4060765.0,7299735.617177
油品石化贸易,20240326,8.06,1.67,3942638.0,7096496.336724
油品石化贸易,20240327,7.88,1.64,3854117.0,6938763.80319
油品石化贸易,20240328,7.87,1.63,3848139.0,6947400.085978
油品石化贸易,20240329,8.09,1.68,3958469.0,7141467.304066
油品石化贸易,20240401,8.02,1.67,3923788.0,7090838.763495
油品石化贸易,20240402,8.22,1.71,4020549.0,7265048.682993
油品石化贸易,20240403,8.41,1.75,4111257.0,7410585.143882
油品石化贸易,20240408,8.14,1.69,3979452.0,7180869.281785
油品石化贸易,20240409,8.07,1.68,3945321.0,7130523.697153
油品石化贸易,20240410,8.13,1.69,3978525.0,7178869.261704
油品石化贸易,20240411,8.29,1.72,4053987.0,7301825.05745
油品石化贸易,20240412,8.4,1.74,4106685.0,7384222.078113
油品石化贸易,20240415,8.41,1.75,4113689.0,7362767.855926
油品石化贸易,20240416,8.14,1.69,3981147.0,7101143.218077
油品石化贸易,20240417,8.32,1.73,4068909.0,7282677.407011
油品石化贸易,20240418,8.25,1.71,4024343.0,7199726.021635
油品石化贸易,20240419,8.43,1.75,4116312.0,7371432.195332
油品石化贸易,20240422,12.07,1.68,3952948.0,7077295.67807
油品石化贸易,20240423,11.77,1.64,3851937.0,6920589.679625
油品石化贸易,20240424,11.71,1.63,3832244.0,6897239.239515
油品石化贸易,20240425,11.62,1.62,3812586.0,6863560.577884
油品石化贸易,20240426,11.51,1.58,3775963.0,6802811.786935
油品石化贸易,20240429,11.79,1.61,3861130.0,6963311.964127
油品石化贸易,20240430,11.66,1.6,3836684.0,6911506.357943
油品石化贸易,20240506,20.18,1.65,3950251.0,7110326.721677
油品石化贸易,20240507,20.3,1.66,3974009.0,7150014.266801
油品石化贸易,20240508,20.39,1.66,3991842.0,7165067.823024
油品石化贸易,20240509,20.67,1.69,4046834.0,7279066.798062
油品石化贸易,20240510,20.68,1.69,4048177.0,7283842.776177
油品石化贸易,20240513,20.36,1.66,3986623.0,7168486.796422
油品石化贸易,20240514,20.2,1.65,3954466.0,7126262.191301
油品石化贸易,20240515,20.34,1.66,3982965.0,7170528.525225
油品石化贸易,20240516,20.85,1.7,4082927.0,7335345.394661
油品石化贸易,20240517,20.96,1.71,4102686.0,7374246.44373
油品石化贸易,20240520,21.27,1.74,4164479.0,7498558.769846
油品石化贸易,20240521,21.17,1.73,4144594.0,7446249.299241
油品石化贸易,20240522,21.05,1.72,4121888.0,7397048.997198
