name,trade_date,pe,pb,float_mv,total_mv
油气及炼化工程,20240102,20.37,1.14,2537559.0,5982936.845549
油气及炼化工程,20240103,20.47,1.15,2549968.0,6022936.396969
油气及炼化工程,20240104,20.6,1.16,2566557.0,6059010.089294
油气及炼化工程,20240105,20.41,1.15,2542862.0,6010326.378137
油气及炼化工程,20240108,19.95,1.12,2484560.0,5873542.265138
油气及炼化工程,20240109,19.95,1.12,2485060.0,5869628.956471
油气及炼化工程,20240110,19.81,1.11,2499679.0,5802511.422913
油气及炼化工程,20240111,19.81,1.11,2500219.0,5800379.664109
油气及炼化工程,20240112,20.06,1.13,2531299.0,5861978.597422
油气及炼化工程,20240115,20.11,1.13,2538457.0,5891525.386669
油气及炼化工程,20240116,19.8,1.11,2499416.0,5803026.835744
油气及炼化工程,20240117,19.33,1.09,2439078.0,5660048.652472
油气及炼化工程,20240118,18.9,1.06,2385868.0,5544318.209281
油气及炼化工程,20240119,18.8,1.06,2372985.0,5525939.510483
油气及炼化工程,20240122,17.69,1.0,2232425.0,5202590.173329
油气及炼化工程,20240123,17.83,1.0,2250317.0,5261853.250673
油气及炼化工程,20240124,18.27,1.03,2306269.0,5410000.924499
油气及炼化工程,20240125,19.35,1.09,2442526.0,5741806.4752
油气及炼化工程,20240126,19.52,1.1,2464067.0,5788101.334071
油气及炼化工程,20240129,19.6,1.1,2473769.0,5853691.776317
油气及炼化工程,20240130,18.87,1.06,2380950.0,5636940.35485
油气及炼化工程,20240131,18.43,1.04,2325354.0,5517997.44535
油气及炼化工程,20240201,17.93,1.01,2262761.0,5364496.593629
油气及炼化工程,20240202,17.28,0.97,2180483.0,5180125.315533
油气及炼化工程,20240205,16.05,0.9,2026138.0,4833872.413423
油气及炼化工程,20240206,16.9,0.95,2133013.0,5122557.321597
油气及炼化工程,20240207,17.65,0.99,2226914.0,5378667.625641
油气及炼化工程,20240208,18.26,1.03,2305093.0,5529679.567491
油气及炼化工程,20240219,18.55,1.04,2341075.0,5601176.195514
油气及炼化工程,20240220,18.53,1.04,2338687.0,5586450.673134
油气及炼化工程,20240221,18.61,1.05,2348994.0,5611065.536321
油气及炼化工程,20240222,18.87,1.06,2382076.0,5683164.208797
油气及炼化工程,20240223,19.2,1.08,2423597.0,5763850.815655
油气及炼化工程,20240226,19.22,1.08,2425298.0,5753716.702141
油气及炼化工程,20240227,19.46,1.09,2455942.0,5824303.543581
油气及炼化工程,20240228,18.87,1.06,2381406.0,5681534.627031
油气及炼化工程,20240229,19.62,1.1,2475612.0,5877549.131332
油气及炼化工程,20240301,19.94,1.12,2516991.0,5968298.331986
油气及炼化工程,20240304,20.0,1.13,2524676.0,5986177.483325
油气及炼化工程,20240305,19.72,1.11,2489342.0,5911228.64131
油气及炼化工程,20240306,20.11,1.13,2538169.0,6015649.710231
油气及炼化工程,20240307,20.15,1.13,2543409.0,6033129.278261
油气及炼化工程,20240308,20.44,1.15,2580122.0,6123393.23664
油气及炼化工程,20240311,20.35,1.14,2568423.0,6090414.002087
油气及炼化工程,20240312,20.13,1.13,2540397.0,6014960.940709
油气及炼化工程,20240313,20.13,1.13,2540359.0,6004463.270023
油气及炼化工程,20240314,20.29,1.14,2560104.0,6046569.434931
油气及炼化工程,20240315,20.85,1.17,2631431.0,6204425.173262
油气及炼化工程,20240318,21.16,1.19,2670948.0,6295005.400667
油气及炼化工程,20240319,23.07,1.12,2523147.0,5954492.971697
油气及炼化工程,20240320,23.13,1.12,2529642.0,5980161.189307
油气及炼化工程,20240321,22.97,1.12,2512278.0,5934108.796789
油气及炼化工程,20240322,22.51,1.09,2461191.0,5815852.245965
油气及炼化工程,20240325,22.93,1.11,2507476.0,5900295.668564
油气及炼化工程,20240326,22.59,1.1,2470129.0,5820844.901525
油气及炼化工程,20240327,22.42,1.09,2451372.0,5782049.815017
油气及炼化工程,20240328,23.16,1.12,2532623.0,5963497.143213
油气及炼化工程,20240329,24.43,1.19,2671365.0,6302023.908969
油气及炼化工程,20240401,24.31,1.18,2658647.0,6258333.633941
油气及炼化工程,20240402,24.76,1.2,2707186.0,6373140.764087
油气及炼化工程,20240403,25.42,1.23,2779729.0,6529244.693397
油气及炼化工程,20240408,25.24,1.22,2760022.0,6468120.74145
油气及炼化工程,20240409,24.28,1.18,2654852.0,6254039.87619
油气及炼化工程,20240410,24.25,1.18,2651668.0,6253396.988127
油气及炼化工程,20240411,24.75,1.2,2706540.0,6389162.743359
油气及炼化工程,20240412,24.91,1.21,2730098.0,6400783.254278
油气及炼化工程,20240415,24.75,1.2,2712277.0,6420616.622512
油气及炼化工程,20240416,23.69,1.15,2596291.0,6200895.636798
油气及炼化工程,20240417,24.25,1.18,2657349.0,6323414.384386
油气及炼化工程,20240418,23.67,1.15,2594740.0,6173764.410563
油气及炼化工程,20240419,25.61,1.25,2806417.0,6614036.838277
油气及炼化工程,20240422,24.93,1.17,2632870.0,6246377.616388
油气及炼化工程,20240423,24.84,1.17,2622631.0,6188746.367905
油气及炼化工程,20240424,24.88,1.17,2626886.0,6199659.067677
油气及炼化工程,20240425,24.88,1.16,2627029.0,6203121.410518
油气及炼化工程,20240426,25.15,1.17,2656132.0,6260023.299859
油气及炼化工程,20240429,25.77,1.16,2629015.0,6211358.881855
油气及炼化工程,20240430,25.8,1.16,2632015.0,6219461.87864
油气及炼化工程,20240506,25.84,1.17,2669868.0,6319329.676569
油气及炼化工程,20240507,25.73,1.17,2658954.0,6278583.357014
油气及炼化工程,20240508,25.19,1.15,2602981.0,6148986.898451
油气及炼化工程,20240509,25.61,1.16,2646863.0,6261729.853738
油气及炼化工程,20240510,25.74,1.17,2660312.0,6292563.624935
油气及炼化工程,20240513,25.61,1.16,2646390.0,6286557.698394
油气及炼化工程,20240514,25.58,1.16,2643910.0,6291718.524998
油气及炼化工程,20240515,25.4,1.15,2624871.0,6236075.390657
油气及炼化工程,20240516,25.27,1.15,2611944.0,6206425.762154
油气及炼化工程,20240517,25.29,1.15,2614000.0,6213498.841123
油气及炼化工程,20240520,26.25,1.19,2712287.0,6426311.007864
油气及炼化工程,20240521,25.59,1.16,2644073.0,6277687.642407
油气及炼化工程,20240522,25.19,1.15,2603643.0,6184964.570453
油气及炼化工程,20240523,24.65,1.12,2547249.0,6050553.217945
油气及炼化工程,20240524,24.58,1.12,2540520.0,6038087.891826
油气及炼化工程,20240527,25.02,1.14,2585437.0,6142097.455459
油气及炼化工程,20240528,25.09,1.14,2593193.0,6143712.004361
油气及炼化工程,20240529,25.27,1.15,2611723.0,6184252.844566
油气及炼化工程,20240530,24.64,1.12,2546716.0,6047718.374357
油气及炼化工程,20240531,24.49,1.11,2530877.0,6000763.101618
油气及炼化工程,20240603,24.16,1.1,2496819.0,5926343.048739
油气及炼化工程,20240604,24.16,1.1,2496863.0,5948118.629476
油气及炼化工程,20240605,23.59,1.07,2437636.0,5808291.730623
油气及炼化工程,20240606,23.31,1.06,2408868.0,5749445.423425
油气及炼化工程,20240607,23.56,1.07,2435155.0,5810067.491745
油气及炼化工程,20240611,23.39,1.06,2417123.0,5749359.768196
油气及炼化工程,20240612,23.74,1.08,2453545.0,5829548.136359
油气及炼化工程,20240613,23.43,1.07,2421822.0,5756001.64006
油气及炼化工程,20240614,23.6,1.07,2438474.0,5793904.556774
油气及炼化工程,20240617,23.33,1.06,2411006.0,5732935.620273
油气及炼化工程,20240618,23.29,1.06,2407093.0,5731399.536701
油气及炼化工程,20240619,23.32,1.06,2409478.0,5740816.682579
油气及炼化工程,20240620,336.43,1.05,190390.0,5681045.720595
油气及炼化工程,20240621,23.04,1.05,2380785.0,5692949.769242
油气及炼化工程,20240624,22.63,1.03,2338783.0,5593097.747709
油气及炼化工程,20240625,22.73,1.03,2348554.0,5613173.58208
油气及炼化工程,20240626,22.9,1.04,2366565.0,5650764.340388
油气及炼化工程,20240627,22.46,1.02,2321480.0,5549067.898346
油气及炼化工程,20240628,22.96,1.04,2373139.0,5670231.422958
油气及炼化工程,20240701,23.62,1.07,2441415.0,5829782.963943
油气及炼化工程,20240702,23.73,1.08,2452796.0,5849105.030364
油气及炼化工程,20240703,23.55,1.07,2433596.0,5809393.821973
油气及炼化工程,20240704,23.17,1.05,2394534.0,5724427.910845
油气及炼化工程,20240705,23.26,1.06,2403324.0,5740263.601515
油气及炼化工程,20240708,22.76,1.03,2352450.0,5630886.839188
油气及炼化工程,20240709,22.89,1.04,2365464.0,5650414.260492
油气及炼化工程,20240710,22.43,1.02,2318229.0,5537609.746223
油气及炼化工程,20240711,22.91,1.04,2367157.0,5648691.489243
油气及炼化工程,20240712,22.65,1.03,2340493.0,5602882.161002
油气及炼化工程,20240715,22.22,1.01,2296073.0,5512729.581635
油气及炼化工程,20240716,22.37,1.02,2311283.0,5547228.249109
油气及炼化工程,20240717,21.77,0.99,2250246.0,5413173.034693
油气及炼化工程,20240718,22.05,1.0,2279107.0,5481098.016796
油气及炼化工程,20240719,21.98,1.0,2271184.0,5443360.252533
油气及炼化工程,20240722,21.7,0.99,2242947.0,5379485.659801
油气及炼化工程,20240723,21.42,0.97,2213751.0,5305294.820715
油气及炼化工程,20240724,21.4,0.97,2211077.0,5298559.875599
油气及炼化工程,20240725,21.15,0.96,2186136.0,5243075.84272
油气及炼化工程,20240726,21.39,0.97,2210020.0,5305338.200719
油气及炼化工程,20240729,21.57,0.98,2228765.0,5349910.263213
油气及炼化工程,20240730,21.34,0.97,2205443.0,5301393.2134
油气及炼化工程,20240731,21.98,1.0,2271113.0,5460031.492525
油气及炼化工程,20240801,22.14,1.01,2287644.0,5507375.81011
油气及炼化工程,20240802,21.82,0.99,2255228.0,5433420.150692
油气及炼化工程,20240805,21.6,0.98,2232394.0,5369824.238021
油气及炼化工程,20240806,21.59,0.98,2230800.0,5361119.114205
油气及炼化工程,20240807,21.44,0.98,2215987.0,5340438.255202
油气及炼化工程,20240808,21.68,0.99,2240215.0,5404307.722661
油气及炼化工程,20240809,21.87,1.0,2260443.0,5458641.790218
油气及炼化工程,20240812,22.14,1.01,2287815.0,5516738.295178
油气及炼化工程,20240813,22.52,1.03,2327726.0,5616195.836516
油气及炼化工程,20240814,22.2,1.01,2293744.0,5539154.786389
油气及炼化工程,20240815,22.23,1.01,2297777.0,5559770.191992
油气及炼化工程,20240816,22.02,1.0,2275370.0,5509398.281852
油气及炼化工程,20240819,22.52,1.02,2327287.0,5644713.748348
油气及炼化工程,20240820,22.11,1.0,2285168.0,5543840.532077
油气及炼化工程,20240821,21.8,0.99,2252347.0,5460955.48543
油气及炼化工程,20240822,21.36,0.97,2207517.0,5363631.992199
油气及炼化工程,20240823,21.24,0.96,2195122.0,5316771.08344
油气及炼化工程,20240826,21.51,0.98,2222914.0,5388420.504316
油气及炼化工程,20240827,21.43,0.97,2214723.0,5378460.79907
油气及炼化工程,20240828,21.46,0.97,2217820.0,5371679.078828
油气及炼化工程,20240829,21.35,0.97,2205909.0,5337139.306229
油气及炼化工程,20240830,21.74,0.99,2246482.0,5425796.480597
油气及炼化工程,20240902,20.65,0.97,2200083.0,5338483.242262
油气及炼化工程,20240903,20.47,0.96,2181224.0,5276413.976879
油气及炼化工程,20240904,19.97,0.94,2127907.0,5145041.831889
油气及炼化工程,20240905,19.94,0.93,2124942.0,5130473.022994
油气及炼化工程,20240906,19.7,0.92,2098565.0,5069683.84669
油气及炼化工程,20240909,19.46,0.91,2073080.0,5002740.040386
油气及炼化工程,20240910,19.47,0.91,2074245.0,4997173.832427
油气及炼化工程,20240911,19.13,0.9,2037785.0,4900292.95303
油气及炼化工程,20240912,19.29,0.9,2054940.0,4929208.333602
油气及炼化工程,20240913,19.22,0.9,2047567.0,4905416.294956
油气及炼化工程,20240918,19.08,0.89,2033096.0,4873592.148473
油气及炼化工程,20240919,19.25,0.9,2051188.0,4913190.42872
油气及炼化工程,20240920,19.16,0.9,2041143.0,4895799.937062
油气及炼化工程,20240923,19.2,0.9,2045793.0,4913288.863274
油气及炼化工程,20240924,20.1,0.94,2141588.0,5149605.036123
油气及炼化工程,20240925,20.37,0.95,2170401.0,5238588.44333
油气及炼化工程,20240926,20.76,0.97,2211984.0,5350816.136962
油气及炼化工程,20240927,21.49,1.01,2289753.0,5521203.082831
油气及炼化工程,20240930,23.34,1.09,2486938.0,5989245.071189
油气及炼化工程,20241008,24.99,1.17,2663094.0,6363932.102947
油气及炼化工程,20241009,22.67,1.06,2415840.0,5807633.697919
油气及炼化工程,20241010,23.45,1.1,2498137.0,6016457.448498
油气及炼化工程,20241011,23.02,1.08,2452777.0,5902466.871527
油气及炼化工程,20241014,23.15,1.08,2466690.0,5921483.046506
油气及炼化工程,20241015,22.27,1.04,2372855.0,5703588.126861
油气及炼化工程,20241016,22.23,1.04,2368577.0,5704089.503372
油气及炼化工程,20241017,21.83,1.02,2326069.0,5597395.207332
油气及炼化工程,20241018,22.31,1.04,2377039.0,5712559.924657
油气及炼化工程,20241021,22.3,1.04,2376218.0,5693069.418573
油气及炼化工程,20241022,22.7,1.06,2418226.0,5798063.730108
油气及炼化工程,20241023,22.77,1.07,2426493.0,5822183.023304
油气及炼化工程,20241024,22.62,1.06,2410533.0,5777401.001369
油气及炼化工程,20241025,22.74,1.06,2422877.0,5804365.239059
油气及炼化工程,20241028,23.2,1.07,2472285.0,5934564.805073
油气及炼化工程,20241029,22.47,1.04,2393923.0,5757682.123362
油气及炼化工程,20241030,22.46,1.04,2392624.0,5748690.264931
油气及炼化工程,20241031,22.62,1.05,2410359.0,5804347.163157
油气及炼化工程,20241101,22.59,1.06,2422774.0,5839869.246472
油气及炼化工程,20241104,23.03,1.08,2469697.0,5958046.548627
油气及炼化工程,20241105,23.4,1.09,2509091.0,6044657.500584
油气及炼化工程,20241106,23.81,1.11,2553318.0,6118086.923453
油气及炼化工程,20241107,24.16,1.13,2590877.0,6222981.423897
油气及炼化工程,20241108,23.62,1.1,2533373.0,6076900.181
油气及炼化工程,20241111,23.42,1.09,2511122.0,6019745.17279
油气及炼化工程,20241112,23.18,1.08,2485473.0,5951837.727355
油气及炼化工程,20241113,23.34,1.09,2503539.0,6015640.315145
油气及炼化工程,20241114,22.98,1.07,2463936.0,5916242.871752
油气及炼化工程,20241115,22.87,1.07,2452701.0,5885717.002631
油气及炼化工程,20241118,22.92,1.07,2458423.0,5955733.893691
油气及炼化工程,20241119,23.08,1.08,2475266.0,5981728.181105
油气及炼化工程,20241120,23.52,1.1,2522737.0,6103168.570956
油气及炼化工程,20241121,23.26,1.09,2494419.0,6017718.223733
油气及炼化工程,20241122,22.57,1.05,2420020.0,5826955.269134
油气及炼化工程,20241125,22.75,1.06,2439362.0,5859717.235812
油气及炼化工程,20241126,22.53,1.05,2415681.0,5817293.579059
油气及炼化工程,20241127,22.57,1.05,2420655.0,5829003.294082
油气及炼化工程,20241128,22.54,1.05,2417445.0,5830332.035411
油气及炼化工程,20241129,22.73,1.06,2437819.0,5872464.220897
油气及炼化工程,20241202,23.23,1.09,2491624.0,6010291.600284
油气及炼化工程,20241203,23.36,1.09,2504957.0,6034380.236363
油气及炼化工程,20241204,23.45,1.1,2514349.0,6075635.790204
油气及炼化工程,20241205,23.15,1.08,2482148.0,5975679.556666
油气及炼化工程,20241206,23.63,1.1,2534170.0,6106237.028125
油气及炼化工程,20241209,23.68,1.11,2539351.0,6122601.493598
油气及炼化工程,20241210,23.45,1.1,2514689.0,6059860.156659
油气及炼化工程,20241211,23.79,1.11,2551821.0,6145374.021138
油气及炼化工程,20241212,23.84,1.11,2556754.0,6147262.855534
油气及炼化工程,20241213,23.1,1.08,2477677.0,5946427.738539
油气及炼化工程,20241216,23.19,1.08,2487107.0,5977308.174324
油气及炼化工程,20241217,22.66,1.06,2430551.0,5878823.439708
油气及炼化工程,20241218,22.75,1.06,2439792.0,5906501.203672
