name,trade_date,pe,pb,float_mv,total_mv
涂料油墨,20240102,291.05,3.86,2476998.0,5341730.678976
涂料油墨,20240103,289.99,3.84,2465968.0,5312454.909023
涂料油墨,20240104,289.82,3.84,2460766.0,5300155.786793
涂料油墨,20240105,284.61,3.77,2421142.0,5223922.668705
涂料油墨,20240108,279.19,3.7,2378284.0,5123353.0766
涂料油墨,20240109,277.76,3.68,2368268.0,5096946.38779
涂料油墨,20240110,267.06,3.54,2296886.0,4990395.458379
涂料油墨,20240111,272.73,3.61,2342627.0,5077098.280292
涂料油墨,20240112,270.46,3.58,2323576.0,5035901.148295
涂料油墨,20240115,269.62,3.57,2313464.0,5002329.74905
涂料油墨,20240116,267.95,3.55,2299153.0,4974399.00735
涂料油墨,20240117,261.46,3.47,2234208.0,4821750.935083
涂料油墨,20240118,253.3,3.36,2173379.0,4710437.198123
涂料油墨,20240119,246.83,3.27,2120252.0,4602802.380084
涂料油墨,20240122,233.4,3.09,1999858.0,4329374.818853
涂料油墨,20240123,231.15,3.06,1968999.0,4272705.005307
涂料油墨,20240124,230.91,3.06,1969271.0,4270887.539399
涂料油墨,20240125,242.67,3.22,2067274.0,4476902.490723
涂料油墨,20240126,240.18,3.18,2047306.0,4431777.969616
涂料油墨,20240129,231.32,3.07,1967918.0,4274218.02626
涂料油墨,20240130,220.72,2.93,1876977.0,4068682.695659
涂料油墨,20240131,211.35,2.8,1784303.0,3852597.406821
涂料油墨,20240201,211.87,2.81,1787309.0,3850427.525579
涂料油墨,20240202,203.09,2.69,1706429.0,3661143.269041
涂料油墨,20240205,180.08,2.39,1505062.0,3229328.231144
涂料油墨,20240206,173.94,2.31,1468160.0,3179754.051114
涂料油墨,20240207,150.71,2.18,1400323.0,3040035.641828
涂料油墨,20240208,165.15,2.39,1561011.0,3407447.468676
涂料油墨,20240219,171.38,2.48,1611609.0,3522546.234317
涂料油墨,20240220,175.08,2.53,1637820.0,3575299.515697
涂料油墨,20240221,181.54,2.62,1693271.0,3693304.597214
涂料油墨,20240222,186.81,2.7,1738079.0,3796340.556837
涂料油墨,20240223,193.46,2.8,1796746.0,3920150.500844
涂料油墨,20240226,197.4,2.85,1836403.0,3994205.865093
涂料油墨,20240227,204.46,2.95,1898944.0,4120807.040196
涂料油墨,20240228,186.26,2.69,1729061.0,3758180.705611
涂料油墨,20240229,195.17,2.82,1801891.0,3907353.861237
涂料油墨,20240301,195.47,2.82,1807009.0,3928929.839772
涂料油墨,20240304,196.91,2.85,1817408.0,3934847.884149
涂料油墨,20240305,192.24,2.78,1785117.0,3868073.937255
涂料油墨,20240306,196.55,2.84,1818153.0,3931469.991076
涂料油墨,20240307,194.77,2.81,1800006.0,3886573.757454
涂料油墨,20240308,198.12,2.86,1826153.0,3936168.715416
涂料油墨,20240311,202.28,2.92,1868533.0,4022882.766414
涂料油墨,20240312,208.39,3.01,1916004.0,4119309.232603
涂料油墨,20240313,208.31,3.01,1912729.0,4111348.6675
涂料油墨,20240314,206.27,2.98,1897239.0,4076264.450462
涂料油墨,20240315,210.48,3.04,1933794.0,4150961.213166
涂料油墨,20240318,214.39,3.1,1979512.0,4259900.567451
涂料油墨,20240319,215.97,3.12,1991371.0,4274173.719716
涂料油墨,20240320,220.74,3.19,2025943.0,4336775.911383
涂料油墨,20240321,219.64,3.17,2015311.0,4314187.92841
涂料油墨,20240322,216.06,3.12,1977641.0,4223101.059241
涂料油墨,20240325,206.75,2.99,1906607.0,4088212.946878
涂料油墨,20240326,207.69,3.0,1910751.0,4093197.957434
涂料油墨,20240327,199.47,2.88,1836868.0,3934364.459623
涂料油墨,20240328,162.23,2.93,1880096.0,4028371.254283
涂料油墨,20240329,163.1,2.95,1894216.0,4076619.38111
涂料油墨,20240401,168.43,3.04,1949939.0,4184041.664438
涂料油墨,20240402,175.38,3.17,2025176.0,4353566.346872
涂料油墨,20240403,175.32,3.17,2013788.0,4319567.167681
涂料油墨,20240408,168.42,3.04,1930496.0,4118915.153268
涂料油墨,20240409,148.11,3.11,1978709.0,4225532.233556
涂料油墨,20240410,142.72,3.0,1913415.0,4086947.400509
涂料油墨,20240411,141.54,2.97,1898504.0,4058664.38776
涂料油墨,20240412,140.0,2.94,1880346.0,4017597.453737
涂料油墨,20240415,130.91,2.75,1753081.0,3755667.520051
涂料油墨,20240416,120.03,2.51,1619880.0,3482154.049918
涂料油墨,20240417,130.47,2.73,1750042.0,3755378.193694
涂料油墨,20240418,127.15,2.66,1710087.0,3682103.157294
涂料油墨,20240419,126.81,2.66,1708528.0,3685741.819952
涂料油墨,20240422,124.77,2.61,1682378.0,3636435.296154
涂料油墨,20240423,91.37,2.69,1727258.0,3717235.039243
涂料油墨,20240424,93.1,2.74,1761587.0,3789555.019721
涂料油墨,20240425,94.58,2.78,1794391.0,3867516.367548
涂料油墨,20240426,92.94,2.82,1816478.0,3918768.452308
涂料油墨,20240429,89.53,2.93,1902463.0,4094237.648633
涂料油墨,20240430,85.76,2.89,1885292.0,4057572.654816
涂料油墨,20240506,101.09,2.95,2014119.0,4333533.465949
涂料油墨,20240507,105.62,3.08,2120227.0,4573371.972521
涂料油墨,20240508,107.81,3.14,2175082.0,4697033.001412
涂料油墨,20240509,107.87,3.15,2143747.0,4702036.802763
涂料油墨,20240510,106.23,3.1,2097546.0,4593851.82038
涂料油墨,20240513,102.01,2.98,2019071.0,4432932.217356
涂料油墨,20240514,100.89,2.95,1995367.0,4380703.053045
涂料油墨,20240515,102.16,2.99,2020488.0,4436170.235908
涂料油墨,20240516,104.37,3.05,2061362.0,4526521.028884
涂料油墨,20240517,104.11,3.04,2057515.0,4544517.156339
涂料油墨,20240520,105.74,3.09,2083488.0,4602082.002083
涂料油墨,20240521,102.41,2.99,2024752.0,4476932.861138
