name,trade_date,pe,pb,float_mv,total_mv
消费电子零部件及组装,20240102,31.75,2.93,55892535.0,131841846.61517
消费电子零部件及组装,20240103,30.84,2.85,54321449.0,128166578.719289
消费电子零部件及组装,20240104,30.5,2.82,53733052.0,126465256.300446
消费电子零部件及组装,20240105,30.12,2.78,53054202.0,124727786.523516
消费电子零部件及组装,20240108,29.2,2.7,51451925.0,121368881.115531
消费电子零部件及组装,20240109,29.16,2.69,51418643.0,121440736.278986
消费电子零部件及组装,20240110,28.84,2.65,50317215.0,118937866.445553
消费电子零部件及组装,20240111,29.31,2.69,51163081.0,121049093.215542
消费电子零部件及组装,20240112,28.68,2.64,50074392.0,118369318.274366
消费电子零部件及组装,20240115,28.75,2.64,50192771.0,118549070.054756
消费电子零部件及组装,20240116,28.57,2.63,49929244.0,118177399.632044
消费电子零部件及组装,20240117,27.37,2.52,47846052.0,113900482.479618
消费电子零部件及组装,20240118,27.72,2.55,48445173.0,116422090.635236
消费电子零部件及组装,20240119,27.77,2.55,48464349.0,116899121.133499
消费电子零部件及组装,20240122,26.8,2.46,46705817.0,113474645.278769
消费电子零部件及组装,20240123,27.06,2.49,47212036.0,114756569.883393
消费电子零部件及组装,20240124,26.96,2.48,47050350.0,114545508.254975
消费电子零部件及组装,20240125,27.62,2.54,48250016.0,117756227.02377
消费电子零部件及组装,20240126,26.74,2.46,46714541.0,113778927.316598
消费电子零部件及组装,20240129,25.77,2.37,45053313.0,109450301.332177
消费电子零部件及组装,20240130,25.08,2.31,43829015.0,106603763.321419
消费电子零部件及组装,20240131,23.97,2.2,41860768.0,102424727.406003
消费电子零部件及组装,20240201,24.29,2.23,42374901.0,105138384.704695
消费电子零部件及组装,20240202,23.44,2.16,40848387.0,101003509.39602
消费电子零部件及组装,20240205,23.08,2.12,40031084.0,100062727.818687
消费电子零部件及组装,20240206,24.32,2.24,42134592.0,105374659.396342
消费电子零部件及组装,20240207,24.51,2.26,42347779.0,105517748.944327
消费电子零部件及组装,20240208,25.53,2.35,44247895.0,109949567.917374
消费电子零部件及组装,20240219,25.79,2.37,44794200.0,113639710.163144
消费电子零部件及组装,20240220,26.02,2.4,45213996.0,116081252.263875
消费电子零部件及组装,20240221,26.09,2.4,45341942.0,115155025.639046
消费电子零部件及组装,20240222,26.64,2.45,46286270.0,117919768.957043
消费电子零部件及组装,20240223,26.91,2.48,46835648.0,119286593.304498
消费电子零部件及组装,20240226,27.1,2.49,47171699.0,119277273.951595
消费电子零部件及组装,20240227,28.18,2.59,49038041.0,125288314.871462
消费电子零部件及组装,20240228,26.57,2.44,46134559.0,117793937.690083
消费电子零部件及组装,20240229,27.55,2.54,47859599.0,122062883.798836
消费电子零部件及组装,20240301,28.63,2.63,49724130.0,127861447.302601
消费电子零部件及组装,20240304,29.2,2.69,50693069.0,132874502.725476
消费电子零部件及组装,20240305,29.27,2.69,50804355.0,134184297.534199
消费电子零部件及组装,20240306,29.27,2.69,50906977.0,133299814.748054
消费电子零部件及组装,20240307,28.69,2.64,49889907.0,132126990.3493
消费电子零部件及组装,20240308,29.96,2.75,52029470.0,141378064.612103
消费电子零部件及组装,20240311,30.65,2.81,53196505.0,144773793.603958
消费电子零部件及组装,20240312,30.52,2.8,53020087.0,143016746.566572
消费电子零部件及组装,20240313,30.41,2.79,52899239.0,142091398.59349
消费电子零部件及组装,20240314,29.84,2.7,51492217.0,137098316.274437
消费电子零部件及组装,20240315,30.27,2.74,52270984.0,138947852.088879
消费电子零部件及组装,20240318,31.24,2.83,53978851.0,145332326.741093
消费电子零部件及组装,20240319,31.77,2.87,54740995.0,147472238.916226
消费电子零部件及组装,20240320,31.85,2.87,54878089.0,147192654.741462
消费电子零部件及组装,20240321,31.78,2.87,54763322.0,146894603.379019
消费电子零部件及组装,20240322,32.1,2.9,55249725.0,146664252.284408
消费电子零部件及组装,20240325,30.99,2.8,53288871.0,141954861.583552
消费电子零部件及组装,20240326,30.97,2.8,53319472.0,141879681.550436
消费电子零部件及组装,20240327,29.35,2.65,50561386.0,134556653.518072
消费电子零部件及组装,20240328,28.88,2.73,52054473.0,139467828.488093
消费电子零部件及组装,20240329,28.98,2.74,52395580.0,139759402.766264
消费电子零部件及组装,20240401,29.64,2.79,53248407.0,141860672.56285
消费电子零部件及组装,20240402,29.1,2.72,52132595.0,139270148.730297
消费电子零部件及组装,20240403,28.62,2.68,51320968.0,136146343.10728
消费电子零部件及组装,20240408,27.97,2.62,50109625.0,133866072.966807
消费电子零部件及组装,20240409,28.34,2.66,50766595.0,134826213.27384
消费电子零部件及组装,20240410,27.41,2.57,49120753.0,130389716.603797
消费电子零部件及组装,20240411,27.2,2.56,48931863.0,130280473.844315
消费电子零部件及组装,20240412,27.52,2.59,49466751.0,132760779.935
