name,trade_date,pe,pb,float_mv,total_mv
渔业,20240102,156.2,1.97,1438680.0,2175922.869276
渔业,20240103,152.43,1.92,1403926.0,2122194.998674
渔业,20240104,151.28,1.91,1393393.0,2105830.344391
渔业,20240105,147.85,1.86,1361764.0,2059485.493508
渔业,20240108,145.35,1.83,1338760.0,2024082.614388
渔业,20240109,146.66,1.85,1350859.0,2043524.61945
渔业,20240110,147.98,1.86,1362980.0,2059084.195638
渔业,20240111,150.1,1.89,1382473.0,2087768.640917
渔业,20240112,147.72,1.86,1360588.0,2057545.295711
渔业,20240115,147.21,1.85,1355846.0,2050622.16653
渔业,20240116,146.61,1.85,1350382.0,2041184.928228
渔业,20240117,141.7,1.78,1305157.0,1972485.913939
渔业,20240118,139.71,1.76,1286758.0,1943247.959534
渔业,20240119,139.62,1.76,1285976.0,1942744.91605
渔业,20240122,130.67,1.65,1203496.0,1818616.315502
渔业,20240123,130.55,1.64,1202469.0,1813725.259251
渔业,20240124,136.2,1.72,1254465.0,1902282.320508
渔业,20240125,141.68,1.78,1304916.0,1993089.893571
渔业,20240126,141.99,1.79,1307839.0,1996070.504586
渔业,20240129,139.23,1.75,1282397.0,1963574.545754
渔业,20240130,135.63,1.71,1249212.0,1913923.688995
渔业,20240131,129.43,1.63,1192091.0,1842083.676842
渔业,20240201,127.75,1.61,1176652.0,1814228.172957
渔业,20240202,120.79,1.52,1112515.0,1701641.001809
渔业,20240205,109.19,1.38,1005696.0,1534179.44703
渔业,20240206,107.75,1.36,992458.0,1492843.366739
渔业,20240207,102.04,1.29,939876.0,1401055.479108
渔业,20240208,109.15,1.37,1005298.0,1494129.668706
渔业,20240219,112.03,1.41,1031845.0,1537925.384418
渔业,20240220,111.96,1.41,1031229.0,1538075.609327
渔业,20240221,114.91,1.45,1058383.0,1579264.253416
渔业,20240222,117.91,1.49,1086012.0,1624428.43701
渔业,20240223,120.01,1.51,1105361.0,1656131.993223
渔业,20240226,121.9,1.54,1122794.0,1682883.245026
渔业,20240227,125.58,1.58,1156628.0,1735680.088616
渔业,20240228,116.61,1.47,1074043.0,1605781.363323
渔业,20240229,119.84,1.51,1103795.0,1652528.903215
渔业,20240301,119.95,1.51,1104838.0,1652436.232895
渔业,20240304,118.01,1.49,1086903.0,1626667.934793
渔业,20240305,115.26,1.45,1061579.0,1587560.948007
渔业,20240306,116.13,1.46,1069641.0,1600547.239354
渔业,20240307,115.84,1.46,1066992.0,1597068.719894
渔业,20240308,115.34,1.45,1062378.0,1591048.271019
渔业,20240311,118.58,1.49,1092181.0,1634917.703804
渔业,20240312,121.26,1.53,1116865.0,1672467.45746
渔业,20240313,120.14,1.51,1106542.0,1657479.270263
渔业,20240314,119.32,1.5,1099005.0,1646319.59657
渔业,20240315,121.2,1.53,1116278.0,1671404.990212
渔业,20240318,123.04,1.55,1133253.0,1697304.093116
渔业,20240319,124.81,1.57,1149579.0,1720414.5035
渔业,20240320,128.74,1.62,1185753.0,1773469.815215
渔业,20240321,128.42,1.62,1182827.0,1772312.472603
渔业,20240322,128.71,1.62,1185507.0,1770960.389098
渔业,20240325,124.15,1.56,1143504.0,1706518.114382
渔业,20240326,132.44,1.67,1219874.0,1816554.203174
渔业,20240327,128.99,1.62,1188112.0,1765199.336766
渔业,20240328,132.19,1.68,1217525.0,1805943.301718
渔业,20240329,103.53,1.72,1257513.0,1872887.586065
渔业,20240401,109.44,1.82,1329245.0,1982399.495261
渔业,20240402,106.49,1.77,1293506.0,1945076.171293
渔业,20240403,111.94,1.86,1359682.0,2039153.459774
渔业,20240408,109.24,1.82,1326931.0,1986923.178988
渔业,20240409,106.8,1.78,1297288.0,1945145.812686
渔业,20240410,106.36,1.77,1291938.0,1934305.061901
渔业,20240411,105.9,1.76,1286338.0,1919588.067076
渔业,20240412,101.89,1.69,1237574.0,1846567.870599
渔业,20240415,93.8,1.56,1139370.0,1698339.535994
渔业,20240416,85.36,1.42,1036775.0,1542666.887838
渔业,20240417,89.58,1.49,1088119.0,1626462.560007
渔业,20240418,91.63,1.53,1113013.0,1666808.280746
渔业,20240419,91.09,1.52,1106433.0,1653828.856112
渔业,20240422,88.14,1.47,1070535.0,1600124.167002
渔业,20240423,87.0,1.45,1056690.0,1583054.00675
渔业,20240424,88.27,1.47,1072218.0,1606860.114714
渔业,20240425,85.24,1.47,1069341.0,1606358.483513
渔业,20240426,85.04,1.46,1066744.0,1602409.255664
渔业,20240429,95.11,1.56,1105275.0,1656293.486049
渔业,20240430,93.35,1.54,1084841.0,1628821.535892
渔业,20240506,94.46,1.58,1116542.0,1674344.346557
渔业,20240507,94.27,1.58,1114297.0,1672734.357066
渔业,20240508,94.45,1.58,1116350.0,1674677.504383
渔业,20240509,95.34,1.6,1126879.0,1689799.624656
渔业,20240510,94.0,1.57,1111060.0,1667092.462079
渔业,20240513,90.79,1.52,1073074.0,1612917.518441
渔业,20240514,92.78,1.55,1096618.0,1649527.62655
渔业,20240515,91.57,1.53,1082280.0,1629730.493139
渔业,20240516,93.53,1.57,1105542.0,1662875.282063
渔业,20240517,93.93,1.57,1110212.0,1670094.712233
渔业,20240520,93.82,1.57,1108901.0,1668786.689378
渔业,20240521,92.59,1.55,1094438.0,1645113.821895
渔业,20240522,92.56,1.55,1094026.0,1643792.684958
渔业,20240523,90.0,1.51,1063760.0,1598407.748292
渔业,20240524,90.68,1.52,1071833.0,1612754.735075
渔业,20240527,89.93,1.5,1062924.0,1597817.364469
渔业,20240528,87.85,1.47,1038311.0,1560644.624096
渔业,20240529,87.47,1.46,1033883.0,1555138.33024
渔业,20240530,86.27,1.44,1019745.0,1533478.471536
渔业,20240531,86.78,1.45,1025659.0,1542743.798248
渔业,20240603,85.57,1.43,1011434.0,1527822.475448
渔业,20240604,82.9,1.39,979888.0,1479551.742491
渔业,20240605,80.04,1.34,946077.0,1426304.758491
渔业,20240606,74.22,1.24,877261.0,1326979.081154
渔业,20240607,77.83,1.3,919985.0,1394239.116182
渔业,20240611,77.45,1.3,915411.0,1384870.439331
渔业,20240612,79.07,1.32,934622.0,1411670.343265
渔业,20240613,77.07,1.29,910988.0,1377808.244185
渔业,20240614,77.06,1.29,910790.0,1378373.386786
渔业,20240617,75.97,1.27,897938.0,1357706.500557
渔业,20240618,76.83,1.29,908125.0,1372475.754686
渔业,20240619,76.05,1.27,898938.0,1360777.619991
渔业,20240620,2431.27,1.23,179448.0,1318790.687181
渔业,20240621,73.34,1.23,866810.0,1316053.049722
渔业,20240624,70.62,1.18,834739.0,1268965.67316
渔业,20240625,70.92,1.19,838263.0,1275146.547363
渔业,20240626,72.87,1.22,861318.0,1310706.211613
渔业,20240627,71.4,1.19,843975.0,1288795.974929
渔业,20240628,71.26,1.19,842223.0,1287412.039079
渔业,20240701,72.39,1.21,855605.0,1307301.190441
渔业,20240702,74.41,1.25,879465.0,1345406.932935
渔业,20240703,75.4,1.26,891185.0,1359749.932651
渔业,20240704,71.6,1.2,846346.0,1294776.925998
渔业,20240705,72.61,1.21,858193.0,1314173.347063
渔业,20240708,70.31,1.18,831029.0,1272125.197082
渔业,20240709,70.24,1.18,830244.0,1271659.735412
渔业,20240710,68.32,1.14,807572.0,1233136.093182
渔业,20240711,71.62,1.2,846574.0,1290236.864795
渔业,20240712,71.16,1.19,841067.0,1282314.035795
渔业,20240715,70.42,1.18,832339.0,1271892.238259
渔业,20240716,70.36,1.18,831595.0,1271022.476341
渔业,20240717,70.91,1.19,838180.0,1281109.240724
渔业,20240718,70.2,1.17,829754.0,1267619.299871
渔业,20240719,70.06,1.17,828068.0,1266709.596879
渔业,20240722,71.09,1.19,840249.0,1288489.698203
渔业,20240723,70.46,1.18,832788.0,1275941.18676
渔业,20240724,68.98,1.15,815343.0,1250961.594534
渔业,20240725,69.48,1.16,821229.0,1259949.068711
渔业,20240726,70.44,1.18,832576.0,1275596.47619
渔业,20240729,70.57,1.18,834131.0,1278041.702345
