name,trade_date,pe,pb,float_mv,total_mv
港口,20240102,13.32,0.92,7834116.0,41441413.276281
港口,20240103,13.49,0.93,7937042.0,41978625.655322
港口,20240104,13.52,0.93,7951560.0,42054920.759093
港口,20240105,13.48,0.93,7929558.0,42004036.434989
港口,20240108,13.33,0.92,7840497.0,41584054.387808
港口,20240109,13.48,0.93,7905774.0,42082881.892133
港口,20240110,13.54,0.93,7937529.0,42313106.383927
港口,20240111,13.74,0.95,7932754.0,43235860.07807
港口,20240112,13.85,0.96,7996426.0,43676300.92835
港口,20240115,13.92,0.96,8039995.0,43930537.823309
港口,20240116,13.9,0.96,8027162.0,43913764.037614
港口,20240117,13.73,0.95,7924772.0,43389769.952954
港口,20240118,13.55,0.94,7823057.0,42816807.17507
港口,20240119,13.46,0.93,7772470.0,42658646.537884
港口,20240122,12.89,0.89,7443549.0,40941424.08891
港口,20240123,13.07,0.9,7547727.0,41494725.607814
港口,20240124,13.46,0.93,7773882.0,42749247.914831
港口,20240125,13.82,0.96,7981109.0,43971481.250409
港口,20240126,14.07,0.97,8124413.0,44725530.7545
港口,20240129,14.02,0.97,8092738.0,44633808.75681
港口,20240130,13.85,0.96,7994199.0,44101042.966166
港口,20240131,13.73,0.95,7925869.0,43834140.775359
港口,20240201,13.65,0.94,7880206.0,43601610.526885
港口,20240202,13.54,0.94,7820888.0,43417483.699524
港口,20240205,13.29,0.92,7673701.0,42700682.210417
港口,20240206,13.73,0.95,7930544.0,44007409.411793
港口,20240207,13.89,0.96,8021517.0,44107988.134198
港口,20240208,13.83,0.96,7986316.0,43912483.909534
港口,20240219,13.99,0.97,8075911.0,44451348.209884
港口,20240220,14.1,0.98,8143872.0,44993981.046181
港口,20240221,14.07,0.97,8124483.0,44822660.9293
港口,20240222,14.14,0.98,8167248.0,44904661.855967
港口,20240223,14.12,0.98,8150103.0,44822990.305599
港口,20240226,13.82,0.96,7977389.0,43800793.968946
港口,20240227,14.05,0.97,8109676.0,44490038.459784
港口,20240228,13.94,0.96,8051229.0,44271277.63972
港口,20240229,14.11,0.98,8149306.0,44731158.608912
港口,20240301,13.98,0.97,8071667.0,44213969.258722
港口,20240304,13.95,0.96,8055393.0,44093346.989896
港口,20240305,13.96,0.97,8059965.0,44134660.222533
港口,20240306,13.91,0.96,8033812.0,43959443.249495
港口,20240307,13.92,0.96,8039572.0,44015430.48468
港口,20240308,14.09,0.97,8135697.0,44483187.271196
港口,20240311,14.0,0.97,8083399.0,44215949.089034
港口,20240312,13.82,0.96,7982085.0,43537157.846788
港口,20240313,13.77,0.95,7949917.0,43387901.824227
港口,20240314,13.89,0.96,8022100.0,43736180.164796
港口,20240315,13.93,0.96,8043533.0,43868024.740039
港口,20240318,14.07,0.97,8123791.0,44346031.413744
港口,20240319,13.91,0.96,8033045.0,43851259.310581
港口,20240320,13.98,0.97,8071503.0,44110404.704407
港口,20240321,13.96,0.97,8062954.0,44040522.810001
港口,20240322,13.75,0.95,7863496.0,43640727.711588
港口,20240325,13.74,0.96,7894956.0,43888319.58964
港口,20240326,13.82,0.96,7939304.0,44184098.753022
港口,20240327,13.72,0.96,7882236.0,43892147.023838
港口,20240328,13.45,0.96,7920444.0,44177022.169585
港口,20240329,13.41,0.96,7946666.0,44581262.09721
港口,20240401,13.49,0.96,8018322.0,44856831.610127
港口,20240402,13.64,0.97,8090902.0,45211781.153592
港口,20240403,13.81,0.98,8195610.0,45823172.081366
港口,20240408,13.78,0.98,8178883.0,45764710.549006
港口,20240409,13.57,0.98,8179569.0,45806111.056148
港口,20240410,13.57,0.98,8114136.0,45807823.918499
港口,20240411,13.73,0.99,8212863.0,46318991.452077
港口,20240412,13.74,0.99,8217942.0,46392929.875976
港口,20240415,13.91,1.0,8315202.0,47108936.112859
港口,20240416,13.69,0.99,8185092.0,46511044.374524
港口,20240417,14.04,1.01,8393728.0,47658166.955816
港口,20240418,13.98,1.01,8361558.0,47358226.893578
港口,20240419,14.08,1.01,8417619.0,47706977.12077
港口,20240422,13.83,1.0,8269841.0,46859751.085319
港口,20240423,13.64,0.98,8153734.0,46128085.810197
港口,20240424,13.75,0.99,8219012.0,46519644.399113
港口,20240425,13.78,0.99,8241633.0,46737973.0917
港口,20240426,13.68,0.98,8177970.0,46290810.09305
港口,20240429,13.6,0.97,8143169.0,46033451.626685
港口,20240430,13.65,0.96,8177631.0,46344688.557245
港口,20240506,13.6,0.98,8303611.0,47037588.118742
港口,20240507,13.53,0.97,8259400.0,46855352.780568
港口,20240508,13.52,0.97,8253515.0,46762089.25112
港口,20240509,13.71,0.99,8371136.0,47481756.194736
港口,20240510,13.69,0.99,8358892.0,47437074.372353
港口,20240513,14.02,1.01,8457574.0,48465553.801515
港口,20240514,13.93,1.0,8405921.0,48038822.587832
港口,20240515,13.76,0.99,8302004.0,47410835.846194
港口,20240516,13.57,0.97,8188084.0,46700929.607871
港口,20240517,13.63,0.98,8226717.0,47013815.780498
港口,20240520,13.79,0.99,8319114.0,47558985.274661
港口,20240521,13.71,0.98,8272371.0,47327678.761772
港口,20240522,13.59,0.98,8198047.0,46911649.409329
港口,20240523,13.28,0.95,8014672.0,46037149.009594
港口,20240524,13.33,0.96,8045908.0,46292732.363346
港口,20240527,13.61,0.98,8215177.0,47293254.435685
