name,trade_date,pe,pb,float_mv,total_mv
炼化及贸易,20240102,16.53,1.17,32090444.0,218518335.233547
炼化及贸易,20240103,16.69,1.18,32387963.0,221846278.969031
炼化及贸易,20240104,16.75,1.19,32505094.0,224111525.888483
炼化及贸易,20240105,16.62,1.18,32267341.0,223998846.292538
炼化及贸易,20240108,16.44,1.17,31908437.0,222489044.987964
炼化及贸易,20240109,16.51,1.17,32037669.0,222626545.001328
炼化及贸易,20240110,16.44,1.16,31842337.0,221117198.248747
炼化及贸易,20240111,16.1,1.14,31185320.0,216119375.955284
炼化及贸易,20240112,16.06,1.14,31113731.0,215884849.169919
炼化及贸易,20240115,16.14,1.14,31259117.0,217816656.810468
炼化及贸易,20240116,16.13,1.14,31235669.0,218170699.361419
炼化及贸易,20240117,15.86,1.12,30701878.0,214431671.844609
炼化及贸易,20240118,15.73,1.11,30461410.0,213495355.432709
炼化及贸易,20240119,15.72,1.11,30437931.0,213109144.593711
炼化及贸易,20240122,15.25,1.08,29528175.0,209357287.92494
炼化及贸易,20240123,15.33,1.09,29684787.0,209040960.85661
炼化及贸易,20240124,15.7,1.11,30388935.0,215474353.495487
炼化及贸易,20240125,16.59,1.18,32116901.0,232887043.710463
炼化及贸易,20240126,16.81,1.19,32486699.0,241101146.176586
炼化及贸易,20240129,16.63,1.18,32140787.0,239527466.768268
炼化及贸易,20240130,16.43,1.16,31754679.0,238577675.874054
炼化及贸易,20240131,16.23,1.15,31372966.0,237201277.942984
炼化及贸易,20240201,15.94,1.13,30810127.0,232211123.768424
炼化及贸易,20240202,15.71,1.11,30364944.0,230699100.134626
炼化及贸易,20240205,15.64,1.11,30220342.0,234399964.512385
炼化及贸易,20240206,16.0,1.13,30929957.0,233261332.455855
炼化及贸易,20240207,16.33,1.16,31560506.0,237785355.048568
炼化及贸易,20240208,16.51,1.17,31902842.0,237968010.448359
炼化及贸易,20240219,16.92,1.2,32706259.0,247148713.083267
炼化及贸易,20240220,16.94,1.2,32736422.0,246957429.85363
炼化及贸易,20240221,17.02,1.21,32903795.0,248408022.415577
炼化及贸易,20240222,17.48,1.24,33784038.0,258673108.4528
炼化及贸易,20240223,17.38,1.23,33593692.0,255745862.864561
炼化及贸易,20240226,17.17,1.22,33182718.0,250709827.790193
炼化及贸易,20240227,17.25,1.22,33342488.0,251591344.523561
炼化及贸易,20240228,16.94,1.2,32749721.0,249309988.624157
炼化及贸易,20240229,17.19,1.22,33218482.0,250745274.667676
炼化及贸易,20240301,17.2,1.22,33238212.0,249533989.545915
炼化及贸易,20240304,17.48,1.24,33776844.0,256436641.896974
炼化及贸易,20240305,17.43,1.24,33694578.0,255489867.397337
炼化及贸易,20240306,17.44,1.24,33706803.0,254425392.696733
炼化及贸易,20240307,17.61,1.25,34029279.0,256817991.106798
炼化及贸易,20240308,17.8,1.26,34395310.0,259587639.451204
炼化及贸易,20240311,17.63,1.25,34073867.0,255683336.592875
炼化及贸易,20240312,17.29,1.23,33425120.0,248266110.396998
炼化及贸易,20240313,17.23,1.22,33310958.0,248133811.227861
炼化及贸易,20240314,17.33,1.23,33488720.0,250406813.233836
炼化及贸易,20240315,17.35,1.23,33541688.0,251387513.621826
炼化及贸易,20240318,17.41,1.23,33644673.0,251971418.379192
炼化及贸易,20240319,17.34,1.23,33507926.0,251950993.828171
炼化及贸易,20240320,17.55,1.24,33928165.0,258535924.611103
炼化及贸易,20240321,17.53,1.24,33881020.0,258870473.317848
炼化及贸易,20240322,17.33,1.23,33494841.0,256301415.856819
炼化及贸易,20240325,17.6,1.23,33564882.0,259526166.377473
炼化及贸易,20240326,17.67,1.23,33475091.0,258283439.195017
炼化及贸易,20240327,17.5,1.22,33141860.0,256986893.078202
炼化及贸易,20240328,17.61,1.22,33360504.0,258836349.213302
炼化及贸易,20240329,18.17,1.26,34426928.0,271701317.004155
炼化及贸易,20240401,18.23,1.27,34536569.0,269851228.172549
炼化及贸易,20240402,18.58,1.29,35188514.0,275448674.522168
炼化及贸易,20240403,18.74,1.3,35501584.0,279595747.248653
炼化及贸易,20240408,18.64,1.3,35306461.0,280554662.404879
炼化及贸易,20240409,18.41,1.28,34871603.0,276173521.640509
炼化及贸易,20240410,17.31,1.28,34992657.0,278938172.509126
炼化及贸易,20240411,17.27,1.29,34908916.0,278611064.821658
炼化及贸易,20240412,17.38,1.3,35181231.0,279794749.630965
炼化及贸易,20240415,17.67,1.32,35828771.0,289050373.722131
炼化及贸易,20240416,17.45,1.3,35378149.0,291527508.912197
炼化及贸易,20240417,17.66,1.32,35797478.0,292851743.514611
炼化及贸易,20240418,17.42,1.3,35453925.0,286891376.704486
炼化及贸易,20240419,17.8,1.33,36237299.0,294002332.695011
炼化及贸易,20240422,18.62,1.29,35261921.0,286322712.801351
炼化及贸易,20240423,18.26,1.27,34562982.0,279916749.470097
炼化及贸易,20240424,18.39,1.28,34824493.0,282368810.583839
炼化及贸易,20240425,18.4,1.28,34848757.0,284582488.240662
炼化及贸易,20240426,18.3,1.28,34915584.0,286792030.701607
炼化及贸易,20240429,17.83,1.26,34716661.0,277983918.427896
炼化及贸易,20240430,17.81,1.25,34708506.0,279000334.68565
炼化及贸易,20240506,18.01,1.27,35235212.0,276292801.47047
炼化及贸易,20240507,18.09,1.28,35403553.0,278575399.230892
炼化及贸易,20240508,18.03,1.28,35286258.0,278662356.32468
炼化及贸易,20240509,18.04,1.28,35292780.0,277610211.058506
炼化及贸易,20240510,18.07,1.28,35354364.0,277897359.395257
炼化及贸易,20240513,17.96,1.27,35133171.0,276563734.191375
炼化及贸易,20240514,17.89,1.27,35006378.0,274786361.588231
炼化及贸易,20240515,17.78,1.26,34791732.0,273154363.309543
炼化及贸易,20240516,17.76,1.26,34746956.0,271829434.593144
炼化及贸易,20240517,17.94,1.27,35108223.0,274298371.588411
炼化及贸易,20240520,18.11,1.28,35425396.0,279601494.252506
炼化及贸易,20240521,17.95,1.27,35129048.0,277314421.725264
炼化及贸易,20240522,17.88,1.27,34993028.0,276093488.682012
炼化及贸易,20240523,17.72,1.25,34668851.0,272824798.230503
炼化及贸易,20240524,17.75,1.26,34725494.0,274148714.581132
炼化及贸易,20240527,17.93,1.27,35076769.0,279326214.268419
