name,trade_date,pe,pb,float_mv,total_mv
烘焙食品,20240102,25.39,2.73,1879443.0,5287813.983401
烘焙食品,20240103,25.33,2.72,1875115.0,5271287.543215
烘焙食品,20240104,25.11,2.7,1858717.0,5225848.421558
烘焙食品,20240105,24.78,2.66,1834257.0,5152336.917436
烘焙食品,20240108,24.43,2.62,1808173.0,5062174.078429
烘焙食品,20240109,24.77,2.66,1833648.0,5127284.2379
烘焙食品,20240110,25.24,2.71,1868518.0,5227311.895889
烘焙食品,20240111,25.39,2.73,1879519.0,5271329.610841
烘焙食品,20240112,25.43,2.73,1882553.0,5286355.836494
烘焙食品,20240115,25.62,2.75,1896349.0,5314844.956101
烘焙食品,20240116,25.59,2.75,1894448.0,5314583.778981
烘焙食品,20240117,25.02,2.69,1852100.0,5191009.847161
烘焙食品,20240118,24.61,2.64,1821567.0,5103322.305323
烘焙食品,20240119,24.38,2.62,1804321.0,5059435.774396
烘焙食品,20240122,22.64,2.43,1675657.0,4709745.130456
烘焙食品,20240123,22.17,2.38,1640885.0,4632666.05544
烘焙食品,20240124,22.51,2.42,1665825.0,4712993.852151
烘焙食品,20240125,23.42,2.52,1732871.0,4897632.89042
烘焙食品,20240126,23.55,2.53,1742274.0,4900899.388475
烘焙食品,20240129,23.04,2.48,1704434.0,4800035.50805
烘焙食品,20240130,22.18,2.38,1641172.0,4619110.041669
烘焙食品,20240131,21.2,2.28,1568719.0,4418895.07497
烘焙食品,20240201,21.04,2.26,1556449.0,4381032.570784
烘焙食品,20240202,20.35,2.19,1506034.0,4231161.000214
烘焙食品,20240205,18.99,2.04,1405122.0,3958336.907433
烘焙食品,20240206,19.5,2.1,1442829.0,4085561.496565
烘焙食品,20240207,19.97,2.15,1477804.0,4187312.46133
烘焙食品,20240208,20.84,2.24,1541951.0,4365530.366821
烘焙食品,20240219,20.97,2.25,1551563.0,4391307.000016
烘焙食品,20240220,20.92,2.25,1548327.0,4379056.607438
烘焙食品,20240221,21.65,2.33,1601879.0,4540844.663645
烘焙食品,20240222,21.68,2.33,1603923.0,4543256.086326
烘焙食品,20240223,21.83,2.35,1615158.0,4567218.389117
烘焙食品,20240226,21.74,2.34,1608672.0,4557526.867579
烘焙食品,20240227,22.11,2.38,1636144.0,4633614.967416
烘焙食品,20240228,21.22,2.28,1569931.0,4449481.467894
烘焙食品,20240229,21.66,2.33,1603096.0,4540819.499641
烘焙食品,20240301,21.51,2.31,1591342.0,4512118.333625
烘焙食品,20240304,21.39,2.3,1582588.0,4479947.886404
烘焙食品,20240305,21.11,2.27,1562308.0,4421845.411733
烘焙食品,20240306,21.05,2.26,1557297.0,4404948.523498
烘焙食品,20240307,20.86,2.24,1543463.0,4360398.533674
烘焙食品,20240308,20.82,2.24,1540756.0,4356086.818444
烘焙食品,20240311,21.49,2.31,1590207.0,4507501.1615
烘焙食品,20240312,21.64,2.36,1628349.0,4610596.822277
烘焙食品,20240313,21.55,2.35,1621726.0,4600193.088284
烘焙食品,20240314,21.4,2.33,1610502.0,4568168.246557
烘焙食品,20240315,21.59,2.35,1624358.0,4606417.886138
烘焙食品,20240318,21.62,2.36,1626503.0,4611044.981947
烘焙食品,20240319,21.61,2.36,1626241.0,4610728.823287
烘焙食品,20240320,21.69,2.37,1632208.0,4627988.673544
烘焙食品,20240321,22.08,2.35,1631777.0,4635548.849565
烘焙食品,20240322,21.41,2.28,1582432.0,4490509.663429
烘焙食品,20240325,20.9,2.22,1544458.0,4381984.088422
烘焙食品,20240326,20.87,2.23,1548267.0,4403943.122161
烘焙食品,20240327,20.58,2.2,1525476.0,4342658.695029
烘焙食品,20240328,20.64,2.21,1530248.0,4354519.082124
烘焙食品,20240329,20.67,2.21,1537763.0,4365107.477498
烘焙食品,20240401,21.24,2.27,1580807.0,4495124.388435
烘焙食品,20240402,21.17,2.27,1575616.0,4476864.992298
烘焙食品,20240403,21.23,2.27,1579647.0,4490062.583813
烘焙食品,20240408,20.85,2.23,1551689.0,4399588.66596
烘焙食品,20240409,20.94,2.29,1588915.0,4510166.451397
烘焙食品,20240410,20.6,2.24,1557951.0,4425886.968254
烘焙食品,20240411,20.67,2.25,1563334.0,4434796.939627
烘焙食品,20240412,20.53,2.23,1552204.0,4404154.012053
烘焙食品,20240415,20.08,2.18,1518048.0,4306313.44038
烘焙食品,20240416,19.34,2.1,1462510.0,4152154.106604
烘焙食品,20240417,20.02,2.18,1514190.0,4294027.318462
烘焙食品,20240418,20.46,2.2,1589542.0,4359548.172237
烘焙食品,20240419,20.28,2.17,1575067.0,4314527.934837
烘焙食品,20240422,20.44,2.19,1587687.0,4365397.137555
烘焙食品,20240423,20.57,2.2,1598016.0,4386782.673963
烘焙食品,20240424,20.54,2.2,1595811.0,4376811.353657
烘焙食品,20240425,20.35,2.18,1581130.0,4349898.103841
烘焙食品,20240426,20.57,2.19,1597008.0,4385359.404189
