name,trade_date,pe,pb,float_mv,total_mv
煤炭,20240102,9.06,1.41,43645878.0,156787845.101847
煤炭,20240103,9.18,1.43,44254952.0,159226016.077162
煤炭,20240104,9.27,1.44,44689062.0,161180064.871898
煤炭,20240105,9.25,1.44,44582216.0,161058656.44674
煤炭,20240108,9.21,1.43,44361491.0,160639801.343425
煤炭,20240109,9.3,1.44,44837925.0,162472866.325132
煤炭,20240110,9.22,1.43,44448848.0,161184518.549782
煤炭,20240111,9.09,1.41,43810984.0,158737903.443722
煤炭,20240112,9.15,1.42,44072452.0,159972758.687246
煤炭,20240115,9.19,1.43,44276852.0,161250927.875357
煤炭,20240116,9.19,1.43,44274098.0,161592628.026951
煤炭,20240117,9.07,1.41,43723141.0,159964945.748876
煤炭,20240118,9.03,1.4,43512260.0,159367108.327314
煤炭,20240119,8.86,1.38,42697126.0,156212066.063037
煤炭,20240122,8.63,1.34,41589018.0,152961806.402763
煤炭,20240123,8.81,1.37,42507107.0,156132905.883478
煤炭,20240124,9.01,1.4,43497464.0,159941859.065736
煤炭,20240125,9.3,1.45,44904271.0,164862358.912018
煤炭,20240126,9.41,1.46,45406009.0,166984359.98682
煤炭,20240129,9.37,1.45,45121022.0,166610275.785459
煤炭,20240130,9.29,1.44,44716242.0,165477229.876756
煤炭,20240131,9.35,1.45,44995476.0,167775910.010979
煤炭,20240201,9.19,1.43,44247345.0,164818617.469784
煤炭,20240202,9.19,1.43,44246590.0,165717943.95915
煤炭,20240205,9.23,1.43,44454696.0,167982249.977692
煤炭,20240206,9.26,1.44,44586641.0,167587173.269242
煤炭,20240207,9.47,1.47,45572428.0,170926879.953373
煤炭,20240208,9.5,1.47,45731214.0,170577921.497358
煤炭,20240219,9.92,1.54,47747278.0,178632734.77661
煤炭,20240220,9.99,1.55,48114016.0,179687592.1507
煤炭,20240221,9.94,1.54,47836465.0,178576352.667468
煤炭,20240222,10.44,1.62,50248896.0,186903511.205463
煤炭,20240223,10.27,1.59,49454220.0,183653390.42079
煤炭,20240226,10.04,1.56,48351928.0,179015128.266692
煤炭,20240227,10.06,1.56,48447286.0,179100608.675057
煤炭,20240228,10.03,1.56,48272822.0,179174569.384323
煤炭,20240229,10.05,1.56,48400332.0,178721287.478275
煤炭,20240301,10.17,1.58,48957373.0,179675314.310588
煤炭,20240304,10.38,1.61,49978754.0,183564488.863756
煤炭,20240305,10.38,1.61,49953130.0,184087695.277158
煤炭,20240306,10.43,1.62,50239459.0,184818544.882754
煤炭,20240307,10.54,1.63,50682515.0,186922123.558794
煤炭,20240308,10.46,1.62,50314881.0,185331364.830594
煤炭,20240311,10.16,1.58,48926560.0,179804098.839578
煤炭,20240312,9.8,1.52,47229491.0,173296290.039032
煤炭,20240313,9.76,1.52,47004754.0,172607968.770211
煤炭,20240314,9.82,1.52,47287465.0,173750858.546943
煤炭,20240315,9.7,1.51,46745519.0,172113034.814464
煤炭,20240318,9.57,1.49,46106272.0,169688027.870851
煤炭,20240319,9.69,1.5,46629418.0,171798873.649397
煤炭,20240320,9.74,1.51,46836056.0,172283448.538784
煤炭,20240321,9.63,1.5,46750132.0,171964647.050748
煤炭,20240322,9.66,1.51,46897272.0,172606329.119496
煤炭,20240325,9.61,1.5,46772996.0,173108418.993658
煤炭,20240326,9.41,1.46,45792052.0,169681186.881262
煤炭,20240327,9.35,1.46,45836298.0,170251946.855714
煤炭,20240328,9.38,1.46,45968656.0,170308505.611841
煤炭,20240329,9.55,1.48,46800947.0,173416089.329411
煤炭,20240401,9.61,1.47,46315847.0,171363073.184632
煤炭,20240402,9.69,1.48,46732080.0,173394548.379912
煤炭,20240403,9.94,1.52,47900478.0,177433826.085246
煤炭,20240408,9.89,1.51,47680739.0,176850890.539205
煤炭,20240409,9.91,1.52,47794585.0,177150404.136616
煤炭,20240410,10.04,1.54,48426053.0,179489193.272463
煤炭,20240411,10.16,1.55,49005395.0,181095884.025442
煤炭,20240412,10.12,1.55,48790910.0,180225805.441918
煤炭,20240415,10.33,1.58,49946386.0,185339244.397578
煤炭,20240416,10.42,1.58,49894317.0,186239881.936361
煤炭,20240417,10.53,1.59,50411961.0,187651504.041962
煤炭,20240418,10.5,1.59,50303002.0,186816010.799184
煤炭,20240419,11.0,1.59,50394535.0,187631448.234694
煤炭,20240422,10.5,1.52,48126558.0,179402372.203036
煤炭,20240423,10.45,1.49,47029372.0,175768768.11388
煤炭,20240424,10.4,1.48,46779112.0,174860201.348413
煤炭,20240425,10.51,1.49,47202202.0,176340320.655669
煤炭,20240426,10.5,1.46,46959863.0,174886162.484468
煤炭,20240429,10.43,1.43,46914797.0,174002584.543938
煤炭,20240430,10.52,1.44,47328133.0,176201892.72129
煤炭,20240506,12.13,1.44,47562906.0,176518563.774738
煤炭,20240507,12.23,1.46,47978163.0,178126620.740238
煤炭,20240508,12.54,1.49,49168963.0,182935519.841546
煤炭,20240509,12.54,1.49,49161593.0,182488581.029153
煤炭,20240510,12.57,1.5,49303378.0,183055961.911584
煤炭,20240513,12.44,1.48,48920916.0,181381055.457038
煤炭,20240514,12.26,1.46,48195808.0,178657367.303414
煤炭,20240515,12.3,1.47,48358735.0,179181969.723275
煤炭,20240516,12.21,1.45,47986033.0,177549915.300233
煤炭,20240517,12.3,1.47,48366920.0,178839275.182586
煤炭,20240520,12.71,1.51,49982321.0,184766694.796843
煤炭,20240521,12.83,1.53,50456016.0,187123079.498289
煤炭,20240522,12.81,1.54,50195314.0,186428604.551639
煤炭,20240523,12.64,1.52,49537761.0,184846373.030184
煤炭,20240524,12.54,1.51,49134701.0,183177298.232037
