name,trade_date,pe,pb,float_mv,total_mv
燃气Ⅱ,20240102,17.44,1.83,7772171.0,23065782.339433
燃气Ⅱ,20240103,17.49,1.84,7796648.0,23170508.736582
燃气Ⅱ,20240104,17.51,1.84,7803195.0,23212952.121398
燃气Ⅱ,20240105,17.41,1.83,7757646.0,23068767.754186
燃气Ⅱ,20240108,17.0,1.8,7660283.0,22702358.469503
燃气Ⅱ,20240109,17.12,1.81,7717474.0,22878130.922187
燃气Ⅱ,20240110,17.02,1.8,7670791.0,22737943.884152
燃气Ⅱ,20240111,17.11,1.81,7709902.0,22865891.125182
燃气Ⅱ,20240112,17.23,1.83,7763012.0,23009384.70757
燃气Ⅱ,20240115,17.31,1.83,7798361.0,23183102.853359
燃气Ⅱ,20240116,17.19,1.82,7750759.0,23044677.529851
燃气Ⅱ,20240117,16.91,1.79,7624587.0,22707612.843486
燃气Ⅱ,20240118,16.66,1.77,7510912.0,22341965.546298
燃气Ⅱ,20240119,16.53,1.75,7454196.0,22139490.954882
燃气Ⅱ,20240122,15.69,1.66,7073454.0,21022943.100434
燃气Ⅱ,20240123,15.87,1.68,7156166.0,21234841.484084
燃气Ⅱ,20240124,16.12,1.71,7269162.0,21571132.097793
燃气Ⅱ,20240125,16.6,1.76,7485551.0,22227863.81907
燃气Ⅱ,20240126,16.66,1.77,7511160.0,22331873.014756
燃气Ⅱ,20240129,16.47,1.75,7425149.0,22156760.104185
燃气Ⅱ,20240130,16.15,1.71,7284216.0,21759053.628949
燃气Ⅱ,20240131,15.8,1.67,7122752.0,21347176.454687
燃气Ⅱ,20240201,15.52,1.65,7000692.0,20975617.890337
燃气Ⅱ,20240202,15.1,1.6,6807678.0,20448825.994528
燃气Ⅱ,20240205,14.5,1.54,6540630.0,19711399.770851
燃气Ⅱ,20240206,14.93,1.58,6734268.0,20230268.179477
燃气Ⅱ,20240207,15.05,1.6,6776741.0,20434610.131982
燃气Ⅱ,20240208,15.48,1.64,6968347.0,20920528.765605
燃气Ⅱ,20240219,15.74,1.67,7087445.0,21371347.908115
燃气Ⅱ,20240220,15.79,1.67,7108555.0,21415781.576094
燃气Ⅱ,20240221,15.9,1.69,7150652.0,21518465.10634
燃气Ⅱ,20240222,16.09,1.71,7236865.0,21764415.167212
