name,trade_date,pe,pb,float_mv,total_mv
特种纸,20240102,33.74,1.61,2693813.0,5658675.726129
特种纸,20240103,33.64,1.6,2685210.0,5630365.480432
特种纸,20240104,33.64,1.6,2685474.0,5635084.663031
特种纸,20240105,33.2,1.58,2654361.0,5577589.889872
特种纸,20240108,32.62,1.55,2605704.0,5458076.032195
特种纸,20240109,32.56,1.55,2600149.0,5451441.348377
特种纸,20240110,32.3,1.54,2579570.0,5420431.55522
特种纸,20240111,32.81,1.56,2620531.0,5503846.122841
特种纸,20240112,32.66,1.56,2608528.0,5489511.244489
特种纸,20240115,32.67,1.56,2608213.0,5481543.069248
特种纸,20240116,32.8,1.56,2617131.0,5482254.912399
特种纸,20240117,32.24,1.54,2571540.0,5379408.697344
特种纸,20240118,32.01,1.53,2553046.0,5332759.712285
特种纸,20240119,31.62,1.51,2521409.0,5290381.022915
特种纸,20240122,29.58,1.41,2358833.0,4953735.386555
特种纸,20240123,29.4,1.4,2344320.0,4937480.199649
特种纸,20240124,29.93,1.43,2386456.0,5014582.714787
特种纸,20240125,30.83,1.47,2457574.0,5158135.760032
特种纸,20240126,31.02,1.48,2472488.0,5174507.444269
特种纸,20240129,30.35,1.45,2419921.0,5069848.716693
特种纸,20240130,29.72,1.41,2367925.0,4929747.752109
特种纸,20240131,28.2,1.34,2245696.0,4691434.115995
特种纸,20240201,27.75,1.32,2207018.0,4599176.301602
特种纸,20240202,26.74,1.27,2138644.0,4471356.566802
特种纸,20240205,24.93,1.19,1992597.0,4176412.398319
特种纸,20240206,25.52,1.21,2036090.0,4303328.03135
特种纸,20240207,25.32,1.2,2014899.0,4304174.383525
特种纸,20240208,26.89,1.28,2139507.0,4571934.234916
特种纸,20240219,27.57,1.31,2193615.0,4671547.734892
特种纸,20240220,27.9,1.33,2220409.0,4710547.327461
特种纸,20240221,28.17,1.34,2243389.0,4753503.132231
特种纸,20240222,28.63,1.36,2281319.0,4817875.959707
特种纸,20240223,29.21,1.39,2327927.0,4910077.318751
特种纸,20240226,29.48,1.4,2348576.0,4965372.434991
特种纸,20240227,30.11,1.43,2399076.0,5067307.094212
特种纸,20240228,28.52,1.36,2270787.0,4808856.865447
特种纸,20240229,29.3,1.39,2332364.0,4934024.888678
特种纸,20240301,29.59,1.41,2356171.0,4992287.663629
特种纸,20240304,29.76,1.41,2367843.0,4992623.602037
特种纸,20240305,29.08,1.38,2313806.0,4885798.193003
特种纸,20240306,29.21,1.39,2332144.0,4924540.789333
特种纸,20240307,29.19,1.39,2328950.0,4914117.533686
特种纸,20240308,29.55,1.4,2355501.0,4973660.063359
特种纸,20240311,29.93,1.42,2385924.0,5036988.856498
特种纸,20240312,30.42,1.45,2423912.0,5137910.667489
特种纸,20240313,30.61,1.46,2440412.0,5213711.756094
特种纸,20240314,30.41,1.45,2423095.0,5187189.247694
特种纸,20240315,30.36,1.46,2447137.0,5235450.007336
特种纸,20240318,31.08,1.49,2506842.0,5366141.172859
特种纸,20240319,31.45,1.51,2536246.0,5399229.204147
特种纸,20240320,31.89,1.53,2574464.0,5474558.902215
特种纸,20240321,33.61,1.54,2586016.0,5493037.479623
特种纸,20240322,33.33,1.53,2562429.0,5457715.646985
特种纸,20240325,33.35,1.53,2563675.0,5441274.051408
特种纸,20240326,32.98,1.51,2534815.0,5377296.929832
特种纸,20240327,32.16,1.48,2471798.0,5258760.739936
特种纸,20240328,32.89,1.5,2510201.0,5319145.001863
特种纸,20240329,32.65,1.52,2535498.0,5376923.722296
特种纸,20240401,33.04,1.53,2567210.0,5463170.627542
特种纸,20240402,33.96,1.57,2635712.0,5590776.875823
特种纸,20240403,33.81,1.57,2622658.0,5564239.163301
特种纸,20240408,33.19,1.54,2572293.0,5448963.84421
特种纸,20240409,32.69,1.59,2662500.0,5685459.413075
特种纸,20240410,31.88,1.55,2596397.0,5531448.399147
特种纸,20240411,32.28,1.57,2631764.0,5613559.995371
特种纸,20240412,31.83,1.54,2596137.0,5528824.772416
特种纸,20240415,28.47,1.47,2477347.0,5325904.784911
特种纸,20240416,27.17,1.4,2358258.0,5080014.288734
特种纸,20240417,28.82,1.48,2503525.0,5367595.216731
特种纸,20240418,28.58,1.47,2481148.0,5317505.686227
特种纸,20240419,28.68,1.48,2488122.0,5328218.097579
特种纸,20240422,28.82,1.48,2500983.0,5383121.715498
特种纸,20240423,28.93,1.49,2510308.0,5398622.964258
特种纸,20240424,29.13,1.5,2527552.0,5434096.704683
特种纸,20240425,29.17,1.5,2531532.0,5431438.497043
特种纸,20240426,29.24,1.5,2539021.0,5443694.133835
特种纸,20240429,28.68,1.53,2627734.0,5618457.278791
特种纸,20240430,28.59,1.54,2619305.0,5581253.40039
特种纸,20240506,27.03,1.59,2705446.0,5780849.316506
特种纸,20240507,27.18,1.6,2720563.0,5835805.198329
特种纸,20240508,26.95,1.58,2697076.0,5769698.457888
特种纸,20240509,27.36,1.61,2739250.0,5877015.455326
特种纸,20240510,27.39,1.61,2740728.0,5875612.600534
特种纸,20240513,26.97,1.58,2697986.0,5791366.892775
特种纸,20240514,27.36,1.61,2736875.0,5875969.252745
特种纸,20240515,27.29,1.6,2732057.0,5877299.150805
特种纸,20240516,27.3,1.6,2731450.0,5849589.605961
特种纸,20240517,27.54,1.62,2752303.0,5915255.396286
