name,trade_date,pe,pb,float_mv,total_mv
玻璃玻纤,20240102,14.09,1.52,7868669.0,15787695.332655
玻璃玻纤,20240103,14.05,1.52,8119373.0,17631312.598084
玻璃玻纤,20240104,13.81,1.5,8002763.0,17492215.428373
玻璃玻纤,20240105,13.59,1.47,7895192.0,17373363.149905
玻璃玻纤,20240108,13.38,1.45,7772539.0,17089706.044941
玻璃玻纤,20240109,13.4,1.45,7767262.0,17009654.939442
玻璃玻纤,20240110,13.41,1.46,7797623.0,17164618.734737
玻璃玻纤,20240111,13.59,1.48,7896725.0,17374310.060655
玻璃玻纤,20240112,13.74,1.49,7977558.0,17506667.151419
玻璃玻纤,20240115,13.75,1.49,7975382.0,17494500.021809
玻璃玻纤,20240116,13.8,1.49,7999215.0,17555097.257676
玻璃玻纤,20240117,13.37,1.44,7743798.0,16983897.270255
玻璃玻纤,20240118,13.36,1.44,7759390.0,17048781.756192
玻璃玻纤,20240119,13.08,1.42,7586463.0,16634340.949224
玻璃玻纤,20240122,12.42,1.35,7223021.0,15837395.438456
玻璃玻纤,20240123,12.49,1.36,7265608.0,15961590.736848
玻璃玻纤,20240124,12.74,1.39,7408500.0,16270421.120887
玻璃玻纤,20240125,13.28,1.45,7712570.0,16905310.495575
玻璃玻纤,20240126,13.25,1.45,7715915.0,17020976.086263
玻璃玻纤,20240129,13.04,1.43,7596714.0,16755115.024281
玻璃玻纤,20240130,12.56,1.38,7303467.0,16042130.596254
玻璃玻纤,20240131,12.24,1.34,7121370.0,15625648.621676
玻璃玻纤,20240201,12.26,1.34,7139493.0,15645692.961947
玻璃玻纤,20240202,11.85,1.3,6880457.0,14956424.117392
玻璃玻纤,20240205,11.22,1.23,6490472.0,13971309.685308
玻璃玻纤,20240206,11.95,1.31,6923472.0,14866936.576866
玻璃玻纤,20240207,12.36,1.35,7137658.0,15159719.346182
玻璃玻纤,20240208,12.69,1.39,7336619.0,15642862.863007
玻璃玻纤,20240219,12.73,1.39,7369506.0,15791112.229269
玻璃玻纤,20240220,12.72,1.39,7354763.0,15808001.499944
玻璃玻纤,20240221,12.86,1.4,7431012.0,15974310.967716
玻璃玻纤,20240222,12.92,1.41,7470135.0,16071670.125684
玻璃玻纤,20240223,13.0,1.42,7517090.0,16217268.665178
玻璃玻纤,20240226,13.05,1.42,7548263.0,16307527.791195
玻璃玻纤,20240227,13.21,1.44,7651415.0,16610600.217619
玻璃玻纤,20240228,12.82,1.4,7416327.0,16008340.194161
玻璃玻纤,20240229,13.18,1.44,7628196.0,16490698.552809
玻璃玻纤,20240301,13.29,1.45,7682438.0,16606932.79175
玻璃玻纤,20240304,13.2,1.44,7629419.0,16516118.989368
玻璃玻纤,20240305,13.01,1.42,7515115.0,16212915.852446
玻璃玻纤,20240306,13.16,1.44,7604244.0,16404514.474877
玻璃玻纤,20240307,13.02,1.42,7529776.0,16257239.768785
玻璃玻纤,20240308,13.26,1.45,7658374.0,16502141.150381
玻璃玻纤,20240311,13.61,1.48,7863718.0,16971884.863074
玻璃玻纤,20240312,13.79,1.5,7960168.0,17126389.80451
玻璃玻纤,20240313,13.66,1.49,7886999.0,16971325.213971
玻璃玻纤,20240314,13.55,1.48,7820417.0,16795456.581353
玻璃玻纤,20240315,13.64,1.49,7867406.0,16890133.867944
玻璃玻纤,20240318,13.78,1.5,7951406.0,17110877.471396
玻璃玻纤,20240319,13.69,1.49,7902593.0,17007840.157055
玻璃玻纤,20240320,14.81,1.49,7913791.0,17048935.351807
