name,trade_date,pe,pb,float_mv,total_mv
生猪养殖,20240102,60.63,3.33,26094477.0,49618514.815184
生猪养殖,20240103,60.0,3.3,25824921.0,49204671.57302
生猪养殖,20240104,59.59,3.28,25649514.0,48867084.246332
生猪养殖,20240105,59.08,3.25,25429459.0,48344309.024677
生猪养殖,20240108,57.96,3.16,24946680.0,46947449.973837
生猪养殖,20240109,57.86,3.16,24902855.0,46871266.340565
生猪养殖,20240110,56.59,3.09,24356615.0,45650882.990605
生猪养殖,20240111,57.62,3.14,24800780.0,46483081.805743
生猪养殖,20240112,58.56,3.2,25204635.0,47272547.046021
生猪养殖,20240115,57.4,3.13,24705261.0,46385304.31949
生猪养殖,20240116,58.06,3.17,24986767.0,46935162.508392
生猪养殖,20240117,56.81,3.1,24449212.0,45917704.651968
生猪养殖,20240118,56.98,3.11,24525937.0,46091998.176378
生猪养殖,20240119,56.28,3.07,24223374.0,45563176.291874
生猪养殖,20240122,54.73,2.99,23557235.0,44174410.599795
生猪养殖,20240123,54.77,2.99,23572068.0,44187425.145378
生猪养殖,20240124,54.79,2.99,23582741.0,44244903.046496
生猪养殖,20240125,55.29,3.02,23796445.0,44610774.415031
生猪养殖,20240126,55.69,3.04,23943499.0,44802166.365549
生猪养殖,20240129,55.43,3.02,23832970.0,44709854.675536
生猪养殖,20240130,54.95,2.99,23624195.0,44224089.386915
生猪养殖,20240131,54.37,2.96,23374362.0,43743953.011909
生猪养殖,20240201,54.78,2.98,23551645.0,44005234.486997
生猪养殖,20240202,55.06,3.0,23672774.0,44219957.377907
生猪养殖,20240205,55.31,3.03,23780407.0,44264463.741063
生猪养殖,20240206,55.94,3.04,24052145.0,44833472.647542
生猪养殖,20240207,56.83,3.1,24432640.0,45435529.658452
生猪养殖,20240208,57.34,3.12,24651959.0,45903723.100484
生猪养殖,20240219,56.27,3.06,24194078.0,45139705.463316
生猪养殖,20240220,57.67,3.14,24796001.0,46273354.891938
生猪养殖,20240221,57.73,3.14,24817660.0,46331776.99776
生猪养殖,20240222,57.78,3.14,24842167.0,46409009.200738
生猪养殖,20240223,57.61,3.13,24767216.0,46292158.806084
生猪养殖,20240226,57.69,3.13,24801960.0,46389992.597309
生猪养殖,20240227,58.73,3.19,25249979.0,47266683.816427
生猪养殖,20240228,57.61,3.13,24768115.0,46290083.241517
生猪养殖,20240229,57.51,3.12,24723705.0,46351779.684564
生猪养殖,20240301,56.74,3.08,24393960.0,45764612.598262
生猪养殖,20240304,56.68,3.07,24366112.0,45616603.175638
生猪养殖,20240305,58.1,3.16,24977581.0,46791285.997257
