name,trade_date,pe,pb,float_mv,total_mv
申万创业,20240102,29.69,3.17,491837220.0,1120512859.05033
申万创业,20240103,29.4,3.13,486954481.0,1111283288.34621
申万创业,20240104,29.01,3.1,481377147.0,1100210997.12732
申万创业,20240105,28.47,3.04,472233858.0,1081688326.34597
申万创业,20240108,27.94,2.98,463077463.0,1061925328.27335
申万创业,20240109,28.06,2.99,464819362.0,1065501585.45232
申万创业,20240110,27.83,2.96,460217235.0,1055339674.93357
申万创业,20240111,28.4,3.02,470461507.0,1078279348.75068
申万创业,20240112,28.09,2.99,465602719.0,1067712382.35904
申万创业,20240115,27.92,2.97,462423741.0,1060525518.3753
申万创业,20240116,27.91,2.97,462194767.0,1058882459.50743
申万创业,20240117,27.1,2.89,448970153.0,1028866183.78093
申万创业,20240118,27.41,2.91,453251460.0,1034124120.27369
申万创业,20240119,27.08,2.87,447200235.0,1019740943.21274
申万创业,20240122,25.93,2.75,427345838.0,971891426.860884
申万创业,20240123,26.21,2.77,431678704.0,980548109.242699
申万创业,20240124,26.4,2.79,435008399.0,989312002.912929
申万创业,20240125,27.0,2.86,445559082.0,1014485692.31458
申万创业,20240126,26.52,2.82,438635340.0,999634616.587115
申万创业,20240129,25.51,2.71,421789621.0,964088724.243471
申万创业,20240130,24.79,2.63,409593576.0,934955169.649184
申万创业,20240131,24.17,2.55,397286312.0,904342902.54504
申万创业,20240201,24.19,2.55,396278452.0,903342394.189794
申万创业,20240202,23.34,2.46,381739992.0,869722011.43153
申万创业,20240205,22.53,2.35,364903898.0,825995549.16452
申万创业,20240206,24.05,2.49,387215495.0,874559320.099861
申万创业,20240207,24.4,2.52,391496893.0,878861646.328853
申万创业,20240208,25.32,2.62,407974106.0,919750380.212742
申万创业,20240219,25.85,2.69,417854067.0,942256195.225648
申万创业,20240220,25.92,2.7,420436226.0,948914486.658947
申万创业,20240221,26.08,2.72,423537156.0,956795882.565277
申万创业,20240222,26.4,2.77,430195746.0,972139253.179038
申万创业,20240223,26.72,2.81,436723507.0,991325737.136678
申万创业,20240226,26.78,2.82,438434615.0,998640047.165944
申万创业,20240227,27.55,2.9,451342349.0,1026978783.11121
申万创业,20240228,26.32,2.76,429430808.0,973799931.303637
申万创业,20240229,27.39,2.87,446933357.0,1013441519.32874
申万创业,20240301,27.77,2.92,453601533.0,1027617216.18443
申万创业,20240304,27.97,2.94,456746210.0,1033982613.70876
申万创业,20240305,27.71,2.91,452178721.0,1023866838.19174
申万创业,20240306,27.78,2.92,453520759.0,1029272104.13504
申万创业,20240307,27.2,2.85,444135753.0,1009217844.28873
申万创业,20240308,27.57,2.89,450271056.0,1021469189.2565
申万创业,20240311,28.59,3.0,466065050.0,1055311569.85177
申万创业,20240312,28.89,3.03,471214978.0,1067496910.59576
申万创业,20240313,28.88,3.03,471468332.0,1067397378.67059
申万创业,20240314,28.64,3.0,467212173.0,1057862130.69074
申万创业,20240315,28.85,3.02,470501714.0,1067066854.00193
申万创业,20240318,29.53,3.07,481143856.0,1090480979.87875
申万创业,20240319,29.26,3.05,477545849.0,1083728869.16754
申万创业,20240320,29.45,3.08,481347312.0,1093244659.80042
申万创业,20240321,29.39,3.08,481020847.0,1090179712.41795
申万创业,20240322,29.1,3.04,474203491.0,1077214924.56652
申万创业,20240325,28.4,2.96,462033956.0,1049130256.75207
申万创业,20240326,28.42,2.96,461837695.0,1048836915.4991
申万创业,20240327,27.46,2.85,445284983.0,1012122629.34737
申万创业,20240328,28.04,2.92,455240951.0,1034163786.36149
申万创业,20240329,28.28,2.94,459087251.0,1043832592.52955
申万创业,20240401,29.07,3.02,471859481.0,1072197377.90367
申万创业,20240402,28.87,3.0,468177834.0,1064360303.21184
申万创业,20240403,28.44,2.95,461172702.0,1049831850.9807
申万创业,20240408,27.79,2.88,450361242.0,1025963804.22766
申万创业,20240409,28.19,2.92,456479562.0,1040544740.40727
申万创业,20240410,27.55,2.85,445534949.0,1016646087.0006
申万创业,20240411,27.5,2.84,444711915.0,1014372127.81187
申万创业,20240412,27.21,2.81,439647971.0,1004287226.5724
申万创业,20240415,27.17,2.79,436132391.0,993216947.390389
申万创业,20240416,26.11,2.65,417091938.0,946592730.407668
申万创业,20240417,27.2,2.78,436196751.0,993530935.728453
申万创业,20240418,27.05,2.76,433735521.0,988776975.442008
申万创业,20240419,26.7,2.72,428182575.0,978054452.841692
申万创业,20240422,26.55,2.71,426595845.0,975003579.582533
申万创业,20240423,26.69,2.74,429515383.0,981274952.576221
