name,trade_date,pe,pb,float_mv,total_mv
申万制造,20240102,23.33,3.45,1043365468.0,2151432727.11105
申万制造,20240103,23.08,3.41,1031447430.0,2125619343.84372
申万制造,20240104,22.82,3.38,1020787380.0,2104658983.78372
申万制造,20240105,22.41,3.32,1001571509.0,2066328833.50673
申万制造,20240108,21.94,3.25,980210443.0,2022787089.16933
申万制造,20240109,22.04,3.26,984087834.0,2029366303.38429
申万制造,20240110,21.89,3.24,977025787.0,2015327636.12076
申万制造,20240111,22.29,3.3,995451540.0,2052747311.26692
申万制造,20240112,22.13,3.27,987640594.0,2037032654.33507
申万制造,20240115,22.0,3.26,982128471.0,2026133602.48188
申万制造,20240116,22.06,3.27,983644745.0,2029019259.25834
申万制造,20240117,21.45,3.18,956566425.0,1973622428.72109
申万制造,20240118,21.71,3.21,966868758.0,1992814948.80652
申万制造,20240119,21.44,3.18,954705369.0,1967375039.15817
申万制造,20240122,20.57,3.05,914714734.0,1884351045.90611
申万制造,20240123,20.77,3.07,923272176.0,1901495851.45565
申万制造,20240124,20.85,3.09,926976042.0,1910230519.53759
申万制造,20240125,21.39,3.17,952182680.0,1963160915.15757
申万制造,20240126,21.02,3.12,936206462.0,1929276283.95952
申万制造,20240129,20.33,3.02,905624292.0,1869453517.00032
申万制造,20240130,19.76,2.94,879834863.0,1816277210.94506
申万制造,20240131,19.22,2.86,852764276.0,1759933432.88903
申万制造,20240201,19.26,2.86,854189473.0,1761666975.93542
申万制造,20240202,18.6,2.76,823335285.0,1698445616.61844
申万制造,20240205,17.99,2.67,791645124.0,1631523774.25175
申万制造,20240206,19.03,2.81,835470444.0,1721470665.23873
申万制造,20240207,19.44,2.87,851882219.0,1752097611.55883
申万制造,20240208,20.16,2.97,885708964.0,1822842009.14279
申万制造,20240219,20.47,3.02,901513317.0,1856546459.61947
申万制造,20240220,20.46,3.03,902754039.0,1859958206.00864
申万制造,20240221,20.56,3.04,909611828.0,1872471539.13595
申万制造,20240222,20.88,3.09,925146993.0,1905622748.87801
申万制造,20240223,21.14,3.13,938833579.0,1938460748.85967
申万制造,20240226,21.33,3.16,948988973.0,1960338549.9832
申万制造,20240227,21.97,3.25,978124001.0,2021062378.36687
申万制造,20240228,21.03,3.11,932904012.0,1925170979.94539
申万制造,20240229,21.95,3.25,974831894.0,2010153196.22698
申万制造,20240301,22.34,3.31,992709622.0,2046244635.00891
申万制造,20240304,22.47,3.33,998741275.0,2059645113.76523
申万制造,20240305,22.33,3.31,992428583.0,2046373869.6947
申万制造,20240306,22.48,3.33,998940383.0,2059047424.50273
申万制造,20240307,22.1,3.28,981679534.0,2026034648.11971
申万制造,20240308,22.55,3.34,1001823791.0,2070022362.90053
申万制造,20240311,23.1,3.42,1026160624.0,2118662392.41196
申万制造,20240312,23.14,3.43,1028188630.0,2121169429.55383
申万制造,20240313,23.11,3.43,1027780636.0,2119359521.50277
申万制造,20240314,22.87,3.39,1016822872.0,2094343585.12058
申万制造,20240315,23.04,3.42,1025278322.0,2113435909.8387
申万制造,20240318,23.58,3.5,1049345731.0,2163980253.94106
申万制造,20240319,23.38,3.47,1041288880.0,2149470077.9826
申万制造,20240320,23.45,3.48,1045108966.0,2156687718.32344
申万制造,20240321,23.35,3.47,1041491401.0,2148038497.54071
申万制造,20240322,23.1,3.43,1028176260.0,2122210046.77949
申万制造,20240325,22.62,3.36,1005499347.0,2074454504.78034
申万制造,20240326,22.66,3.36,1006248693.0,2074550399.46908
申万制造,20240327,21.9,3.25,971750687.0,2003244151.02454
申万制造,20240328,22.37,3.32,993789643.0,2048888235.39867
申万制造,20240329,22.61,3.36,1004760657.0,2071350555.81627
申万制造,20240401,23.14,3.44,1028570837.0,2117758697.31217
申万制造,20240402,22.96,3.41,1020191205.0,2100605246.49604
申万制造,20240403,22.66,3.37,1007216713.0,2072568479.00478
申万制造,20240408,22.27,3.31,988831100.0,2035647098.89373
申万制造,20240409,22.48,3.34,998364484.0,2055700963.14575
申万制造,20240410,22.05,3.27,977855435.0,2013968820.09703
申万制造,20240411,22.12,3.28,980467572.0,2020663025.87098
申万制造,20240412,22.02,3.27,975508495.0,2012760217.86813
申万制造,20240415,22.11,3.28,975124634.0,2011994862.50121
申万制造,20240416,21.29,3.15,935288702.0,1929614262.63764
申万制造,20240417,22.17,3.28,976458129.0,2014706929.62103
申万制造,20240418,22.13,3.27,974850480.0,2012904879.12226
申万制造,20240419,21.85,3.23,961974089.0,1986547394.21879
申万制造,20240422,21.73,3.21,957056068.0,1976685416.5936
申万制造,20240423,21.63,3.2,953731728.0,1969509608.38909
申万制造,20240424,22.0,3.25,971099001.0,2006093141.41917
申万制造,20240425,21.96,3.25,969641914.0,2002845716.81013
申万制造,20240426,22.44,3.32,992187118.0,2047516657.85272
申万制造,20240429,23.04,3.41,1019091151.0,2099906230.78287
申万制造,20240430,22.76,3.37,1007358715.0,2076218093.83502
申万制造,20240506,25.49,3.43,1025685507.0,2113126431.22612
申万制造,20240507,25.51,3.43,1027337316.0,2118338205.73988
申万制造,20240508,25.09,3.38,1010620976.0,2083599335.55279
申万制造,20240509,25.6,3.44,1030894741.0,2123894389.04223
申万制造,20240510,25.29,3.4,1018752463.0,2095457443.76773
申万制造,20240513,25.11,3.38,1010003173.0,2076586883.72887
申万制造,20240514,25.09,3.38,1009200843.0,2076571478.96396
申万制造,20240515,24.85,3.35,1000154623.0,2057552336.18606
申万制造,20240516,24.88,3.35,1001872178.0,2062094856.52747
申万制造,20240517,25.11,3.38,1012483516.0,2083844298.187154
申万制造,20240520,25.19,3.39,1015830586.0,2091311619.3719
申万制造,20240521,24.99,3.36,1007641259.0,2071945802.62305
申万制造,20240522,25.21,3.39,1017091337.0,2088353003.25654
申万制造,20240523,24.81,3.33,1000640186.0,2057275229.50985
申万制造,20240524,24.42,3.28,984766674.0,2022830925.5778
申万制造,20240527,24.72,3.32,996388232.0,2045464076.12611
申万制造,20240528,24.46,3.28,985919758.0,2026260230.60156
申万制造,20240529,24.52,3.28,987454670.0,2030705071.64327
申万制造,20240530,24.64,3.28,992147172.0,2039734814.28605
申万制造,20240531,24.64,3.26,993192079.0,2043365587.69696
申万制造,20240603,24.68,3.25,993877610.0,2042914686.84501
申万制造,20240604,24.8,3.23,996406805.0,2047330813.77516
申万制造,20240605,24.59,3.19,987710909.0,2029407762.58339
申万制造,20240606,24.28,3.13,973723184.0,2000646544.61457
申万制造,20240607,24.11,3.11,968592959.0,1989585822.3476
申万制造,20240611,24.31,3.13,980425921.0,2010367604.79647
申万制造,20240612,24.39,3.15,984701919.0,2019502116.69998
申万制造,20240613,24.46,3.15,987552354.0,2030841154.4797
申万制造,20240614,24.55,3.16,990593244.0,2035050164.9572
申万制造,20240617,24.8,3.2,1000810762.0,2053989129.23381
申万制造,20240618,25.06,3.24,1012275310.0,2077939779.47645
申万制造,20240619,24.77,3.2,1001538054.0,2055182080.92953
申万制造,20240620,24.36,3.14,984740467.0,2023727215.48636
申万制造,20240621,24.37,3.14,984723336.0,2021061460.40352
申万制造,20240624,23.77,3.08,962479661.0,1966561849.72962
申万制造,20240625,23.42,3.03,948121380.0,1937404113.63974
申万制造,20240626,23.92,3.1,969735451.0,1980400370.80116
申万制造,20240627,23.53,3.05,953881740.0,1945719027.86999
申万制造,20240628,23.8,3.08,964441475.0,1968568648.93906
申万制造,20240701,23.81,3.08,964989892.0,1968979705.28895
申万制造,20240702,23.47,3.04,952681127.0,1943350653.5998
申万制造,20240703,23.32,3.03,947330108.0,1930965154.18434
申万制造,20240704,23.04,2.96,934512688.0,1904613511.56201
申万制造,20240705,23.08,2.96,936682229.0,1908419712.71214
申万制造,20240708,22.75,2.91,922542448.0,1879709338.93717
申万制造,20240709,23.41,3.0,949523468.0,1935166076.71914
申万制造,20240710,23.42,3.0,949675680.0,1935415650.98486
申万制造,20240711,23.93,3.07,971272927.0,1978094118.80796
申万制造,20240712,23.83,3.05,967322698.0,1967830101.33967
申万制造,20240715,23.59,3.02,957422373.0,1947250825.46974
申万制造,20240716,23.88,3.06,969978047.0,1971372484.74266
申万制造,20240717,23.52,3.01,954867050.0,1938432329.35014
申万制造,20240718,23.62,3.02,959446222.0,1946409290.35368
申万制造,20240719,23.81,3.05,968708206.0,1963986590.9342
申万制造,20240722,23.85,3.05,971736723.0,1969227033.83233
申万制造,20240723,23.15,2.97,943278291.0,1911881423.87501
申万制造,20240724,22.89,2.93,932716105.0,1890492784.80149
申万制造,20240725,22.82,2.92,929917257.0,1884654432.0686
申万制造,20240726,23.22,2.98,946629417.0,1916622629.01869
申万制造,20240729,23.05,2.96,941521521.0,1907492189.07146
申万制造,20240730,23.04,2.96,942213709.0,1907045256.2188
申万制造,20240731,23.75,3.06,970406094.0,1961360632.20893
申万制造,20240801,23.66,3.05,968619187.0,1958730554.24012
申万制造,20240802,23.16,2.99,947452958.0,1916245253.60111
申万制造,20240805,22.39,2.89,915201431.0,1849910112.80326
申万制造,20240806,22.74,2.93,929435099.0,1879606619.87667
申万制造,20240807,22.73,2.94,929908088.0,1879614243.01189
申万制造,20240808,22.58,2.91,923362129.0,1865723520.67275
申万制造,20240809,22.48,2.9,920500555.0,1857602467.99928
申万制造,20240812,22.36,2.88,914126708.0,1844697447.18093
申万制造,20240813,22.58,2.91,923528119.0,1863237069.83899
