name,trade_date,pe,pb,float_mv,total_mv
申万服务,20240102,9.61,1.34,987907656.0,2654211006.15866
申万服务,20240103,9.62,1.34,988827980.0,2663333698.17494
申万服务,20240104,9.58,1.33,983995119.0,2655930550.32358
申万服务,20240105,9.51,1.32,976293958.0,2640443155.28204
申万服务,20240108,9.37,1.31,962017368.0,2606106374.92506
申万服务,20240109,9.39,1.31,963339842.0,2608679302.57717
申万服务,20240110,9.31,1.3,954284431.0,2586781865.18748
申万服务,20240111,9.41,1.31,965783536.0,2602858116.83499
申万服务,20240112,9.38,1.3,961059390.0,2599651396.35953
申万服务,20240115,9.4,1.31,962636695.0,2607790858.93689
申万服务,20240116,9.42,1.31,964570094.0,2616581716.13374
申万服务,20240117,9.24,1.28,946180700.0,2571521895.03102
申万服务,20240118,9.28,1.29,950138235.0,2576073341.39111
申万服务,20240119,9.22,1.28,944463354.0,2562843615.95897
申万服务,20240122,8.94,1.24,914572035.0,2495593575.90136
申万服务,20240123,9.04,1.26,924109691.0,2516548840.63501
申万服务,20240124,9.26,1.29,945792679.0,2579910565.79767
申万服务,20240125,9.51,1.32,972303060.0,2655072481.27495
申万服务,20240126,9.63,1.33,968892989.0,2665513348.07062
申万服务,20240129,9.51,1.31,955123063.0,2646192577.09857
申万服务,20240130,9.34,1.28,936501867.0,2601196045.69916
申万服务,20240131,9.16,1.26,916951250.0,2566356635.76374
申万服务,20240201,9.1,1.25,909508900.0,2542431465.16507
申万服务,20240202,8.93,1.22,891885619.0,2508636470.36754
申万服务,20240205,8.7,1.19,866374610.0,2464477416.97445
申万服务,20240206,9.03,1.23,897383064.0,2539342892.88471
申万服务,20240207,9.12,1.25,904703736.0,2547977726.25421
申万服务,20240208,9.26,1.27,921657239.0,2578435162.08377
申万服务,20240219,9.42,1.29,938625096.0,2629944542.14961
申万服务,20240220,9.49,1.3,945309777.0,2651445552.83867
申万服务,20240221,9.6,1.32,957168218.0,2680177286.10019
申万服务,20240222,9.71,1.33,969354877.0,2708630985.42392
申万服务,20240223,9.8,1.34,979385830.0,2731591359.37871
申万服务,20240226,9.69,1.33,969130881.0,2690739518.34249
申万服务,20240227,9.84,1.35,985441350.0,2725079537.95456
申万服务,20240228,9.62,1.32,960132859.0,2675220206.60944
申万服务,20240229,9.82,1.35,980421679.0,2719862882.80226
申万服务,20240301,9.87,1.35,986912555.0,2729400273.90873
申万服务,20240304,9.88,1.35,987085033.0,2730647713.12266
申万服务,20240305,9.87,1.35,985479606.0,2739432091.00593
申万服务,20240306,9.84,1.35,983009285.0,2727664335.85595
申万服务,20240307,9.74,1.34,973247124.0,2710285892.31394
申万服务,20240308,9.79,1.34,978250313.0,2722615457.35682
申万服务,20240311,9.89,1.36,989089947.0,2740596901.47008
申万服务,20240312,9.89,1.36,990655699.0,2727139163.73742
申万服务,20240313,9.87,1.35,988345343.0,2716274443.47951
申万服务,20240314,9.82,1.35,982920904.0,2708444088.53872
申万服务,20240315,9.88,1.35,988328462.0,2721484143.36877
申万服务,20240318,10.02,1.37,1002155185.0,2752858026.41127
申万服务,20240319,9.91,1.36,991525601.0,2724414831.9009
申万服务,20240320,10.01,1.37,1003047365.0,2754217309.14326
申万服务,20240321,10.04,1.38,1005223952.0,2758436615.44898
申万服务,20240322,9.95,1.36,995754288.0,2738369824.46298
申万服务,20240325,9.8,1.34,980291094.0,2709621049.43102
申万服务,20240326,9.81,1.34,979549471.0,2714813608.48873
申万服务,20240327,9.63,1.32,960195346.0,2678260675.68141
申万服务,20240328,9.72,1.33,969669089.0,2691372334.50269
申万服务,20240329,9.75,1.33,972727482.0,2706120082.49617
申万服务,20240401,9.91,1.36,988363214.0,2740408348.14194
申万服务,20240402,9.86,1.35,982586491.0,2731862831.90385
申万服务,20240403,9.78,1.34,973799625.0,2714706350.20052
申万服务,20240408,9.71,1.33,966124986.0,2705423939.959
申万服务,20240409,9.72,1.33,967441575.0,2700564394.96013
申万服务,20240410,9.62,1.31,955413229.0,2679232367.56183
申万服务,20240411,9.64,1.31,957424153.0,2684776202.20151
申万服务,20240412,9.54,1.3,946221982.0,2659578199.42505
