name,trade_date,pe,pb,float_mv,total_mv
申万Ａ指,20240102,14.47,1.57,2921943608.0,7658433843.09995
申万Ａ指,20240103,14.44,1.56,2914228357.0,7647227792.97644
申万Ａ指,20240104,14.33,1.55,2893144535.0,7603658622.70877
申万Ａ指,20240105,14.18,1.53,2860510686.0,7524519502.05971
申万Ａ指,20240108,13.95,1.51,2813063076.0,7403983495.05036
申万Ａ指,20240109,14.0,1.51,2821890751.0,7422340895.4603
申万Ａ指,20240110,13.92,1.5,2804731694.0,7377439607.72157
申万Ａ指,20240111,14.07,1.52,2836073694.0,7441576406.2947
申万Ａ指,20240112,14.01,1.51,2823111559.0,7414192969.43292
申万Ａ指,20240115,13.99,1.51,2819295361.0,7410673115.20464
申万Ａ指,20240116,14.01,1.51,2822198259.0,7421339882.14357
申万Ａ指,20240117,13.69,1.48,2755646849.0,7252561612.21457
申万Ａ指,20240118,13.77,1.49,2769747357.0,7278857362.79555
申万Ａ指,20240119,13.69,1.48,2751005411.0,7230033896.16775
申万Ａ指,20240122,13.22,1.42,2652373886.0,6983777964.3117
申万Ａ指,20240123,13.33,1.43,2673150135.0,7033979609.49162
申万Ａ指,20240124,13.52,1.46,2712453161.0,7144018027.42009
申万Ａ指,20240125,13.87,1.49,2784338504.0,7349627908.51218
申万Ａ指,20240126,13.88,1.49,2771251060.0,7333893126.38333
申万Ａ指,20240129,13.65,1.47,2721016755.0,7223158060.03489
申万Ａ指,20240130,13.35,1.43,2659100560.0,7064299090.53895
申万Ａ指,20240131,13.06,1.4,2595105426.0,6916050632.15366
申万Ａ指,20240201,13.01,1.39,2582290773.0,6876871483.39665
申万Ａ指,20240202,12.72,1.36,2521624158.0,6733520473.5181
申万Ａ指,20240205,12.45,1.32,2456288387.0,6586203053.9737
申万Ａ指,20240206,13.0,1.38,2561088112.0,6846474141.43286
申万Ａ指,20240207,13.25,1.4,2604739181.0,6943154540.66174
申万Ａ指,20240208,13.51,1.43,2662723979.0,7084734708.5618
申万Ａ指,20240219,13.68,1.46,2699898361.0,7200321729.25632
申万Ａ指,20240220,13.73,1.46,2711941351.0,7233429604.37683
申万Ａ指,20240221,13.88,1.48,2741365767.0,7305620939.4964
申万Ａ指,20240222,14.03,1.5,2775295609.0,7400916157.99691
申万Ａ指,20240223,14.13,1.51,2798538861.0,7464571238.0559
申万Ａ指,20240226,14.09,1.51,2793969088.0,7436151226.28972
申万Ａ指,20240227,14.33,1.53,2845528993.0,7563351638.60575
申万Ａ指,20240228,13.96,1.49,2764844195.0,7360064538.32302
申万Ａ指,20240229,14.33,1.53,2839839752.0,7544084786.67378
申万Ａ指,20240301,14.44,1.54,2863710899.0,7594018694.49882
申万Ａ指,20240304,14.48,1.55,2870169256.0,7618424618.71783
申万Ａ指,20240305,14.46,1.54,2864441312.0,7612278352.65236
申万Ａ指,20240306,14.46,1.54,2866536653.0,7608126728.03317
申万Ａ指,20240307,14.34,1.53,2843042420.0,7553614383.85938
申万Ａ指,20240308,14.46,1.54,2866828076.0,7615949765.19328
申万Ａ指,20240311,14.68,1.57,2911491682.0,7713025300.47145
申万Ａ指,20240312,14.73,1.57,2923734562.0,7719369637.02303
申万Ａ指,20240313,14.69,1.57,2916059749.0,7696873582.30475
申万Ａ指,20240314,14.63,1.56,2904078922.0,7669409134.05934
