name,trade_date,pe,pb,float_mv,total_mv
电力,20240102,19.43,1.46,73819689.0,269026095.825873
电力,20240103,19.68,1.48,74771704.0,272511393.215919
电力,20240104,19.65,1.48,74632626.0,272253637.595227
电力,20240105,19.51,1.47,74116081.0,270652470.46025
电力,20240108,19.3,1.45,73621472.0,268097626.939687
电力,20240109,19.35,1.46,73812240.0,268496589.800261
电力,20240110,19.26,1.45,73477580.0,267254322.038873
电力,20240111,19.16,1.44,73408474.0,265822609.509663
电力,20240112,19.39,1.46,74279294.0,269312425.870467
电力,20240115,19.35,1.46,74148529.0,269068174.531902
电力,20240116,19.3,1.46,73944024.0,268705476.731438
电力,20240117,18.99,1.43,72781730.0,264802234.152295
电力,20240118,18.85,1.42,72219103.0,262589595.248769
电力,20240119,18.72,1.41,71749191.0,261225188.09366
电力,20240122,18.12,1.37,69450178.0,253523981.446668
电力,20240123,18.29,1.38,70075250.0,256060465.550837
电力,20240124,18.69,1.41,71588441.0,261851434.752227
电力,20240125,19.2,1.45,73556788.0,268871872.693145
电力,20240126,19.33,1.46,74063066.0,270811678.220636
电力,20240129,19.33,1.46,74084111.0,271799389.04734
电力,20240130,19.14,1.44,73359469.0,269397257.786424
电力,20240131,19.04,1.44,72975711.0,269588759.243166
电力,20240201,18.75,1.41,71865106.0,265593941.536771
电力,20240202,18.57,1.4,71120310.0,264313363.799589
电力,20240205,18.27,1.38,69962125.0,261793862.138724
电力,20240206,18.66,1.41,71464498.0,266554781.840763
电力,20240207,18.86,1.42,71599177.0,267983151.335817
电力,20240208,19.08,1.43,72452977.0,269973683.051992
电力,20240219,19.52,1.47,74106233.0,277068649.0942
电力,20240220,19.62,1.48,74480788.0,278842445.303995
电力,20240221,19.52,1.47,73828141.0,277151809.555937
电力,20240222,19.72,1.48,74577508.0,279946096.854662
电力,20240223,19.89,1.49,75236176.0,281764047.835918
电力,20240226,19.49,1.46,73706576.0,275394779.857201
电力,20240227,19.59,1.47,74111632.0,276530685.602273
电力,20240228,19.54,1.47,73906480.0,276777236.667458
电力,20240229,19.7,1.48,74587027.0,278634803.285867
电力,20240301,19.62,1.48,74304715.0,277055823.647679
电力,20240304,19.96,1.5,75581876.0,282726313.247572
电力,20240305,20.09,1.51,76062365.0,285170747.961009
电力,20240306,20.24,1.52,76653255.0,287114921.195706
电力,20240307,20.37,1.53,77043780.0,288460277.998287
电力,20240308,20.57,1.55,77823279.0,291417092.210692
电力,20240311,20.64,1.55,78067372.0,291045569.84446
电力,20240312,20.06,1.51,75909240.0,281907943.992491
电力,20240313,20.16,1.51,76282391.0,283037374.633908
电力,20240314,20.14,1.51,76204182.0,282841693.162406
电力,20240315,20.28,1.52,76694960.0,284708707.45027
电力,20240318,20.45,1.54,77293821.0,286663758.551318
电力,20240319,20.26,1.52,76579980.0,284090046.821177
电力,20240320,20.43,1.53,76966873.0,285619775.924751
电力,20240321,20.37,1.53,76742387.0,284637529.273885
电力,20240322,20.27,1.52,76388454.0,283448110.658894
电力,20240325,20.26,1.52,76262775.0,283141542.376737
电力,20240326,20.4,1.53,76751419.0,285156987.171646
电力,20240327,20.22,1.52,75978516.0,283478069.107381
电力,20240328,20.02,1.53,76428734.0,285091320.387206
电力,20240329,20.25,1.55,77406968.0,288954075.791685
电力,20240401,20.2,1.55,77271824.0,287639000.755848
电力,20240402,20.32,1.55,77738819.0,289112968.81358
电力,20240403,20.26,1.55,77522912.0,288491480.186996
电力,20240408,20.77,1.59,79488068.0,296188973.775585
电力,20240409,20.58,1.58,79164810.0,294499466.646224
电力,20240410,20.71,1.59,79668114.0,297115877.634767
电力,20240411,20.87,1.6,80250861.0,299561533.046286
电力,20240412,20.64,1.58,79441074.0,296747480.542825
电力,20240415,20.93,1.59,80224696.0,300661750.89289
电力,20240416,20.03,1.56,78598830.0,295750303.384229
电力,20240417,20.41,1.59,80028785.0,300620069.454704
电力,20240418,20.01,1.57,78851449.0,296284977.098077
电力,20240419,19.9,1.56,78518813.0,295487509.687913
电力,20240422,19.94,1.55,77987204.0,293644752.58994
电力,20240423,19.64,1.53,76864123.0,289373753.53743
电力,20240424,19.92,1.55,77895748.0,293363822.401365
电力,20240425,19.67,1.54,77636896.0,292233709.096971
电力,20240426,19.79,1.54,77730093.0,291874454.478363
电力,20240429,19.86,1.53,77790816.0,291959356.064047
电力,20240430,18.56,1.52,79460514.0,294164279.778748
电力,20240506,17.61,1.53,80366658.0,296991715.532333
电力,20240507,17.46,1.52,79669203.0,294267066.935704
电力,20240508,17.42,1.52,79477076.0,293591046.511743
电力,20240509,17.51,1.52,79883002.0,294688854.908802
电力,20240510,17.76,1.55,81064351.0,298627623.767298
电力,20240513,18.01,1.57,82168042.0,302733711.090545
电力,20240514,17.97,1.56,82005446.0,302418103.238854
电力,20240515,17.64,1.54,80489038.0,297078239.188106
电力,20240516,17.48,1.52,79745725.0,294136514.2537
电力,20240517,17.6,1.53,80303984.0,296300202.976655
电力,20240520,17.83,1.55,81367880.0,300355969.804876
电力,20240521,17.77,1.55,81040452.0,299654725.277146
电力,20240522,17.77,1.55,81050618.0,299249831.690557
电力,20240523,17.57,1.53,80133818.0,296643740.279151
电力,20240524,17.94,1.56,81809649.0,302522179.041462
电力,20240527,18.18,1.58,82912507.0,306610313.207982
电力,20240528,18.44,1.61,84097280.0,310654735.689733
电力,20240529,18.42,1.6,84018435.0,310559300.68718
电力,20240530,18.13,1.58,82688751.0,306212792.17777
电力,20240531,18.03,1.57,82252234.0,305199029.336348
电力,20240603,18.11,1.58,82619696.0,307722178.227118
电力,20240604,18.35,1.6,83679175.0,311517364.326832
电力,20240605,18.29,1.59,83434423.0,311079322.625186
电力,20240606,18.28,1.59,83356535.0,311237964.166746
电力,20240607,18.56,1.62,84663760.0,316295475.724603
电力,20240611,18.42,1.61,84035420.0,313509011.889462
电力,20240612,18.56,1.62,84814931.0,315914511.314082
电力,20240613,18.65,1.62,85216021.0,317794477.173482
电力,20240614,18.34,1.6,83800667.0,311717265.044113
电力,20240617,18.13,1.58,82868828.0,308491530.324252
电力,20240618,18.12,1.58,82822994.0,308414883.774026
电力,20240619,18.01,1.57,82290451.0,307056869.86866
电力,20240620,81.52,1.57,17660926.0,308023137.943587
电力,20240621,17.99,1.57,82196597.0,307742007.547523
电力,20240624,18.02,1.57,82339725.0,308909417.185374
电力,20240625,17.92,1.56,81886352.0,307349267.866272
电力,20240626,17.97,1.57,82123525.0,307763274.517773
电力,20240627,17.83,1.55,81470825.0,305849218.296207
电力,20240628,18.21,1.59,83150677.0,312385872.819634
电力,20240701,18.62,1.62,85004841.0,319989969.197369
电力,20240702,18.7,1.63,85388002.0,321685668.784187
电力,20240703,18.59,1.62,84933429.0,320003994.074828
电力,20240704,18.48,1.61,84431237.0,318736094.534506
电力,20240705,18.39,1.6,84063055.0,317261047.633094
电力,20240708,18.6,1.62,85518141.0,321454368.975387
电力,20240709,18.81,1.64,86502440.0,324900685.07503
电力,20240710,18.4,1.61,84596300.0,317606286.600986
电力,20240711,18.55,1.62,85305044.0,319637110.112072
电力,20240712,18.33,1.6,84310486.0,315658300.446602
电力,20240715,18.41,1.61,84671538.0,318001017.046677
电力,20240716,18.47,1.61,84926508.0,319102554.265473
电力,20240717,18.18,1.59,83593330.0,314101929.715633
电力,20240718,18.44,1.61,84821559.0,319182363.626117
电力,20240719,18.37,1.6,84492284.0,317538479.371876
电力,20240722,18.22,1.59,83790650.0,314451320.641403
电力,20240723,18.15,1.58,83467094.0,313598617.844933
电力,20240724,18.45,1.61,84850483.0,319290364.536788
电力,20240725,18.4,1.61,84614562.0,317766706.704948
电力,20240726,18.26,1.59,83988550.0,314594062.565968
电力,20240729,18.32,1.6,84230482.0,315535899.324153
电力,20240730,18.1,1.58,83257250.0,311370045.600574
电力,20240731,18.13,1.56,83831976.0,310795368.28545
电力,20240801,18.15,1.57,83926084.0,311334522.664847
电力,20240802,18.03,1.56,83387783.0,309525983.887604
电力,20240805,17.74,1.53,82015505.0,304800709.158008
电力,20240806,17.76,1.53,82009748.0,304546826.717434
电力,20240807,17.98,1.55,83034657.0,308623223.014487
电力,20240808,17.88,1.54,82572219.0,306711162.057792
电力,20240809,17.76,1.53,82022798.0,304515118.806678
电力,20240812,17.7,1.53,81729346.0,303267723.384672
电力,20240813,17.75,1.53,81944867.0,304214729.160737
电力,20240814,17.89,1.54,82577257.0,306998718.158633
电力,20240815,18.04,1.55,83269713.0,309721676.914538
电力,20240816,17.86,1.54,82444575.0,306863942.958168
电力,20240819,17.91,1.54,82682002.0,308174611.514262
电力,20240820,17.74,1.52,81840520.0,305641209.207273
电力,20240821,17.61,1.51,81242020.0,303454765.051056
电力,20240822,17.77,1.53,82010123.0,307054489.398136
电力,20240823,17.56,1.51,81055127.0,302855293.756525
电力,20240826,17.56,1.51,81020068.0,302234482.527969
电力,20240827,17.47,1.5,80623345.0,300626718.252706
电力,20240828,17.57,1.51,81068440.0,302068152.822053
电力,20240829,17.39,1.5,80231105.0,297362711.997426
电力,20240830,17.36,1.49,80115449.0,296696233.965176
电力,20240902,16.84,1.5,80246967.0,297621146.123927
电力,20240903,16.54,1.48,78838503.0,291699355.155869
电力,20240904,16.46,1.47,78463660.0,290398938.344403
电力,20240905,16.44,1.47,78391096.0,289891298.460898
电力,20240906,16.3,1.46,77718122.0,287546804.963002
电力,20240909,16.19,1.45,77197382.0,285971319.708464
电力,20240910,16.15,1.44,77006677.0,284919859.827096
电力,20240911,15.66,1.4,74636825.0,275402123.084447
电力,20240912,15.72,1.4,74941299.0,276500801.343925
电力,20240913,15.76,1.41,75132890.0,277378498.115019
电力,20240918,15.8,1.41,75299021.0,277898557.754637
电力,20240919,15.91,1.42,75844054.0,279477322.383621
电力,20240920,15.87,1.42,75635382.0,278386668.405827
电力,20240923,16.04,1.43,76487346.0,282081006.610321
电力,20240924,16.55,1.48,78961803.0,290980075.386083
电力,20240925,16.61,1.48,79283488.0,291880176.046204
电力,20240926,16.79,1.5,80149182.0,294735003.204084
电力,20240927,17.09,1.53,81601665.0,299163526.876792
电力,20240930,18.21,1.63,86945125.0,318130941.20003
电力,20241008,18.31,1.63,87409410.0,318125661.336115
电力,20241009,17.26,1.54,82382924.0,300669983.849069
电力,20241010,17.64,1.57,84220014.0,307439327.335662
电力,20241011,17.34,1.55,82763965.0,302265938.276986
电力,20241014,17.5,1.56,83557682.0,304827695.561144
电力,20241015,17.14,1.53,81834381.0,298112520.14626
电力,20241016,17.22,1.53,82225092.0,299171268.217289
电力,20241017,16.98,1.51,81077675.0,294947632.110896
电力,20241018,17.18,1.53,82038016.0,298326104.775519
电力,20241021,17.04,1.52,81315990.0,295161289.667367
电力,20241022,17.33,1.54,82743228.0,300360613.408577
电力,20241023,17.45,1.56,83310742.0,302463238.944545
电力,20241024,17.34,1.54,82727704.0,300738194.2834
电力,20241025,17.31,1.54,82576572.0,299019586.648263
电力,20241028,17.5,1.55,83449470.0,301698714.522026
电力,20241029,17.3,1.53,82537155.0,298453983.085927
电力,20241030,17.23,1.51,82167062.0,296753803.700414
电力,20241031,17.41,1.53,83031178.0,299360592.558447
电力,20241101,17.6,1.51,82834006.0,299448442.940101
电力,20241104,17.64,1.51,83015285.0,299981565.375282
电力,20241105,17.79,1.52,83716390.0,301979383.845564
电力,20241106,17.69,1.51,83323389.0,299305791.288895
电力,20241107,17.99,1.54,84740055.0,304330992.267182
电力,20241108,17.87,1.53,84210723.0,302450134.838159
电力,20241111,17.88,1.53,84235319.0,302380292.414493
电力,20241112,17.69,1.51,83332160.0,298767908.398641
电力,20241113,17.78,1.52,83761319.0,301076133.443401
电力,20241114,17.5,1.5,82467520.0,297155681.638488
电力,20241115,17.31,1.48,81555976.0,294202761.508283
电力,20241118,17.46,1.49,82264773.0,297368751.646389
电力,20241119,17.49,1.5,82384576.0,297117906.247743
电力,20241120,17.59,1.51,82857514.0,298896019.462587
电力,20241121,17.63,1.51,83045503.0,299573736.875341
电力,20241122,17.2,1.47,81071010.0,292125955.965732
电力,20241125,17.1,1.46,80629961.0,290115123.552369
电力,20241126,16.99,1.45,80072788.0,288043127.072381
电力,20241127,17.18,1.47,80972310.0,291358287.887854
电力,20241128,17.14,1.47,80807129.0,290496916.835293
电力,20241129,17.18,1.47,80993213.0,290974977.059751
电力,20241202,17.43,1.49,82158221.0,294741639.868176
电力,20241203,17.73,1.52,83452190.0,300251085.489583
电力,20241204,17.69,1.51,83239118.0,300299670.849853
电力,20241205,17.66,1.51,83104437.0,299420866.986435
电力,20241206,17.9,1.53,83922412.0,302191176.517977
电力,20241209,17.99,1.54,84714875.0,305316767.939352
电力,20241210,17.85,1.53,84029263.0,302683665.863658
电力,20241211,17.96,1.54,85712898.0,304666198.093811
电力,20241212,18.03,1.55,86031179.0,305923909.590139
电力,20241213,17.86,1.54,85216512.0,303466503.651357
电力,20241216,18.15,1.56,86599834.0,308599799.941551
电力,20241217,17.97,1.55,85752920.0,306300459.428369
电力,20241218,18.12,1.56,86446614.0,309026303.102967
电力,20241219,17.91,1.54,85442116.0,305180503.653924
电力,20241220,17.79,1.53,84871819.0,303036308.104977
电力,20241223,17.91,1.54,85415270.0,305720320.330183
电力,20241224,18.1,1.56,86331973.0,309015802.431328
电力,20241225,18.02,1.55,85969205.0,308161633.758773
电力,20241226,17.8,1.53,84909223.0,303389973.516233
电力,20241227,18.01,1.55,85906090.0,306847375.601465
电力,20241230,17.8,1.53,84863064.0,303648493.231857
电力,20241231,17.67,1.52,84248799.0,302268605.473564
电力,20250102,17.23,1.48,82299399.0,294487904.336774
电力,20250103,17.01,1.46,81231281.0,291344326.414738
电力,20250106,16.97,1.46,81060945.0,290399592.491227
电力,20250107,16.91,1.45,80764430.0,288737547.354486
电力,20250108,17.01,1.46,81276772.0,290761430.43735
电力,20250109,16.8,1.45,80246915.0,286762874.001677
电力,20250110,16.51,1.42,78890993.0,282646918.564419
电力,20250113,16.44,1.41,78521679.0,281629729.821814
电力,20250114,16.74,1.44,79940720.0,287715928.385141
电力,20250115,16.69,1.44,79706955.0,287007936.228082
电力,20250116,16.74,1.44,79934096.0,287567884.439193
电力,20250117,16.73,1.44,79893575.0,287420701.373564
电力,20250120,16.82,1.44,79476436.0,286915956.768272
电力,20250121,16.79,1.44,79339137.0,286557922.997489
电力,20250122,16.7,1.43,78889924.0,285088078.68457
电力,20250123,16.7,1.43,78893305.0,285042849.049934
电力,20250124,16.66,1.43,78707359.0,284158625.202793
电力,20250127,16.89,1.45,79820483.0,288806790.325845
电力,20250205,16.75,1.44,79160364.0,286225024.707028
电力,20250206,16.87,1.45,79720608.0,288282739.425746
电力,20250207,16.94,1.45,80016349.0,288939722.445043
电力,20250210,16.91,1.45,79895669.0,288082093.0
电力,20250211,16.86,1.45,79682577.0,287326575.0
电力,20250212,16.91,1.45,79918936.0,287909189.0
电力,20250213,16.92,1.45,79956095.0,288238322.0
电力,20250214,16.91,1.45,79925936.0,288332774.0
