name,trade_date,pe,pb,float_mv,total_mv
电机Ⅱ,20240102,35.17,2.54,5798789.0,13257987.673107
电机Ⅱ,20240103,34.49,2.5,5687409.0,12921697.907458
电机Ⅱ,20240104,34.25,2.48,5648560.0,12833751.977326
电机Ⅱ,20240105,33.72,2.44,5561828.0,12640416.524883
电机Ⅱ,20240108,32.84,2.38,5415910.0,12279186.015838
电机Ⅱ,20240109,33.14,2.4,5467532.0,12413694.601687
电机Ⅱ,20240110,32.68,2.36,5390846.0,12214819.119551
电机Ⅱ,20240111,33.39,2.42,5507435.0,12497024.768763
电机Ⅱ,20240112,33.15,2.4,5465823.0,12380494.446812
电机Ⅱ,20240115,33.01,2.39,5442503.0,12339500.172412
电机Ⅱ,20240116,32.77,2.37,5403175.0,12238614.593162
电机Ⅱ,20240117,31.69,2.29,5225282.0,11786944.121316
电机Ⅱ,20240118,31.5,2.28,5191139.0,11752558.47345
电机Ⅱ,20240119,30.89,2.23,5088674.0,11517291.913976
电机Ⅱ,20240122,28.95,2.09,4769183.0,10801226.192958
电机Ⅱ,20240123,29.01,2.1,4776068.0,10810327.995225
电机Ⅱ,20240124,29.0,2.1,4774242.0,10749978.4646
电机Ⅱ,20240125,29.36,2.12,4837626.0,10821465.652714
电机Ⅱ,20240126,28.85,2.09,4759801.0,10580562.47392
电机Ⅱ,20240129,27.92,2.02,4603535.0,10218576.089591
电机Ⅱ,20240130,27.39,1.98,4513167.0,10020945.268369
电机Ⅱ,20240131,25.96,1.88,4276186.0,9479890.474038
电机Ⅱ,20240201,25.86,1.87,4257275.0,9456307.365901
电机Ⅱ,20240202,24.67,1.79,4058403.0,9022797.424999
电机Ⅱ,20240205,22.83,1.65,3746395.0,8303985.878446
电机Ⅱ,20240206,24.16,1.75,3958044.0,8764095.968079
电机Ⅱ,20240207,24.81,1.8,4053725.0,8973784.804357
电机Ⅱ,20240208,26.43,1.91,4326174.0,9622678.603771
电机Ⅱ,20240219,26.4,1.91,4384179.0,9858220.539189
电机Ⅱ,20240220,26.82,1.94,4455203.0,10052815.346852
电机Ⅱ,20240221,27.11,1.96,4503896.0,10166341.585144
电机Ⅱ,20240222,27.55,1.99,4580414.0,10347660.969257
电机Ⅱ,20240223,28.84,2.09,4794882.0,10894574.175648
电机Ⅱ,20240226,29.77,2.16,4943717.0,11281603.75448
电机Ⅱ,20240227,30.87,2.24,5138729.0,11767731.320121
电机Ⅱ,20240228,28.83,2.09,4786497.0,10905486.714819
电机Ⅱ,20240229,30.29,2.19,5028537.0,11476110.896578
电机Ⅱ,20240301,30.8,2.23,5111071.0,11683169.885162
电机Ⅱ,20240304,30.79,2.23,5105513.0,11710971.217629
电机Ⅱ,20240305,30.33,2.2,5031923.0,11497711.249287
电机Ⅱ,20240306,31.62,2.29,5256157.0,12066335.557925
电机Ⅱ,20240307,30.81,2.23,5131657.0,11760631.223112
电机Ⅱ,20240308,31.02,2.25,5156680.0,11798374.271348
电机Ⅱ,20240311,31.76,2.3,5275880.0,12059816.909996
电机Ⅱ,20240312,32.03,2.32,5319349.0,12142078.362864
电机Ⅱ,20240313,32.54,2.36,5400069.0,12305569.188485
电机Ⅱ,20240314,32.46,2.35,5381266.0,12298601.288513
电机Ⅱ,20240315,33.65,2.44,5577478.0,12791818.858925
电机Ⅱ,20240318,35.03,2.54,5806186.0,13233471.043476
电机Ⅱ,20240319,35.15,2.54,5823793.0,13163362.196658
电机Ⅱ,20240320,36.13,2.62,5983089.0,13412423.623401
电机Ⅱ,20240321,37.01,2.68,6119138.0,13639892.520982
电机Ⅱ,20240322,36.34,2.63,6007972.0,13437885.684963
电机Ⅱ,20240325,34.66,2.51,5727410.0,12780483.608166
电机Ⅱ,20240326,34.16,2.47,5651379.0,12569147.74266
电机Ⅱ,20240327,33.8,2.42,5585750.0,12655279.487146
电机Ⅱ,20240328,35.48,2.54,5859417.0,13222735.817946
电机Ⅱ,20240329,35.58,2.54,5868240.0,13235085.298943
电机Ⅱ,20240401,35.49,2.55,5898424.0,13351724.66552
电机Ⅱ,20240402,34.65,2.49,5758347.0,13043007.448858
电机Ⅱ,20240403,34.06,2.45,5659532.0,12832744.286751
电机Ⅱ,20240408,33.54,2.41,5568550.0,12628204.357984
电机Ⅱ,20240409,34.24,2.46,5689424.0,12895360.736333
电机Ⅱ,20240410,33.72,2.42,5598245.0,12646484.135182
电机Ⅱ,20240411,33.14,2.38,5504500.0,12436025.112149
电机Ⅱ,20240412,32.77,2.35,5446964.0,12330366.804304
电机Ⅱ,20240415,31.94,2.29,5303668.0,12013085.841467
电机Ⅱ,20240416,29.74,2.16,4984605.0,11252476.758987
电机Ⅱ,20240417,31.6,2.29,5300113.0,11938938.896556
电机Ⅱ,20240418,32.71,2.38,5507117.0,12473361.065215
电机Ⅱ,20240419,32.59,2.38,5484909.0,12388459.951499
电机Ⅱ,20240422,31.81,2.31,5329669.0,12076692.847391
电机Ⅱ,20240423,30.76,2.33,5420375.0,12340551.461408
电机Ⅱ,20240424,31.66,2.4,5577996.0,12635628.523557
电机Ⅱ,20240425,31.47,2.39,5547025.0,12555765.517155
电机Ⅱ,20240426,32.32,2.43,5675245.0,12848357.539002
电机Ⅱ,20240429,35.98,2.47,5760720.0,13108054.2142
电机Ⅱ,20240430,34.61,2.38,5622859.0,12793609.335305
电机Ⅱ,20240506,36.87,2.49,5873559.0,13351654.916408
电机Ⅱ,20240507,36.92,2.49,5877093.0,13341933.785772
电机Ⅱ,20240508,35.97,2.43,5728082.0,13004436.288931
电机Ⅱ,20240509,36.33,2.45,5785247.0,13152359.72037
电机Ⅱ,20240510,35.75,2.41,5690997.0,12928543.689145
电机Ⅱ,20240513,35.09,2.37,5586153.0,12648725.406907
电机Ⅱ,20240514,35.38,2.39,5634250.0,12793743.362968
电机Ⅱ,20240515,34.91,2.36,5562194.0,12615494.155745
电机Ⅱ,20240516,35.3,2.38,5623750.0,12725829.309508
电机Ⅱ,20240517,35.97,2.43,5731398.0,12959967.401262
电机Ⅱ,20240520,35.95,2.43,5728118.0,13002036.270209
电机Ⅱ,20240521,35.52,2.4,5658578.0,12814161.566423
电机Ⅱ,20240522,35.99,2.43,5736761.0,13000728.603483
电机Ⅱ,20240523,35.2,2.38,5611517.0,12720568.66753
电机Ⅱ,20240524,34.43,2.32,5488682.0,12417433.571892
电机Ⅱ,20240527,34.72,2.34,5535621.0,12513871.124922
电机Ⅱ,20240528,34.63,2.34,5521470.0,12477666.503457
电机Ⅱ,20240529,34.75,2.34,5546221.0,12523578.296015
电机Ⅱ,20240530,34.61,2.34,5522091.0,12521133.748893
电机Ⅱ,20240531,34.96,2.36,5574631.0,12661199.541868
电机Ⅱ,20240603,34.92,2.36,5563166.0,12667021.469713
电机Ⅱ,20240604,34.84,2.36,5549290.0,12649448.75035
电机Ⅱ,20240605,33.97,2.3,5408941.0,12345724.18791
电机Ⅱ,20240606,32.82,2.22,5225463.0,11926534.48498
电机Ⅱ,20240607,32.99,2.23,5259775.0,11946978.321873
电机Ⅱ,20240611,33.24,2.25,5296404.0,12052902.144626
电机Ⅱ,20240612,33.45,2.26,5334438.0,12145123.74548
电机Ⅱ,20240613,33.64,2.28,5367710.0,12262000.21658
电机Ⅱ,20240614,33.4,2.26,5329374.0,12124704.037871
电机Ⅱ,20240617,32.96,2.23,5261888.0,11978933.908256
电机Ⅱ,20240618,33.39,2.26,5335336.0,12139238.584856
电机Ⅱ,20240619,32.83,2.22,5248326.0,11914806.569377
电机Ⅱ,20240620,50.48,2.16,2400229.0,11517963.687615
电机Ⅱ,20240621,31.73,2.16,4977263.0,11519951.47195
电机Ⅱ,20240624,30.55,2.08,4790787.0,11055818.570767
电机Ⅱ,20240625,30.7,2.09,4820295.0,11117053.62689
电机Ⅱ,20240626,31.48,2.14,4946708.0,11403014.897207
电机Ⅱ,20240627,30.58,2.08,4811112.0,11108656.080765
