name,trade_date,pe,pb,float_mv,total_mv
电池化学品,20240102,20.51,2.08,33244768.0,62234792.012886
电池化学品,20240103,20.54,2.08,33268268.0,62234039.414979
电池化学品,20240104,20.21,2.05,32686168.0,61166349.675472
电池化学品,20240105,19.88,2.02,32245645.0,60454746.77996
电池化学品,20240108,19.39,1.97,31495958.0,59169999.373567
电池化学品,20240109,19.49,1.98,31591989.0,59238522.528721
电池化学品,20240110,19.6,1.99,31753801.0,59484370.71994
电池化学品,20240111,20.39,2.07,33032145.0,61827599.427856
电池化学品,20240112,20.4,2.07,32983381.0,61720763.253346
电池化学品,20240115,20.0,2.03,32304614.0,60468671.051116
电池化学品,20240116,20.15,2.04,32509573.0,60883825.056559
电池化学品,20240117,19.5,1.98,31386885.0,58931260.936262
电池化学品,20240118,19.66,1.99,31550449.0,59214860.801843
电池化学品,20240119,19.36,1.96,31070740.0,58299702.733404
电池化学品,20240122,18.27,1.85,29235364.0,54894839.337365
电池化学品,20240123,18.4,1.87,29441510.0,55264363.014173
电池化学品,20240124,18.32,1.86,29319444.0,55043105.071648
电池化学品,20240125,18.6,1.89,29847076.0,56063093.857395
电池化学品,20240126,18.18,1.84,29154311.0,54850453.030798
电池化学品,20240129,17.49,1.77,28049233.0,52831743.945626
电池化学品,20240130,16.9,1.71,27110680.0,51034100.962889
电池化学品,20240131,16.3,1.65,26118156.0,49080768.810394
电池化学品,20240201,16.12,1.64,25799674.0,48488857.510659
电池化学品,20240202,15.51,1.57,24751657.0,46436276.254388
电池化学品,20240205,14.88,1.51,23641322.0,44412684.964553
电池化学品,20240206,16.06,1.63,25480522.0,47771593.372105
电池化学品,20240207,16.86,1.71,26729254.0,49894376.400585
电池化学品,20240208,17.25,1.75,27539662.0,51453412.207147
电池化学品,20240219,17.11,1.74,27319015.0,51025017.500189
电池化学品,20240220,17.05,1.73,27207544.0,50816521.835321
电池化学品,20240221,17.27,1.75,28211114.0,51508804.697239
电池化学品,20240222,17.4,1.77,28427790.0,51879579.573534
电池化学品,20240223,17.56,1.78,28714782.0,52419953.808304
电池化学品,20240226,17.71,1.8,28924474.0,52726704.089805
电池化学品,20240227,17.95,1.82,29374390.0,53584078.118318
电池化学品,20240228,17.51,1.78,28537062.0,52072088.486594
电池化学品,20240229,18.08,1.83,29582866.0,54025237.872494
电池化学品,20240301,18.08,1.83,29598247.0,54049352.042076
电池化学品,20240304,17.92,1.82,29337301.0,53528957.569794
电池化学品,20240305,17.58,1.78,28720786.0,52389588.65882
电池化学品,20240306,17.68,1.79,28921151.0,52830763.227215
电池化学品,20240307,17.26,1.75,28235920.0,51696007.464076
电池化学品,20240308,17.29,1.75,28304434.0,51768582.449088
电池化学品,20240311,18.72,1.9,30670556.0,56185606.169665
电池化学品,20240312,18.91,1.92,30905520.0,56700256.604439
电池化学品,20240313,18.76,1.9,30663802.0,56244640.919286
电池化学品,20240314,18.49,1.88,30203845.0,55297702.79609
电池化学品,20240315,18.67,1.89,30498729.0,55717312.853768
电池化学品,20240318,19.27,1.95,31415089.0,57334528.710958
电池化学品,20240319,19.17,1.95,31230019.0,57009940.429745
电池化学品,20240320,19.1,1.94,31290514.0,56972461.799014
电池化学品,20240321,18.78,1.91,30795617.0,56059023.878582
电池化学品,20240322,18.08,1.83,29655243.0,53983005.397067
电池化学品,20240325,17.45,1.77,28668926.0,52230900.008426
