name,trade_date,pe,pb,float_mv,total_mv
电网自动化设备,20240102,27.62,2.99,16189560.0,33503644.391452
电网自动化设备,20240103,27.85,3.01,16315034.0,33787827.74609
电网自动化设备,20240104,27.73,3.0,16239512.0,33648041.089893
电网自动化设备,20240105,27.35,2.96,16011295.0,33199738.464031
电网自动化设备,20240108,27.02,2.92,15804919.0,32768754.136334
电网自动化设备,20240109,27.0,2.92,15795739.0,32729352.17281
电网自动化设备,20240110,26.78,2.9,15679836.0,32482388.650761
电网自动化设备,20240111,26.63,2.88,15617318.0,32270593.932725
电网自动化设备,20240112,26.72,2.89,15664913.0,32309369.570123
电网自动化设备,20240115,26.76,2.9,15682760.0,32376074.578621
电网自动化设备,20240116,26.89,2.91,15748737.0,32486683.346936
电网自动化设备,20240117,26.45,2.86,15479669.0,31886042.445602
电网自动化设备,20240118,26.62,2.88,15571505.0,32149075.857249
电网自动化设备,20240119,26.18,2.83,15307750.0,31644770.804945
电网自动化设备,20240122,25.35,2.74,14785838.0,30666831.516333
电网自动化设备,20240123,25.18,2.72,14698067.0,30482821.116172
电网自动化设备,20240124,25.27,2.73,14740558.0,30562087.289383
电网自动化设备,20240125,26.04,2.82,15205344.0,31560211.277988
电网自动化设备,20240126,25.79,2.79,15065371.0,31324221.060719
电网自动化设备,20240129,25.59,2.77,14932803.0,31156935.335697
电网自动化设备,20240130,25.04,2.71,14590609.0,30397787.419798
电网自动化设备,20240131,24.63,2.66,14325144.0,29900770.875125
电网自动化设备,20240201,24.44,2.64,14203947.0,29625278.947152
电网自动化设备,20240202,23.84,2.58,13838027.0,28894165.050599
电网自动化设备,20240205,23.48,2.54,13572106.0,28488949.760189
电网自动化设备,20240206,24.86,2.69,14372703.0,30144137.378635
电网自动化设备,20240207,25.62,2.77,14787674.0,30899557.981693
电网自动化设备,20240208,25.89,2.8,15001513.0,31328153.573388
电网自动化设备,20240219,26.07,2.82,15118865.0,31610180.258554
电网自动化设备,20240220,26.33,2.85,15258359.0,31905248.791632
电网自动化设备,20240221,26.17,2.83,15190612.0,31744178.756649
电网自动化设备,20240222,26.41,2.86,15333718.0,32055720.04623
电网自动化设备,20240223,26.5,2.87,15432896.0,32390598.323168
电网自动化设备,20240226,26.76,2.9,15587892.0,32654640.133672
电网自动化设备,20240227,26.98,2.92,15727806.0,32955451.432293
电网自动化设备,20240228,26.41,2.86,15363551.0,32279349.167878
电网自动化设备,20240229,27.01,2.92,15726229.0,33042867.917167
电网自动化设备,20240301,27.36,2.96,15941827.0,33428713.96955
电网自动化设备,20240304,27.94,3.02,16278886.0,34203697.74878
电网自动化设备,20240305,28.28,3.06,16433475.0,34560494.055539
电网自动化设备,20240306,28.94,3.13,16825870.0,35385327.731043
电网自动化设备,20240307,28.7,3.1,16676452.0,35072474.957683
电网自动化设备,20240308,28.83,3.12,16760516.0,35202942.956563
电网自动化设备,20240311,29.39,3.18,17127232.0,36007530.246285
电网自动化设备,20240312,29.08,3.15,16947703.0,35582477.602703
电网自动化设备,20240313,29.02,3.14,16911095.0,35496671.533547
电网自动化设备,20240314,28.78,3.12,16811627.0,35214686.57798
电网自动化设备,20240315,28.77,3.11,16814218.0,35176310.798401
电网自动化设备,20240318,29.36,3.18,17159703.0,35899782.202822
电网自动化设备,20240319,28.97,3.14,16939296.0,35470433.609992
电网自动化设备,20240320,29.17,3.15,17061971.0,35753395.883441
电网自动化设备,20240321,29.07,3.14,16998224.0,35631913.832789
电网自动化设备,20240322,28.78,3.11,16817699.0,35259965.315839
电网自动化设备,20240325,28.56,3.09,16658063.0,34949317.254759
电网自动化设备,20240326,28.57,3.09,16662640.0,34871320.592348
电网自动化设备,20240327,27.98,3.03,16303211.0,34138531.217363
电网自动化设备,20240328,28.2,3.05,16438445.0,34399803.782476
电网自动化设备,20240329,28.76,3.12,16803519.0,35064467.517395
电网自动化设备,20240401,28.84,3.14,16918520.0,35396505.509528
电网自动化设备,20240402,29.0,3.15,17006676.0,35454219.21679
电网自动化设备,20240403,28.31,3.08,16606903.0,34620763.75935
电网自动化设备,20240408,28.36,3.08,16685968.0,34704418.769904
电网自动化设备,20240409,28.32,3.08,16678172.0,34666445.793678
电网自动化设备,20240410,27.95,3.04,16442863.0,34161084.398716
电网自动化设备,20240411,28.58,3.15,17017547.0,35391303.82556
电网自动化设备,20240412,28.63,3.16,17181074.0,35631569.597975
电网自动化设备,20240415,28.82,3.18,17161321.0,35916098.926054
电网自动化设备,20240416,28.2,3.12,16807698.0,35246923.541319
电网自动化设备,20240417,29.02,3.21,17333622.0,36326458.863571
电网自动化设备,20240418,29.18,3.26,17585286.0,36840652.751348
电网自动化设备,20240419,28.68,3.21,17356568.0,36294855.854386
电网自动化设备,20240422,28.75,3.22,17396974.0,36410793.215964
电网自动化设备,20240423,28.48,3.19,17251979.0,36146461.90384
电网自动化设备,20240424,29.18,3.26,17614936.0,36828177.704769
电网自动化设备,20240425,28.61,3.18,17296357.0,36195573.284047
电网自动化设备,20240426,27.52,3.02,16911301.0,35254505.712253
电网自动化设备,20240429,27.67,3.04,16942680.0,35253412.450047
电网自动化设备,20240430,27.54,3.02,16851438.0,35062086.033644
电网自动化设备,20240506,28.25,2.95,16815180.0,34961243.9863
电网自动化设备,20240507,28.32,2.96,16857808.0,35050895.123224
电网自动化设备,20240508,27.99,2.92,16664884.0,34638391.114627
电网自动化设备,20240509,28.53,2.98,16983577.0,35243266.478739
电网自动化设备,20240510,29.03,3.03,17279795.0,35792589.018915
电网自动化设备,20240513,29.7,3.1,17684921.0,36621500.751263
