name,trade_date,pe,pb,float_mv,total_mv
电网设备,20240102,17.96,2.18,53567929.0,107037706.741195
电网设备,20240103,18.06,2.19,53856890.0,107702880.628069
电网设备,20240104,17.97,2.18,53605070.0,107171015.375163
电网设备,20240105,17.71,2.15,52851410.0,105687170.482112
电网设备,20240108,17.52,2.13,52276714.0,104459077.249015
电网设备,20240109,17.57,2.13,52420151.0,104672879.176907
电网设备,20240110,17.53,2.13,52317003.0,104457233.415842
电网设备,20240111,17.62,2.14,52617859.0,105068358.795198
电网设备,20240112,17.75,2.16,52996180.0,105685634.569093
电网设备,20240115,17.79,2.16,53158233.0,106166132.972845
电网设备,20240116,17.89,2.18,53423192.0,106568362.875625
电网设备,20240117,17.59,2.14,52495033.0,104616230.506686
电网设备,20240118,17.61,2.14,52525882.0,104918587.264198
电网设备,20240119,17.21,2.09,51302591.0,102528092.071015
电网设备,20240122,16.54,2.01,49290088.0,98509622.28847
电网设备,20240123,16.59,2.01,49438599.0,98743111.720522
电网设备,20240124,16.69,2.02,49682772.0,99277576.427411
电网设备,20240125,17.1,2.07,50928490.0,101974598.605654
电网设备,20240126,17.0,2.06,50616990.0,101370508.406175
电网设备,20240129,16.65,2.02,49539399.0,99306842.341621
电网设备,20240130,16.27,1.98,48382903.0,96804529.88076
电网设备,20240131,15.89,1.93,47167876.0,94386437.663006
电网设备,20240201,15.76,1.91,46784192.0,93530839.482882
电网设备,20240202,15.3,1.86,45402313.0,90640155.70343
电网设备,20240205,14.77,1.79,43759459.0,86987353.89413
电网设备,20240206,15.58,1.89,46066309.0,91536199.068501
电网设备,20240207,15.88,1.93,46913137.0,93011816.232625
电网设备,20240208,16.29,1.98,48212717.0,95819610.689613
电网设备,20240219,16.5,2.0,48887912.0,97308782.59198
电网设备,20240220,16.55,2.01,49053486.0,97663581.387417
电网设备,20240221,16.57,2.01,49138245.0,97887091.529825
电网设备,20240222,16.68,2.03,49480857.0,98681711.921066
电网设备,20240223,16.84,2.05,50036954.0,100005576.601514
电网设备,20240226,17.05,2.07,50618048.0,101259040.66426
电网设备,20240227,17.28,2.1,51335345.0,102645421.18179
电网设备,20240228,16.77,2.04,49741555.0,99340921.037875
电网设备,20240229,17.27,2.1,51229697.0,102418015.96366
电网设备,20240301,17.54,2.13,52078096.0,104086936.075563
电网设备,20240304,17.97,2.18,53413190.0,106670176.749208
电网设备,20240305,17.88,2.17,53056968.0,105935155.870259
电网设备,20240306,18.39,2.23,54601509.0,108919773.462437
电网设备,20240307,18.17,2.21,53944112.0,107615385.798366
电网设备,20240308,18.31,2.23,54394099.0,108541627.224383
电网设备,20240311,18.69,2.27,55616341.0,111139637.436053
电网设备,20240312,18.45,2.24,54964304.0,109769672.38172
电网设备,20240313,18.48,2.25,55060588.0,109888333.170926
电网设备,20240314,18.39,2.23,54805963.0,109321489.819376
电网设备,20240315,18.48,2.24,55003564.0,109664088.524843
电网设备,20240318,18.75,2.28,55803506.0,111257313.002917
电网设备,20240319,18.5,2.25,55099199.0,109964948.827808
电网设备,20240320,18.55,2.25,55296783.0,110341945.829462
电网设备,20240321,18.44,2.24,54983046.0,109725234.282666
电网设备,20240322,18.33,2.23,54659231.0,109054345.805041
电网设备,20240325,18.14,2.21,54060171.0,107793801.709997
电网设备,20240326,18.17,2.21,54135814.0,107940874.722726
电网设备,20240327,17.67,2.15,52647777.0,104884357.754029
电网设备,20240328,17.85,2.17,53228729.0,106080315.605266
电网设备,20240329,18.18,2.22,54268630.0,108050588.379964
电网设备,20240401,18.38,2.24,54915390.0,109443173.62411
电网设备,20240402,18.37,2.24,54883657.0,109374944.986019
电网设备,20240403,18.14,2.21,54172879.0,107864127.239556
电网设备,20240408,18.03,2.2,53913163.0,107232652.787756
电网设备,20240409,20.02,2.18,53865917.0,107486752.616411
电网设备,20240410,19.75,2.15,52989854.0,105712573.000046
电网设备,20240411,20.18,2.22,54683697.0,109227644.593536
电网设备,20240412,20.17,2.22,54818498.0,109550273.313644
电网设备,20240415,20.21,2.22,54673894.0,109557577.748032
电网设备,20240416,19.62,2.16,53163809.0,106512441.582821
电网设备,20240417,20.41,2.24,55271633.0,110992893.245931
电网设备,20240418,20.5,2.26,55570011.0,111790529.794139
电网设备,20240419,20.18,2.22,54731112.0,110165503.535892
电网设备,20240422,20.18,2.2,54339597.0,109400228.530108
电网设备,20240423,19.81,2.16,53632066.0,108149954.051643
电网设备,20240424,20.13,2.2,54546831.0,109899512.713117
电网设备,20240425,19.94,2.18,54077456.0,109046396.904879
电网设备,20240426,19.83,2.16,54126552.0,108918442.259473
电网设备,20240429,20.1,2.19,54848509.0,110250947.063905
电网设备,20240430,20.07,2.14,54721441.0,109955762.473216
电网设备,20240506,23.0,2.19,55566600.0,111634866.989095
电网设备,20240507,22.97,2.19,55490402.0,111397050.411454
电网设备,20240508,22.81,2.18,55102497.0,110639252.503622
电网设备,20240509,23.23,2.22,56117721.0,112653096.484785
电网设备,20240510,23.61,2.25,57085146.0,114650867.620227
电网设备,20240513,24.13,2.3,58387127.0,117351457.882567
电网设备,20240514,24.1,2.3,58303685.0,117182956.01603
电网设备,20240515,23.66,2.26,57219500.0,114849746.874365
电网设备,20240516,23.35,2.23,56504856.0,113344204.909409
电网设备,20240517,23.38,2.23,56606798.0,113350287.250388
电网设备,20240520,23.53,2.25,56975739.0,114129786.307564
电网设备,20240521,23.29,2.22,56384020.0,112806264.52666
电网设备,20240522,23.23,2.22,56267295.0,112494200.57435
电网设备,20240523,22.81,2.18,55224873.0,110494432.432672
电网设备,20240524,23.11,2.21,55990911.0,112218095.420004
电网设备,20240527,23.83,2.27,57720270.0,115692806.239834
电网设备,20240528,23.94,2.28,58056933.0,116637331.773806
电网设备,20240529,23.89,2.28,57891191.0,116141897.234507
电网设备,20240530,23.75,2.27,57483987.0,115314675.660476
电网设备,20240531,23.47,2.24,56849322.0,113977118.771439
电网设备,20240603,23.36,2.23,56544593.0,113312387.692819
电网设备,20240604,24.06,2.3,58264931.0,116980241.707752
电网设备,20240605,23.51,2.24,56810880.0,113969426.345473
电网设备,20240606,23.25,2.22,56124200.0,112513156.237592
电网设备,20240607,23.08,2.2,55721033.0,111763520.771632
电网设备,20240611,23.01,2.2,55575290.0,111543157.423683
电网设备,20240612,23.04,2.2,55674227.0,111779419.211774
电网设备,20240613,23.22,2.22,56152610.0,112979690.757148
电网设备,20240614,23.38,2.23,56536213.0,113639419.980455
电网设备,20240617,23.73,2.27,57385626.0,115402061.541474
电网设备,20240618,24.0,2.29,58020124.0,116666201.625147
电网设备,20240619,23.4,2.24,56542645.0,113749215.063088
电网设备,20240620,103.91,2.2,15791989.0,112120200.744168
电网设备,20240621,22.42,2.2,55562170.0,111781645.352288
电网设备,20240624,22.12,2.17,54803954.0,110234903.272521
电网设备,20240625,21.9,2.15,54273530.0,109116813.07885
电网设备,20240626,22.13,2.17,54875060.0,110437545.340574
电网设备,20240627,21.75,2.13,53933765.0,108491792.457916
电网设备,20240628,22.47,2.2,55778531.0,112344480.538447
电网设备,20240701,22.35,2.19,55513398.0,111879867.776979
电网设备,20240702,22.0,2.16,54667258.0,110242372.140609
电网设备,20240703,21.57,2.12,53678633.0,107923832.609418
电网设备,20240704,21.52,2.14,53518436.0,107644744.75012
电网设备,20240705,21.57,2.15,53671770.0,107993164.79076
电网设备,20240708,21.5,2.14,53463343.0,107499580.542168
电网设备,20240709,21.98,2.19,54676672.0,109961765.442562
