name,trade_date,pe,pb,float_mv,total_mv
石油石化,20240102,15.08,1.24,43721758.0,245743162.615305
石油石化,20240103,15.2,1.25,44047474.0,249183533.247358
石油石化,20240104,15.27,1.26,44261394.0,251620641.925277
石油石化,20240105,15.15,1.25,43917065.0,251280343.486048
石油石化,20240108,14.98,1.23,43429721.0,249446421.399974
石油石化,20240109,15.03,1.24,43570651.0,249637994.678694
石油石化,20240110,14.94,1.23,43283953.0,247850198.459924
石油石化,20240111,14.71,1.21,42614271.0,242806813.801854
石油石化,20240112,14.72,1.21,42643516.0,242796284.131608
石油石化,20240115,14.8,1.22,42856283.0,244926756.877516
石油石化,20240116,14.76,1.21,42730870.0,245057908.148946
石油石化,20240117,14.5,1.19,41992413.0,240865039.252849
石油石化,20240118,14.38,1.18,41642405.0,239622994.515786
石油石化,20240119,14.35,1.18,41536011.0,239069663.767993
石油石化,20240122,13.89,1.14,40225478.0,234322785.304017
石油石化,20240123,13.98,1.15,40466273.0,234251593.860076
石油石化,20240124,14.31,1.18,41420313.0,241324000.342051
石油石化,20240125,15.12,1.24,43764588.0,260159395.565218
石油石化,20240126,15.33,1.26,44326849.0,268753771.592673
石油石化,20240129,15.19,1.25,43936232.0,267199161.313347
石油石化,20240130,15.01,1.23,43398248.0,265808286.836009
石油石化,20240131,14.82,1.22,42861950.0,264152652.244105
石油石化,20240201,14.53,1.19,42027556.0,258555724.917025
石油石化,20240202,14.31,1.18,41377499.0,256472253.335777
石油石化,20240205,14.16,1.16,40958824.0,259558557.389686
石油石化,20240206,14.49,1.19,41898042.0,259111573.001408
石油石化,20240207,14.77,1.21,42713251.0,264183782.267145
石油石化,20240208,14.94,1.23,43206847.0,264713516.564628
石油石化,20240219,15.37,1.26,44466343.0,274709763.276289
石油石化,20240220,15.37,1.26,44452574.0,274388357.510894
石油石化,20240221,15.44,1.27,44668970.0,276003459.506507
石油石化,20240222,15.83,1.3,45779142.0,286753296.706303
石油石化,20240223,15.75,1.29,45556370.0,283800728.877833
石油石化,20240226,15.6,1.28,45127838.0,278668123.320931
石油石化,20240227,15.73,1.29,45496249.0,279936590.120355
石油石化,20240228,15.42,1.27,44603836.0,277063307.458578
石油石化,20240229,15.65,1.29,45256689.0,278963058.94212
石油石化,20240301,15.66,1.29,45279343.0,277763541.166214
石油石化,20240304,15.99,1.31,46233705.0,285373662.487549
石油石化,20240305,15.93,1.31,46070643.0,284228160.691145
石油石化,20240306,15.99,1.31,46234033.0,283483848.609946
石油石化,20240307,16.16,1.33,46747847.0,286236413.671729
石油石化,20240308,16.48,1.35,47652467.0,289950145.774083
石油石化,20240311,16.25,1.34,47005497.0,285406998.51167
石油石化,20240312,15.9,1.31,45984548.0,277255278.734517
石油石化,20240313,15.87,1.3,45911526.0,277138648.681024
石油石化,20240314,16.0,1.32,46281711.0,279875862.715993
石油石化,20240315,16.05,1.32,46411027.0,281199736.627415
石油石化,20240318,16.11,1.32,46603653.0,282057351.361596
石油石化,20240319,16.13,1.32,46391210.0,281801137.569285
石油石化,20240320,16.33,1.33,46943196.0,288667999.923129
石油石化,20240321,16.28,1.33,46810590.0,288830680.742367
石油石化,20240322,16.18,1.31,46092869.0,285521882.358599
石油石化,20240325,16.46,1.31,46464366.0,289381596.691226
石油石化,20240326,16.48,1.31,46307476.0,288003034.49713
石油石化,20240327,16.28,1.3,45827775.0,286567631.270292
石油石化,20240328,16.44,1.31,46278035.0,289054442.65922
石油石化,20240329,17.04,1.36,47975242.0,303566824.056785
石油石化,20240401,17.07,1.36,48071362.0,301693559.367497
石油石化,20240402,17.4,1.39,49030129.0,307920095.700555
石油石化,20240403,17.6,1.41,49615431.0,312803992.87521
石油石化,20240408,17.49,1.4,49293563.0,313167788.377448
石油石化,20240409,17.23,1.38,48564730.0,308250147.808685
