name,trade_date,pe,pb,float_mv,total_mv
磨具磨料,20240102,27.3,2.57,3079833.0,7145237.707297
磨具磨料,20240103,26.97,2.53,3040827.0,7058984.577425
磨具磨料,20240104,26.61,2.5,3000254.0,6966702.530983
磨具磨料,20240105,25.92,2.44,2923936.0,6803579.191725
磨具磨料,20240108,25.47,2.39,2869400.0,6683135.358443
磨具磨料,20240109,25.83,2.43,2912474.0,6766420.6903
磨具磨料,20240110,25.72,2.42,2897578.0,6740165.393786
磨具磨料,20240111,26.23,2.46,2956078.0,6876601.523682
磨具磨料,20240112,26.18,2.46,2947877.0,6887384.009305
磨具磨料,20240115,25.64,2.41,2891013.0,6707701.874009
磨具磨料,20240116,25.35,2.38,2858085.0,6615332.090288
磨具磨料,20240117,24.55,2.31,2767618.0,6402988.391299
磨具磨料,20240118,24.42,2.29,2752436.0,6382444.882132
磨具磨料,20240119,24.0,2.26,2704649.0,6279779.969523
磨具磨料,20240122,22.32,2.1,2514457.0,5850604.234158
磨具磨料,20240123,22.79,2.14,2561232.0,5972689.823055
磨具磨料,20240124,22.88,2.15,2572395.0,6007996.715373
磨具磨料,20240125,23.31,2.19,2624618.0,6133316.50609
磨具磨料,20240126,23.1,2.17,2600438.0,6078215.271025
磨具磨料,20240129,22.25,2.09,2496444.0,5833981.510595
磨具磨料,20240130,21.51,2.02,2413918.0,5640293.670294
磨具磨料,20240131,20.51,1.93,2298368.0,5372807.159207
磨具磨料,20240201,20.37,1.91,2282493.0,5332956.030244
磨具磨料,20240202,19.32,1.82,2163396.0,5057677.862334
磨具磨料,20240205,17.58,1.65,1964504.0,4627913.161089
磨具磨料,20240206,18.5,1.74,2052264.0,4894953.856296
磨具磨料,20240207,18.43,1.73,2040380.0,4920016.777921
磨具磨料,20240208,19.98,1.88,2218172.0,5290603.521606
磨具磨料,20240219,20.34,1.91,2259500.0,5360724.569873
磨具磨料,20240220,20.45,1.92,2271796.0,5390967.404972
磨具磨料,20240221,21.0,1.97,2332219.0,5508601.076557
磨具磨料,20240222,21.29,2.0,2366047.0,5591521.299115
磨具磨料,20240223,22.0,2.07,2445903.0,5784673.849385
磨具磨料,20240226,22.52,2.12,2507797.0,5913371.508897
磨具磨料,20240227,22.92,2.16,2552672.0,6018776.473156
磨具磨料,20240228,21.36,2.01,2376104.0,5627046.32447
磨具磨料,20240229,22.32,2.1,2482456.0,5870988.796665
磨具磨料,20240301,22.5,2.12,2505311.0,5928673.806335
磨具磨料,20240304,22.59,2.12,2514026.0,5931786.539393
磨具磨料,20240305,22.11,2.08,2458713.0,5808616.513682
磨具磨料,20240306,22.81,2.15,2535561.0,5969830.327594
磨具磨料,20240307,22.72,2.14,2524166.0,5937644.832457
磨具磨料,20240308,23.16,2.18,2573686.0,6043583.374804
磨具磨料,20240311,23.57,2.22,2618422.0,6168058.063597
磨具磨料,20240312,23.8,2.24,2643672.0,6219689.724289
磨具磨料,20240313,23.84,2.24,2650084.0,6231219.664605
磨具磨料,20240314,23.71,2.23,2632057.0,6192886.134898
磨具磨料,20240315,24.37,2.29,2713943.0,6349865.481023
磨具磨料,20240318,24.81,2.24,2838554.0,6457289.760241
磨具磨料,20240319,24.81,2.24,2818746.0,6401840.525528
磨具磨料,20240320,24.9,2.24,2827839.0,6424302.857125
磨具磨料,20240321,24.89,2.24,2823530.0,6410750.621605
磨具磨料,20240322,24.3,2.19,2756129.0,6254690.8565
磨具磨料,20240325,23.76,2.14,2691845.0,6113816.70585
磨具磨料,20240326,23.68,2.13,2684841.0,6096220.453175
磨具磨料,20240327,22.57,2.03,2557243.0,5821386.378377
磨具磨料,20240328,24.05,2.09,2625921.0,5963406.699637
磨具磨料,20240329,24.32,2.12,2670774.0,6071290.439118
磨具磨料,20240401,24.84,2.17,2728719.0,6217233.147822
磨具磨料,20240402,24.73,2.16,2715121.0,6204977.067737
磨具磨料,20240403,24.63,2.15,2701027.0,6184977.089093
磨具磨料,20240408,23.75,2.07,2603379.0,5955644.080111
磨具磨料,20240409,24.23,2.11,2655989.0,6079261.572896
磨具磨料,20240410,23.62,2.07,2609921.0,5976273.903722
磨具磨料,20240411,23.54,2.07,2601892.0,5961028.053758
磨具磨料,20240412,23.62,2.07,2610988.0,5954557.395081
磨具磨料,20240415,22.98,2.0,2519007.0,5799187.319468
磨具磨料,20240416,21.35,1.86,2338142.0,5418762.215955
磨具磨料,20240417,22.86,1.99,2503314.0,5779348.409256
磨具磨料,20240418,22.53,1.96,2470127.0,5714348.349818
磨具磨料,20240419,22.42,1.95,2458956.0,5674771.557225
