name,trade_date,pe,pb,float_mv,total_mv
磷肥及磷化工,20240102,13.31,1.49,6821885.0,11689003.487881
磷肥及磷化工,20240103,13.59,1.52,6965270.0,11925464.838547
磷肥及磷化工,20240104,13.48,1.51,6910997.0,11829431.035695
磷肥及磷化工,20240105,13.19,1.47,6757963.0,11565942.122259
磷肥及磷化工,20240108,13.03,1.46,6678001.0,11426629.815699
磷肥及磷化工,20240109,13.06,1.46,6686902.0,11463119.377599
磷肥及磷化工,20240110,13.06,1.46,6688183.0,11461242.071069
磷肥及磷化工,20240111,13.23,1.48,6747992.0,11640734.528937
磷肥及磷化工,20240112,13.27,1.48,6769360.0,11674342.82176
磷肥及磷化工,20240115,13.15,1.46,6651132.0,11515032.759313
磷肥及磷化工,20240116,13.06,1.45,6604886.0,11430329.687777
磷肥及磷化工,20240117,12.81,1.42,6479810.0,11208295.469848
磷肥及磷化工,20240118,12.73,1.42,6441738.0,11141005.908575
磷肥及磷化工,20240119,12.68,1.41,6415436.0,11095142.119446
磷肥及磷化工,20240122,12.06,1.34,6099676.0,10542633.00783
磷肥及磷化工,20240123,12.27,1.36,6207128.0,10726160.483879
磷肥及磷化工,20240124,12.41,1.38,6277356.0,10845442.640145
磷肥及磷化工,20240125,12.72,1.41,6432992.0,11116197.45013
磷肥及磷化工,20240126,12.67,1.41,6410617.0,11067765.327906
磷肥及磷化工,20240129,12.45,1.38,6299888.0,10875080.592933
磷肥及磷化工,20240130,12.31,1.37,6227243.0,10745264.625637
磷肥及磷化工,20240131,11.99,1.33,6066990.0,10465509.442029
磷肥及磷化工,20240201,11.95,1.32,6045034.0,10377627.70899
磷肥及磷化工,20240202,11.77,1.3,5955630.0,10210667.847055
磷肥及磷化工,20240205,11.54,1.28,5835953.0,10003986.42502
磷肥及磷化工,20240206,12.13,1.34,6134902.0,10530480.128881
磷肥及磷化工,20240207,12.75,1.41,6450730.0,11097866.861667
磷肥及磷化工,20240208,12.94,1.43,6543161.0,11254273.761628
磷肥及磷化工,20240219,13.01,1.44,6577973.0,11314534.100769
磷肥及磷化工,20240220,13.2,1.46,6673589.0,11477521.035336
磷肥及磷化工,20240221,13.3,1.47,6725744.0,11573529.297617
磷肥及磷化工,20240222,13.35,1.48,6749365.0,11615037.189678
磷肥及磷化工,20240223,13.45,1.49,6798887.0,11694132.661228
磷肥及磷化工,20240226,13.38,1.48,6764616.0,11632147.789133
磷肥及磷化工,20240227,13.53,1.5,6839772.0,11759897.903952
磷肥及磷化工,20240228,13.33,1.47,6739260.0,11594950.29739
磷肥及磷化工,20240229,13.61,1.51,6881083.0,11838721.603116
磷肥及磷化工,20240301,13.95,1.54,7051829.0,12122098.984802
磷肥及磷化工,20240304,14.1,1.56,7126042.0,12243175.83714
磷肥及磷化工,20240305,14.03,1.55,7092615.0,12189985.292749
磷肥及磷化工,20240306,14.16,1.57,7160660.0,12303675.408262
磷肥及磷化工,20240307,14.21,1.57,7183160.0,12350185.977779
磷肥及磷化工,20240308,14.27,1.58,7214677.0,12401418.927363
磷肥及磷化工,20240311,14.44,1.6,7301882.0,12549003.127003
磷肥及磷化工,20240312,14.22,1.57,7191029.0,12359909.288624
磷肥及磷化工,20240313,14.16,1.57,7159277.0,12304995.857111
磷肥及磷化工,20240314,14.12,1.56,7138476.0,12273311.94976
磷肥及磷化工,20240315,14.32,1.58,7237115.0,12440766.7581
磷肥及磷化工,20240318,14.31,1.58,7235054.0,12432544.45451
磷肥及磷化工,20240319,14.28,1.58,7221669.0,12406062.135646
