name,trade_date,pe,pb,float_mv,total_mv
管材,20240102,23.9,2.53,1892885.0,4557634.76356
管材,20240103,23.72,2.51,1879173.0,4533590.191087
管材,20240104,23.5,2.48,1861241.0,4495533.668587
管材,20240105,23.28,2.46,1844107.0,4460902.411169
管材,20240108,22.85,2.42,1810215.0,4375601.320158
管材,20240109,23.39,2.47,1852897.0,4487394.589805
管材,20240110,23.69,2.51,1876634.0,4563187.433601
管材,20240111,24.34,2.57,1928247.0,4691090.956728
管材,20240112,25.12,2.66,1989722.0,4857817.593406
管材,20240115,24.78,2.62,1960796.0,4788904.822808
管材,20240116,24.43,2.58,1932791.0,4718368.952361
管材,20240117,23.53,2.49,1861925.0,4538101.244381
管材,20240118,23.37,2.47,1849085.0,4510692.169726
管材,20240119,22.93,2.42,1814495.0,4424202.520015
管材,20240122,21.44,2.27,1696356.0,4136606.217816
管材,20240123,21.62,2.28,1710434.0,4177405.125634
管材,20240124,22.17,2.34,1754166.0,4281555.058824
管材,20240125,22.75,2.4,1800487.0,4389554.657415
管材,20240126,22.91,2.42,1812493.0,4409144.094516
管材,20240129,22.68,2.4,1794895.0,4371993.918815
管材,20240130,21.76,2.3,1722153.0,4193194.351179
管材,20240131,21.26,2.25,1682098.0,4108898.931306
管材,20240201,20.79,2.2,1645158.0,4022829.535122
管材,20240202,20.38,2.15,1612417.0,3945425.791706
管材,20240205,19.23,2.03,1521387.0,3745949.499416
管材,20240206,20.33,2.15,1608903.0,3973272.649822
管材,20240207,20.69,2.19,1637260.0,4065140.438204
管材,20240208,21.02,2.22,1662932.0,4110038.402178
管材,20240219,21.4,2.26,1693113.0,4175484.820132
管材,20240220,21.69,2.29,1716200.0,4212572.860662
管材,20240221,22.01,2.33,1741444.0,4269399.214397
管材,20240222,22.15,2.34,1752567.0,4301347.819767
管材,20240223,22.63,2.39,1790931.0,4374846.919029
管材,20240226,22.85,2.41,1808235.0,4420402.297299
管材,20240227,23.15,2.45,1831882.0,4476531.120388
管材,20240228,22.43,2.37,1774982.0,4337822.567952
管材,20240229,23.31,2.46,1844236.0,4515370.775303
管材,20240301,23.24,2.46,1838573.0,4501458.397098
管材,20240304,23.31,2.46,1844786.0,4517091.179102
管材,20240305,22.96,2.43,1816963.0,4456674.667099
管材,20240306,23.01,2.43,1820957.0,4467204.40922
管材,20240307,22.78,2.41,1802680.0,4418431.893624
管材,20240308,22.89,2.42,1811314.0,4435516.695175
管材,20240311,23.24,2.46,1838860.0,4499590.54876
管材,20240312,23.68,2.5,1873573.0,4594299.121237
管材,20240313,23.69,2.5,1872990.0,4597639.12448
管材,20240314,23.72,2.51,1875384.0,4602511.799625
管材,20240315,23.72,2.51,1875432.0,4597280.514108
管材,20240318,23.61,2.49,1866651.0,4577122.439283
管材,20240319,23.59,2.49,1865587.0,4577622.566875
管材,20240320,23.88,2.52,1888474.0,4639432.558353
管材,20240321,23.75,2.51,1877467.0,4598476.904476
管材,20240322,23.26,2.46,1839134.0,4509720.136566
管材,20240325,23.17,2.45,1831937.0,4502923.081167
管材,20240326,23.31,2.46,1843083.0,4532880.64734
管材,20240327,22.57,2.38,1784750.0,4396156.096165
管材,20240328,23.01,2.43,1819258.0,4475896.487589
管材,20240329,22.84,2.41,1806036.0,4442963.864278
管材,20240401,23.69,2.5,1872768.0,4611564.231075
管材,20240402,23.79,2.51,1880930.0,4626691.774655
管材,20240403,23.75,2.51,1878215.0,4626989.708029
管材,20240408,22.75,2.4,1799084.0,4429078.251103
管材,20240409,23.21,2.44,1860815.0,4596458.536285
管材,20240410,24.01,2.37,1810187.0,4469539.097585
管材,20240411,24.1,2.38,1817122.0,4490260.350086
管材,20240412,23.79,2.35,1793485.0,4436027.40394
管材,20240415,23.63,2.34,1781522.0,4418193.07879
管材,20240416,22.75,2.25,1715329.0,4267182.168557
管材,20240417,23.69,2.34,1786502.0,4436483.714694
管材,20240418,23.85,2.36,1798276.0,4469014.88326
管材,20240419,23.86,2.36,1798945.0,4470715.231033
管材,20240422,23.84,2.38,1814614.0,4508325.453872
管材,20240423,23.96,2.4,1824024.0,4528013.567755
管材,20240424,23.64,2.36,1799369.0,4455002.804663
管材,20240425,23.75,2.38,1808040.0,4485972.492607
管材,20240426,23.09,2.32,1820010.0,4520669.017732
管材,20240429,24.12,2.47,1901423.0,4719255.025212
管材,20240430,23.69,2.43,1867298.0,4628046.261712
管材,20240506,25.16,2.45,1884217.0,4669988.239932
管材,20240507,25.54,2.49,1912380.0,4736243.658532
管材,20240508,25.0,2.43,1872238.0,4641390.50388
管材,20240509,25.55,2.49,1912909.0,4747661.288634
管材,20240510,25.46,2.48,1906023.0,4732316.958336
管材,20240513,25.06,2.44,1876711.0,4665434.062701
管材,20240514,24.99,2.43,1870929.0,4648329.29385
管材,20240515,25.5,2.48,1909461.0,4752633.795982
管材,20240516,25.67,2.5,1921686.0,4779878.747534
管材,20240517,26.13,2.54,1956451.0,4868309.808512
管材,20240520,26.03,2.53,1948999.0,4842279.284833
管材,20240521,25.96,2.53,1943699.0,4824843.481264
管材,20240522,25.33,2.47,1896522.0,4701223.634302
管材,20240523,24.78,2.41,1855292.0,4604549.980326
管材,20240524,24.38,2.37,1825204.0,4526890.072447
管材,20240527,24.37,2.37,1824803.0,4527194.120912
管材,20240528,24.02,2.34,1798798.0,4466714.170487
管材,20240529,23.93,2.33,1791549.0,4450577.846757
管材,20240530,23.83,2.32,1784550.0,4433530.52824
管材,20240531,24.04,2.34,1800036.0,4462962.53398
管材,20240603,23.45,2.28,1755507.0,4353407.913011
管材,20240604,23.58,2.3,1765402.0,4386787.710875
管材,20240605,23.07,2.25,1727687.0,4297165.182976
管材,20240606,22.6,2.2,1692359.0,4225122.353787
管材,20240607,22.88,2.23,1713494.0,4259289.002437
管材,20240611,22.76,2.22,1704011.0,4234348.327357
管材,20240612,22.9,2.23,1714332.0,4257740.71819
管材,20240613,22.65,2.21,1696252.0,4220157.859358
管材,20240614,22.76,2.22,1704340.0,4236789.021874
管材,20240617,22.75,2.22,1703770.0,4232919.776495
管材,20240618,22.54,2.2,1687906.0,4186942.470839
管材,20240619,22.42,2.18,1678549.0,4158294.987245
管材,20240620,23.83,2.15,1444552.0,4096892.631647
管材,20240621,22.6,2.2,1687551.0,4181256.677479
管材,20240624,22.29,2.17,1664589.0,4127141.216048
管材,20240625,22.15,2.16,1653934.0,4108355.134318
管材,20240626,22.3,2.17,1664913.0,4131135.30186
管材,20240627,21.91,2.14,1635678.0,4065666.689166
管材,20240628,21.85,2.13,1631808.0,4052961.171798
管材,20240701,22.63,2.21,1690036.0,4195242.380936
管材,20240702,22.48,2.19,1678274.0,4158455.22887
管材,20240703,22.23,2.17,1659733.0,4108965.067588
管材,20240704,21.64,2.11,1615673.0,4003489.147015
管材,20240705,21.97,2.14,1640646.0,4061688.200159
管材,20240708,21.52,2.1,1606631.0,3979002.96661
管材,20240709,21.47,2.09,1603221.0,3977193.171326
管材,20240710,21.36,2.08,1595006.0,3951145.927156
管材,20240711,21.59,2.1,1612005.0,3992340.242165
管材,20240712,21.73,2.12,1622615.0,4015645.740519
管材,20240715,21.53,2.1,1607681.0,3977897.071781
管材,20240716,21.46,2.09,1602124.0,3962632.644084
管材,20240717,21.59,2.1,1611807.0,3994430.940047
管材,20240718,21.84,2.13,1630465.0,4042737.31905
管材,20240719,21.46,2.09,1602030.0,3973975.363648
管材,20240722,21.47,2.09,1602833.0,3973820.419243
管材,20240723,21.03,2.05,1570230.0,3882742.09127
管材,20240724,20.7,2.02,1545810.0,3817157.426481
管材,20240725,20.59,2.01,1537107.0,3788044.182749
管材,20240726,20.96,2.04,1564908.0,3859547.447615
管材,20240729,20.57,2.0,1535995.0,3771499.014114
管材,20240730,20.58,2.01,1536977.0,3772954.987468
管材,20240731,21.08,2.05,1573972.0,3870799.772886
管材,20240801,20.76,2.02,1549864.0,3809398.774954
管材,20240802,20.48,2.0,1529285.0,3762408.706508
管材,20240805,20.22,1.97,1509528.0,3714866.410947
管材,20240806,20.59,2.01,1537806.0,3785764.211886
管材,20240807,20.58,2.01,1536328.0,3789301.60515
管材,20240808,20.78,2.02,1551373.0,3829275.48015
管材,20240809,20.78,2.03,1551526.0,3828378.552515
管材,20240812,20.61,2.01,1539150.0,3804126.403458
管材,20240813,20.79,2.03,1552719.0,3833778.584804
管材,20240814,20.73,2.02,1548078.0,3828970.044071
管材,20240815,20.57,2.0,1535717.0,3782876.181657
管材,20240816,20.29,1.98,1515250.0,3721446.400947
管材,20240819,20.2,1.96,1508033.0,3703405.165273
管材,20240820,19.84,1.92,1481144.0,3625615.240952
管材,20240821,19.77,1.91,1476264.0,3617039.645793
管材,20240822,19.51,1.89,1456686.0,3576643.344372
管材,20240823,19.75,1.91,1474814.0,3622755.149346
管材,20240826,19.08,1.95,1424375.0,3475204.21651
管材,20240827,18.81,1.92,1404538.0,3426233.403482
管材,20240828,18.72,1.91,1397608.0,3409959.397546
管材,20240829,18.78,1.93,1402091.0,3422199.932737
管材,20240830,19.23,1.97,1435514.0,3507480.580596
管材,20240902,19.81,1.91,1392890.0,3397720.377042
管材,20240903,20.01,1.93,1407284.0,3432637.034768
管材,20240904,19.88,1.92,1397665.0,3400802.051411
管材,20240905,19.92,1.93,1400711.0,3412334.234965
管材,20240906,19.57,1.89,1376024.0,3346566.590145
管材,20240909,19.39,1.87,1363307.0,3313268.242681
管材,20240910,19.48,1.88,1369910.0,3323432.394066
管材,20240911,19.35,1.87,1360418.0,3309617.958149
管材,20240912,19.13,1.85,1344941.0,3272061.102219
管材,20240913,18.88,1.83,1327663.0,3232653.816805
管材,20240918,18.7,1.81,1314744.0,3207616.190004
管材,20240919,19.08,1.85,1341446.0,3270403.884866
管材,20240920,18.89,1.83,1327962.0,3240378.543033
管材,20240923,18.8,1.82,1322138.0,3229764.376941
管材,20240924,19.83,1.92,1394028.0,3411500.486083
管材,20240925,19.93,1.93,1401255.0,3423287.574232
管材,20240926,21.17,2.07,1488096.0,3643112.78484
管材,20240927,22.64,2.22,1591822.0,3902923.230592
管材,20240930,24.83,2.43,1745959.0,4272193.84637
管材,20241008,26.47,2.59,1860833.0,4526825.749687
管材,20241009,24.92,2.44,1752374.0,4202631.013722
管材,20241010,24.91,2.44,1751100.0,4218618.949577
管材,20241011,24.4,2.39,1715729.0,4116449.015422
