name,trade_date,pe,pb,float_mv,total_mv
粮油加工,20240102,65.56,2.07,2959833.0,21165032.12583
粮油加工,20240103,65.32,2.06,2948938.0,21135084.277441
粮油加工,20240104,64.85,2.05,2927743.0,20843474.045017
粮油加工,20240105,63.95,2.02,2887175.0,20541768.261137
粮油加工,20240108,62.52,1.97,2822347.0,20092875.551576
粮油加工,20240109,62.52,1.97,2822494.0,20044010.518261
粮油加工,20240110,63.5,2.0,2866475.0,20431943.047522
粮油加工,20240111,64.25,2.03,2900517.0,20625329.714615
粮油加工,20240112,63.45,2.02,2903158.0,20575395.943862
粮油加工,20240115,62.83,2.0,2874971.0,20234016.077349
粮油加工,20240116,62.72,2.0,2869781.0,20247953.286976
粮油加工,20240117,61.25,1.95,2802680.0,19752796.320415
粮油加工,20240118,60.33,1.92,2760459.0,19549177.742005
粮油加工,20240119,60.21,1.92,2754749.0,19572547.479339
粮油加工,20240122,57.39,1.83,2625821.0,18835160.924226
粮油加工,20240123,57.08,1.82,2611620.0,18830570.871674
粮油加工,20240124,58.49,1.86,2676379.0,19322066.230592
粮油加工,20240125,59.96,1.91,2743404.0,19726004.709777
粮油加工,20240126,60.61,1.93,2772995.0,19811748.191455
粮油加工,20240129,59.4,1.89,2717858.0,19565553.994266
粮油加工,20240130,58.27,1.86,2666100.0,19252882.998208
粮油加工,20240131,56.23,1.79,2572620.0,18817825.858964
粮油加工,20240201,56.04,1.79,2564289.0,18899217.785137
粮油加工,20240202,54.58,1.74,2497405.0,18524877.626019
粮油加工,20240205,52.85,1.68,2418162.0,18459217.016917
粮油加工,20240206,55.06,1.75,2519425.0,19457437.916376
粮油加工,20240207,55.02,1.75,2517452.0,19530436.565663
粮油加工,20240208,56.86,1.81,2601725.0,19932314.669911
粮油加工,20240219,57.3,1.83,2621986.0,19909195.559797
粮油加工,20240220,57.13,1.82,2613806.0,19877983.604605
粮油加工,20240221,58.04,1.85,2655736.0,20204751.450975
粮油加工,20240222,58.27,1.86,2663503.0,20158064.925372
粮油加工,20240223,58.4,1.86,2669417.0,20075051.666507
粮油加工,20240226,58.31,1.86,2665262.0,19962143.051321
粮油加工,20240227,59.03,1.88,2697834.0,20144439.109824
粮油加工,20240228,59.54,1.9,2721379.0,20118984.997842
粮油加工,20240229,60.61,1.93,2770224.0,20449545.48285
粮油加工,20240301,59.76,1.9,2731462.0,20268850.073872
粮油加工,20240304,59.05,1.88,2698879.0,19979692.390969
粮油加工,20240305,59.17,1.88,2704372.0,20312300.911219
粮油加工,20240306,58.64,1.87,2680310.0,20009285.53193
粮油加工,20240307,58.18,1.85,2659362.0,19807676.114908
粮油加工,20240308,57.77,1.84,2640562.0,19656594.976735
粮油加工,20240311,58.95,1.88,2694533.0,20096342.61712
粮油加工,20240312,60.11,1.91,2747452.0,20513536.007551
粮油加工,20240313,59.6,1.9,2724088.0,20287263.428621
粮油加工,20240314,58.72,1.87,2684049.0,19966364.3215
粮油加工,20240315,59.24,1.89,2707615.0,20112573.132747
粮油加工,20240318,59.72,1.9,2729512.0,20259082.795784
粮油加工,20240319,59.68,1.9,2727562.0,20144390.210068
粮油加工,20240320,59.91,1.91,2738292.0,20239586.934501
粮油加工,20240321,60.29,1.92,2755630.0,20297300.552999
粮油加工,20240322,58.64,1.87,2680270.0,19742140.073012
粮油加工,20240325,56.55,1.81,2615484.0,19308056.18598
粮油加工,20240326,56.66,1.82,2620261.0,19323711.516609
粮油加工,20240327,56.45,1.81,2610628.0,19127758.032526
粮油加工,20240328,56.47,1.81,2611799.0,19150009.067612
粮油加工,20240329,56.82,1.82,2627746.0,19186798.059595
粮油加工,20240401,58.08,1.87,2692278.0,19750694.55655
粮油加工,20240402,57.83,1.86,2680516.0,19597531.921779
粮油加工,20240403,58.37,1.87,2705566.0,19744629.702546
粮油加工,20240408,58.33,1.87,2703580.0,19718601.677406
粮油加工,20240409,58.36,1.87,2705279.0,19704594.238716
粮油加工,20240410,57.44,1.84,2662223.0,19488927.492998
粮油加工,20240411,57.67,1.85,2673336.0,19390682.083159
粮油加工,20240412,56.27,1.81,2608401.0,18862735.646855
粮油加工,20240415,55.31,1.78,2563797.0,18940852.953043
粮油加工,20240416,53.39,1.69,2446826.0,18413126.051118
粮油加工,20240417,55.54,1.76,2545771.0,19030149.523391
粮油加工,20240418,55.43,1.76,2540589.0,19018809.855582
粮油加工,20240419,55.89,1.77,2561815.0,18903709.950631
粮油加工,20240422,56.36,1.78,2583193.0,19223967.078221
粮油加工,20240423,56.14,1.78,2573128.0,18987612.286045
粮油加工,20240424,55.78,1.77,2556572.0,18854325.442475
粮油加工,20240425,55.69,1.76,2552536.0,18817998.147886
粮油加工,20240426,56.33,1.78,2581633.0,19110263.567442
粮油加工,20240429,53.95,1.84,2662362.0,19711121.521415
粮油加工,20240430,50.5,1.84,2678212.0,19825583.915093
粮油加工,20240506,51.49,1.87,2731599.0,20145072.363572
粮油加工,20240507,51.98,1.89,2757600.0,20384534.906466
粮油加工,20240508,51.65,1.88,2739685.0,20252053.752212
粮油加工,20240509,51.74,1.88,2744950.0,20269959.087087
粮油加工,20240510,52.01,1.89,2758954.0,20270424.895229
粮油加工,20240513,51.75,1.88,2745298.0,20165148.303358
粮油加工,20240514,51.91,1.89,2753466.0,20185678.002276
粮油加工,20240515,51.27,1.86,2719668.0,19945668.007409
粮油加工,20240516,51.11,1.86,2711507.0,19949619.897488
粮油加工,20240517,51.55,1.87,2734688.0,20196712.724937
粮油加工,20240520,52.22,1.9,2770356.0,20478651.812196
粮油加工,20240521,52.1,1.89,2763716.0,20422755.673701
粮油加工,20240522,51.91,1.89,2753533.0,20388391.868031
粮油加工,20240523,50.52,1.84,2680009.0,19851430.701353
粮油加工,20240524,50.35,1.83,2670936.0,19651561.539398
粮油加工,20240527,50.24,1.83,2665192.0,19661075.319336
粮油加工,20240528,49.63,1.81,2632867.0,19455836.144216
粮油加工,20240529,49.43,1.8,2621921.0,19364562.509865
粮油加工,20240530,49.25,1.79,2612660.0,19318046.425572
粮油加工,20240531,48.82,1.78,2589822.0,19063215.961238
粮油加工,20240603,48.36,1.76,2565435.0,18949382.186322
粮油加工,20240604,48.22,1.75,2557735.0,18950701.877948
粮油加工,20240605,47.51,1.73,2520536.0,18772369.728631
粮油加工,20240606,46.36,1.69,2459556.0,18497515.183676
粮油加工,20240607,47.1,1.71,2498583.0,18649940.64156
粮油加工,20240611,46.77,1.7,2480853.0,18489251.041872
粮油加工,20240612,47.0,1.71,2493243.0,18489858.757506
粮油加工,20240613,46.35,1.69,2458536.0,18149860.659864
粮油加工,20240614,46.71,1.7,2478115.0,18316667.490798
粮油加工,20240617,46.01,1.68,2444540.0,18121809.327731
粮油加工,20240618,46.11,1.68,2449738.0,18133017.487016
粮油加工,20240619,45.86,1.67,2436716.0,18053673.267111
粮油加工,20240620,152.76,1.64,542086.0,17722002.260092
粮油加工,20240621,44.71,1.63,2375196.0,17601159.297901
粮油加工,20240624,43.9,1.6,2332175.0,17485362.229013
粮油加工,20240625,43.85,1.6,2329502.0,17401232.980936
粮油加工,20240626,44.71,1.63,2375496.0,17710613.875843
粮油加工,20240627,44.19,1.61,2347679.0,17482550.326937
粮油加工,20240628,43.79,1.6,2326322.0,17246828.448648
粮油加工,20240701,44.51,1.62,2364548.0,17472872.506868
粮油加工,20240702,44.75,1.63,2377555.0,17564836.72826
粮油加工,20240703,45.14,1.64,2398156.0,17756652.884375
粮油加工,20240704,43.97,1.6,2335933.0,17372936.857818
粮油加工,20240705,44.21,1.61,2349086.0,17447741.741601
粮油加工,20240708,43.51,1.58,2311412.0,17190158.474021
粮油加工,20240709,43.36,1.58,2303756.0,17151632.379295
粮油加工,20240710,42.52,1.55,2258940.0,16535318.753154
粮油加工,20240711,43.39,1.58,2305305.0,16886042.316876
粮油加工,20240712,42.98,1.57,2283245.0,16702098.200609
粮油加工,20240715,42.23,1.54,2243494.0,16365520.41394
粮油加工,20240716,42.71,1.56,2268999.0,16713105.04833
粮油加工,20240717,43.73,1.59,2322874.0,17261250.266613
粮油加工,20240718,43.54,1.59,2312706.0,17218541.154227
粮油加工,20240719,43.73,1.59,2322866.0,17397731.482994
粮油加工,20240722,43.42,1.58,2306230.0,17221801.412188
粮油加工,20240723,42.24,1.54,2243727.0,16684032.646693
粮油加工,20240724,41.64,1.52,2212175.0,16494003.170577
粮油加工,20240725,42.09,1.53,2235720.0,16695589.02534
粮油加工,20240726,42.17,1.54,2240010.0,16628734.991551
粮油加工,20240729,41.92,1.53,2226686.0,16502885.926321
粮油加工,20240730,42.22,1.54,2242988.0,16602942.190454
粮油加工,20240731,44.29,1.68,2211730.0,16989596.076492
粮油加工,20240801,43.8,1.66,2187318.0,16718305.217855
粮油加工,20240802,43.9,1.66,2192387.0,16780985.461458
粮油加工,20240805,43.44,1.65,2169303.0,16583223.059541
粮油加工,20240806,44.01,1.67,2197944.0,16757530.372017
粮油加工,20240807,43.8,1.66,2187327.0,16723953.659404
粮油加工,20240808,44.62,1.69,2228610.0,17050127.793701
粮油加工,20240809,44.14,1.67,2204384.0,16871439.673312
粮油加工,20240812,43.93,1.67,2193695.0,16794270.915421
粮油加工,20240813,43.82,1.66,2188278.0,16750971.778584
粮油加工,20240814,42.58,1.62,2126370.0,16130855.748448
粮油加工,20240815,43.05,1.64,2150081.0,16392644.669613
粮油加工,20240816,42.49,1.62,2121985.0,16165958.152194
粮油加工,20240819,42.38,1.61,2116341.0,16106224.986915
粮油加工,20240820,41.81,1.59,2117053.0,15896924.83662
粮油加工,20240821,41.38,1.57,2095269.0,15702864.666739
粮油加工,20240822,40.96,1.55,2073742.0,15601662.448131
粮油加工,20240823,40.86,1.55,2068807.0,15640532.569202
粮油加工,20240826,41.66,1.58,2109127.0,15817263.985027
粮油加工,20240827,41.39,1.58,2095786.0,15640501.825589
粮油加工,20240828,41.86,1.6,2119297.0,15707701.550427
粮油加工,20240829,41.97,1.6,2125183.0,15838319.899479
粮油加工,20240830,42.57,1.63,2155453.0,16119783.569015
粮油加工,20240902,44.88,1.61,2140480.0,15923153.712291
粮油加工,20240903,45.5,1.64,2170219.0,16056822.344078
粮油加工,20240904,45.64,1.64,2176816.0,15954578.049768
粮油加工,20240905,45.83,1.65,2185623.0,16113812.707899
粮油加工,20240906,45.26,1.63,2158608.0,15981119.497349
粮油加工,20240909,45.37,1.63,2163614.0,15932898.748027
粮油加工,20240910,45.01,1.62,2146456.0,15901687.90597
粮油加工,20240911,44.68,1.61,2130837.0,15829162.812093
粮油加工,20240912,44.76,1.61,2134644.0,15860176.584551
粮油加工,20240913,44.64,1.61,2129147.0,15749172.108883
粮油加工,20240918,44.01,1.58,2098959.0,15534216.468667
粮油加工,20240919,46.1,1.66,2198820.0,16172497.908393
粮油加工,20240920,45.68,1.64,2178673.0,16022531.154522
粮油加工,20240923,44.68,1.61,2130770.0,15595378.26138
粮油加工,20240924,46.44,1.67,2215076.0,16364033.834897
粮油加工,20240925,46.52,1.67,2218634.0,16376367.457166
粮油加工,20240926,48.82,1.76,2328364.0,17373385.458316
粮油加工,20240927,51.56,1.86,2459000.0,18575977.567723
粮油加工,20240930,58.72,2.11,2800746.0,21719460.03026
粮油加工,20241008,65.53,2.36,3125389.0,25031895.441866
粮油加工,20241009,58.22,2.09,2776454.0,22042843.511016
粮油加工,20241010,57.94,2.08,2763485.0,21644917.959338
粮油加工,20241011,55.72,2.0,2657194.0,20705208.376651
粮油加工,20241014,56.57,2.04,2697771.0,20807390.264902
粮油加工,20241015,55.43,1.99,2643732.0,20184147.000295
粮油加工,20241016,54.79,1.97,2613042.0,19896062.942942
粮油加工,20241017,54.23,1.95,2586548.0,19775344.189603
粮油加工,20241018,55.87,2.01,2664666.0,20559844.448423
粮油加工,20241021,55.73,2.0,2657957.0,20445862.503633
粮油加工,20241022,56.58,2.03,2698246.0,20636750.130107
粮油加工,20241023,56.48,2.03,2693745.0,20676179.342657
粮油加工,20241024,55.76,2.0,2659346.0,20376043.006606
粮油加工,20241025,56.53,2.03,2696025.0,20691692.445932
粮油加工,20241028,57.85,2.08,2759059.0,21152819.334654
粮油加工,20241029,56.63,2.03,2700697.0,20693396.14983
粮油加工,20241030,55.99,2.01,2670200.0,20467283.988127
粮油加工,20241031,55.25,1.98,2634837.0,20077414.812626
粮油加工,20241101,67.87,1.96,2607928.0,19867631.584331
粮油加工,20241104,69.39,2.0,2666181.0,20395899.07237
粮油加工,20241105,71.24,2.05,2737322.0,21041776.375708
粮油加工,20241106,72.39,2.09,2780160.0,21170687.166207
粮油加工,20241107,77.4,2.23,2972652.0,23106255.224763
粮油加工,20241108,76.07,2.19,2921718.0,22775912.848382
粮油加工,20241111,75.56,2.18,2902270.0,22576831.502227
粮油加工,20241112,74.87,2.16,2875749.0,22358997.618047
粮油加工,20241113,74.66,2.15,2867331.0,22286826.35202
粮油加工,20241114,72.89,2.1,2799522.0,21681951.843116
粮油加工,20241115,71.32,2.05,2739061.0,21178953.353489
粮油加工,20241118,70.58,2.03,2710754.0,20991233.632493
粮油加工,20241119,71.34,2.06,2740050.0,21220058.487155
粮油加工,20241120,72.0,2.07,2765455.0,21370930.018851
