name,trade_date,pe,pb,float_mv,total_mv
纸包装,20240102,36.29,1.79,4406534.0,10159627.314105
纸包装,20240103,36.16,1.78,4387880.0,10122907.749627
纸包装,20240104,36.38,1.79,4408562.0,10183314.675361
纸包装,20240105,36.14,1.78,4378775.0,10121386.008761
纸包装,20240108,35.27,1.74,4276114.0,9886032.510061
纸包装,20240109,35.28,1.74,4280771.0,9897136.250898
纸包装,20240110,35.25,1.74,4275806.0,9885138.734763
纸包装,20240111,35.64,1.75,4326322.0,10009780.645831
纸包装,20240112,35.49,1.75,4312744.0,9996064.576119
纸包装,20240115,35.58,1.75,4324648.0,10005591.290395
纸包装,20240116,35.23,1.73,4281262.0,9905650.85274
纸包装,20240117,34.53,1.7,4196034.0,9699045.075696
纸包装,20240118,34.13,1.68,4147431.0,9585444.874524
纸包装,20240119,34.05,1.68,4132509.0,9560970.078757
纸包装,20240122,32.24,1.59,3905947.0,9038234.68934
纸包装,20240123,32.74,1.61,3964059.0,9156006.436319
纸包装,20240124,32.95,1.62,3986422.0,9193196.64555
纸包装,20240125,33.59,1.65,4076960.0,9386925.157597
纸包装,20240126,33.85,1.67,4110301.0,9455854.401873
纸包装,20240129,33.14,1.63,4002250.0,9237437.933998
纸包装,20240130,31.93,1.57,3855711.0,8896480.392206
纸包装,20240131,30.34,1.49,3656682.0,8462096.446282
纸包装,20240201,29.47,1.45,3555140.0,8235677.394928
纸包装,20240202,28.33,1.39,3435436.0,7968178.657065
纸包装,20240205,26.46,1.3,3183706.0,7410095.640203
纸包装,20240206,27.45,1.35,3290406.0,7699956.719761
纸包装,20240207,27.93,1.38,3331490.0,7789773.990472
纸包装,20240208,28.93,1.43,3468249.0,8094033.920038
纸包装,20240219,29.18,1.44,3501059.0,8185279.450195
纸包装,20240220,29.39,1.45,3527821.0,8262094.625962
纸包装,20240221,29.77,1.47,3573569.0,8364524.196751
纸包装,20240222,30.16,1.49,3620612.0,8475007.527842
纸包装,20240223,30.8,1.52,3706112.0,8682319.698205
纸包装,20240226,31.49,1.55,3856220.0,8728840.364737
纸包装,20240227,32.14,1.58,3941229.0,8917423.334648
纸包装,20240228,30.77,1.51,3756859.0,8515551.791426
纸包装,20240229,31.78,1.56,3876095.0,8784143.398111
纸包装,20240301,31.67,1.55,3866379.0,8756526.99714
纸包装,20240304,31.33,1.54,3828403.0,8670927.319876
纸包装,20240305,30.8,1.51,3759278.0,8528602.312194
纸包装,20240306,31.11,1.53,3803432.0,8633157.490967
纸包装,20240307,31.28,1.53,3825925.0,8661036.488264
纸包装,20240308,31.4,1.54,3838863.0,8704472.287351
纸包装,20240311,31.86,1.56,3892102.0,8824888.167737
纸包装,20240312,32.15,1.58,3931400.0,8912451.081099
纸包装,20240313,31.87,1.56,3898496.0,8831726.873908
纸包装,20240314,31.92,1.57,3902728.0,8849957.117119
纸包装,20240315,32.41,1.59,3962873.0,8990524.623771
纸包装,20240318,32.74,1.61,4011888.0,9108725.232399
纸包装,20240319,32.74,1.61,4007276.0,9097171.226634
纸包装,20240320,32.87,1.61,4042042.0,9165766.266897
纸包装,20240321,32.94,1.62,4042575.0,9174718.217139
纸包装,20240322,32.82,1.61,4050073.0,9227661.087373
纸包装,20240325,32.42,1.59,3990664.0,9112077.843566
纸包装,20240326,32.53,1.6,3998302.0,9153285.497895
纸包装,20240327,31.7,1.56,3892897.0,8909614.225031
纸包装,20240328,32.12,1.57,3943913.0,9007668.96485
纸包装,20240329,32.89,1.6,4015223.0,9179892.348819
纸包装,20240401,33.32,1.62,4069159.0,9296137.577686
纸包装,20240402,33.8,1.65,4124574.0,9400693.226193
纸包装,20240403,33.62,1.64,4105014.0,9349308.443789
纸包装,20240408,33.16,1.62,4046839.0,9208401.085275
纸包装,20240409,34.09,1.66,4155848.0,9460288.847556
纸包装,20240410,33.2,1.62,4050149.0,9216150.575216
纸包装,20240411,33.33,1.62,4077172.0,9283292.866363
纸包装,20240412,32.5,1.59,3995134.0,9119535.562939
纸包装,20240415,31.41,1.54,3856905.0,8808358.155089
纸包装,20240416,29.6,1.45,3629404.0,8306590.917194
纸包装,20240417,30.97,1.51,3797759.0,8662471.607976
纸包装,20240418,30.71,1.5,3773494.0,8613991.046115
纸包装,20240419,30.25,1.48,3721159.0,8501774.610733
纸包装,20240422,28.94,1.47,3687666.0,8415838.391757
纸包装,20240423,30.22,1.47,3685197.0,8415004.930337
