name,trade_date,pe,pb,float_mv,total_mv
纺织服饰,20240102,23.21,1.74,24180339.0,62975337.40237
纺织服饰,20240103,23.06,1.72,24020557.0,62569453.051353
纺织服饰,20240104,23.15,1.73,24118155.0,62793145.26408
纺织服饰,20240105,22.86,1.71,23813324.0,62103657.508773
纺织服饰,20240108,22.53,1.69,23465390.0,61205069.699793
纺织服饰,20240109,22.82,1.71,23767943.0,62098111.711344
纺织服饰,20240110,22.79,1.71,23738501.0,62026048.320183
纺织服饰,20240111,22.99,1.72,23938070.0,62460858.841536
纺织服饰,20240112,22.9,1.71,23852380.0,62431285.034165
纺织服饰,20240115,23.16,1.73,24115682.0,62942218.895368
纺织服饰,20240116,23.15,1.73,24106195.0,62871254.896079
纺织服饰,20240117,23.07,1.73,24016085.0,62587225.054975
纺织服饰,20240118,22.88,1.71,23809620.0,61999025.778147
纺织服饰,20240119,22.98,1.72,23917349.0,62354614.269113
纺织服饰,20240122,21.81,1.63,22695461.0,59371580.741592
纺织服饰,20240123,21.61,1.62,22499295.0,58996221.511762
纺织服饰,20240124,22.1,1.65,23012887.0,60453535.616212
纺织服饰,20240125,22.57,1.69,23526651.0,61360727.462028
纺织服饰,20240126,22.58,1.69,23533371.0,61283393.318866
纺织服饰,20240129,22.15,1.66,23090365.0,60410801.448067
纺织服饰,20240130,21.53,1.61,22433836.0,58758731.999239
纺织服饰,20240131,20.78,1.55,21656980.0,56939268.239031
纺织服饰,20240201,20.52,1.53,21389931.0,56495618.806092
纺织服饰,20240202,20.01,1.5,20841373.0,55481305.875832
纺织服饰,20240205,19.16,1.43,19934222.0,53543369.169793
纺织服饰,20240206,19.47,1.46,20355879.0,54693629.817264
纺织服饰,20240207,19.47,1.46,20347966.0,54729604.893005
纺织服饰,20240208,20.14,1.51,21063936.0,56215009.85861
纺织服饰,20240219,20.69,1.55,21640467.0,57619424.277474
纺织服饰,20240220,20.79,1.56,21744162.0,57934224.657909
纺织服饰,20240221,20.96,1.57,21928429.0,58153140.049012
纺织服饰,20240222,21.1,1.58,22086028.0,58398805.0073
纺织服饰,20240223,21.26,1.59,22260105.0,58734345.655366
纺织服饰,20240226,21.37,1.6,22373551.0,58994686.349357
纺织服饰,20240227,21.69,1.63,22705941.0,59731097.247019
纺织服饰,20240228,20.83,1.56,21801474.0,57717452.019658
纺织服饰,20240229,21.3,1.6,22342704.0,59063866.889758
纺织服饰,20240301,21.36,1.6,22402882.0,58938166.661097
纺织服饰,20240304,21.56,1.62,22613392.0,59463839.277987
纺织服饰,20240305,21.48,1.61,22519766.0,59305350.743752
