name,trade_date,pe,pb,float_mv,total_mv
线下药店,20240102,21.78,3.23,5389636.0,12959268.730155
线下药店,20240103,21.6,3.21,5346857.0,12866666.442591
线下药店,20240104,21.71,3.22,5373980.0,12901512.859411
线下药店,20240105,21.53,3.2,5329366.0,12801712.906764
线下药店,20240108,21.18,3.14,5240219.0,12585718.516313
线下药店,20240109,21.18,3.14,5241911.0,12593160.861451
线下药店,20240110,21.05,3.13,5211054.0,12518797.936428
线下药店,20240111,20.82,3.09,5154801.0,12401200.778177
线下药店,20240112,20.71,3.08,5128059.0,12331185.215964
线下药店,20240115,21.01,3.12,5198864.0,12492792.376658
线下药店,20240116,20.92,3.11,5176397.0,12436131.120302
线下药店,20240117,20.69,3.07,5118358.0,12299493.178979
线下药店,20240118,20.58,3.06,5088811.0,12219665.748668
线下药店,20240119,20.5,3.04,5069044.0,12179275.801923
线下药店,20240122,19.6,2.91,4842124.0,11616007.498228
线下药店,20240123,19.64,2.92,4850596.0,11631273.215619
线下药店,20240124,19.73,2.93,4880633.0,11731492.113488
线下药店,20240125,19.89,2.95,4921045.0,11825620.533036
线下药店,20240126,19.67,2.92,4865009.0,11683296.429642
线下药店,20240129,19.83,2.94,4895355.0,11725386.883437
线下药店,20240130,19.14,2.84,4726036.0,11337084.990445
线下药店,20240131,18.81,2.79,4636861.0,11079834.188647
线下药店,20240201,18.95,2.81,4667432.0,11142432.004803
线下药店,20240202,18.68,2.77,4595354.0,10934144.912404
线下药店,20240205,18.71,2.78,4587762.0,10858168.858845
线下药店,20240206,19.82,2.94,4855996.0,11483265.846531
线下药店,20240207,21.01,3.12,5132470.0,12071181.797065
线下药店,20240208,20.82,3.09,5095114.0,12017558.925925
线下药店,20240219,20.2,3.0,4949586.0,11700355.376915
线下药店,20240220,20.01,2.97,4910029.0,11636471.345538
线下药店,20240221,20.11,2.99,4935225.0,11699032.700409
线下药店,20240222,20.04,2.98,4920630.0,11672712.374457
线下药店,20240223,19.86,2.95,4879514.0,11588494.077378
线下药店,20240226,19.82,2.94,4879794.0,11619411.671517
线下药店,20240227,19.88,2.95,4896010.0,11658520.059633
线下药店,20240228,19.63,2.91,4822233.0,11437189.863008
线下药店,20240229,19.88,2.95,4884422.0,11583374.177281
线下药店,20240301,19.77,2.94,4858540.0,11520132.85933
线下药店,20240304,19.41,2.88,4774302.0,11321213.865326
线下药店,20240305,19.31,2.87,4745897.0,11243532.854741
线下药店,20240306,19.04,2.83,4691476.0,11104713.880381
线下药店,20240307,18.76,2.79,4622479.0,10933260.470265
线下药店,20240308,19.08,2.83,4692147.0,11114937.644463
线下药店,20240311,19.8,2.94,4864209.0,11495278.944038
线下药店,20240312,20.19,3.0,4961733.0,11742862.649647
线下药店,20240313,19.89,2.95,4890272.0,11574909.60205
线下药店,20240314,19.84,2.94,4877360.0,11541047.904126
线下药店,20240315,19.86,2.95,4885061.0,11563578.274685
线下药店,20240318,19.86,2.95,4888035.0,11585295.787945
线下药店,20240319,19.28,2.86,4747786.0,11271818.694327
线下药店,20240320,18.85,2.8,4649344.0,11071034.426076
线下药店,20240321,18.93,2.81,4666076.0,11096533.004747
线下药店,20240322,18.85,2.8,4641222.0,11005687.621556
线下药店,20240325,18.95,2.81,4657992.0,11010459.943246
线下药店,20240326,19.0,2.82,4667235.0,11029142.912965
线下药店,20240327,19.04,2.83,4674816.0,11027063.154762
线下药店,20240328,19.09,2.83,4713827.0,11080879.57853
线下药店,20240329,19.3,2.86,4763148.0,11188559.041063
线下药店,20240401,19.63,2.89,4810660.0,11310502.063671
线下药店,20240402,19.67,2.89,4821369.0,11327727.264772
线下药店,20240403,19.75,2.9,4838989.0,11363645.763717
线下药店,20240408,19.72,2.9,4822455.0,11299349.599862
线下药店,20240409,20.23,2.97,4948414.0,11595386.62243
线下药店,20240410,20.14,2.96,4920916.0,11499095.029062
线下药店,20240411,20.28,2.98,4954781.0,11567674.333382
线下药店,20240412,20.18,2.97,4929018.0,11488103.569197
线下药店,20240415,20.74,3.05,5056412.0,11762237.976995
线下药店,20240416,20.42,3.0,4970362.0,11532534.74741
线下药店,20240417,20.38,3.0,4969894.0,11573409.221169
线下药店,20240418,20.77,3.05,5062120.0,11772093.045062
线下药店,20240419,20.65,3.04,5030984.0,11696262.281895
线下药店,20240422,20.72,3.05,5049538.0,11735559.450691
线下药店,20240423,20.44,3.01,4983775.0,11546970.970805
线下药店,20240424,20.46,3.01,4991254.0,11588454.041328
线下药店,20240425,20.51,3.02,5003931.0,11635282.488301
线下药店,20240426,20.55,3.02,5015328.0,11671126.871785
线下药店,20240429,24.04,2.92,5081581.0,11835089.23437
线下药店,20240430,24.19,2.93,5160127.0,12014404.356797
线下药店,20240506,24.94,3.03,5336515.0,12406457.685035
线下药店,20240507,24.93,3.03,5332846.0,12400215.608569
