name,trade_date,pe,pb,float_mv,total_mv
绩优股指数,20240102,15.83,4.49,284549883.0,681722856.442306
绩优股指数,20240103,15.83,4.49,284547723.0,681656529.329614
绩优股指数,20240104,15.57,4.41,279880040.0,671361000.826908
绩优股指数,20240105,15.43,4.38,277389265.0,666493006.410349
绩优股指数,20240108,15.26,4.33,274288730.0,659161717.976229
绩优股指数,20240109,15.31,4.34,275204630.0,659978699.689878
绩优股指数,20240110,15.35,4.35,275794777.0,660600560.560213
绩优股指数,20240111,15.47,4.39,277957930.0,664495885.95035
绩优股指数,20240112,15.39,4.36,276592022.0,661297593.760381
绩优股指数,20240115,15.31,4.34,275223626.0,658512778.901768
绩优股指数,20240116,15.35,4.35,275805810.0,659230392.859555
绩优股指数,20240117,14.88,4.22,267501780.0,639729552.071087
绩优股指数,20240118,15.25,4.32,274070572.0,653693846.566397
绩优股指数,20240119,15.25,4.32,274040976.0,654502833.128715
绩优股指数,20240122,14.99,4.25,269211496.0,643450686.623279
绩优股指数,20240123,15.05,4.27,270386947.0,645075460.460511
绩优股指数,20240124,15.07,4.27,270715545.0,646755646.490975
绩优股指数,20240125,15.28,4.33,274576344.0,655778610.384987
绩优股指数,20240126,15.2,4.31,273125641.0,653038154.556004
绩优股指数,20240129,14.96,4.24,268637965.0,645381641.616523
绩优股指数,20240130,14.6,4.14,262180476.0,629669359.238617
绩优股指数,20240131,14.35,4.07,257531319.0,620197973.543541
绩优股指数,20240201,14.41,4.09,258366402.0,623828657.304051
绩优股指数,20240202,14.18,4.02,254126811.0,615201884.197405
绩优股指数,20240205,14.29,4.05,256026434.0,622200395.418168
绩优股指数,20240206,14.95,4.24,267936312.0,648935792.238727
绩优股指数,20240207,15.27,4.33,273629470.0,663259806.888689
绩优股指数,20240208,15.3,4.34,274236958.0,663750897.376604
绩优股指数,20240219,15.38,4.36,275626698.0,667181383.620001
绩优股指数,20240220,15.27,4.33,273749240.0,663139536.103164
绩优股指数,20240221,15.65,4.44,281039773.0,678769489.333561
绩优股指数,20240222,15.74,4.46,282723671.0,682771951.719347
绩优股指数,20240223,15.78,4.47,283399588.0,683659561.411025
绩优股指数,20240226,15.64,4.44,281110898.0,677714780.962291
绩优股指数,20240227,15.75,4.47,283045722.0,681365506.732335
绩优股指数,20240228,15.6,4.42,280297671.0,674747540.09035
绩优股指数,20240229,15.94,4.52,286553293.0,688330698.372462
绩优股指数,20240301,15.98,4.53,287340487.0,689645878.758382
绩优股指数,20240304,15.97,4.53,287193774.0,689480495.544805
绩优股指数,20240305,16.01,4.54,287845373.0,692242161.342672
绩优股指数,20240306,15.95,4.52,286767896.0,689166056.47404
绩优股指数,20240307,15.84,4.49,284646834.0,685373465.212455
绩优股指数,20240308,15.91,4.51,285896988.0,686763791.854677
绩优股指数,20240311,16.27,4.61,292422506.0,700760476.768839
绩优股指数,20240312,16.63,4.71,298795397.0,716237585.097534
绩优股指数,20240313,16.55,4.67,296255202.0,710193270.389379
绩优股指数,20240314,16.46,4.64,294634048.0,706733347.582012
绩优股指数,20240315,16.47,4.65,294709253.0,706815509.902552
绩优股指数,20240318,16.51,4.66,295584794.0,708066351.568525
绩优股指数,20240319,16.53,4.66,295878880.0,709250340.322614
绩优股指数,20240320,16.51,4.66,295538294.0,708432611.897975
绩优股指数,20240321,16.49,4.64,294441521.0,706205309.606318
绩优股指数,20240322,16.24,4.57,289927909.0,696435862.583178
绩优股指数,20240325,16.09,4.53,287572435.0,691111952.212151
绩优股指数,20240326,16.24,4.56,290356959.0,697656800.122265
绩优股指数,20240327,16.0,4.48,285688974.0,687447701.128035
绩优股指数,20240328,16.56,4.5,286603019.0,689130411.323984
绩优股指数,20240329,16.64,4.51,287446030.0,691285573.609427
绩优股指数,20240401,17.09,4.58,293056328.0,703753747.172529
绩优股指数,20240402,17.01,4.56,291726438.0,700591588.62783
绩优股指数,20240403,16.87,4.5,291734691.0,700748936.339269
绩优股指数,20240408,16.39,4.37,283417418.0,681807393.047055
绩优股指数,20240409,16.44,4.39,284420905.0,683656586.110839
绩优股指数,20240410,16.22,4.33,280668501.0,675418011.893875
绩优股指数,20240411,16.21,4.32,280362439.0,675202217.027057
绩优股指数,20240412,16.03,4.27,277180646.0,668266193.426152
绩优股指数,20240415,16.42,4.37,284028866.0,684639842.369667
绩优股指数,20240416,16.16,4.3,279389430.0,674800816.068797
绩优股指数,20240417,16.29,4.33,281760743.0,679452456.371989
绩优股指数,20240418,16.28,4.33,281516694.0,679164538.242035
绩优股指数,20240419,16.08,4.28,278203566.0,671569947.536218
绩优股指数,20240422,16.37,4.31,280557208.0,677406559.528979
绩优股指数,20240423,16.49,4.27,280777554.0,678348855.356775
绩优股指数,20240424,16.43,4.26,279753455.0,676861900.751795
绩优股指数,20240425,16.41,4.24,279270953.0,675709617.975077
绩优股指数,20240426,16.73,4.27,283204286.0,685460895.386294
绩优股指数,20240429,17.08,4.15,286792942.0,692797408.143215
绩优股指数,20240430,17.89,4.13,284890107.0,690116492.061545
绩优股指数,20240506,20.99,4.24,292721433.0,709256758.711539
绩优股指数,20240507,21.11,4.27,294350855.0,712855085.58554
绩优股指数,20240508,20.91,4.23,291583110.0,706926074.109238
绩优股指数,20240509,21.04,4.25,293644389.0,710896127.810083
绩优股指数,20240510,20.89,4.22,291491832.0,706362230.146693
绩优股指数,20240513,19.52,4.64,309058578.0,727483768.430939
绩优股指数,20240514,19.52,4.64,308895740.0,727607978.962693
绩优股指数,20240515,19.4,4.61,306940600.0,722742154.530422
绩优股指数,20240516,19.42,4.61,307242911.0,723822183.023487
绩优股指数,20240517,19.49,4.63,308565462.0,726623676.426602
绩优股指数,20240520,19.54,4.64,309280803.0,727938877.019296
绩优股指数,20240521,19.42,4.62,307301015.0,724410366.267388
绩优股指数,20240522,19.38,4.61,306712058.0,722468436.642683
绩优股指数,20240523,19.19,4.56,303559559.0,716065860.791092
绩优股指数,20240524,18.92,4.5,299407604.0,705658345.735673
绩优股指数,20240527,18.96,4.5,299922190.0,706572214.103916
绩优股指数,20240528,18.81,4.47,297690038.0,700984923.18351
绩优股指数,20240529,18.95,4.5,299874320.0,705586140.238397
绩优股指数,20240530,18.77,4.46,296987618.0,698842996.883903
绩优股指数,20240531,18.68,4.44,295625794.0,695920430.259504
绩优股指数,20240603,18.7,4.44,295841823.0,696792864.087465
绩优股指数,20240604,18.89,4.49,298931249.0,703733017.155011
绩优股指数,20240605,18.82,4.47,297736184.0,699058963.905616
绩优股指数,20240606,18.7,4.44,295851452.0,694440400.187003
绩优股指数,20240607,18.45,4.38,291802958.0,684862466.364785
绩优股指数,20240611,18.26,4.34,289106793.0,677852579.836198
绩优股指数,20240612,18.23,4.33,288737684.0,676765818.779838
绩优股指数,20240613,18.11,4.3,286750045.0,672694098.766739
绩优股指数,20240614,18.13,4.31,287115758.0,674101819.141831
绩优股指数,20240617,18.06,4.29,286145973.0,671189227.006075
绩优股指数,20240618,17.96,4.27,284574017.0,666858130.040531
绩优股指数,20240619,17.76,4.22,281504282.0,659928171.505412
绩优股指数,20240620,37.8,4.19,98123119.0,655098912.526418
绩优股指数,20240621,16.83,4.15,276813790.0,648168982.697755
绩优股指数,20240624,16.76,4.13,275763217.0,645523403.306138
绩优股指数,20240625,16.71,4.12,274886475.0,643883631.602849
绩优股指数,20240626,16.79,4.14,276201539.0,646833157.746051
绩优股指数,20240627,16.59,4.09,273022761.0,639857153.596254
绩优股指数,20240628,16.43,4.05,270334547.0,633553087.71066
绩优股指数,20240701,16.36,4.03,269230870.0,630231151.105512
绩优股指数,20240702,16.41,4.04,270034633.0,632748690.553041
绩优股指数,20240703,16.32,4.02,268594161.0,628796577.222842
绩优股指数,20240704,16.17,3.98,266019047.0,623130817.3394
绩优股指数,20240705,16.08,3.97,264596413.0,619081717.890401
绩优股指数,20240708,15.79,3.9,259921360.0,608633602.793657
绩优股指数,20240709,15.98,3.95,262970395.0,615789124.381098
绩优股指数,20240710,15.96,3.94,262688850.0,615133060.161119
绩优股指数,20240711,16.28,4.02,267914568.0,627603950.65503
绩优股指数,20240712,16.37,4.04,269463682.0,631133614.707594
绩优股指数,20240715,16.33,4.03,268670877.0,629053731.031266
绩优股指数,20240716,16.36,4.04,269231862.0,629544918.064992
绩优股指数,20240717,16.53,4.08,272054690.0,636655960.410313
绩优股指数,20240718,16.64,4.11,273752728.0,640077121.761184
绩优股指数,20240719,16.83,4.16,276943663.0,647477486.135854
