name,trade_date,pe,pb,float_mv,total_mv
肉制品,20240102,22.27,3.15,4750376.0,13455695.228635
肉制品,20240103,22.29,3.16,4755223.0,13468156.345768
肉制品,20240104,22.3,3.16,4757071.0,13472857.562237
肉制品,20240105,22.19,3.14,4734055.0,13431512.096426
肉制品,20240108,21.95,3.11,4682048.0,13315521.33831
肉制品,20240109,21.97,3.11,4686169.0,13309844.561975
肉制品,20240110,22.16,3.14,4726163.0,13431758.146356
肉制品,20240111,22.29,3.16,4755547.0,13473536.483177
肉制品,20240112,22.39,3.17,4774952.0,13551483.1392
肉制品,20240115,22.43,3.18,4785478.0,13601693.967084
肉制品,20240116,22.53,3.19,4804903.0,13655585.734561
肉制品,20240117,22.17,3.14,4729642.0,13467016.554719
肉制品,20240118,22.13,3.14,4721397.0,13459727.361471
肉制品,20240119,22.01,3.12,4694214.0,13389408.155078
肉制品,20240122,21.2,3.0,4523039.0,12974290.427262
肉制品,20240123,21.45,3.04,4574781.0,13140184.176822
肉制品,20240124,21.68,3.07,4624149.0,13264757.813824
肉制品,20240125,22.22,3.15,4740340.0,13563070.525775
肉制品,20240126,22.37,3.17,4772696.0,13676122.222146
肉制品,20240129,22.17,3.14,4729561.0,13598758.44917
肉制品,20240130,21.92,3.1,4675381.0,13481245.684105
肉制品,20240131,21.62,3.06,4610777.0,13399791.259886
肉制品,20240201,21.6,3.06,4608259.0,13412159.682687
肉制品,20240202,21.37,3.03,4558484.0,13284959.018046
肉制品,20240205,21.31,3.02,4544479.0,13369656.63436
肉制品,20240206,21.74,3.08,4637069.0,13582152.57004
肉制品,20240207,21.76,3.08,4641876.0,13595732.782166
肉制品,20240208,21.78,3.08,4644934.0,13482921.172955
肉制品,20240219,22.1,3.13,4714802.0,13717500.447043
肉制品,20240220,22.4,3.17,4777284.0,13918676.78326
肉制品,20240221,22.48,3.18,4795325.0,13948622.043005
肉制品,20240222,22.66,3.21,4833080.0,14049242.341247
肉制品,20240223,22.6,3.2,4820577.0,13997689.427078
肉制品,20240226,22.54,3.19,4808724.0,13948293.674038
肉制品,20240227,22.58,3.2,4816471.0,13964798.144383
肉制品,20240228,22.78,3.12,4869631.0,13817516.995222
肉制品,20240229,22.87,3.14,4888927.0,13832034.13011
肉制品,20240301,22.65,3.11,4842787.0,13725660.288128
肉制品,20240304,22.81,3.13,4876435.0,13841119.646694
肉制品,20240305,22.9,3.14,4895027.0,13943988.654186
肉制品,20240306,22.69,3.11,4850874.0,13777611.035348
肉制品,20240307,22.81,3.13,4877584.0,13896927.32951
肉制品,20240308,22.52,3.09,4815100.0,13689841.160279
肉制品,20240311,22.57,3.09,4824354.0,13679141.904723
肉制品,20240312,22.34,3.06,4775549.0,13490938.773722
肉制品,20240313,22.08,3.03,4721036.0,13343862.515479
肉制品,20240314,22.14,3.04,4733845.0,13397584.841861
肉制品,20240315,22.28,3.06,4763428.0,13474443.433171
肉制品,20240318,22.54,3.09,4818599.0,13607461.470921
肉制品,20240319,22.5,3.09,4810663.0,13587142.60992
肉制品,20240320,22.69,3.11,4852033.0,13702499.981436
肉制品,20240321,23.01,3.16,4920000.0,13839292.498618
肉制品,20240322,22.76,3.12,4865967.0,13697115.40665
肉制品,20240325,22.53,3.09,4817521.0,13570627.310186
肉制品,20240326,22.59,3.1,4828991.0,13636594.789019
肉制品,20240327,23.87,2.86,4521342.0,12656040.469067
肉制品,20240328,25.26,2.85,4500393.0,12603725.342508
肉制品,20240329,25.86,2.92,4605957.0,12913302.118219
肉制品,20240401,26.31,2.97,4687305.0,13159079.689662
肉制品,20240402,26.31,2.97,4686565.0,13188213.522713
肉制品,20240403,26.4,2.98,4702644.0,13208143.374263
肉制品,20240408,26.38,2.98,4699605.0,13204431.649766
肉制品,20240409,26.44,2.98,4709301.0,13190085.211715
肉制品,20240410,26.38,2.98,4699254.0,13189571.607709
肉制品,20240411,26.41,2.98,4704059.0,13215070.732649
肉制品,20240412,26.26,2.96,4676944.0,13163846.085942
肉制品,20240415,26.08,2.94,4644839.0,13128648.3372
肉制品,20240416,25.8,3.02,4595438.0,13046412.181171
肉制品,20240417,26.03,3.05,4636904.0,13113361.140766
肉制品,20240418,26.39,3.09,4700264.0,13319668.465263
肉制品,20240419,26.28,3.08,4681580.0,13284733.906463
肉制品,20240422,26.41,3.09,4704554.0,13336638.741067
肉制品,20240423,26.03,3.01,4667852.0,13208774.681277
肉制品,20240424,26.22,3.02,4688303.0,13276916.564189
肉制品,20240425,26.94,3.02,4684676.0,13261677.180874
肉制品,20240426,26.78,3.0,4657080.0,13148482.291321
肉制品,20240429,26.9,3.01,4677714.0,13166758.868449
肉制品,20240430,26.97,3.03,4691207.0,13209684.959271
肉制品,20240506,28.98,3.02,4672041.0,13104822.827825
肉制品,20240507,28.76,2.99,4635912.0,13011341.183893
肉制品,20240508,29.18,3.04,4703451.0,13236707.923942
肉制品,20240509,29.12,3.03,4694167.0,13193697.921592
肉制品,20240510,29.36,3.06,4732468.0,13306263.182536
肉制品,20240513,29.17,3.04,4702236.0,13236606.330794
肉制品,20240514,29.16,3.04,4700904.0,13206744.288056
肉制品,20240515,28.73,2.99,4632061.0,12994911.838393
肉制品,20240516,28.53,2.97,4598290.0,12840004.271813
肉制品,20240517,28.64,2.98,4616136.0,12900466.203888
肉制品,20240520,29.08,3.02,4687347.0,13100626.932527
肉制品,20240521,29.04,3.02,4681651.0,13092695.195537
肉制品,20240522,28.85,3.0,4650033.0,13007949.414326
肉制品,20240523,28.33,2.95,4567406.0,12786558.66499
肉制品,20240524,28.44,2.96,4584859.0,12825758.885303
肉制品,20240527,28.57,2.97,4605337.0,12909235.444712
肉制品,20240528,28.23,2.93,4550339.0,12771449.057658
肉制品,20240529,28.28,2.94,4558292.0,12802571.289124
肉制品,20240530,27.96,2.91,4507332.0,12650587.321486
肉制品,20240531,27.82,2.89,4485153.0,12571492.577496
肉制品,20240603,28.06,2.92,4523752.0,12668596.792251
肉制品,20240604,28.04,2.92,4520341.0,12660172.648013
肉制品,20240605,27.58,2.87,4445118.0,12470550.338193
肉制品,20240606,27.1,2.82,4367779.0,12288749.6768
肉制品,20240607,27.28,2.84,4397580.0,12336593.304232
肉制品,20240611,27.32,2.84,4404713.0,12362084.900921
肉制品,20240612,27.6,2.87,4448456.0,12495597.029229
肉制品,20240613,27.26,2.84,4393811.0,12374163.181779
肉制品,20240614,27.42,2.85,4419468.0,12458301.806647
肉制品,20240617,27.01,2.81,4354575.0,12263015.152595
肉制品,20240618,26.82,2.79,4322747.0,12145169.34358
肉制品,20240619,26.65,2.77,4295223.0,12079385.39138
肉制品,20240620,27.41,2.72,3868180.0,11807757.04353
肉制品,20240621,26.08,2.71,4203604.0,11798808.721935
肉制品,20240624,25.48,2.65,4107334.0,11554035.183658
肉制品,20240625,25.48,2.65,4107567.0,11549902.766673
肉制品,20240626,25.66,2.67,4137130.0,11612965.664527
肉制品,20240627,25.52,2.66,4113375.0,11566639.651381
肉制品,20240628,25.44,2.65,4100146.0,11521130.04033
肉制品,20240701,25.88,2.69,4171960.0,11726356.011848
肉制品,20240702,25.91,2.68,4177418.0,11687076.248623
肉制品,20240703,25.82,2.67,4161949.0,11629597.278773
肉制品,20240704,25.29,2.62,4077535.0,11397414.760442
肉制品,20240705,25.46,2.64,4104389.0,11448962.898856
肉制品,20240708,25.02,2.59,4032919.0,11262363.089245
肉制品,20240709,25.0,2.59,4030053.0,11265575.291139
肉制品,20240710,25.24,2.61,4068206.0,11426337.823698
肉制品,20240711,25.48,2.64,4106871.0,11530962.244172
肉制品,20240712,25.2,2.61,4061608.0,11376880.998432
肉制品,20240715,25.59,2.65,4125233.0,11529953.61548
肉制品,20240716,25.56,2.65,4120362.0,11514165.290311
肉制品,20240717,25.84,2.68,4165978.0,11659386.696659
肉制品,20240718,25.76,2.67,4151709.0,11616706.042055
肉制品,20240719,25.78,2.67,4155112.0,11636735.404217
肉制品,20240722,25.69,2.66,4141094.0,11600512.415918
肉制品,20240723,25.01,2.59,4031031.0,11258567.980965
肉制品,20240724,24.66,2.55,3975054.0,11108358.144402
肉制品,20240725,24.89,2.58,4011745.0,11211433.919733
肉制品,20240726,25.01,2.59,4031044.0,11244073.044573
肉制品,20240729,24.53,2.54,3954110.0,10980957.233511
肉制品,20240730,24.73,2.56,3986334.0,11065976.823837
肉制品,20240731,25.17,2.61,4056974.0,11247115.623863
肉制品,20240801,25.0,2.59,4029315.0,11165639.937755
肉制品,20240802,25.32,2.62,4081243.0,11263800.830854
肉制品,20240805,25.01,2.59,4031197.0,11118163.002365
肉制品,20240806,25.44,2.63,4100892.0,11319860.325356
肉制品,20240807,25.34,2.62,4084380.0,11291306.999141
