name,trade_date,pe,pb,float_mv,total_mv
股份制银行Ⅱ,20240102,4.19,0.4,76499047.0,185051432.406714
股份制银行Ⅱ,20240103,4.2,0.4,76644034.0,185801389.708052
股份制银行Ⅱ,20240104,4.19,0.4,76572982.0,185847206.67194
股份制银行Ⅱ,20240105,4.26,0.41,77732761.0,189115124.208833
股份制银行Ⅱ,20240108,4.22,0.41,77108701.0,187418994.748499
股份制银行Ⅱ,20240109,4.23,0.41,77229614.0,187775679.836971
股份制银行Ⅱ,20240110,4.21,0.4,76796188.0,186824176.452228
股份制银行Ⅱ,20240111,4.22,0.41,77050441.0,187117463.987439
股份制银行Ⅱ,20240112,4.24,0.41,77370579.0,188020491.479535
股份制银行Ⅱ,20240115,4.26,0.41,77749326.0,189031751.437342
股份制银行Ⅱ,20240116,4.32,0.41,78862608.0,191717549.002749
股份制银行Ⅱ,20240117,4.3,0.41,78474052.0,190595024.358446
股份制银行Ⅱ,20240118,4.33,0.42,79036474.0,191596703.762069
股份制银行Ⅱ,20240119,4.34,0.42,79253015.0,192025330.300466
股份制银行Ⅱ,20240122,4.36,0.42,79557488.0,192512096.58641
股份制银行Ⅱ,20240123,4.34,0.42,79302952.0,192199426.380965
股份制银行Ⅱ,20240124,4.4,0.42,80272735.0,194726932.439135
股份制银行Ⅱ,20240125,4.48,0.43,81732457.0,198578234.987775
股份制银行Ⅱ,20240126,4.53,0.44,82758768.0,201118124.102302
股份制银行Ⅱ,20240129,4.56,0.44,83342329.0,203253525.54166
股份制银行Ⅱ,20240130,4.52,0.43,82508051.0,201121987.025902
股份制银行Ⅱ,20240131,4.51,0.43,82313901.0,200682119.428152
股份制银行Ⅱ,20240201,4.48,0.43,81753580.0,199104031.579475
股份制银行Ⅱ,20240202,4.47,0.43,81592132.0,198522193.736815
股份制银行Ⅱ,20240205,4.52,0.43,82475792.0,201252841.639732
股份制银行Ⅱ,20240206,4.58,0.44,83630644.0,203873568.524872
股份制银行Ⅱ,20240207,4.56,0.44,83343962.0,202671127.900133
股份制银行Ⅱ,20240208,4.58,0.44,83558050.0,202889781.911187
股份制银行Ⅱ,20240219,4.63,0.44,84520205.0,205754788.884323
股份制银行Ⅱ,20240220,4.63,0.45,84637150.0,206197681.430938
股份制银行Ⅱ,20240221,4.82,0.46,87940856.0,214097829.846653
股份制银行Ⅱ,20240222,4.82,0.46,87995210.0,214284273.125185
股份制银行Ⅱ,20240223,4.84,0.46,88361402.0,215211189.05449
股份制银行Ⅱ,20240226,4.73,0.45,86294244.0,210097716.974572
股份制银行Ⅱ,20240227,4.73,0.45,86368186.0,210236146.929318
股份制银行Ⅱ,20240228,4.72,0.45,86161924.0,209646389.423813
股份制银行Ⅱ,20240229,4.74,0.45,86481065.0,210368681.994719
股份制银行Ⅱ,20240301,4.72,0.45,86234550.0,209829308.003277
股份制银行Ⅱ,20240304,4.67,0.45,85304525.0,207588017.500121
股份制银行Ⅱ,20240305,4.74,0.46,86639483.0,211093399.231756
股份制银行Ⅱ,20240306,4.71,0.45,85998162.0,209433152.011083
股份制银行Ⅱ,20240307,4.72,0.45,86258780.0,210028976.869155
股份制银行Ⅱ,20240308,4.7,0.45,85869708.0,209012508.706515
股份制银行Ⅱ,20240311,4.7,0.45,85755807.0,208658433.866544
股份制银行Ⅱ,20240312,4.71,0.45,86051185.0,208806387.244783
股份制银行Ⅱ,20240313,4.66,0.45,85068869.0,206637139.264918
股份制银行Ⅱ,20240314,4.64,0.45,84694712.0,205725205.290025
股份制银行Ⅱ,20240315,4.69,0.45,85329997.0,207321469.845359
股份制银行Ⅱ,20240318,4.69,0.45,85174746.0,207015049.483584
股份制银行Ⅱ,20240319,4.64,0.44,84362479.0,205090926.984515
股份制银行Ⅱ,20240320,4.68,0.45,85059106.0,206898976.01255
股份制银行Ⅱ,20240321,4.71,0.45,85641614.0,208431333.531646
股份制银行Ⅱ,20240322,4.68,0.45,85025206.0,206360746.080062
股份制银行Ⅱ,20240325,4.7,0.45,85368652.0,207425798.383537
股份制银行Ⅱ,20240326,4.77,0.45,87036800.0,211291998.035932
股份制银行Ⅱ,20240327,4.78,0.45,87189282.0,211694231.36873
股份制银行Ⅱ,20240328,4.76,0.45,86132387.0,209001354.476672
股份制银行Ⅱ,20240329,4.84,0.44,85621467.0,208300262.899354
股份制银行Ⅱ,20240401,4.87,0.44,86221418.0,209790960.394799
股份制银行Ⅱ,20240402,4.86,0.44,85891433.0,211941177.392353
股份制银行Ⅱ,20240403,4.81,0.44,85148570.0,210254370.451922
股份制银行Ⅱ,20240408,4.83,0.44,85435610.0,211553640.766513
股份制银行Ⅱ,20240409,4.82,0.44,85194998.0,210806524.827837
股份制银行Ⅱ,20240410,4.84,0.44,85623643.0,211906850.029102
股份制银行Ⅱ,20240411,4.82,0.44,85290063.0,211186513.07195
股份制银行Ⅱ,20240412,4.77,0.44,84460710.0,209371567.41288
股份制银行Ⅱ,20240415,4.87,0.44,86175590.0,213984823.42674
股份制银行Ⅱ,20240416,4.87,0.44,86093772.0,213358259.14234
股份制银行Ⅱ,20240417,4.97,0.45,87834589.0,219380213.269853
股份制银行Ⅱ,20240418,5.02,0.46,88819288.0,223693196.294328
股份制银行Ⅱ,20240419,4.99,0.45,88252487.0,220405113.977833
股份制银行Ⅱ,20240422,4.95,0.45,87480362.0,217830831.541198
股份制银行Ⅱ,20240423,4.94,0.45,87305794.0,217649924.055076
股份制银行Ⅱ,20240424,4.93,0.45,87292507.0,217412626.305513
股份制银行Ⅱ,20240425,5.02,0.46,88720838.0,220587323.610864
股份制银行Ⅱ,20240426,5.02,0.45,88871353.0,220437125.239913
股份制银行Ⅱ,20240429,5.08,0.46,89910980.0,222540899.060291
股份制银行Ⅱ,20240430,5.09,0.45,89828519.0,222460719.580441
股份制银行Ⅱ,20240506,5.14,0.45,90483505.0,224100624.091302
股份制银行Ⅱ,20240507,5.13,0.45,90392023.0,224109865.938993
股份制银行Ⅱ,20240508,5.1,0.45,89866139.0,223265653.047874
股份制银行Ⅱ,20240509,5.12,0.45,90236720.0,223977528.684476
股份制银行Ⅱ,20240510,5.2,0.46,91626481.0,227306466.216608
股份制银行Ⅱ,20240513,5.23,0.46,92110315.0,228485358.521278
股份制银行Ⅱ,20240514,5.19,0.46,91324423.0,226127257.106316
股份制银行Ⅱ,20240515,5.15,0.45,90757781.0,224632181.511727
股份制银行Ⅱ,20240516,5.28,0.46,92916586.0,229900904.275153
股份制银行Ⅱ,20240517,5.36,0.47,94462366.0,233509506.85154
股份制银行Ⅱ,20240520,5.36,0.47,94415537.0,233263609.704207
股份制银行Ⅱ,20240521,5.39,0.47,94844226.0,234364491.358115
股份制银行Ⅱ,20240522,5.4,0.47,95192989.0,235323923.080226
股份制银行Ⅱ,20240523,5.35,0.47,94281422.0,233374396.344931
股份制银行Ⅱ,20240524,5.28,0.46,93078950.0,230599158.787619
股份制银行Ⅱ,20240527,5.36,0.47,94323986.0,234105102.941689
股份制银行Ⅱ,20240528,5.33,0.47,93892258.0,233013139.81583
股份制银行Ⅱ,20240529,5.28,0.46,92968406.0,230634925.166263
股份制银行Ⅱ,20240530,5.24,0.46,92274448.0,228899434.83534
股份制银行Ⅱ,20240531,5.23,0.46,92186010.0,228962868.35227
股份制银行Ⅱ,20240603,5.2,0.46,91533534.0,226817331.907911
股份制银行Ⅱ,20240604,5.22,0.46,91954282.0,227786041.344942
股份制银行Ⅱ,20240605,5.16,0.45,90859401.0,225211481.578484
股份制银行Ⅱ,20240606,5.15,0.45,90734273.0,224862387.762479
股份制银行Ⅱ,20240607,5.17,0.45,90997721.0,225627493.524328
股份制银行Ⅱ,20240611,5.09,0.45,89638265.0,221603358.218121
股份制银行Ⅱ,20240612,5.06,0.44,89150922.0,220088067.234362
股份制银行Ⅱ,20240613,5.02,0.44,88496782.0,218231285.064455
股份制银行Ⅱ,20240614,5.07,0.45,89374391.0,220262435.061802
股份制银行Ⅱ,20240617,5.05,0.44,88858279.0,219016889.258482
股份制银行Ⅱ,20240618,5.05,0.44,88932863.0,219428334.150336
股份制银行Ⅱ,20240619,5.1,0.45,89870763.0,221534612.487204
股份制银行Ⅱ,20240620,45.28,0.44,8201230.0,219884312.294331
股份制银行Ⅱ,20240621,5.03,0.44,88661025.0,219071116.500725
股份制银行Ⅱ,20240624,5.05,0.44,88919842.0,219210262.253946
股份制银行Ⅱ,20240625,5.07,0.45,89299304.0,220449841.31229
股份制银行Ⅱ,20240626,5.05,0.44,89005394.0,219913195.281618
股份制银行Ⅱ,20240627,5.09,0.45,89591855.0,221453761.349254
股份制银行Ⅱ,20240628,5.1,0.45,89888793.0,222056503.890533
股份制银行Ⅱ,20240701,5.14,0.45,90588180.0,223893475.7216
股份制银行Ⅱ,20240702,5.23,0.46,92121691.0,228104051.312481
股份制银行Ⅱ,20240703,5.17,0.45,91132749.0,225604133.435457
股份制银行Ⅱ,20240704,5.18,0.45,91188875.0,225835256.010631
股份制银行Ⅱ,20240705,5.06,0.44,89183943.0,220674283.596591
股份制银行Ⅱ,20240708,5.08,0.45,89515591.0,221658125.832483
股份制银行Ⅱ,20240709,5.07,0.45,89358230.0,222150504.89007
股份制银行Ⅱ,20240710,5.1,0.45,89880172.0,222439999.355109
股份制银行Ⅱ,20240711,4.99,0.44,87872038.0,217584691.433516
股份制银行Ⅱ,20240712,5.09,0.45,89674530.0,222090767.36759
股份制银行Ⅱ,20240715,5.1,0.45,89874538.0,222767748.545014
股份制银行Ⅱ,20240716,5.1,0.45,89817016.0,222358683.987111
股份制银行Ⅱ,20240717,5.15,0.45,90718210.0,224612306.18066
股份制银行Ⅱ,20240718,5.13,0.45,90326920.0,223488255.844431
股份制银行Ⅱ,20240719,5.13,0.45,90420994.0,223395785.729391
股份制银行Ⅱ,20240722,5.03,0.44,88605163.0,218882927.226661
股份制银行Ⅱ,20240723,5.04,0.44,88785887.0,219327252.084962
股份制银行Ⅱ,20240724,5.0,0.44,88017513.0,217637038.901645
股份制银行Ⅱ,20240725,4.95,0.43,87146967.0,215205448.132604
股份制银行Ⅱ,20240726,4.88,0.43,85974415.0,212094577.121038
股份制银行Ⅱ,20240729,4.94,0.43,87011720.0,215080066.695382
股份制银行Ⅱ,20240730,4.92,0.43,86622039.0,214036721.581204
股份制银行Ⅱ,20240731,4.95,0.43,87173236.0,215311117.708721
股份制银行Ⅱ,20240801,4.95,0.43,87247161.0,215880836.580276
股份制银行Ⅱ,20240802,4.9,0.43,86382382.0,213837244.198167
股份制银行Ⅱ,20240805,4.86,0.43,85677074.0,211957525.885038
股份制银行Ⅱ,20240806,4.81,0.42,84719353.0,209428942.265688
股份制银行Ⅱ,20240807,4.82,0.42,84853477.0,209762036.930546
股份制银行Ⅱ,20240808,4.85,0.43,85354942.0,210891283.995015
股份制银行Ⅱ,20240809,4.88,0.43,85868383.0,212284564.823462
股份制银行Ⅱ,20240812,4.85,0.43,85425540.0,211287819.640348
股份制银行Ⅱ,20240813,4.85,0.43,85432334.0,211637829.286918
股份制银行Ⅱ,20240814,4.84,0.43,85262815.0,211550909.454756
股份制银行Ⅱ,20240815,4.94,0.43,86966528.0,215800764.91911
股份制银行Ⅱ,20240816,4.99,0.44,87862796.0,218128287.223697
股份制银行Ⅱ,20240819,5.05,0.44,88870667.0,220861665.012783
股份制银行Ⅱ,20240820,5.03,0.44,88598774.0,220232522.253498
股份制银行Ⅱ,20240821,5.01,0.44,88282201.0,219682106.488828
股份制银行Ⅱ,20240822,5.03,0.44,88556180.0,220537764.810992
股份制银行Ⅱ,20240823,5.09,0.44,89615658.0,222448504.325403
股份制银行Ⅱ,20240826,5.1,0.44,89806116.0,222566804.625514
股份制银行Ⅱ,20240827,5.08,0.44,89494247.0,222169069.654483
股份制银行Ⅱ,20240828,5.05,0.44,89002047.0,220709011.985333
股份制银行Ⅱ,20240829,4.92,0.43,86680486.0,214780122.186107
股份制银行Ⅱ,20240830,4.85,0.43,85484637.0,211277516.807321
股份制银行Ⅱ,20240902,4.81,0.43,85359576.0,211224720.336863
股份制银行Ⅱ,20240903,4.76,0.42,84497871.0,208813726.344287
股份制银行Ⅱ,20240904,4.74,0.42,84169312.0,208125416.942738
股份制银行Ⅱ,20240905,4.74,0.42,84183920.0,207973141.434152
股份制银行Ⅱ,20240906,4.76,0.42,84479391.0,208711346.750222
股份制银行Ⅱ,20240909,4.65,0.41,82468493.0,204185693.974989
股份制银行Ⅱ,20240910,4.67,0.41,82824952.0,205235137.81013
股份制银行Ⅱ,20240911,4.59,0.41,81470400.0,201364087.100077
股份制银行Ⅱ,20240912,4.64,0.41,82399276.0,203760318.342866
股份制银行Ⅱ,20240913,4.65,0.41,82462235.0,203867344.56284
股份制银行Ⅱ,20240918,4.69,0.42,83235376.0,205627537.199456
