name,trade_date,pe,pb,float_mv,total_mv
自动化设备,20240102,41.67,3.86,38456119.0,74190261.790004
自动化设备,20240103,40.9,3.79,37648235.0,72676298.253756
自动化设备,20240104,40.51,3.75,37237381.0,71973849.850869
自动化设备,20240105,39.74,3.68,36524975.0,70648563.954843
自动化设备,20240108,38.78,3.59,35617555.0,68901114.167797
自动化设备,20240109,39.51,3.66,36234155.0,69931802.090782
自动化设备,20240110,38.36,3.56,35274144.0,68095185.372716
自动化设备,20240111,38.68,3.59,35678122.0,68990533.363236
自动化设备,20240112,38.05,3.53,35123298.0,67783137.157283
自动化设备,20240115,37.68,3.49,34764377.0,67215290.876586
自动化设备,20240116,37.45,3.47,34508949.0,66723246.655024
自动化设备,20240117,36.44,3.37,33490082.0,64706226.372393
自动化设备,20240118,36.8,3.41,33734861.0,65094882.050358
自动化设备,20240119,36.3,3.36,33252297.0,64086856.067099
自动化设备,20240122,34.96,3.24,31830357.0,61044981.978021
自动化设备,20240123,35.56,3.29,32370447.0,61868712.944056
自动化设备,20240124,35.99,3.33,32684521.0,62386166.950595
自动化设备,20240125,36.82,3.41,33429835.0,63911549.744734
自动化设备,20240126,36.74,3.4,33172880.0,63233502.005557
自动化设备,20240129,35.61,3.3,32148480.0,61258895.185326
自动化设备,20240130,34.72,3.22,31345380.0,59687209.458788
自动化设备,20240131,34.17,3.16,30684554.0,58023980.652673
自动化设备,20240201,34.31,3.18,30793870.0,58082360.736693
自动化设备,20240202,33.66,3.12,30059362.0,56413900.330656
自动化设备,20240205,32.92,3.05,29196430.0,54133279.045756
自动化设备,20240206,34.51,3.19,30719330.0,57335023.13852
自动化设备,20240207,35.61,3.29,31570836.0,58696726.713611
自动化设备,20240208,36.78,3.4,32800543.0,61317608.418017
自动化设备,20240219,37.62,3.48,33435244.0,62496545.52682
自动化设备,20240220,37.89,3.5,33774038.0,63290907.679985
自动化设备,20240221,37.68,3.48,33638413.0,63195911.411449
自动化设备,20240222,38.23,3.53,34160804.0,64248602.035913
自动化设备,20240223,38.6,3.57,34740062.0,65735713.179791
自动化设备,20240226,39.93,3.69,35973862.0,68245213.805448
自动化设备,20240227,40.88,3.78,36936553.0,70041511.938102
自动化设备,20240228,38.97,3.6,34935928.0,65833373.234289
自动化设备,20240229,40.62,3.75,36511142.0,68932379.791493
自动化设备,20240301,41.52,3.84,37411685.0,70447550.746024
自动化设备,20240304,42.03,3.89,37752833.0,71008772.828683
自动化设备,20240305,42.07,3.89,37557035.0,70371236.21287
自动化设备,20240306,42.61,3.94,38142305.0,71771799.798283
自动化设备,20240307,42.47,3.93,37873899.0,71246726.682803
自动化设备,20240308,42.94,3.97,38369777.0,72158147.877855
自动化设备,20240311,43.17,3.99,38644721.0,72694838.529961
自动化设备,20240312,43.11,3.99,38642909.0,72899211.607579
自动化设备,20240313,43.17,3.99,38724243.0,73070335.27852
自动化设备,20240314,42.6,3.94,38240121.0,72229071.141833
自动化设备,20240315,43.11,3.99,38882967.0,73861856.504858
自动化设备,20240318,43.8,4.05,39529344.0,75232938.228159
自动化设备,20240319,43.03,3.98,38765757.0,73835339.249335
自动化设备,20240320,43.26,4.0,38950531.0,74363863.647094
自动化设备,20240321,42.92,3.98,38552497.0,73283669.162411
自动化设备,20240322,42.5,3.94,38161386.0,72332908.746155
自动化设备,20240325,41.37,3.83,37105769.0,70190035.660379
自动化设备,20240326,41.21,3.82,36933081.0,69633119.128009
自动化设备,20240327,40.05,3.72,35854908.0,67445719.012194
自动化设备,20240328,41.13,3.82,36965633.0,69567696.619702
自动化设备,20240329,41.84,3.88,37512519.0,70509817.913081
自动化设备,20240401,42.61,3.96,38188747.0,71757737.824418
自动化设备,20240402,41.73,3.87,37443541.0,70280233.888873
自动化设备,20240403,41.26,3.83,36994332.0,69337375.082905
自动化设备,20240408,40.04,3.72,35921295.0,67347052.287294
自动化设备,20240409,40.13,3.7,35906313.0,67578355.16089
自动化设备,20240410,39.75,3.67,35485395.0,66685446.224844
自动化设备,20240411,39.86,3.68,35524116.0,66716278.602161
自动化设备,20240412,39.79,3.67,35439241.0,66470953.525079
自动化设备,20240415,39.58,3.65,35111453.0,65552214.59541
自动化设备,20240416,38.22,3.52,33772937.0,62623668.615574
自动化设备,20240417,39.98,3.69,35445114.0,65992496.818449
自动化设备,20240418,39.85,3.73,35383132.0,65950065.240366
自动化设备,20240419,39.69,3.68,35042431.0,65275701.383593
自动化设备,20240422,39.78,3.65,34813241.0,64921491.299243
自动化设备,20240423,38.43,3.56,34930704.0,65357960.114986
自动化设备,20240424,38.99,3.62,35425732.0,66258507.414131
自动化设备,20240425,38.44,3.54,35063808.0,65682801.821015
自动化设备,20240426,39.67,3.63,36078167.0,67573216.290907
自动化设备,20240429,40.12,3.72,36827475.0,68940146.37422
自动化设备,20240430,39.25,3.67,36274050.0,67834369.788199
自动化设备,20240506,47.13,3.63,37257252.0,69523857.496479
自动化设备,20240507,47.38,3.65,37458525.0,69906990.137132
自动化设备,20240508,46.56,3.58,36792811.0,68585613.319575
自动化设备,20240509,47.03,3.62,37200459.0,69302897.072747
自动化设备,20240510,46.23,3.56,36557902.0,68025113.007947
自动化设备,20240513,45.34,3.48,35833703.0,66527963.715843
自动化设备,20240514,45.5,3.49,35990593.0,67108983.497329
自动化设备,20240515,45.13,3.47,35690307.0,66437403.289037
自动化设备,20240516,45.06,3.46,35638044.0,66381105.894888
自动化设备,20240517,45.92,3.53,36316435.0,67574613.951634
自动化设备,20240520,45.71,3.51,36156433.0,67354881.988026
自动化设备,20240521,45.31,3.48,35851287.0,66733565.964432
自动化设备,20240522,45.47,3.49,35984998.0,67073126.17259
自动化设备,20240523,44.85,3.45,35493404.0,66126215.323212
自动化设备,20240524,43.92,3.37,34734750.0,64581699.375219
自动化设备,20240527,44.48,3.42,35194364.0,65415978.139216
自动化设备,20240528,43.91,3.37,34746950.0,64609368.811019
自动化设备,20240529,43.86,3.37,34717215.0,64625155.038499
自动化设备,20240530,43.89,3.37,34744577.0,64710013.339227
自动化设备,20240531,44.2,3.4,35013396.0,65369286.555259
自动化设备,20240603,43.57,3.35,34518941.0,64433784.93478
自动化设备,20240604,42.97,3.3,34013927.0,63419535.406023
自动化设备,20240605,42.58,3.27,33698534.0,62717021.556048
自动化设备,20240606,41.89,3.22,33140796.0,61433999.326887
自动化设备,20240607,41.56,3.19,32896569.0,61177612.804187
自动化设备,20240611,42.11,3.23,33335665.0,62049300.519003
自动化设备,20240612,42.39,3.26,33606209.0,62706564.318688
自动化设备,20240613,42.86,3.29,33976446.0,63416803.285051
自动化设备,20240614,42.78,3.29,33897134.0,63119186.889126
自动化设备,20240617,43.03,3.31,34091814.0,63475674.051972
自动化设备,20240618,43.3,3.32,34328195.0,64072702.025725
自动化设备,20240619,42.47,3.26,33672550.0,62972939.079477
自动化设备,20240620,116.87,3.18,6839832.0,61619511.979156
自动化设备,20240621,33.14,3.17,32707864.0,61168246.511715
自动化设备,20240624,32.12,3.07,31685115.0,59129840.539147
自动化设备,20240625,32.1,3.07,31681487.0,59115136.605513
自动化设备,20240626,32.76,3.13,32343904.0,60463005.645098
自动化设备,20240627,32.21,3.08,31827351.0,59478942.972901
自动化设备,20240628,32.62,3.12,32229943.0,60211302.631508
自动化设备,20240701,32.31,3.09,31924975.0,59630380.540182
自动化设备,20240702,31.98,3.06,31592063.0,58896624.629
自动化设备,20240703,31.72,3.03,31320216.0,58343439.912827
自动化设备,20240704,31.51,3.01,31100125.0,57768383.433927
自动化设备,20240705,31.5,3.01,31085898.0,57763948.105309
自动化设备,20240708,30.65,2.93,30241865.0,56091896.845711
自动化设备,20240709,31.64,3.03,31274117.0,57968827.648096
自动化设备,20240710,31.79,3.04,31421928.0,58187118.415482
自动化设备,20240711,32.45,3.1,32092994.0,59546514.759026
自动化设备,20240712,31.62,3.02,31276409.0,58147441.513412
自动化设备,20240715,31.11,2.98,30812633.0,57190261.13485
