name,trade_date,pe,pb,float_mv,total_mv
自然景区,20240102,36.17,2.44,2402520.0,5100928.531989
自然景区,20240103,36.99,2.49,2457088.0,5229438.686289
自然景区,20240104,37.64,2.54,2500302.0,5335755.205334
自然景区,20240105,37.18,2.5,2469969.0,5297636.191147
自然景区,20240108,37.22,2.51,2472180.0,5326860.779109
自然景区,20240109,38.95,2.62,2587395.0,5580088.966339
自然景区,20240110,38.54,2.6,2560280.0,5556275.189476
自然景区,20240111,38.67,2.6,2568480.0,5575781.788111
自然景区,20240112,38.22,2.57,2538828.0,5542994.351467
自然景区,20240115,40.13,2.7,2665935.0,5830824.956428
自然景区,20240116,41.05,2.77,2726791.0,5957887.080608
自然景区,20240117,40.11,2.7,2664189.0,5871324.642854
自然景区,20240118,39.1,2.63,2597159.0,5714213.138289
自然景区,20240119,40.44,2.72,2686063.0,5882560.58157
自然景区,20240122,38.19,2.57,2536980.0,5598034.478316
自然景区,20240123,38.0,2.56,2524274.0,5536377.249376
自然景区,20240124,38.3,2.58,2544149.0,5556842.63205
自然景区,20240125,38.98,2.63,2589651.0,5654439.351968
自然景区,20240126,38.7,2.61,2571008.0,5592139.485991
自然景区,20240129,37.22,2.51,2472304.0,5364101.184039
自然景区,20240130,36.76,2.48,2441898.0,5299148.072124
自然景区,20240131,34.68,2.34,2303285.0,4995420.320944
自然景区,20240201,33.68,2.27,2236646.0,4880551.624676
自然景区,20240202,34.24,2.31,2273236.0,4942946.124152
自然景区,20240205,31.33,2.11,2080618.0,4532409.3011
自然景区,20240206,31.86,2.15,2115330.0,4594789.884184
自然景区,20240207,31.21,2.1,2072265.0,4501937.668606
自然景区,20240208,33.29,2.24,2210714.0,4770417.921665
自然景区,20240219,34.42,2.32,2285490.0,4941704.233672
自然景区,20240220,34.48,2.32,2289612.0,4956989.724956
自然景区,20240221,35.08,2.36,2329568.0,5044284.73245
自然景区,20240222,35.78,2.41,2375930.0,5150665.206663
自然景区,20240223,35.76,2.41,2374713.0,5145449.695679
自然景区,20240226,35.6,2.4,2363975.0,5116572.410324
自然景区,20240227,36.0,2.43,2390471.0,5177640.580774
自然景区,20240228,34.29,2.31,2276556.0,4919780.641135
自然景区,20240229,34.78,2.34,2309375.0,4985792.37663
自然景区,20240301,34.88,2.35,2316251.0,4997393.125336
自然景区,20240304,34.67,2.34,2302277.0,4970927.160302
自然景区,20240305,35.05,2.36,2327147.0,5027827.206715
自然景区,20240306,35.26,2.38,2341043.0,5056066.246916
自然景区,20240307,36.67,2.47,2434670.0,5265713.388103
自然景区,20240308,35.92,2.42,2384857.0,5151426.195216
自然景区,20240311,36.42,2.45,2418424.0,5217839.906653
自然景区,20240312,36.2,2.52,2480248.0,5346879.51606
自然景区,20240313,36.09,2.51,2472402.0,5322359.356947
自然景区,20240314,36.61,2.54,2508255.0,5392512.741574
自然景区,20240315,36.81,2.56,2522231.0,5427208.896897
自然景区,20240318,37.36,2.6,2559855.0,5508034.454071
自然景区,20240319,36.9,2.56,2527917.0,5442148.506571
自然景区,20240320,37.26,2.59,2552938.0,5487837.527635
自然景区,20240321,38.0,2.64,2603644.0,5598126.218347
自然景区,20240322,37.27,2.61,2572660.0,5529889.674105
自然景区,20240325,36.15,2.53,2495063.0,5342059.455138
自然景区,20240326,36.22,2.54,2500014.0,5337207.84912
自然景区,20240327,35.64,2.5,2460234.0,5254979.531045
自然景区,20240328,36.36,2.56,2534938.0,5350899.256414
自然景区,20240329,37.39,2.63,2606733.0,5502590.454205
自然景区,20240401,36.12,2.66,2628075.0,5544244.555312
自然景区,20240402,36.27,2.67,2639619.0,5564343.504796
自然景区,20240403,36.04,2.65,2622597.0,5522502.752309
自然景区,20240408,35.58,2.62,2588781.0,5453281.977015
自然景区,20240409,37.3,2.74,2713911.0,5701729.09881
自然景区,20240410,37.55,2.77,2738931.0,5747454.625689
自然景区,20240411,39.07,2.88,2850165.0,5971196.502823
自然景区,20240412,39.98,2.95,2916312.0,6093211.667293
自然景区,20240415,38.47,2.84,2806262.0,5844587.239231
自然景区,20240416,34.92,2.58,2547655.0,5317447.59565
自然景区,20240417,36.04,2.66,2628791.0,5493420.379904
自然景区,20240418,36.9,2.73,2691467.0,5613739.455435
自然景区,20240419,35.48,2.68,2658611.0,5542949.884695
自然景区,20240422,34.93,2.73,2704778.0,5647301.904789
自然景区,20240423,33.65,2.66,2603301.0,5450988.599069
自然景区,20240424,33.62,2.69,2647486.0,5544585.430251
自然景区,20240425,33.63,2.68,2647996.0,5545002.91811
自然景区,20240426,33.83,2.71,2679121.0,5607985.490379
自然景区,20240429,33.87,2.71,2682112.0,5618244.58111
自然景区,20240430,32.31,2.59,2558954.0,5366990.630657
自然景区,20240506,32.56,2.54,2509355.0,5269555.779351
