name,trade_date,pe,pb,float_mv,total_mv
航海装备Ⅲ,20240102,122.13,2.0,12932900.0,33283450.53361
航海装备Ⅲ,20240103,122.51,2.01,12973410.0,33404347.384785
航海装备Ⅲ,20240104,121.32,1.99,12846560.0,33057889.62966
航海装备Ⅲ,20240105,119.44,1.96,12647768.0,32541360.965913
航海装备Ⅲ,20240108,117.98,1.93,12493189.0,32160209.95952
航海装备Ⅲ,20240109,116.7,1.91,12358010.0,31783338.726606
航海装备Ⅲ,20240110,116.27,1.91,12312086.0,31682424.431206
航海装备Ⅲ,20240111,118.71,1.95,12570846.0,32347785.80756
航海装备Ⅲ,20240112,119.81,1.96,12687256.0,32602296.327347
航海装备Ⅲ,20240115,118.1,1.94,12506390.0,32147573.217175
航海装备Ⅲ,20240116,118.15,1.94,12511793.0,32169323.930715
航海装备Ⅲ,20240117,115.26,1.89,12205115.0,31380653.268373
航海装备Ⅲ,20240118,113.92,1.87,12063846.0,31026782.037926
航海装备Ⅲ,20240119,113.58,1.86,12028169.0,30971709.669785
航海装备Ⅲ,20240122,109.6,1.8,11606996.0,29919784.847178
航海装备Ⅲ,20240123,109.94,1.8,11642086.0,30011312.754104
航海装备Ⅲ,20240124,114.24,1.87,12097544.0,31224433.83409
航海装备Ⅲ,20240125,120.3,1.97,12739992.0,32934996.321476
航海装备Ⅲ,20240126,119.93,1.97,12700359.0,32832338.818984
航海装备Ⅲ,20240129,119.28,1.96,12631446.0,32723919.407342
航海装备Ⅲ,20240130,119.63,1.96,12668450.0,32836690.039307
航海装备Ⅲ,20240131,115.18,1.89,12196990.0,31669964.11448
航海装备Ⅲ,20240201,114.33,1.88,12107997.0,31455293.492672
航海装备Ⅲ,20240202,113.57,1.86,12026528.0,31302750.092633
航海装备Ⅲ,20240205,109.64,1.8,11610802.0,30331540.185548
航海装备Ⅲ,20240206,111.89,1.83,11849218.0,30930791.000056
航海装备Ⅲ,20240207,115.83,1.9,12265866.0,32061215.157619
航海装备Ⅲ,20240208,117.3,1.92,12421918.0,32332241.866781
航海装备Ⅲ,20240219,120.73,1.98,12784729.0,33314396.891763
航海装备Ⅲ,20240220,120.35,1.97,12745161.0,33192908.398182
航海装备Ⅲ,20240221,120.98,1.98,12811509.0,33347056.813021
航海装备Ⅲ,20240222,122.88,2.02,13012449.0,33861378.153206
航海装备Ⅲ,20240223,123.13,2.02,13039165.0,33923136.650845
航海装备Ⅲ,20240226,122.57,2.01,12979647.0,33707531.528417
航海装备Ⅲ,20240227,125.32,2.06,13271150.0,34472090.932987
航海装备Ⅲ,20240228,123.21,2.02,13047624.0,33968999.5867
航海装备Ⅲ,20240229,130.17,2.13,13784874.0,35891071.893141
航海装备Ⅲ,20240301,130.57,2.14,13826843.0,36002956.970284
航海装备Ⅲ,20240304,134.17,2.2,14208759.0,37023203.763603
航海装备Ⅲ,20240305,134.69,2.21,14263209.0,37206448.09739
航海装备Ⅲ,20240306,133.83,2.19,14172653.0,36948122.434889
航海装备Ⅲ,20240307,131.67,2.16,13944204.0,36337990.713445
航海装备Ⅲ,20240308,134.44,2.2,14236765.0,37038318.937297
航海装备Ⅲ,20240311,134.11,2.2,14201822.0,36927830.896853
航海装备Ⅲ,20240312,129.18,2.12,13680417.0,35471079.62322
航海装备Ⅲ,20240313,128.65,2.11,13624057.0,35348321.139836
航海装备Ⅲ,20240314,127.78,2.1,13531857.0,35124864.693605
航海装备Ⅲ,20240315,127.95,2.1,13549887.0,35165195.408673
航海装备Ⅲ,20240318,130.41,2.14,13809826.0,35837632.678746
