name,trade_date,pe,pb,float_mv,total_mv
航空机场,20240102,114.78,2.68,17477827.0,50183114.023389
航空机场,20240103,114.83,2.68,17485808.0,50184660.115819
航空机场,20240104,112.81,2.63,17178159.0,49239884.888677
航空机场,20240105,112.19,2.62,17082817.0,48934998.296565
航空机场,20240108,110.26,2.57,16789251.0,48103415.990254
航空机场,20240109,112.81,2.63,17177419.0,49305203.912719
航空机场,20240110,112.55,2.63,17137424.0,49194227.906477
航空机场,20240111,113.38,2.65,17263722.0,49567680.722011
航空机场,20240112,114.35,2.67,17412710.0,50045977.184994
航空机场,20240115,115.75,2.7,17625760.0,50682667.581532
航空机场,20240116,118.35,2.76,18021446.0,51748061.926302
航空机场,20240117,115.53,2.7,17592096.0,50533347.444432
航空机场,20240118,116.57,2.72,17749904.0,51005684.660433
航空机场,20240119,116.43,2.72,17729390.0,50907995.661311
航空机场,20240122,112.44,2.63,17120768.0,49190874.02793
航空机场,20240123,113.21,2.64,17238404.0,49541918.759614
航空机场,20240124,116.0,2.71,17663646.0,50749162.294112
航空机场,20240125,118.15,2.76,17991237.0,51718748.885751
航空机场,20240126,120.1,2.8,18288456.0,52546674.372195
航空机场,20240129,119.75,2.8,18234154.0,52395567.519223
航空机场,20240130,116.28,2.72,17706431.0,50858067.481157
航空机场,20240131,113.78,2.66,17324942.0,49760281.269795
航空机场,20240201,113.2,2.64,17237071.0,49438210.111703
航空机场,20240202,112.45,2.63,17122468.0,49129776.791196
航空机场,20240205,111.31,2.6,16948507.0,48503774.427262
航空机场,20240206,115.42,2.69,17575007.0,50334089.41786
航空机场,20240207,117.14,2.74,17837600.0,51049014.453149
航空机场,20240208,118.86,2.78,18099046.0,51797800.059413
航空机场,20240219,119.42,2.79,18183419.0,52044579.550099
航空机场,20240220,119.74,2.8,18233638.0,52217490.505771
航空机场,20240221,121.23,2.83,18460202.0,52879720.443703
航空机场,20240222,121.57,2.84,18511775.0,53140694.464769
航空机场,20240223,120.42,2.81,18336666.0,52539131.592318
航空机场,20240226,119.53,2.79,18201549.0,52126611.096385
航空机场,20240227,120.75,2.82,18386980.0,52688110.943777
航空机场,20240228,119.12,2.78,18138718.0,51976966.494
航空机场,20240229,120.44,2.81,18339628.0,52480855.742507
航空机场,20240301,118.5,2.77,18043741.0,51505754.07892
航空机场,20240304,117.17,2.75,17841748.0,51219694.438801
航空机场,20240305,116.84,2.74,17791985.0,51107066.700084
航空机场,20240306,116.91,2.74,17802569.0,51081214.348966
航空机场,20240307,116.14,2.73,17685428.0,50753825.495983
航空机场,20240308,115.88,2.72,17644452.0,50619070.516529
航空机场,20240311,117.55,2.76,17899427.0,51371143.961529
航空机场,20240312,119.75,2.81,18235160.0,52345648.21654
航空机场,20240313,118.89,2.79,18103145.0,51858090.767778
航空机场,20240314,119.5,2.8,18196882.0,52170057.856334
航空机场,20240315,120.9,2.84,18408837.0,52757512.294822
航空机场,20240318,122.17,2.87,18603286.0,53228549.226709
航空机场,20240319,119.55,2.82,18330845.0,52461833.343114
航空机场,20240320,120.26,2.84,18438943.0,52828165.431227
航空机场,20240321,119.61,2.82,18338903.0,52524725.651685
航空机场,20240322,117.61,2.78,18032811.0,51660659.691624
航空机场,20240325,116.65,2.76,17886062.0,51249804.510927
航空机场,20240326,116.07,2.74,17796309.0,51024158.189995
航空机场,20240327,115.05,2.72,17640331.0,50555433.523484
航空机场,20240328,116.77,2.78,17904348.0,51176999.629796
航空机场,20240329,117.74,2.65,18052412.0,51487836.813384
航空机场,20240401,99.07,2.72,18579196.0,52899016.964198
航空机场,20240402,98.76,2.71,18520321.0,52728920.710815
航空机场,20240403,97.6,2.68,18302973.0,52156639.490585
航空机场,20240408,88.21,2.63,18047591.0,51475969.759969
航空机场,20240409,77.32,2.66,18090792.0,51647452.441779
航空机场,20240410,77.98,2.68,18244372.0,52017269.31351
航空机场,20240411,77.36,2.66,18101376.0,51555015.506278
航空机场,20240412,76.29,2.62,17850769.0,50772203.417258
航空机场,20240415,77.65,2.67,18168032.0,51615595.116123
航空机场,20240416,76.38,2.62,17871983.0,50759607.028865
航空机场,20240417,77.74,2.67,18188125.0,51583691.005708
航空机场,20240418,78.86,2.71,18451651.0,52279106.012431
航空机场,20240419,78.06,2.68,18264346.0,51541560.724824
航空机场,20240422,78.58,2.7,18386513.0,52057509.20713
航空机场,20240423,78.47,2.7,18359456.0,51986951.833946
航空机场,20240424,79.53,2.74,18608916.0,52538665.359685
航空机场,20240425,80.52,2.77,18839320.0,53236143.553488
航空机场,20240426,81.66,2.81,19105564.0,54011126.089032
航空机场,20240429,95.62,2.8,18970453.0,53492815.061689
航空机场,20240430,78.72,2.78,18886007.0,53397693.437142
航空机场,20240506,57.16,2.8,18980406.0,53621773.907518
航空机场,20240507,56.82,2.78,18865638.0,53253538.299913
航空机场,20240508,56.19,2.75,18656945.0,52747888.613201
航空机场,20240509,56.74,2.78,18839909.0,53272584.1233
航空机场,20240510,56.39,2.76,18724691.0,52996846.898535
航空机场,20240513,56.08,2.74,18622115.0,52735053.20166
航空机场,20240514,56.16,2.75,18645836.0,52817138.159618
航空机场,20240515,55.79,2.73,18524006.0,52452536.190156
航空机场,20240516,55.62,2.72,18466857.0,52222568.292853
航空机场,20240517,56.89,2.78,18890285.0,53436697.518063
航空机场,20240520,57.86,2.83,19211007.0,54530501.668263
航空机场,20240521,57.68,2.82,19152342.0,54377796.783219
航空机场,20240522,58.32,2.85,19365725.0,55141262.256882
航空机场,20240523,57.41,2.81,19061379.0,54207446.589349
航空机场,20240524,56.76,2.78,18846715.0,53697916.186417
航空机场,20240527,57.23,2.8,19002614.0,54156173.484239
航空机场,20240528,56.41,2.76,18730708.0,53408692.016946
航空机场,20240529,56.2,2.75,18661998.0,53249625.304945
航空机场,20240530,55.92,2.74,18568572.0,52996937.181147
航空机场,20240531,55.75,2.73,18509809.0,52814549.946112
航空机场,20240603,55.49,2.72,18424616.0,52551283.721254
航空机场,20240604,56.13,2.75,18637135.0,53178028.047196
航空机场,20240605,55.78,2.73,18522721.0,52917813.75161
航空机场,20240606,54.78,2.68,18190294.0,52064877.633948
航空机场,20240607,55.23,2.7,18340068.0,52413987.573458
航空机场,20240611,55.07,2.69,18286459.0,52273197.323349
航空机场,20240612,55.03,2.69,18272161.0,52244475.394087
航空机场,20240613,54.41,2.66,18067025.0,51687378.972463
航空机场,20240614,54.42,2.66,18068915.0,51656182.232613
航空机场,20240617,54.42,2.66,18069195.0,51756699.454136
航空机场,20240618,54.69,2.68,18160207.0,52062537.11257
航空机场,20240619,54.17,2.65,17986950.0,51510216.81382
航空机场,20240620,428.29,2.61,1786876.0,50758316.976461
航空机场,20240621,53.29,2.61,17695571.0,50740176.186022
航空机场,20240624,52.56,2.57,17451473.0,50175230.688503
航空机场,20240625,52.31,2.56,17367817.0,49955771.230633
航空机场,20240626,52.59,2.57,17462862.0,50302561.665897
航空机场,20240627,52.14,2.55,17311663.0,49973957.169293
航空机场,20240628,51.92,2.54,17239252.0,49913728.944723
航空机场,20240701,52.8,2.58,17531578.0,50536071.799645
航空机场,20240702,52.69,2.58,17493986.0,50478629.575623
航空机场,20240703,52.9,2.59,17564726.0,50733630.455216
航空机场,20240704,51.44,2.52,17081106.0,49349775.400469
航空机场,20240705,51.37,2.51,17057051.0,49309180.528223
航空机场,20240708,51.28,2.51,17026986.0,49232424.477706
航空机场,20240709,52.25,2.56,17348667.0,50104024.181322
航空机场,20240710,51.36,2.51,17054411.0,49260925.182118
航空机场,20240711,53.0,2.59,17598035.0,50913072.023702
航空机场,20240712,52.67,2.58,17489683.0,50459806.74549
航空机场,20240715,52.27,2.56,17355959.0,50011772.651197
航空机场,20240716,52.52,2.57,17439127.0,50311188.368615
航空机场,20240717,52.89,2.59,17562958.0,50774018.757248
航空机场,20240718,52.85,2.59,17549545.0,50729343.420541
航空机场,20240719,53.21,2.6,17666947.0,51144753.335279
航空机场,20240722,53.14,2.6,17643617.0,51092466.257214
航空机场,20240723,52.27,2.56,17355366.0,50251595.066486
航空机场,20240724,51.77,2.53,17190474.0,49771025.513587
