name,trade_date,pe,pb,float_mv,total_mv
航空运输,20240102,89.33,3.46,12824640.0,38027345.992924
航空运输,20240103,89.44,3.46,12841209.0,38050288.783885
航空运输,20240104,87.89,3.4,12617830.0,37320033.333287
航空运输,20240105,87.42,3.38,12551263.0,37090346.934106
航空运输,20240108,85.9,3.33,12332698.0,36457169.199038
航空运输,20240109,88.09,3.41,12647590.0,37463995.94641
航空运输,20240110,87.82,3.4,12608306.0,37352055.808129
航空运输,20240111,88.5,3.43,12705358.0,37649912.404127
航空运输,20240112,89.43,3.46,12838995.0,38089932.082939
航空运输,20240115,90.17,3.49,12944905.0,38442862.195369
航空运输,20240116,92.21,3.57,13238802.0,39250006.65318
航空运输,20240117,89.95,3.48,12914719.0,38311574.005489
航空运输,20240118,90.52,3.5,12996507.0,38578377.709212
航空运输,20240119,90.38,3.5,12975607.0,38474605.320797
航空运输,20240122,87.0,3.37,12490624.0,37072619.418122
航空运输,20240123,87.8,3.4,12604673.0,37419739.651664
航空运输,20240124,90.01,3.48,12922514.0,38345304.76218
航空运输,20240125,91.57,3.54,13147125.0,39043564.612365
航空运输,20240126,93.42,3.62,13412391.0,39786314.110562
航空运输,20240129,92.49,3.58,13279284.0,39427005.762974
航空运输,20240130,90.07,3.49,12930698.0,38358422.385378
航空运输,20240131,88.11,3.41,12649546.0,37527829.806021
航空运输,20240201,87.51,3.39,12564385.0,37206099.643029
航空运输,20240202,86.89,3.36,12475402.0,36965566.707398
航空运输,20240205,85.98,3.33,12343807.0,36456645.821626
航空运输,20240206,88.8,3.44,12748413.0,37707425.566841
航空运输,20240207,89.94,3.48,12912409.0,38178191.723339
航空运输,20240208,91.18,3.53,13090485.0,38701588.719806
航空运输,20240219,91.92,3.56,13197068.0,38997842.222543
航空运输,20240220,92.48,3.58,13277108.0,39248858.786486
航空运输,20240221,93.66,3.63,13446980.0,39760757.857287
航空运输,20240222,94.02,3.64,13498564.0,40025443.328188
航空运输,20240223,92.98,3.6,13348490.0,39487510.632137
航空运输,20240226,92.43,3.58,13269461.0,39222762.533331
航空运输,20240227,93.49,3.62,13422433.0,39701858.613721
航空运输,20240228,92.01,3.56,13209131.0,39080399.994663
航空运输,20240229,93.05,3.6,13358863.0,39451095.450822
航空运输,20240301,91.21,3.53,13094697.0,38558524.538469
航空运输,20240304,89.32,3.49,12824259.0,38084093.260868
航空运输,20240305,89.24,3.48,12812189.0,38070157.185594
航空运输,20240306,89.18,3.48,12803472.0,37996306.012648
航空运输,20240307,88.72,3.46,12736867.0,37807773.748189
航空运输,20240308,88.5,3.46,12705814.0,37698768.317133
航空运输,20240311,90.01,3.51,12922845.0,38353473.336164
航空运输,20240312,91.58,3.58,13148282.0,39035071.004387
航空运输,20240313,90.88,3.55,13048052.0,38624038.678151
航空运输,20240314,90.66,3.54,13015285.0,38599689.053273
航空运输,20240315,92.03,3.59,13212480.0,39151409.867252
航空运输,20240318,92.93,3.63,13342417.0,39451998.209351
航空运输,20240319,90.85,3.57,13139746.0,38868763.534566
航空运输,20240320,91.74,3.61,13268469.0,39292258.270839
航空运输,20240321,91.32,3.59,13206890.0,39092974.885895
航空运输,20240322,89.47,3.52,12939066.0,38322638.324628
航空运输,20240325,88.54,3.48,12805493.0,37941006.942663
航空运输,20240326,88.27,3.47,12766823.0,37853827.030449
航空运输,20240327,87.88,3.45,12710009.0,37650255.65597
航空运输,20240328,88.98,3.54,12869503.0,38003410.956327
