name,trade_date,pe,pb,float_mv,total_mv
装修建材,20240102,20.37,1.88,12906054.0,26144186.96716
装修建材,20240103,20.39,1.88,12921129.0,26149337.730999
装修建材,20240104,20.29,1.88,12856564.0,26020395.98084
装修建材,20240105,20.13,1.86,12750848.0,25822570.342086
装修建材,20240108,19.83,1.83,12564687.0,25417772.881101
装修建材,20240109,20.05,1.85,12699624.0,25707487.564085
装修建材,20240110,20.06,1.86,12751898.0,25782043.773983
装修建材,20240111,20.37,1.89,12950244.0,26201628.446176
装修建材,20240112,20.58,1.91,13081545.0,26512354.49553
装修建材,20240115,20.72,1.92,13163460.0,26675711.334219
装修建材,20240116,20.67,1.91,13131492.0,26610690.973021
装修建材,20240117,20.12,1.86,12780823.0,25924146.79064
装修建材,20240118,20.11,1.86,12772779.0,25947033.877029
装修建材,20240119,19.88,1.84,12622112.0,25587481.638986
装修建材,20240122,18.87,1.75,11977701.0,24211389.158499
装修建材,20240123,18.94,1.75,12032721.0,24288673.650945
装修建材,20240124,19.25,1.78,12237218.0,24716289.912254
装修建材,20240125,19.87,1.84,12640216.0,25535557.522961
装修建材,20240126,20.18,1.87,12826105.0,25926370.163797
装修建材,20240129,19.88,1.84,12644595.0,25536706.009942
装修建材,20240130,19.21,1.78,12210509.0,24681273.323552
装修建材,20240131,18.65,1.73,11860623.0,23993596.641522
装修建材,20240201,18.35,1.7,11656392.0,23563422.361133
装修建材,20240202,18.01,1.67,11435683.0,23063944.275605
装修建材,20240205,17.26,1.6,10936865.0,22086850.752076
装修建材,20240206,17.98,1.67,11384587.0,22958118.555563
装修建材,20240207,18.09,1.68,11445870.0,23082239.873588
装修建材,20240208,18.62,1.73,11794480.0,23780000.278797
装修建材,20240219,18.71,1.74,11856956.0,23966263.355811
装修建材,20240220,19.13,1.77,11237240.0,24088151.732057
装修建材,20240221,19.56,1.81,11491971.0,24632382.252339
装修建材,20240222,19.69,1.82,11571718.0,24798017.519501
装修建材,20240223,19.67,1.82,11568760.0,24800523.13806
装修建材,20240226,19.74,1.83,11606896.0,24900636.676999
装修建材,20240227,20.0,1.85,11766036.0,25250024.316828
装修建材,20240228,19.35,1.79,11367928.0,24381986.85614
装修建材,20240229,19.86,1.84,11669877.0,25052369.41567
装修建材,20240301,19.84,1.84,11660870.0,25016184.822621
装修建材,20240304,19.64,1.82,11540141.0,24771916.84177
装修建材,20240305,19.51,1.81,11459488.0,24595475.351538
装修建材,20240306,19.45,1.8,11433175.0,24547771.761063
装修建材,20240307,19.23,1.78,11305885.0,24252834.667816
装修建材,20240308,19.22,1.78,11305062.0,24258102.219046
装修建材,20240311,19.51,1.81,11475169.0,24655485.164701
装修建材,20240312,20.34,1.88,11958480.0,25675870.614704
装修建材,20240313,20.12,1.86,11832968.0,25431673.799088
装修建材,20240314,20.16,1.87,11852193.0,25467124.437808
装修建材,20240315,20.19,1.87,11875066.0,25490369.733851
装修建材,20240318,20.23,1.87,11903553.0,25570322.88964
装修建材,20240319,20.03,1.86,11787202.0,25334998.787429
装修建材,20240320,20.12,1.85,11815908.0,25424448.775299
装修建材,20240321,19.99,1.84,11739267.0,25217677.694686
装修建材,20240322,19.65,1.81,11540669.0,24747714.993934
装修建材,20240325,19.62,1.8,11516194.0,24707217.885877
装修建材,20240326,19.79,1.82,11612828.0,24910243.449101
装修建材,20240327,19.08,1.76,11266458.0,24128508.48037
装修建材,20240328,19.23,1.78,11357927.0,24317402.181093
装修建材,20240329,18.78,1.74,12044513.0,24254725.744447
装修建材,20240401,19.34,1.8,12437716.0,25066545.930173
装修建材,20240402,19.52,1.81,12493874.0,25154517.429074
装修建材,20240403,19.43,1.8,12438139.0,25066484.766052
装修建材,20240408,18.88,1.75,12080979.0,24349977.481963
装修建材,20240409,19.21,1.78,12318225.0,24859888.801232
装修建材,20240410,18.84,1.73,11982177.0,24195709.344933
装修建材,20240411,18.7,1.72,11900004.0,24052678.002825
装修建材,20240412,18.4,1.69,11684737.0,23648806.488936
装修建材,20240415,18.23,1.67,11571440.0,23442974.880425
装修建材,20240416,17.67,1.62,11189468.0,22682269.343806
装修建材,20240417,18.37,1.68,11642866.0,23555203.247084
装修建材,20240418,18.29,1.67,11608596.0,23549321.576235
装修建材,20240419,19.39,1.67,11489478.0,23341258.269679
装修建材,20240422,19.87,1.68,11528677.0,23476062.984462
装修建材,20240423,19.63,1.66,11396242.0,23260388.148149
装修建材,20240424,19.45,1.65,11333651.0,23113694.995892
装修建材,20240425,19.31,1.66,11432090.0,23276124.118378
装修建材,20240426,19.63,1.69,11676840.0,23715513.293333
装修建材,20240429,20.83,1.78,12381555.0,25062817.977406
装修建材,20240430,20.36,1.76,12241562.0,24743370.997415
装修建材,20240506,20.92,1.79,12501817.0,25311522.027
装修建材,20240507,21.12,1.81,12639452.0,25585557.239569
装修建材,20240508,20.74,1.78,12407790.0,25108458.565563
装修建材,20240509,21.1,1.81,12626541.0,25555554.040413
装修建材,20240510,21.39,1.83,12801431.0,25820402.671202
装修建材,20240513,21.25,1.82,12713211.0,25644943.796687
装修建材,20240514,21.25,1.82,12714670.0,25638192.794994
装修建材,20240515,21.87,1.88,13087335.0,26428353.129737
装修建材,20240516,22.55,1.93,13494604.0,27281517.783642
装修建材,20240517,23.41,2.01,14005892.0,28317055.060721
装修建材,20240520,23.21,1.99,13899007.0,28141919.103678
装修建材,20240521,23.02,1.97,13788124.0,27911947.583353
装修建材,20240522,22.87,1.96,13704731.0,27804304.983251
装修建材,20240523,22.24,1.91,13328081.0,27070907.014132
装修建材,20240524,21.94,1.88,13140617.0,26645034.525712
装修建材,20240527,21.78,1.87,13048395.0,26477680.875078
装修建材,20240528,21.39,1.83,12809955.0,25998351.860057
装修建材,20240529,21.35,1.83,12784252.0,25941818.779328
装修建材,20240530,20.93,1.79,12536434.0,25480220.559031
装修建材,20240531,20.8,1.78,12458313.0,25316027.781382
装修建材,20240603,20.52,1.76,12285472.0,24980980.252697
装修建材,20240604,21.01,1.8,12576485.0,25497663.87462
装修建材,20240605,20.58,1.76,12317477.0,24947640.342704
装修建材,20240606,20.07,1.72,12007697.0,24330333.35318
装修建材,20240607,20.13,1.73,12047618.0,24418447.046153
装修建材,20240611,20.05,1.72,12000116.0,24324437.950027
装修建材,20240612,20.15,1.73,12065291.0,24426574.928405
装修建材,20240613,19.65,1.69,11770690.0,23905616.55012
装修建材,20240614,19.93,1.71,11932579.0,24236852.847856
装修建材,20240617,19.58,1.68,11725514.0,23854306.732087
装修建材,20240618,19.66,1.69,11769976.0,23904769.116725
装修建材,20240619,19.28,1.65,11550448.0,23419071.805266
装修建材,20240620,19.42,1.62,9331704.0,22898435.442804
装修建材,20240621,18.9,1.62,11346910.0,22986861.576855
装修建材,20240624,18.67,1.61,11205024.0,22659035.514701
装修建材,20240625,18.75,1.61,11296549.0,22839910.799226
装修建材,20240626,18.93,1.63,11405670.0,23029545.40794
装修建材,20240627,18.48,1.59,11137693.0,22524605.429632
装修建材,20240628,18.29,1.57,11018106.0,22282868.661782
装修建材,20240701,19.06,1.64,11482988.0,23177017.4339
装修建材,20240702,18.76,1.61,11305362.0,22753350.606674
装修建材,20240703,18.53,1.59,11166059.0,22474454.572729
装修建材,20240704,18.09,1.55,10899756.0,21924191.29869
装修建材,20240705,18.14,1.56,10927351.0,21972668.563827
装修建材,20240708,17.61,1.51,10581170.0,21442388.041418
装修建材,20240709,17.43,1.5,10477725.0,21236307.461636
装修建材,20240710,17.26,1.48,10376889.0,21014137.74572
装修建材,20240711,17.65,1.52,10611509.0,21426176.95741
装修建材,20240712,17.88,1.54,10749374.0,21689002.327688
装修建材,20240715,17.65,1.52,10608438.0,21380551.769517
装修建材,20240716,17.54,1.51,10542950.0,21247553.004663
装修建材,20240717,17.85,1.53,10725467.0,21655221.732115
装修建材,20240718,17.91,1.54,10759961.0,21729757.685908
装修建材,20240719,17.79,1.53,10691224.0,21605413.532881
装修建材,20240722,17.72,1.52,10650661.0,21542012.293203
装修建材,20240723,17.33,1.49,10412735.0,21049053.529756
装修建材,20240724,17.21,1.48,10344985.0,20897287.182083
装修建材,20240725,17.34,1.49,10424005.0,21053233.729909
装修建材,20240726,17.46,1.5,10493512.0,21179673.798188
装修建材,20240729,16.97,1.46,10201956.0,20568594.967222
装修建材,20240730,16.98,1.46,10206490.0,20550074.110577
装修建材,20240731,17.51,1.5,10528462.0,21193481.995077
装修建材,20240801,17.18,1.48,10328854.0,20791000.098157
装修建材,20240802,16.96,1.46,10199755.0,20509208.059424
装修建材,20240805,16.8,1.44,10102280.0,20335688.280932
装修建材,20240806,17.07,1.47,10261175.0,20654336.214194
装修建材,20240807,17.11,1.47,10286931.0,20718066.208028
装修建材,20240808,17.34,1.49,10422323.0,20989284.489717
装修建材,20240809,17.47,1.5,10502790.0,21129752.171888
装修建材,20240812,17.11,1.47,10291365.0,20731273.026112
装修建材,20240813,17.08,1.47,10274751.0,20709596.582995
装修建材,20240814,16.89,1.45,10161855.0,20512097.778597
装修建材,20240815,16.89,1.45,10160999.0,20485765.951242
装修建材,20240816,16.54,1.42,9949637.0,20072197.95284
装修建材,20240819,16.35,1.4,9847356.0,19911375.987926
装修建材,20240820,15.96,1.37,9610934.0,19451341.707837
装修建材,20240821,15.77,1.35,9493316.0,19266400.66202
装修建材,20240822,15.67,1.34,9429854.0,19061990.268887
装修建材,20240823,15.89,1.36,9564221.0,19318996.140918
装修建材,20240826,16.13,1.39,9720021.0,19445826.044017
装修建材,20240827,15.99,1.38,9640241.0,19309259.942539
装修建材,20240828,15.76,1.36,9499465.0,19041679.523508
装修建材,20240829,15.94,1.39,9606220.0,19225174.927454
装修建材,20240830,16.52,1.44,9954642.0,19931635.629438
装修建材,20240902,16.88,1.39,9625868.0,19265150.694532
装修建材,20240903,17.07,1.41,9737153.0,19479023.506972
装修建材,20240904,16.88,1.39,9624588.0,19261653.872686
装修建材,20240905,17.09,1.41,9739441.0,19535031.807098
装修建材,20240906,16.73,1.38,9537947.0,19120290.147349
装修建材,20240909,16.54,1.36,9429701.0,18900141.344749
装修建材,20240910,16.48,1.36,9396332.0,18836761.027697
装修建材,20240911,16.53,1.36,9425229.0,18899372.76336
装修建材,20240912,16.38,1.35,9339178.0,18730524.646839
装修建材,20240913,16.15,1.33,9208254.0,18469520.744702
装修建材,20240918,16.41,1.35,9354736.0,18732212.505434
装修建材,20240919,16.86,1.39,9612172.0,19256768.278834
装修建材,20240920,16.73,1.38,9534649.0,19097870.244723
装修建材,20240923,16.86,1.39,9607857.0,19229776.651203
装修建材,20240924,17.55,1.45,9999528.0,20039362.869887
装修建材,20240925,17.68,1.46,10076248.0,20157790.837115
装修建材,20240926,18.82,1.58,10722718.0,21516281.918157
装修建材,20240927,20.14,1.69,11471869.0,22990777.961865
装修建材,20240930,21.86,1.84,12457778.0,24978166.763644
装修建材,20241008,22.8,1.92,12995259.0,26000530.152847
装修建材,20241009,20.77,1.75,11838177.0,23679761.275724
