name,trade_date,pe,pb,float_mv,total_mv
装修装饰Ⅲ,20240102,50.75,1.8,4541414.0,9036124.48139
装修装饰Ⅲ,20240103,50.78,1.8,4544511.0,9046719.891721
装修装饰Ⅲ,20240104,50.72,1.8,4538928.0,9025089.373343
装修装饰Ⅲ,20240105,49.95,1.77,4469884.0,8895176.354089
装修装饰Ⅲ,20240108,49.39,1.75,4419964.0,8812527.997787
装修装饰Ⅲ,20240109,49.77,1.77,4453502.0,8869295.123185
装修装饰Ⅲ,20240110,49.14,1.74,4398174.0,8751960.567687
装修装饰Ⅲ,20240111,49.62,1.76,4441430.0,8834139.244873
装修装饰Ⅲ,20240112,49.86,1.78,4462619.0,8865610.434359
装修装饰Ⅲ,20240115,49.88,1.78,4464932.0,8874108.525562
装修装饰Ⅲ,20240116,49.33,1.76,4415287.0,8784807.022024
装修装饰Ⅲ,20240117,47.91,1.71,4288219.0,8532255.521188
装修装饰Ⅲ,20240118,47.41,1.69,4243367.0,8452293.632014
装修装饰Ⅲ,20240119,46.92,1.66,4200037.0,8353973.694872
装修装饰Ⅲ,20240122,44.28,1.56,3963230.0,7864111.127258
装修装饰Ⅲ,20240123,44.36,1.56,3970451.0,7900146.395808
装修装饰Ⅲ,20240124,45.54,1.61,4075870.0,8121742.355844
装修装饰Ⅲ,20240125,47.06,1.67,4211788.0,8416788.879125
装修装饰Ⅲ,20240126,48.13,1.71,4307589.0,8579823.377357
装修装饰Ⅲ,20240129,46.56,1.64,4167338.0,8308318.521064
装修装饰Ⅲ,20240130,45.08,1.59,4034562.0,8054677.358564
装修装饰Ⅲ,20240131,42.52,1.5,3805500.0,7578896.803168
装修装饰Ⅲ,20240201,41.58,1.46,3721577.0,7411224.885729
装修装饰Ⅲ,20240202,39.56,1.39,3540768.0,7034626.645719
装修装饰Ⅲ,20240205,36.36,1.27,3254428.0,6461792.804771
装修装饰Ⅲ,20240206,36.3,1.27,3249030.0,6446117.637964
装修装饰Ⅲ,20240207,35.89,1.26,3211992.0,6364682.828257
装修装饰Ⅲ,20240208,37.56,1.31,3361565.0,6674046.315926
装修装饰Ⅲ,20240219,38.31,1.34,3429074.0,6803612.701649
装修装饰Ⅲ,20240220,38.78,1.36,3471120.0,6889860.96412
装修装饰Ⅲ,20240221,39.8,1.4,3562761.0,7076741.592817
装修装饰Ⅲ,20240222,40.11,1.42,3589842.0,7162283.706927
装修装饰Ⅲ,20240223,40.95,1.45,3665555.0,7312489.251474
装修装饰Ⅲ,20240226,41.3,1.46,3696363.0,7376929.665518
装修装饰Ⅲ,20240227,41.98,1.49,3757191.0,7504794.126808
装修装饰Ⅲ,20240228,40.1,1.42,3588822.0,7163998.249209
装修装饰Ⅲ,20240229,41.34,1.47,3700343.0,7404089.510153
装修装饰Ⅲ,20240301,41.38,1.47,3704196.0,7420292.999667
装修装饰Ⅲ,20240304,41.21,1.46,3688402.0,7372098.017766
装修装饰Ⅲ,20240305,40.86,1.44,3657481.0,7297392.250119
装修装饰Ⅲ,20240306,41.22,1.45,3689047.0,7343035.212053
装修装饰Ⅲ,20240307,41.16,1.45,3684491.0,7318460.32411
装修装饰Ⅲ,20240308,41.63,1.47,3726053.0,7409722.913553
装修装饰Ⅲ,20240311,42.23,1.49,3779545.0,7524960.95794
装修装饰Ⅲ,20240312,42.99,1.52,3847665.0,7661712.20237
装修装饰Ⅲ,20240313,42.93,1.52,3842665.0,7652561.853092
装修装饰Ⅲ,20240314,42.89,1.52,3838861.0,7649758.233186
装修装饰Ⅲ,20240315,43.31,1.54,3876788.0,7733140.758873
装修装饰Ⅲ,20240318,43.92,1.56,3931179.0,7832417.777211
装修装饰Ⅲ,20240319,43.72,1.55,3912838.0,7782112.103497
装修装饰Ⅲ,20240320,44.12,1.57,3949238.0,7849024.320557
装修装饰Ⅲ,20240321,44.1,1.56,3947425.0,7848089.534676
装修装饰Ⅲ,20240322,43.55,1.54,3897544.0,7745869.526385
装修装饰Ⅲ,20240325,42.5,1.5,3803574.0,7569452.950514
装修装饰Ⅲ,20240326,42.48,1.5,3802443.0,7568106.094972
装修装饰Ⅲ,20240327,41.12,1.46,3680628.0,7329055.940051
装修装饰Ⅲ,20240328,39.0,1.49,3766310.0,7504762.130668
装修装饰Ⅲ,20240329,39.17,1.49,3782107.0,7547120.712997
装修装饰Ⅲ,20240401,39.86,1.52,3849932.0,7678723.278505
装修装饰Ⅲ,20240402,40.02,1.53,3865077.0,7702201.494551
装修装饰Ⅲ,20240403,39.52,1.51,3817525.0,7610518.622156
装修装饰Ⅲ,20240408,38.5,1.45,3684554.0,7341190.206715
装修装饰Ⅲ,20240409,38.91,1.46,3723875.0,7427405.017034
装修装饰Ⅲ,20240410,34.66,1.37,3595153.0,7194692.530815
装修装饰Ⅲ,20240411,34.41,1.36,3569765.0,7167251.425866
装修装饰Ⅲ,20240412,33.79,1.33,3505463.0,7045183.924019
装修装饰Ⅲ,20240415,31.72,1.25,3290415.0,6625741.794631
装修装饰Ⅲ,20240416,29.69,1.16,3074796.0,6205704.926376
装修装饰Ⅲ,20240417,31.29,1.23,3240126.0,6567493.508625
装修装饰Ⅲ,20240418,31.03,1.21,3213093.0,6547813.744444
装修装饰Ⅲ,20240419,30.14,1.19,3156548.0,6451118.634897
装修装饰Ⅲ,20240422,29.67,1.16,3107183.0,6335899.735026
装修装饰Ⅲ,20240423,30.44,1.19,3188488.0,6508421.729367
装修装饰Ⅲ,20240424,30.66,1.2,3210949.0,6553480.601667
装修装饰Ⅲ,20240425,30.9,1.21,3235686.0,6616814.527601
装修装饰Ⅲ,20240426,31.26,1.22,3250432.0,6639261.032037
装修装饰Ⅲ,20240429,14.91,1.44,3348615.0,6844936.641248
装修装饰Ⅲ,20240430,14.44,1.48,3310244.0,6771492.057607
装修装饰Ⅲ,20240506,14.27,1.49,3322962.0,6814549.34959
装修装饰Ⅲ,20240507,14.2,1.48,3306537.0,6805108.825218
装修装饰Ⅲ,20240508,13.93,1.45,3243104.0,6666176.803734
装修装饰Ⅲ,20240509,14.07,1.47,3276713.0,6728673.127076
