name,trade_date,pe,pb,float_mv,total_mv
调味发酵品Ⅱ,20240102,37.38,4.62,13112961.0,35130708.964276
调味发酵品Ⅱ,20240103,37.36,4.62,13107063.0,35044430.800526
调味发酵品Ⅱ,20240104,36.43,4.5,12780543.0,34082955.763683
调味发酵品Ⅱ,20240105,35.6,4.4,12488799.0,33313695.487122
调味发酵品Ⅱ,20240108,35.02,4.33,12284224.0,32811222.210474
调味发酵品Ⅱ,20240109,35.09,4.33,12309288.0,32890950.226226
调味发酵品Ⅱ,20240110,35.61,4.4,12491871.0,33283039.087668
调味发酵品Ⅱ,20240111,35.66,4.41,12509638.0,33336566.547358
调味发酵品Ⅱ,20240112,35.7,4.41,12524281.0,33254909.425452
调味发酵品Ⅱ,20240115,35.67,4.41,12513038.0,33145984.936116
调味发酵品Ⅱ,20240116,35.7,4.41,12521614.0,33187482.791837
调味发酵品Ⅱ,20240117,34.7,4.29,12173183.0,32372460.996637
调味发酵品Ⅱ,20240118,34.85,4.31,12225434.0,32789402.800783
调味发酵品Ⅱ,20240119,35.03,4.33,12289366.0,32978292.694816
调味发酵品Ⅱ,20240122,33.95,4.19,11909598.0,32326480.86558
调味发酵品Ⅱ,20240123,34.04,4.21,11941492.0,32392239.133841
调味发酵品Ⅱ,20240124,34.38,4.25,12060688.0,32803336.339128
调味发酵品Ⅱ,20240125,34.85,4.3,12224909.0,33184087.336679
调味发酵品Ⅱ,20240126,34.58,4.27,12130890.0,32948731.832609
调味发酵品Ⅱ,20240129,33.95,4.19,11909439.0,32374034.70678
调味发酵品Ⅱ,20240130,33.21,4.1,11649404.0,31839071.396223
调味发酵品Ⅱ,20240131,32.14,3.97,11273898.0,30825457.006051
调味发酵品Ⅱ,20240201,32.23,3.98,11307261.0,31027897.32355
调味发酵品Ⅱ,20240202,32.01,3.95,11230600.0,30946693.552194
调味发酵品Ⅱ,20240205,31.77,3.93,11146401.0,30932967.943119
调味发酵品Ⅱ,20240206,33.62,4.15,11794884.0,32615198.113789
调味发酵品Ⅱ,20240207,34.66,4.28,12159427.0,33527298.06515
调味发酵品Ⅱ,20240208,34.84,4.3,12223661.0,33581586.856558
调味发酵品Ⅱ,20240219,34.92,4.31,12251599.0,33753921.603154
调味发酵品Ⅱ,20240220,34.82,4.3,12215667.0,33697421.715568
调味发酵品Ⅱ,20240221,36.04,4.45,12644651.0,35040695.152238
调味发酵品Ⅱ,20240222,36.77,4.54,12899876.0,35998641.561457
调味发酵品Ⅱ,20240223,37.01,4.57,12982128.0,36186853.81639
调味发酵品Ⅱ,20240226,36.4,4.5,12768357.0,35422621.280454
