name,trade_date,pe,pb,float_mv,total_mv
跨境物流,20240102,13.6,1.64,3084759.0,9295861.509624
跨境物流,20240103,13.48,1.62,3058273.0,9210191.501129
跨境物流,20240104,13.59,1.64,3083516.0,9293104.438221
跨境物流,20240105,13.37,1.61,3033834.0,9143059.708035
跨境物流,20240108,13.15,1.58,2983707.0,8994610.360832
跨境物流,20240109,13.23,1.59,3001726.0,9048072.786151
跨境物流,20240110,13.18,1.59,2989115.0,9007980.114455
跨境物流,20240111,13.31,1.6,3018960.0,9090017.650841
跨境物流,20240112,13.33,1.6,3024064.0,9109011.873258
跨境物流,20240115,13.63,1.64,3091023.0,9318209.368106
跨境物流,20240116,13.82,1.66,3135437.0,9483469.928542
跨境物流,20240117,13.77,1.66,3122758.0,9460921.08602
跨境物流,20240118,13.6,1.64,3084567.0,9326604.231373
跨境物流,20240119,13.44,1.62,3047820.0,9215025.776534
跨境物流,20240122,12.85,1.55,2915048.0,8815735.111803
跨境物流,20240123,13.36,1.61,3030136.0,9174076.637187
跨境物流,20240124,13.97,1.68,3169484.0,9623039.65997
跨境物流,20240125,14.43,1.74,3274091.0,9972913.153428
跨境物流,20240126,14.46,1.74,3280219.0,9953021.693085
跨境物流,20240129,14.01,1.69,3178845.0,9645358.634436
跨境物流,20240130,13.75,1.65,3118234.0,9412131.050589
跨境物流,20240131,13.5,1.62,3062802.0,9289287.202442
跨境物流,20240201,13.28,1.6,3011871.0,9151056.014651
跨境物流,20240202,12.94,1.56,2934739.0,8911457.998329
跨境物流,20240205,12.48,1.5,2831056.0,8617338.023742
跨境物流,20240206,12.95,1.56,2936490.0,9014049.128299
跨境物流,20240207,13.48,1.62,3058241.0,9427066.113099
跨境物流,20240208,13.48,1.62,3057037.0,9399564.303482
跨境物流,20240219,13.83,1.66,3137050.0,9647632.079937
跨境物流,20240220,14.37,1.73,3260611.0,10015158.267513
跨境物流,20240221,14.31,1.72,3242766.0,9927286.509509
跨境物流,20240222,14.6,1.76,3305750.0,10117882.757252
跨境物流,20240223,14.6,1.76,3307282.0,10088419.431984
跨境物流,20240226,14.53,1.75,3291263.0,10027341.419775
跨境物流,20240227,14.59,1.76,3303768.0,10024274.671153
跨境物流,20240228,14.04,1.69,3179880.0,9700905.675928
跨境物流,20240229,14.26,1.72,3229260.0,9855115.125118
跨境物流,20240301,14.24,1.71,3225017.0,9834727.714216
跨境物流,20240304,14.59,1.76,3304829.0,10121910.313143
跨境物流,20240305,14.43,1.74,3269016.0,10039163.613728
跨境物流,20240306,14.53,1.75,3291106.0,10092983.085637
跨境物流,20240307,14.45,1.74,3272296.0,10008650.05768
跨境物流,20240308,14.46,1.74,3274518.0,10027724.850083
跨境物流,20240311,14.23,1.71,3222329.0,9840806.122906
跨境物流,20240312,14.18,1.71,3211775.0,9746643.373931
跨境物流,20240313,14.16,1.7,3207040.0,9761414.816604
跨境物流,20240314,14.17,1.71,3210503.0,9781200.013045
跨境物流,20240315,14.22,1.71,3221060.0,9817296.010707
跨境物流,20240318,14.48,1.74,3279327.0,9988542.731237
跨境物流,20240319,14.22,1.71,3220655.0,9804831.124061
跨境物流,20240320,14.53,1.75,3291792.0,10014882.650879
跨境物流,20240321,14.4,1.73,3260665.0,9924098.914682
跨境物流,20240322,14.11,1.7,3195089.0,9706713.049336
跨境物流,20240325,13.78,1.7,3238661.0,9908393.460712
跨境物流,20240326,13.68,1.69,3214161.0,9840975.519408
跨境物流,20240327,13.74,1.7,3227532.0,9904510.828065
跨境物流,20240328,13.78,1.7,3238407.0,9907844.360015
跨境物流,20240329,14.07,1.74,3305255.0,10105074.17159
跨境物流,20240401,14.62,1.81,3437204.0,10543579.154226
跨境物流,20240402,14.72,1.82,3461714.0,10608031.788558
