name,trade_date,pe,pb,float_mv,total_mv
车身附件及饰件,20240102,18.48,2.0,16646424.0,33908432.254455
车身附件及饰件,20240103,18.29,1.98,16474409.0,33453999.705363
车身附件及饰件,20240104,18.28,1.98,16468439.0,33462854.090298
车身附件及饰件,20240105,18.17,1.97,16367796.0,33189643.57233
车身附件及饰件,20240108,17.97,1.95,16181438.0,32733788.932162
车身附件及饰件,20240109,17.98,1.95,16186014.0,32830697.770177
车身附件及饰件,20240110,17.98,1.95,16194632.0,32779846.8241
车身附件及饰件,20240111,18.21,1.98,16403692.0,33236971.314833
车身附件及饰件,20240112,18.29,1.98,16473807.0,33410775.202652
车身附件及饰件,20240115,18.15,1.97,16336908.0,33117318.983722
车身附件及饰件,20240116,18.36,1.99,16532843.0,33519438.247023
车身附件及饰件,20240117,18.01,1.95,16210627.0,32816444.651422
车身附件及饰件,20240118,18.12,1.97,16305679.0,32986151.855432
车身附件及饰件,20240119,17.96,1.95,16156022.0,32708301.566369
车身附件及饰件,20240122,17.37,1.88,15608504.0,31532989.130396
车身附件及饰件,20240123,17.17,1.86,15432690.0,31233962.598046
车身附件及饰件,20240124,17.3,1.88,15550453.0,31508002.395383
车身附件及饰件,20240125,17.51,1.9,15742106.0,31989444.361393
车身附件及饰件,20240126,17.57,1.91,15788755.0,31939271.728295
车身附件及饰件,20240129,17.43,1.89,15664675.0,31589494.506645
车身附件及饰件,20240130,17.13,1.86,15389228.0,30978908.407325
车身附件及饰件,20240131,16.73,1.82,15022904.0,30151974.396242
车身附件及饰件,20240201,16.81,1.82,15091033.0,30262768.387037
车身附件及饰件,20240202,16.47,1.79,14773353.0,29485017.714616
车身附件及饰件,20240205,16.34,1.77,14622480.0,28977336.041092
车身附件及饰件,20240206,16.54,1.79,14809357.0,29356973.658525
车身附件及饰件,20240207,16.92,1.83,15125776.0,29920686.738599
车身附件及饰件,20240208,17.36,1.88,15544790.0,30905243.265516
车身附件及饰件,20240219,17.45,1.89,15636750.0,31152535.679495
车身附件及饰件,20240220,17.4,1.89,15592155.0,31088223.822715
车身附件及饰件,20240221,17.64,1.91,15813221.0,31505333.238227
车身附件及饰件,20240222,17.81,1.93,15969186.0,31837792.767242
