name,trade_date,pe,pb,float_mv,total_mv
轨交设备Ⅱ,20240102,17.77,1.13,12669499.0,33632310.265249
轨交设备Ⅱ,20240103,17.86,1.14,12706104.0,33724619.125257
轨交设备Ⅱ,20240104,17.75,1.13,12615588.0,33478534.429783
轨交设备Ⅱ,20240105,17.52,1.12,12432342.0,33133607.745963
轨交设备Ⅱ,20240108,17.24,1.1,12190308.0,32514097.801865
轨交设备Ⅱ,20240109,17.38,1.11,12311541.0,32834574.136966
轨交设备Ⅱ,20240110,17.22,1.1,12221711.0,32627586.546507
轨交设备Ⅱ,20240111,17.32,1.1,12327323.0,32872547.401332
轨交设备Ⅱ,20240112,17.44,1.11,12421827.0,33193054.399026
轨交设备Ⅱ,20240115,17.52,1.12,12444723.0,33260741.682637
轨交设备Ⅱ,20240116,17.46,1.11,12428564.0,33230289.803577
轨交设备Ⅱ,20240117,17.16,1.09,12182808.0,32596570.558675
轨交设备Ⅱ,20240118,17.07,1.09,12143894.0,32310085.611113
轨交设备Ⅱ,20240119,16.87,1.08,11992304.0,31940324.416061
轨交设备Ⅱ,20240122,16.35,1.04,11530871.0,30765357.972179
轨交设备Ⅱ,20240123,16.3,1.04,11549156.0,30814108.132564
轨交设备Ⅱ,20240124,16.92,1.08,11914446.0,31832393.505107
轨交设备Ⅱ,20240125,17.75,1.13,12575055.0,33799525.561367
轨交设备Ⅱ,20240126,17.75,1.13,12514057.0,33618525.497594
轨交设备Ⅱ,20240129,17.76,1.13,12501527.0,33707779.128119
轨交设备Ⅱ,20240130,17.5,1.11,12266961.0,33055223.129919
轨交设备Ⅱ,20240131,17.12,1.09,11982006.0,32368455.790004
轨交设备Ⅱ,20240201,16.85,1.07,11782708.0,31811494.995205
轨交设备Ⅱ,20240202,16.61,1.06,11575503.0,31301458.307606
轨交设备Ⅱ,20240205,16.21,1.03,11201469.0,30315425.234601
轨交设备Ⅱ,20240206,16.62,1.06,11525686.0,31219506.810918
轨交设备Ⅱ,20240207,16.63,1.06,11566304.0,31325486.816432
轨交设备Ⅱ,20240208,16.98,1.08,11907619.0,32132701.713885
轨交设备Ⅱ,20240219,17.27,1.1,12055645.0,32472223.702498
轨交设备Ⅱ,20240220,17.43,1.11,12135652.0,32640601.511025
轨交设备Ⅱ,20240221,17.68,1.13,12311287.0,33094965.816005
轨交设备Ⅱ,20240222,17.86,1.14,12436742.0,33379539.369082
轨交设备Ⅱ,20240223,17.95,1.14,12500433.0,33496419.088311
轨交设备Ⅱ,20240226,18.56,1.18,12919520.0,34670006.396343
轨交设备Ⅱ,20240227,18.83,1.2,13111602.0,35106921.776225
轨交设备Ⅱ,20240228,18.17,1.16,12644194.0,33969556.976767
轨交设备Ⅱ,20240229,18.69,1.19,13028566.0,35005315.53495
轨交设备Ⅱ,20240301,19.13,1.22,13397610.0,36108517.248259
轨交设备Ⅱ,20240304,19.3,1.23,13537611.0,36488400.738746
轨交设备Ⅱ,20240305,19.42,1.24,13570287.0,36619459.498927
轨交设备Ⅱ,20240306,19.46,1.24,13613746.0,36743505.164438
轨交设备Ⅱ,20240307,19.94,1.27,13951760.0,37684897.77912
轨交设备Ⅱ,20240308,20.11,1.28,14090803.0,38092186.597258
轨交设备Ⅱ,20240311,20.17,1.29,14145310.0,38151415.956525
轨交设备Ⅱ,20240312,19.69,1.26,13826425.0,37127503.995976
轨交设备Ⅱ,20240313,19.45,1.24,13667570.0,36703091.488156
轨交设备Ⅱ,20240314,19.52,1.24,13656939.0,36650528.362174
轨交设备Ⅱ,20240315,19.53,1.24,13629030.0,36739994.224322
轨交设备Ⅱ,20240318,19.6,1.25,13777098.0,37205133.437981
轨交设备Ⅱ,20240319,19.45,1.24,13676700.0,36961145.911621
轨交设备Ⅱ,20240320,19.51,1.24,13689197.0,36952606.220602
轨交设备Ⅱ,20240321,19.46,1.24,13641499.0,36756104.51118
轨交设备Ⅱ,20240322,19.37,1.23,13559589.0,36554699.948457
轨交设备Ⅱ,20240325,19.19,1.22,13380660.0,36111180.940733
轨交设备Ⅱ,20240326,19.34,1.23,13493339.0,36468259.526479
轨交设备Ⅱ,20240327,19.09,1.22,13373813.0,36311880.933034
轨交设备Ⅱ,20240328,19.38,1.24,13580515.0,36801607.819461
轨交设备Ⅱ,20240329,20.17,1.24,13934880.0,37832648.455288
轨交设备Ⅱ,20240401,20.41,1.25,14079248.0,38195195.960805
轨交设备Ⅱ,20240402,20.39,1.25,14107706.0,38277218.823574
轨交设备Ⅱ,20240403,20.24,1.24,13997313.0,37988959.961543
轨交设备Ⅱ,20240408,20.02,1.23,13811960.0,37533397.268255
轨交设备Ⅱ,20240409,19.87,1.22,13716109.0,37263323.554016
轨交设备Ⅱ,20240410,19.64,1.2,13562898.0,36907973.17169
轨交设备Ⅱ,20240411,19.86,1.22,13772469.0,37585399.228686
轨交设备Ⅱ,20240412,19.82,1.22,13774802.0,37652668.868016
轨交设备Ⅱ,20240415,21.04,1.29,14518338.0,39764590.709334
轨交设备Ⅱ,20240416,20.88,1.29,14326338.0,39336260.284279
