name,trade_date,pe,pb,float_mv,total_mv
轻工制造,20240102,28.33,1.84,35767402.0,90249559.082666
轻工制造,20240103,28.25,1.83,35672640.0,89950110.511483
轻工制造,20240104,28.31,1.83,35755845.0,90232222.778784
轻工制造,20240105,28.12,1.82,35521805.0,89635040.319244
轻工制造,20240108,27.55,1.79,34802094.0,87809686.903103
轻工制造,20240109,27.72,1.8,35026262.0,88438534.820869
轻工制造,20240110,27.68,1.79,34960203.0,88351533.033083
轻工制造,20240111,27.9,1.81,35263620.0,88982420.682625
轻工制造,20240112,27.73,1.8,35067477.0,88544879.6142
轻工制造,20240115,27.83,1.8,35214467.0,88951874.769523
轻工制造,20240116,27.74,1.8,35090907.0,88738887.715492
轻工制造,20240117,27.24,1.77,34508053.0,87449366.909913
轻工制造,20240118,27.06,1.75,34261841.0,86938817.370463
轻工制造,20240119,27.08,1.75,34294059.0,87176371.956816
轻工制造,20240122,25.69,1.66,32506916.0,82708846.657984
轻工制造,20240123,25.81,1.67,32621299.0,83022343.463562
轻工制造,20240124,26.22,1.7,33133531.0,84381609.07863
轻工制造,20240125,26.95,1.75,34053184.0,86428499.087124
轻工制造,20240126,27.04,1.75,34157511.0,86385779.746693
轻工制造,20240129,26.41,1.71,33306924.0,84658601.361449
轻工制造,20240130,25.55,1.65,32213799.0,81708663.314754
轻工制造,20240131,24.45,1.58,30787822.0,78421255.503539
轻工制造,20240201,24.05,1.56,30285187.0,77331101.250068
轻工制造,20240202,23.32,1.51,29369731.0,75156895.260426
轻工制造,20240205,22.04,1.43,27675655.0,71313465.37264
轻工制造,20240206,22.59,1.46,28386190.0,73188458.210731
轻工制造,20240207,22.69,1.47,28447605.0,73390116.044665
轻工制造,20240208,23.63,1.53,29731844.0,76567715.315628
轻工制造,20240219,24.02,1.55,30235093.0,77861101.923899
轻工制造,20240220,24.38,1.58,30678150.0,78967862.319176
轻工制造,20240221,24.76,1.6,31173273.0,80292392.934801
轻工制造,20240222,25.08,1.62,31535437.0,81062475.354988
轻工制造,20240223,25.47,1.65,32037044.0,82080036.748052
轻工制造,20240226,25.87,1.67,32615573.0,83057804.08655
轻工制造,20240227,26.35,1.7,33225340.0,84355951.813588
轻工制造,20240228,25.17,1.63,31691500.0,80850497.584063
轻工制造,20240229,25.84,1.67,32520569.0,82776545.148989
轻工制造,20240301,25.8,1.67,32497678.0,82613358.280598
轻工制造,20240304,25.76,1.66,32456039.0,82498886.766607
轻工制造,20240305,25.42,1.64,32020426.0,81344064.255853
轻工制造,20240306,25.62,1.66,32298368.0,81902948.484329
轻工制造,20240307,25.55,1.65,32204674.0,81690693.142507
轻工制造,20240308,25.73,1.66,32429225.0,82070116.988888
轻工制造,20240311,26.07,1.69,32884475.0,83295558.479425
轻工制造,20240312,26.69,1.73,33675525.0,85434601.792714
轻工制造,20240313,26.61,1.72,33570467.0,85290643.057429
轻工制造,20240314,26.63,1.72,33577584.0,85261918.344015
轻工制造,20240315,26.86,1.74,33911492.0,86011661.065388
轻工制造,20240318,27.14,1.76,34293250.0,86891742.340193
轻工制造,20240319,27.03,1.75,34184729.0,86708146.275685
轻工制造,20240320,27.21,1.76,34500556.0,87569331.313382
轻工制造,20240321,27.29,1.76,34482911.0,87302600.570347
轻工制造,20240322,27.06,1.75,34201509.0,86540584.180381
轻工制造,20240325,26.88,1.74,33976340.0,86226455.088157
轻工制造,20240326,26.83,1.73,33935557.0,86332236.315095
轻工制造,20240327,26.26,1.69,33158352.0,84673151.948566
轻工制造,20240328,26.69,1.72,33681022.0,85851706.201345
轻工制造,20240329,26.83,1.73,33899408.0,86321575.328599
轻工制造,20240401,27.44,1.77,34724204.0,88509466.947347
轻工制造,20240402,27.48,1.78,34870527.0,88855695.611839
轻工制造,20240403,27.5,1.78,34884397.0,89026856.90869
轻工制造,20240408,27.12,1.74,33978775.0,86801347.986562
轻工制造,20240409,27.5,1.76,34551177.0,88064415.002929
轻工制造,20240410,26.54,1.73,33950990.0,86495542.966655
轻工制造,20240411,26.44,1.72,33863838.0,86254677.21633
轻工制造,20240412,26.1,1.7,33539464.0,85678965.611207
轻工制造,20240415,25.19,1.65,32472316.0,83402127.671245
轻工制造,20240416,24.11,1.58,31067393.0,80266998.348418
轻工制造,20240417,25.1,1.64,32344613.0,83331440.659716
轻工制造,20240418,25.01,1.64,32300428.0,83301661.288313
轻工制造,20240419,24.58,1.63,32120391.0,82809530.287269
轻工制造,20240422,24.29,1.62,31917129.0,82448936.897598
轻工制造,20240423,24.41,1.62,31785220.0,82260506.552835
轻工制造,20240424,24.47,1.63,32140200.0,82983639.717973
轻工制造,20240425,24.33,1.64,32334900.0,83431647.844905
轻工制造,20240426,24.46,1.66,32789471.0,84872746.382943
轻工制造,20240429,25.18,1.7,33694205.0,87142799.464381
轻工制造,20240430,24.64,1.68,33542677.0,86894875.543861
轻工制造,20240506,23.74,1.73,34566570.0,89729018.733185
轻工制造,20240507,23.8,1.73,34655030.0,90124069.146638
轻工制造,20240508,23.53,1.71,34283601.0,89136203.390615
轻工制造,20240509,23.86,1.74,34766199.0,90402569.212584
轻工制造,20240510,23.87,1.74,34781736.0,90742388.258431
轻工制造,20240513,23.53,1.71,34329086.0,89791726.787124
轻工制造,20240514,23.94,1.74,34930161.0,91116791.840613
轻工制造,20240515,23.97,1.75,34944015.0,91220759.473947
轻工制造,20240516,24.22,1.76,35261601.0,92125236.951636
轻工制造,20240517,24.56,1.79,35735998.0,93233149.555302
轻工制造,20240520,24.33,1.77,35452526.0,91968600.903067
轻工制造,20240521,24.07,1.75,35072587.0,91231107.382199
轻工制造,20240522,23.96,1.74,34908177.0,90617746.805236
轻工制造,20240523,23.47,1.71,34210310.0,89111555.278052
轻工制造,20240524,23.18,1.69,33782712.0,87955229.221669
轻工制造,20240527,23.24,1.69,33879807.0,88372913.629615
轻工制造,20240528,22.77,1.66,33180573.0,86648157.049956
轻工制造,20240529,22.77,1.66,33182256.0,86604160.244037
轻工制造,20240530,22.48,1.64,32779046.0,85523734.522241
轻工制造,20240531,22.51,1.64,32833928.0,85571729.692109
轻工制造,20240603,22.07,1.61,32208304.0,84320012.182119
轻工制造,20240604,22.06,1.61,32181776.0,84353586.340317
轻工制造,20240605,21.62,1.58,31514841.0,82685332.480702
轻工制造,20240606,21.05,1.53,30653463.0,80470373.181734
轻工制造,20240607,21.23,1.55,30935660.0,81149400.373326
轻工制造,20240611,21.1,1.54,30785125.0,80988069.730938
轻工制造,20240612,21.22,1.55,30973761.0,81460824.237595
轻工制造,20240613,20.95,1.53,30609897.0,80699942.086859
轻工制造,20240614,21.09,1.54,30861562.0,81352023.745402
轻工制造,20240617,20.74,1.51,30370532.0,79873283.839754
轻工制造,20240618,20.82,1.52,30512185.0,80074662.273443
轻工制造,20240619,20.69,1.51,30327022.0,79491202.772329
轻工制造,20240620,46.58,1.47,12880005.0,78037940.076805
轻工制造,20240621,20.15,1.47,29551896.0,77727405.027569
轻工制造,20240624,19.64,1.43,28779710.0,75743147.365746
轻工制造,20240625,19.84,1.45,29053906.0,76407029.551667
轻工制造,20240626,20.14,1.47,29513003.0,77459993.902996
轻工制造,20240627,19.79,1.44,29016327.0,76120778.340634
轻工制造,20240628,19.77,1.44,28985842.0,75984483.166074
轻工制造,20240701,20.05,1.46,29527247.0,76900120.960913
轻工制造,20240702,20.06,1.46,29539344.0,76362598.845628
轻工制造,20240703,19.95,1.45,29383078.0,75942286.323103
轻工制造,20240704,19.45,1.42,28628589.0,74176718.427115
轻工制造,20240705,19.55,1.43,28809541.0,74571106.328031
轻工制造,20240708,19.0,1.39,28024686.0,72809318.016708
轻工制造,20240709,19.09,1.39,28148521.0,73168657.658754
轻工制造,20240710,18.87,1.38,27845442.0,72474544.692346
轻工制造,20240711,19.43,1.42,28646438.0,74515861.09848
轻工制造,20240712,19.44,1.42,28655161.0,74678110.735907
轻工制造,20240715,19.08,1.39,28131024.0,73374704.889303
轻工制造,20240716,18.92,1.38,27895219.0,72670840.417397
轻工制造,20240717,18.88,1.38,27797156.0,72480149.634761
轻工制造,20240718,18.89,1.38,27809606.0,72536133.19214
轻工制造,20240719,18.79,1.37,27694485.0,72086850.449914
轻工制造,20240722,18.75,1.37,27649417.0,71876421.298388
轻工制造,20240723,18.29,1.34,26976945.0,69959399.374269
轻工制造,20240724,17.92,1.31,26433952.0,68589163.537684
轻工制造,20240725,17.96,1.31,26522814.0,68659988.781739
轻工制造,20240726,18.24,1.33,26917308.0,69523476.146016
轻工制造,20240729,18.19,1.33,26859245.0,69228644.49701
轻工制造,20240730,18.3,1.33,27017808.0,69449225.84433
轻工制造,20240731,18.7,1.38,27760577.0,71619083.481964
轻工制造,20240801,18.46,1.36,27431726.0,70693435.35864
轻工制造,20240802,18.32,1.35,27212596.0,70088040.710333
轻工制造,20240805,18.13,1.33,26920731.0,69389725.156134
轻工制造,20240806,18.42,1.36,27356947.0,70463946.883833
轻工制造,20240807,18.39,1.35,27317789.0,70378768.102995
轻工制造,20240808,18.57,1.37,27562900.0,71055939.473106
轻工制造,20240809,18.5,1.36,27483263.0,70768772.914148
轻工制造,20240812,18.39,1.35,27331459.0,70512487.046043
轻工制造,20240813,18.44,1.35,27426184.0,70740963.710062
轻工制造,20240814,18.24,1.34,27164503.0,70089541.299086
轻工制造,20240815,18.33,1.35,27330686.0,70288062.732824
轻工制造,20240816,18.09,1.33,26979788.0,69412062.024805
轻工制造,20240819,18.11,1.33,26977136.0,69388358.21116
轻工制造,20240820,17.83,1.31,26581355.0,68419307.382603
轻工制造,20240821,17.83,1.31,26581588.0,68494544.03863
轻工制造,20240822,17.63,1.3,26257299.0,67723440.40211
轻工制造,20240823,17.55,1.29,26132283.0,67681853.480857
轻工制造,20240826,17.67,1.31,26349139.0,68001276.760241
轻工制造,20240827,17.37,1.28,25905953.0,66783185.95992
轻工制造,20240828,17.43,1.29,26037164.0,66988708.078265
轻工制造,20240829,17.69,1.31,26434661.0,68030415.588768
轻工制造,20240830,18.01,1.33,26889901.0,69251547.081705
轻工制造,20240902,17.72,1.32,26459473.0,67949159.238445
轻工制造,20240903,17.97,1.33,26812529.0,68748857.528801
轻工制造,20240904,17.78,1.32,26525132.0,68111642.987315
轻工制造,20240905,17.96,1.33,26772526.0,68627981.426993
轻工制造,20240906,17.58,1.31,26192735.0,67206748.690284
轻工制造,20240909,17.48,1.3,26033824.0,66702248.756984
轻工制造,20240910,17.5,1.3,26066715.0,66799391.191813
轻工制造,20240911,17.53,1.3,26127700.0,67158899.766004
轻工制造,20240912,17.43,1.29,25987239.0,66764380.397323
轻工制造,20240913,17.22,1.28,25671451.0,65951842.335478
轻工制造,20240918,17.16,1.27,25577446.0,65920096.09034
轻工制造,20240919,17.65,1.31,26279926.0,67637980.820229
轻工制造,20240920,17.54,1.3,26137585.0,67099366.147485
轻工制造,20240923,17.73,1.32,26418977.0,67832841.29742
轻工制造,20240924,18.4,1.37,27376869.0,70043841.209567
轻工制造,20240925,18.65,1.38,27740613.0,70904832.320063
轻工制造,20240926,19.59,1.45,29099249.0,74479276.340053
轻工制造,20240927,20.58,1.52,30541157.0,78364480.182304
轻工制造,20240930,22.25,1.65,33157393.0,85243551.142244
轻工制造,20241008,22.77,1.69,34107345.0,87472083.750775
轻工制造,20241009,20.94,1.56,31197451.0,80078719.399536
轻工制造,20241010,21.15,1.57,31525632.0,81152527.618926
轻工制造,20241011,20.72,1.54,30846583.0,79206635.633354
轻工制造,20241014,21.24,1.58,31644226.0,80952311.360179
轻工制造,20241015,20.87,1.55,31092917.0,79527683.720539
轻工制造,20241016,20.95,1.55,31207141.0,79749810.425515
轻工制造,20241017,20.57,1.53,30683194.0,78302893.727639
轻工制造,20241018,21.1,1.56,31489511.0,80869593.698896
轻工制造,20241021,21.4,1.59,31947027.0,81884931.438217
轻工制造,20241022,21.92,1.62,32734320.0,83474050.862534
轻工制造,20241023,22.0,1.63,32869347.0,83702986.214798
轻工制造,20241024,21.98,1.63,32875643.0,83588488.270165
轻工制造,20241025,22.61,1.68,33791250.0,85846266.676127
轻工制造,20241028,23.28,1.72,34758064.0,87985859.261229
轻工制造,20241029,22.77,1.68,34071137.0,86278709.782661
轻工制造,20241030,22.73,1.67,33956772.0,85735133.753003
轻工制造,20241031,23.02,1.69,34412624.0,86597444.392758
轻工制造,20241101,24.16,1.66,33688599.0,85125075.253909
轻工制造,20241104,24.35,1.67,34007682.0,85863837.511579
轻工制造,20241105,24.83,1.7,34682092.0,87379388.107403
轻工制造,20241106,25.22,1.73,35186397.0,88422321.629759
轻工制造,20241107,25.91,1.78,36100822.0,90705330.29838
轻工制造,20241108,25.99,1.78,36217675.0,90582723.445693
轻工制造,20241111,26.13,1.79,36414994.0,90921360.037592
轻工制造,20241112,26.06,1.79,36317205.0,90932397.182806
轻工制造,20241113,26.0,1.78,36242956.0,90835009.284866
轻工制造,20241114,25.48,1.75,35512571.0,89028365.591264
轻工制造,20241115,25.0,1.71,34885167.0,87493942.882487
轻工制造,20241118,24.52,1.68,34234419.0,86134476.695372
轻工制造,20241119,24.89,1.71,34588408.0,86949533.713207
轻工制造,20241120,25.35,1.74,35244748.0,88393593.928565
轻工制造,20241121,25.45,1.75,35400687.0,88743091.4599
轻工制造,20241122,24.87,1.71,34559188.0,86548377.071388
轻工制造,20241125,25.24,1.73,35071563.0,87755042.045545
轻工制造,20241126,25.35,1.74,35234512.0,87925762.194077
轻工制造,20241127,25.93,1.78,36063149.0,90237746.344679
轻工制造,20241128,25.82,1.77,35961648.0,89940834.69619
轻工制造,20241129,26.13,1.79,36406368.0,91039909.314765
轻工制造,20241202,26.66,1.83,37154770.0,92621564.907551
轻工制造,20241203,26.61,1.82,37071353.0,92361339.459644
轻工制造,20241204,26.16,1.79,36270062.0,90718371.343485
轻工制造,20241205,26.15,1.79,36260935.0,90555457.098417
轻工制造,20241206,26.53,1.81,36768963.0,91612308.624212
轻工制造,20241209,26.51,1.81,36795692.0,91779605.233316
轻工制造,20241210,26.63,1.82,36960426.0,92231683.139087
轻工制造,20241211,27.37,1.87,37898454.0,94422970.638286
轻工制造,20241212,27.98,1.91,38694889.0,96531725.972479
轻工制造,20241213,27.55,1.88,38115672.0,94914710.526999
轻工制造,20241216,27.21,1.86,37664672.0,93778065.413788
轻工制造,20241217,26.37,1.8,36459586.0,91337353.840819
轻工制造,20241218,26.32,1.8,36462018.0,91534152.141861
轻工制造,20241219,26.09,1.78,36163873.0,90713094.032993
轻工制造,20241220,26.07,1.78,36204302.0,90843683.832977
轻工制造,20241223,25.14,1.72,34918701.0,88179562.188869
轻工制造,20241224,25.35,1.73,35191638.0,88922347.71208
轻工制造,20241225,24.92,1.7,34591082.0,87614446.572387
轻工制造,20241226,25.19,1.72,34984853.0,88507135.396351
轻工制造,20241227,25.43,1.74,35287736.0,89170825.00429
轻工制造,20241230,25.25,1.72,35079603.0,88717865.219951
轻工制造,20241231,24.82,1.7,34459275.0,87344539.626539
轻工制造,20250102,24.66,1.68,34227691.0,86749092.630634
轻工制造,20250103,23.79,1.63,33016906.0,84002691.623924
轻工制造,20250106,23.61,1.61,32529651.0,83147630.298516
轻工制造,20250107,24.05,1.63,33268949.0,84832835.257495
轻工制造,20250108,24.01,1.63,33251137.0,84807735.102869
轻工制造,20250109,23.97,1.63,33206827.0,84520905.484371
轻工制造,20250110,23.28,1.58,32274628.0,82280337.618415
轻工制造,20250113,23.2,1.58,32159654.0,81930881.358223
轻工制造,20250114,24.02,1.63,33307569.0,84613833.90703
轻工制造,20250115,23.98,1.63,33244354.0,84730173.447551
轻工制造,20250116,24.15,1.64,33456768.0,85162747.844992
轻工制造,20250117,24.02,1.63,33324040.0,85029202.945199
轻工制造,20250120,24.3,1.65,33734697.0,86030743.013206
轻工制造,20250121,24.27,1.65,33673406.0,85955861.893038
轻工制造,20250122,23.9,1.62,33177099.0,84644785.342833
轻工制造,20250123,23.75,1.62,33033565.0,84291423.10122
轻工制造,20250124,23.98,1.63,33334558.0,84994054.329114
轻工制造,20250127,24.15,1.64,33616346.0,86022482.662967
轻工制造,20250205,24.05,1.64,33451971.0,85296163.809989
轻工制造,20250206,24.29,1.65,33795758.0,85932996.972537
轻工制造,20250207,24.69,1.68,34345951.0,87637121.492833
轻工制造,20250210,25.05,1.7,34840989.0,88650021.0
轻工制造,20250211,25.14,1.71,34946898.0,88814671.0
轻工制造,20250212,25.25,1.72,35096553.0,89195540.0
轻工制造,20250213,25.2,1.71,34962712.0,88848887.0
轻工制造,20250214,25.07,1.7,34793150.0,88608769.0
