name,trade_date,pe,pb,float_mv,total_mv
辅料,20240102,23.36,2.4,842756.0,1872784.700572
辅料,20240103,23.22,2.39,837757.0,1861706.673204
辅料,20240104,23.22,2.39,837740.0,1862140.499099
辅料,20240105,22.85,2.35,824236.0,1832061.684985
辅料,20240108,22.53,2.32,812803.0,1806698.775419
辅料,20240109,22.88,2.36,827685.0,1834304.955538
辅料,20240110,22.89,2.36,828091.0,1834925.090031
辅料,20240111,23.05,2.37,834045.0,1848305.2499
辅料,20240112,22.93,2.36,829531.0,1837876.490522
辅料,20240115,22.95,2.36,830335.0,1839822.4418
辅料,20240116,22.92,2.36,829200.0,1836960.260577
辅料,20240117,22.71,2.34,821576.0,1820372.022055
辅料,20240118,22.28,2.29,806126.0,1785992.313499
辅料,20240119,22.35,2.3,808635.0,1791473.391156
辅料,20240122,21.03,2.16,760702.0,1685127.476788
辅料,20240123,20.98,2.16,759125.0,1680803.567114
辅料,20240124,21.48,2.21,776961.0,1720104.27154
辅料,20240125,21.81,2.25,789144.0,1747578.772501
辅料,20240126,21.8,2.24,788694.0,1746745.643559
辅料,20240129,21.47,2.21,776708.0,1719651.000987
辅料,20240130,20.91,2.15,756536.0,1674537.93867
辅料,20240131,20.44,2.1,739312.0,1635531.544834
辅料,20240201,20.44,2.1,739472.0,1634876.854428
辅料,20240202,19.93,2.05,721181.0,1593791.011379
辅料,20240205,19.5,2.01,705304.0,1556563.738796
辅料,20240206,20.07,2.07,726201.0,1600755.810686
辅料,20240207,20.76,2.14,751071.0,1653808.697223
辅料,20240208,20.78,2.14,751794.0,1657142.335919
辅料,20240219,21.5,2.21,777818.0,1714834.60526
辅料,20240220,21.67,2.23,784056.0,1728480.537176
辅料,20240221,21.84,2.25,803656.0,1750569.164053
辅料,20240222,21.52,2.21,791858.0,1725038.166724
辅料,20240223,21.56,2.22,793179.0,1728113.342396
辅料,20240226,21.47,2.21,789908.0,1721143.187653
辅料,20240227,21.7,2.23,796177.0,1739261.110459
辅料,20240228,20.97,2.16,769138.0,1679621.104978
辅料,20240229,21.53,2.21,789679.0,1724568.527178
辅料,20240301,21.61,2.22,792798.0,1731356.605831
辅料,20240304,22.09,2.27,810365.0,1769536.617859
辅料,20240305,21.95,2.26,802726.0,1756617.003651
辅料,20240306,21.64,2.23,791605.0,1732675.776377
辅料,20240307,21.56,2.22,788564.0,1726148.608394
辅料,20240308,22.03,2.27,805733.0,1763468.17676
辅料,20240311,21.9,2.25,801029.0,1753404.063621
辅料,20240312,21.98,2.26,803796.0,1759737.647898
辅料,20240313,22.27,2.29,814352.0,1782939.826025
辅料,20240314,22.15,2.28,810076.0,1773446.079316
辅料,20240315,22.26,2.29,814182.0,1782639.431085
辅料,20240318,22.39,2.3,818733.0,1792881.286911
辅料,20240319,21.98,2.26,803866.0,1760594.98198
辅料,20240320,21.7,2.23,793572.0,1738513.529316
辅料,20240321,21.76,2.24,795822.0,1743640.839481
辅料,20240322,21.49,2.21,785842.0,1721616.463903
辅料,20240325,21.41,2.2,783213.0,1715740.382687
辅料,20240326,21.46,2.21,784999.0,1719711.153738
辅料,20240327,21.29,2.19,778742.0,1705717.53953
辅料,20240328,21.4,2.2,782849.0,1714910.891299
辅料,20240329,21.95,2.26,802755.0,1758332.266769
辅料,20240401,22.34,2.3,817128.0,1789767.254988
辅料,20240402,22.63,2.33,827647.0,1812960.901119
辅料,20240403,22.97,2.36,840072.0,1839982.760396
辅料,20240408,22.82,2.35,834464.0,1827406.001018
辅料,20240409,22.71,2.34,830727.0,1819681.023939
辅料,20240410,22.7,2.34,830354.0,1818438.970091
辅料,20240411,22.72,2.34,831100.0,1820201.655371
辅料,20240412,23.18,2.38,847753.0,1856584.987245
辅料,20240415,22.93,2.36,838733.0,1835950.185692
辅料,20240416,22.46,2.31,821416.0,1797057.912113
辅料,20240417,22.92,2.36,838432.0,1835114.08113
辅料,20240418,22.35,2.45,876462.0,1917841.022403
辅料,20240419,22.58,2.48,885334.0,1937213.797476
辅料,20240422,22.44,2.46,879984.0,1925384.585326
辅料,20240423,22.51,2.44,876434.0,1917960.565076
辅料,20240424,22.98,2.49,894710.0,1957850.451721
辅料,20240425,22.92,2.48,892547.0,1953377.831962
辅料,20240426,23.59,2.61,1066290.0,1983878.369401
辅料,20240429,23.22,2.55,1061070.0,1977978.577104
辅料,20240430,23.42,2.57,1069958.0,1994646.941009
辅料,20240506,22.35,2.59,1078018.0,2010904.427271
辅料,20240507,22.34,2.59,1077455.0,2009709.660775
辅料,20240508,22.14,2.57,1068044.0,1992771.292315
辅料,20240509,22.06,2.56,1064380.0,1987935.216225
辅料,20240510,22.26,2.58,1073674.0,2004830.462861
辅料,20240513,22.77,2.64,1098225.0,2045888.430151
辅料,20240514,23.37,2.71,1127103.0,2098923.061938
辅料,20240515,23.33,2.7,1125181.0,2094638.569554
辅料,20240516,22.83,2.65,1101209.0,2051571.55653
辅料,20240517,22.79,2.64,1099163.0,2048036.430151
辅料,20240520,22.59,2.62,1089616.0,2032244.911966
辅料,20240521,22.49,2.61,1085061.0,2023164.389651
辅料,20240522,22.25,2.58,1073495.0,2002572.609027
辅料,20240523,21.87,2.53,1054947.0,1967370.717256
辅料,20240524,22.3,2.58,1075802.0,2002485.242451
辅料,20240527,22.35,2.59,1078206.0,2007948.694227
辅料,20240528,22.18,2.57,1069860.0,1993162.625255
辅料,20240529,22.02,2.55,1062095.0,1972448.855162
辅料,20240530,22.27,2.58,1074279.0,1993682.628668
辅料,20240531,22.52,2.61,1086275.0,2016759.807791
辅料,20240603,22.16,2.57,1068831.0,1984025.093684
辅料,20240604,22.86,2.65,1102712.0,2043983.120836
辅料,20240605,22.6,2.62,1086983.0,2016152.438652
辅料,20240606,22.49,2.61,1081570.0,2002051.451321
辅料,20240607,22.54,2.61,1084320.0,2011080.352881
辅料,20240611,22.5,2.61,1087642.0,2004355.997553
辅料,20240612,22.87,2.65,1105677.0,2035897.168987
辅料,20240613,22.49,2.61,1087225.0,2003414.271665
辅料,20240614,22.68,2.63,1096235.0,2020239.743691
辅料,20240617,22.84,2.65,1104209.0,2031698.258317
辅料,20240618,23.03,2.67,1113398.0,2049304.048622
辅料,20240619,23.31,2.7,1126961.0,2073890.277463
辅料,20240620,22.86,2.65,1105151.0,2034268.576596
辅料,20240621,22.53,2.61,1089297.0,2006132.076206
辅料,20240624,22.13,2.57,1069827.0,1968729.373772
辅料,20240625,22.42,2.6,1083889.0,1994521.876725
辅料,20240626,22.87,2.65,1105640.0,2034762.488262
辅料,20240627,22.51,2.61,1087982.0,2001669.774155
辅料,20240628,22.1,2.56,1068200.0,1966914.472783
辅料,20240701,22.23,2.58,1073660.0,1976523.788778
辅料,20240702,21.91,2.54,1058233.0,1948961.418726
辅料,20240703,21.49,2.49,1038056.0,1911618.719563
辅料,20240704,21.35,2.48,1031307.0,1897579.522711
