name,trade_date,pe,pb,float_mv,total_mv
通信,20240102,28.65,2.11,81439852.0,184963078.992439
通信,20240103,28.29,2.08,80383689.0,183235993.878491
通信,20240104,28.17,2.07,80057182.0,182237374.896823
通信,20240105,27.44,2.02,77951733.0,178526158.432337
通信,20240108,26.87,1.98,76328007.0,175608571.301244
通信,20240109,26.87,1.98,76943173.0,175252230.161938
通信,20240110,26.41,1.95,75633649.0,172160288.515333
通信,20240111,26.96,1.99,77225887.0,174475889.358271
通信,20240112,26.51,1.96,75922065.0,172210486.294377
通信,20240115,26.62,1.97,76151101.0,173202154.801604
通信,20240116,26.64,1.97,76191915.0,173259101.727046
通信,20240117,26.13,1.93,74673554.0,170123276.52876
通信,20240118,26.89,1.99,76819184.0,174115621.242465
通信,20240119,26.73,1.97,76253793.0,172965684.177648
通信,20240122,25.9,1.91,73760311.0,168270655.889749
通信,20240123,26.39,1.95,75164279.0,170362506.265311
通信,20240124,26.72,1.97,76025970.0,172915984.413633
通信,20240125,27.81,2.05,79129248.0,181363003.605366
通信,20240126,27.47,2.03,78156364.0,179329420.858208
通信,20240129,26.35,1.95,74904871.0,173778526.592339
通信,20240130,25.68,1.9,72915242.0,170158956.702059
通信,20240131,24.93,1.84,70726476.0,165957560.184571
通信,20240201,25.15,1.86,71384453.0,166703486.53373
通信,20240202,24.63,1.82,69758465.0,164256996.763552
通信,20240205,23.9,1.77,67379305.0,159825642.61137
通信,20240206,25.0,1.85,70544542.0,165496691.462799
通信,20240207,25.18,1.86,71016017.0,166660810.662207
通信,20240208,25.98,1.92,73522648.0,171105743.92052
通信,20240219,27.8,2.05,78703702.0,181088935.450597
通信,20240220,28.02,2.07,79298884.0,182199186.914749
通信,20240221,27.75,2.05,78576869.0,180833993.81702
通信,20240222,28.64,2.11,81157157.0,186765730.923352
通信,20240223,28.82,2.13,81816817.0,187433048.225688
通信,20240226,28.81,2.13,81813516.0,186155157.982981
通信,20240227,30.27,2.23,86041975.0,193964760.925807
通信,20240228,28.59,2.11,81125684.0,184606051.318928
通信,20240229,29.82,2.2,84677932.0,191145718.284877
通信,20240301,30.55,2.26,86879193.0,194939793.509099
通信,20240304,31.06,2.29,88299432.0,198045532.852644
通信,20240305,30.68,2.26,87287391.0,195955330.020763
通信,20240306,30.82,2.28,87684186.0,196302989.952567
通信,20240307,30.09,2.22,85607012.0,191832542.701205
通信,20240308,31.35,2.31,89124253.0,198704457.254617
通信,20240311,31.21,2.31,89319289.0,198782194.447919
通信,20240312,30.8,2.28,88251419.0,195624518.839513
通信,20240313,30.9,2.29,88609670.0,195768357.857441
通信,20240314,30.87,2.28,88455638.0,195480194.925611
通信,20240315,31.57,2.33,90079185.0,198695084.230032
通信,20240318,32.16,2.37,91763453.0,202155084.661151
通信,20240319,32.02,2.36,91366674.0,201732161.272761
通信,20240320,32.02,2.37,91539190.0,203102732.919555
通信,20240321,31.87,2.36,91220403.0,202249780.853966
通信,20240322,32.03,2.36,91671780.0,203911997.157099
通信,20240325,31.4,2.31,89554967.0,200207033.006051
通信,20240326,30.78,2.27,87785580.0,197208564.056067
通信,20240327,29.65,2.19,84513280.0,191477208.053684
通信,20240328,30.59,2.25,86768950.0,196525582.282373
通信,20240329,30.9,2.28,88046010.0,199626481.436122
通信,20240401,31.22,2.33,89634581.0,201983719.567642
通信,20240402,30.8,2.3,88244265.0,199163023.477723
通信,20240403,30.04,2.24,86061685.0,195220722.370064
通信,20240408,30.04,2.24,85912889.0,195002419.8989
通信,20240409,29.95,2.23,85689441.0,193821757.462355
通信,20240410,29.2,2.18,83513722.0,190188331.613058
通信,20240411,29.24,2.18,83665277.0,190425869.365865
通信,20240412,29.7,2.21,84974344.0,192756952.668718
通信,20240415,29.76,2.22,84880286.0,193740184.663001
通信,20240416,28.8,2.14,81900154.0,188436798.659973
通信,20240417,30.18,2.25,85897216.0,197065647.910792
通信,20240418,29.96,2.23,85433800.0,195434921.082502
通信,20240419,29.54,2.21,84403206.0,193806595.694176
