name,trade_date,pe,pb,float_mv,total_mv
通信服务,20240102,27.7,1.6,29800604.0,90777514.177425
通信服务,20240103,27.61,1.6,29694560.0,90765358.616636
通信服务,20240104,27.57,1.6,29664334.0,90339362.837894
通信服务,20240105,27.12,1.57,29182033.0,89502908.16042
通信服务,20240108,26.75,1.55,28781124.0,88806598.60884
通信服务,20240109,26.29,1.54,28868273.0,87804241.320853
通信服务,20240110,25.76,1.51,28277528.0,86064924.428855
通信服务,20240111,26.07,1.52,28636570.0,86257027.284085
通信服务,20240112,25.81,1.51,28360031.0,85797070.367494
通信服务,20240115,25.95,1.52,28497142.0,86781723.39083
通信服务,20240116,25.9,1.51,28435051.0,86824805.494699
通信服务,20240117,25.41,1.48,27887582.0,85482468.677358
通信服务,20240118,25.77,1.51,28272426.0,86644334.134692
通信服务,20240119,25.6,1.5,28071099.0,86375002.221694
通信服务,20240122,24.8,1.45,27172044.0,84797216.498426
通信服务,20240123,24.72,1.45,27097506.0,84303024.897055
通信服务,20240124,25.23,1.47,27642860.0,86269392.974527
通信服务,20240125,26.58,1.55,29117610.0,91646581.208896
通信服务,20240126,26.54,1.55,29064623.0,91380484.690898
通信服务,20240129,26.15,1.53,28637455.0,90863947.277046
通信服务,20240130,25.8,1.51,28241806.0,90230071.280281
通信服务,20240131,25.17,1.47,27523804.0,88709109.220084
通信服务,20240201,24.8,1.45,27130523.0,87728168.751848
通信服务,20240202,24.47,1.43,26749142.0,87825084.848711
通信服务,20240205,23.68,1.38,25838329.0,86435909.910711
通信服务,20240206,23.93,1.4,26111624.0,86939445.90201
通信服务,20240207,24.12,1.41,26318631.0,87452649.069439
通信服务,20240208,24.74,1.45,27018556.0,88541380.464037
通信服务,20240219,25.74,1.5,28119592.0,91605248.373023
通信服务,20240220,26.15,1.53,28568821.0,92551950.073206
通信服务,20240221,26.15,1.53,28574622.0,92279374.437414
通信服务,20240222,27.08,1.58,29607307.0,95473795.543013
通信服务,20240223,27.27,1.59,29840919.0,95167434.4811
通信服务,20240226,26.96,1.57,29493430.0,93224813.535874
通信服务,20240227,27.55,1.61,30173829.0,94884240.575046
