name,trade_date,pe,pb,float_mv,total_mv
通信终端及配件,20240102,48.75,4.2,11203551.0,23997645.918028
通信终端及配件,20240103,47.76,4.11,11002394.0,23543973.658028
通信终端及配件,20240104,47.35,4.08,10910069.0,23276440.745413
通信终端及配件,20240105,45.55,3.92,10518260.0,22522055.414547
通信终端及配件,20240108,44.66,3.85,10297920.0,21997507.151297
通信终端及配件,20240109,45.06,3.89,10441550.0,22081429.158533
通信终端及配件,20240110,44.13,3.81,10234962.0,21669527.745497
通信终端及配件,20240111,45.27,3.91,10498305.0,22153283.856395
通信终端及配件,20240112,44.47,3.84,10325074.0,21818523.103028
通信终端及配件,20240115,44.33,3.83,10296208.0,21750954.678547
通信终端及配件,20240116,44.03,3.8,10242043.0,21686306.262966
通信终端及配件,20240117,42.99,3.71,10009530.0,21191066.760441
通信终端及配件,20240118,43.5,3.76,10133227.0,21399224.904502
通信终端及配件,20240119,43.45,3.75,10072837.0,21140954.522606
通信终端及配件,20240122,41.23,3.56,9553486.0,20011335.072196
通信终端及配件,20240123,42.28,3.65,9785064.0,20525129.902326
通信终端及配件,20240124,43.2,3.73,9978141.0,20847720.887935
通信终端及配件,20240125,44.61,3.85,10316650.0,21590669.718129
通信终端及配件,20240126,43.52,3.78,10158783.0,21176900.007374
通信终端及配件,20240129,41.33,3.59,9666488.0,20185307.302027
通信终端及配件,20240130,39.54,3.43,9249763.0,19338784.566323
通信终端及配件,20240131,37.45,3.25,8754746.0,18318487.262574
通信终端及配件,20240201,37.59,3.26,8823024.0,18466575.119488
通信终端及配件,20240202,36.38,3.16,8514996.0,17753306.373235
通信终端及配件,20240205,34.37,2.98,8031592.0,16805651.476851
通信终端及配件,20240206,35.93,3.12,8429562.0,17745300.073704
通信终端及配件,20240207,36.43,3.16,8607060.0,18199853.273023
通信终端及配件,20240208,37.96,3.29,8972332.0,18954474.679555
通信终端及配件,20240219,39.59,3.44,9354797.0,19745765.995881
通信终端及配件,20240220,39.72,3.45,9379459.0,19750535.559698
通信终端及配件,20240221,39.78,3.45,9386509.0,19772910.27279
通信终端及配件,20240222,40.98,3.56,9675573.0,20398205.954232
通信终端及配件,20240223,42.15,3.66,9953435.0,20854331.907846
通信终端及配件,20240226,42.64,3.7,10066311.0,21126184.910421
通信终端及配件,20240227,44.51,3.86,10504024.0,22023334.206868
通信终端及配件,20240228,41.25,3.58,9739417.0,20490149.551499
通信终端及配件,20240229,42.84,3.72,10171394.0,21484355.0529
通信终端及配件,20240301,43.97,3.82,10534301.0,22048525.359394
通信终端及配件,20240304,44.17,3.83,10607628.0,22266931.583218
通信终端及配件,20240305,44.33,3.85,10674941.0,22212375.142321
通信终端及配件,20240306,44.16,3.83,10663030.0,22219982.9666
通信终端及配件,20240307,42.86,3.72,10376457.0,21607410.456474
通信终端及配件,20240308,44.23,3.84,10685060.0,22221739.314643
通信终端及配件,20240311,44.33,3.84,10731168.0,22323490.458745
通信终端及配件,20240312,44.77,3.88,10865617.0,22510062.175964
通信终端及配件,20240313,44.88,3.89,10913508.0,22546421.121585
通信终端及配件,20240314,43.92,3.81,10684136.0,22090492.824068
通信终端及配件,20240315,44.88,3.89,10971335.0,22628704.853377
通信终端及配件,20240318,45.47,3.94,11112627.0,22907718.902398
通信终端及配件,20240319,47.76,3.95,11204986.0,23013486.933527
通信终端及配件,20240320,47.75,3.95,11212882.0,23001428.441456
通信终端及配件,20240321,47.22,3.9,11185467.0,22836597.787896
通信终端及配件,20240322,46.2,3.82,11012183.0,22443010.002033
通信终端及配件,20240325,45.04,3.72,10741491.0,21911699.201041
通信终端及配件,20240326,44.24,3.66,10633443.0,21831305.166925
通信终端及配件,20240327,42.07,3.48,10167390.0,20951152.981665
通信终端及配件,20240328,43.48,3.6,10560497.0,21717353.309797
通信终端及配件,20240329,45.09,3.76,10885318.0,22367372.223387
通信终端及配件,20240401,45.89,3.83,11062522.0,22744237.005342
通信终端及配件,20240402,45.37,3.79,10873319.0,22432439.23986
通信终端及配件,20240403,44.59,3.72,10706774.0,22141342.253009
通信终端及配件,20240408,43.51,3.63,10440502.0,21607635.556337
通信终端及配件,20240409,44.15,3.68,10592822.0,21936176.472804
通信终端及配件,20240410,43.45,3.63,10399683.0,21680278.673741
通信终端及配件,20240411,43.27,3.61,10409648.0,21670863.064492
通信终端及配件,20240412,43.34,3.62,10441067.0,21744009.806678
通信终端及配件,20240415,42.8,3.57,10293008.0,21609207.012994
通信终端及配件,20240416,40.83,3.41,9810676.0,20738645.106034
通信终端及配件,20240417,43.17,3.6,10317239.0,21771777.831124
通信终端及配件,20240418,42.72,3.58,10306436.0,21705387.359372
通信终端及配件,20240419,42.87,3.59,10370419.0,21728006.365521
通信终端及配件,20240422,42.12,3.57,10401607.0,21884600.224336
通信终端及配件,20240423,43.61,3.54,10424680.0,22000504.414383
通信终端及配件,20240424,44.72,3.62,10687894.0,22484985.104037
通信终端及配件,20240425,44.47,3.59,10679968.0,22441320.315922
通信终端及配件,20240426,44.58,3.6,11103256.0,23112270.55918
通信终端及配件,20240429,45.24,3.65,11203603.0,23265611.523177
通信终端及配件,20240430,44.74,3.61,11101348.0,23076124.524546
通信终端及配件,20240506,53.05,4.04,11183203.0,23243494.927587
通信终端及配件,20240507,53.37,4.07,11248857.0,23438111.077746
通信终端及配件,20240508,52.53,4.0,11068749.0,23124057.332419
通信终端及配件,20240509,52.73,4.01,11110832.0,23219869.37424
通信终端及配件,20240510,52.75,4.02,11117419.0,23247960.859507
通信终端及配件,20240513,51.49,3.92,10845330.0,22770436.988653
通信终端及配件,20240514,52.07,3.96,10966734.0,23111158.50608
通信终端及配件,20240515,51.83,3.95,10915597.0,22891986.131537
通信终端及配件,20240516,51.98,3.96,10950581.0,22918843.655108
通信终端及配件,20240517,52.59,4.0,11085419.0,23154300.328254
通信终端及配件,20240520,53.29,4.06,11237248.0,23496716.497142
通信终端及配件,20240521,52.66,4.01,11111385.0,23249727.73572
通信终端及配件,20240522,52.38,3.98,11050241.0,23148379.768554
通信终端及配件,20240523,51.36,3.91,10840541.0,22709217.645823
通信终端及配件,20240524,50.4,3.83,10643363.0,22329024.260996
通信终端及配件,20240527,50.77,3.86,10706988.0,22576217.414735
通信终端及配件,20240528,50.31,3.83,10604716.0,22457829.099298
通信终端及配件,20240529,50.15,3.82,10571721.0,22402003.914392
通信终端及配件,20240530,50.15,3.82,10570095.0,22427370.55595
通信终端及配件,20240531,50.72,3.87,10779171.0,22615383.204056
通信终端及配件,20240603,50.28,3.84,10685307.0,22464824.522531
通信终端及配件,20240604,49.75,3.86,10585194.0,22278696.958674
通信终端及配件,20240605,49.63,3.85,10554377.0,22213507.273796
通信终端及配件,20240606,48.09,3.73,10224851.0,21593745.708348
通信终端及配件,20240607,47.92,3.72,10189325.0,21500306.834206
通信终端及配件,20240611,48.74,3.78,10363901.0,21921549.781305
通信终端及配件,20240612,49.26,3.83,10475135.0,22113084.974909
通信终端及配件,20240613,49.71,3.86,10572879.0,22352407.268463
通信终端及配件,20240614,50.8,3.94,10803597.0,22787533.609068
通信终端及配件,20240617,51.25,3.98,10904378.0,22997833.66729
通信终端及配件,20240618,52.22,4.05,11104894.0,23374459.959352
通信终端及配件,20240619,51.43,3.99,10940599.0,23050522.522234
通信终端及配件,20240620,294.42,3.93,1441368.0,22702823.375102
通信终端及配件,20240621,47.08,3.96,10874583.0,22944825.01887
通信终端及配件,20240624,45.22,3.81,10441860.0,22164960.412625
通信终端及配件,20240625,44.26,3.71,10153268.0,21614327.961786
通信终端及配件,20240626,45.51,3.82,10442992.0,22180842.566869
通信终端及配件,20240627,44.56,3.73,10220717.0,21715095.335442
通信终端及配件,20240628,45.37,3.8,10409752.0,22119748.738791
通信终端及配件,20240701,44.79,3.75,10273880.0,21729990.231524
通信终端及配件,20240702,44.16,3.7,10129227.0,21385886.293682
通信终端及配件,20240703,43.4,3.63,9955446.0,21021920.795793
通信终端及配件,20240704,42.77,3.59,9807800.0,20760625.309377
通信终端及配件,20240705,43.02,3.61,9861602.0,20885918.141918
通信终端及配件,20240708,42.42,3.56,9722573.0,20642740.577289
通信终端及配件,20240709,43.88,3.69,10058841.0,21376073.96712
通信终端及配件,20240710,44.22,3.72,10136379.0,21537701.702384
通信终端及配件,20240711,45.13,3.79,10344784.0,21879978.551103
通信终端及配件,20240712,45.06,3.79,10327166.0,21907031.398403
通信终端及配件,20240715,44.54,3.74,10206681.0,21682622.633354
通信终端及配件,20240716,45.34,3.81,10393314.0,22034775.601635
通信终端及配件,20240717,44.23,3.72,10138719.0,21544070.2271
通信终端及配件,20240718,43.73,3.68,10021046.0,21271265.973023
通信终端及配件,20240719,44.21,3.72,10133626.0,21538548.403032
通信终端及配件,20240722,44.36,3.73,10166062.0,21567652.506363
通信终端及配件,20240723,42.8,3.6,9810838.0,20774742.664289
通信终端及配件,20240724,42.15,3.54,9662340.0,20457322.81076
通信终端及配件,20240725,41.79,3.51,9578058.0,20309003.95455
通信终端及配件,20240726,42.49,3.57,9739294.0,20611859.748307
通信终端及配件,20240729,42.11,3.54,9649972.0,20460334.628776
通信终端及配件,20240730,42.27,3.55,9687825.0,20538690.725676
通信终端及配件,20240731,43.93,3.66,10133039.0,21718369.308451
通信终端及配件,20240801,43.91,3.66,10127643.0,21674446.520093
通信终端及配件,20240802,43.11,3.59,9940075.0,21316489.83209
通信终端及配件,20240805,41.2,3.43,9499086.0,20406985.14092
通信终端及配件,20240806,41.52,3.46,9573373.0,20505514.900331
通信终端及配件,20240807,42.47,3.54,9790799.0,20942524.352976
通信终端及配件,20240808,41.95,3.49,9669993.0,20721790.885102
通信终端及配件,20240809,41.96,3.49,9671632.0,20707158.274343
通信终端及配件,20240812,41.35,3.44,9530061.0,20470884.88337
通信终端及配件,20240813,41.51,3.46,9569304.0,20547601.528239
通信终端及配件,20240814,41.35,3.44,9523635.0,20431963.188459
通信终端及配件,20240815,41.61,3.46,9584288.0,20538928.721578
通信终端及配件,20240816,41.85,3.48,9642810.0,20716454.363624
通信终端及配件,20240819,41.85,3.47,9685604.0,20676977.319318
通信终端及配件,20240820,41.07,3.41,9516988.0,20327655.615455
通信终端及配件,20240821,40.9,3.39,9477689.0,20215619.830024
通信终端及配件,20240822,40.43,3.35,9370877.0,19989309.133074
通信终端及配件,20240823,40.84,3.39,9467844.0,20228215.6889
通信终端及配件,20240826,40.61,3.37,9404844.0,20021869.859114
通信终端及配件,20240827,40.02,3.28,9273222.0,19758462.993554
通信终端及配件,20240828,40.17,3.3,9308930.0,19838527.106506
通信终端及配件,20240829,40.71,3.34,9435334.0,20113507.049059
通信终端及配件,20240830,41.72,3.45,9670878.0,20606751.411459
通信终端及配件,20240902,37.42,3.37,9434318.0,20073382.640782
通信终端及配件,20240903,37.95,3.42,9571357.0,20371912.740038
通信终端及配件,20240904,38.06,3.42,9585812.0,20432837.154247
通信终端及配件,20240905,38.71,3.48,9746746.0,20687214.44307
通信终端及配件,20240906,37.88,3.41,9536007.0,20192606.562495
通信终端及配件,20240909,37.51,3.38,9441459.0,20034080.223011
通信终端及配件,20240910,38.26,3.44,9641824.0,20400701.318012
通信终端及配件,20240911,38.08,3.43,9596531.0,20359974.885612
通信终端及配件,20240912,38.08,3.43,9594431.0,20351427.423204
通信终端及配件,20240913,37.94,3.41,9556346.0,20284610.474013
通信终端及配件,20240918,37.91,3.41,9550110.0,20325773.859012
通信终端及配件,20240919,38.58,3.47,9715359.0,20662562.102611
通信终端及配件,20240920,38.88,3.49,9789803.0,20794416.13852
通信终端及配件,20240923,39.36,3.54,9911303.0,21060517.272281
通信终端及配件,20240924,40.13,3.61,10104282.0,21431203.877163
通信终端及配件,20240925,40.11,3.61,10096042.0,21435575.100078
通信终端及配件,20240926,40.58,3.69,10216112.0,21660873.760722
通信终端及配件,20240927,42.71,3.88,10756959.0,22833160.00668
通信终端及配件,20240930,47.9,4.35,12068369.0,25714249.101609
通信终端及配件,20241008,53.68,4.88,13524887.0,28832077.84668
通信终端及配件,20241009,48.4,4.4,12186019.0,26078456.2711
通信终端及配件,20241010,47.5,4.32,11958165.0,25609102.603134
通信终端及配件,20241011,45.38,4.12,11421474.0,24448981.621701
通信终端及配件,20241014,46.49,4.23,11814955.0,25114527.561306
通信终端及配件,20241015,45.64,4.16,11602184.0,24600858.81908
通信终端及配件,20241016,45.62,4.15,11593946.0,24532511.306607
通信终端及配件,20241017,45.6,4.15,11595255.0,24458102.245848
通信终端及配件,20241018,47.97,4.37,12196591.0,25686789.074188
通信终端及配件,20241021,49.56,4.5,12602524.0,26533603.805245
通信终端及配件,20241022,48.88,4.42,12426467.0,26165311.74403
通信终端及配件,20241023,49.39,4.43,12564743.0,26425999.160551
通信终端及配件,20241024,49.51,4.43,12592783.0,26397737.105486
通信终端及配件,20241025,50.45,4.51,12834797.0,26995966.834243
通信终端及配件,20241028,51.3,4.59,13044935.0,27354329.662428
通信终端及配件,20241029,51.57,4.58,13113093.0,27367367.905471
通信终端及配件,20241030,51.59,4.58,13110816.0,27352562.429554
通信终端及配件,20241031,52.52,4.67,13371063.0,27817449.855475
通信终端及配件,20241101,45.41,4.43,12718078.0,26493540.744237
通信终端及配件,20241104,47.26,4.61,13227057.0,27322944.649255
通信终端及配件,20241105,48.62,4.74,13629755.0,28196587.105647
通信终端及配件,20241106,48.69,4.75,13637805.0,28082451.835508
通信终端及配件,20241107,49.45,4.82,13851076.0,28516660.435095
通信终端及配件,20241108,50.83,4.95,14229227.0,29247453.554017
通信终端及配件,20241111,52.48,5.11,14685335.0,30234082.150255
通信终端及配件,20241112,51.01,4.97,14274345.0,29332333.956808
通信终端及配件,20241113,51.0,4.97,14268879.0,29404395.449592
通信终端及配件,20241114,49.98,4.87,14001747.0,28711723.267737
通信终端及配件,20241115,48.06,4.68,13461003.0,27685798.463191
通信终端及配件,20241118,46.23,4.51,12942693.0,26695534.462314
通信终端及配件,20241119,47.28,4.61,13239537.0,27280808.488327
通信终端及配件,20241120,49.02,4.78,13723492.0,28044340.179539
通信终端及配件,20241121,49.0,4.78,13716276.0,28040384.135542
通信终端及配件,20241122,47.15,4.6,13194591.0,26990020.602477
通信终端及配件,20241125,47.29,4.61,13232644.0,27012064.911198
通信终端及配件,20241126,47.31,4.61,13238147.0,26985225.741584
通信终端及配件,20241127,48.11,4.69,13469363.0,27494501.893041
通信终端及配件,20241128,47.98,4.68,13434080.0,27403325.198543
通信终端及配件,20241129,49.02,4.78,13723251.0,28042309.683444
通信终端及配件,20241202,49.67,4.84,13910631.0,28424796.625977
通信终端及配件,20241203,49.17,4.79,13774593.0,28167140.992757
通信终端及配件,20241204,48.48,4.72,13574991.0,27739526.476171
通信终端及配件,20241205,49.18,4.79,13770077.0,28083186.630514
通信终端及配件,20241206,49.61,4.83,13888708.0,28358685.832545
通信终端及配件,20241209,49.75,4.84,13925245.0,28363425.028385
通信终端及配件,20241210,50.95,4.96,14259987.0,28962903.771166
通信终端及配件,20241211,53.14,5.17,14870247.0,29875126.147026
通信终端及配件,20241212,52.86,5.14,14791071.0,29729999.034979
通信终端及配件,20241213,51.44,5.0,14392659.0,29052007.911221
通信终端及配件,20241216,50.86,4.94,14236954.0,28766806.103618
通信终端及配件,20241217,50.31,4.89,14079962.0,28554117.590342
通信终端及配件,20241218,51.96,5.05,14533555.0,29343845.962114
通信终端及配件,20241219,52.95,5.15,14820816.0,29958901.045632
通信终端及配件,20241220,53.41,5.2,14966106.0,30266293.547342
通信终端及配件,20241223,51.01,4.96,14296043.0,28904235.362933
通信终端及配件,20241224,51.51,5.01,14434566.0,29213719.728892
通信终端及配件,20241225,51.13,4.98,14336604.0,28973169.316611
通信终端及配件,20241226,52.64,5.13,14768440.0,29833370.087006
