name,trade_date,pe,pb,float_mv,total_mv
通信网络设备及器件,20240102,29.81,2.86,29412797.0,51313685.820877
通信网络设备及器件,20240103,29.14,2.8,28758831.0,50216348.249213
通信网络设备及器件,20240104,29.03,2.79,28646148.0,50038554.465477
通信网络设备及器件,20240105,28.06,2.7,27701597.0,48403490.64676
通信网络设备及器件,20240108,27.26,2.62,26925957.0,47114235.054485
通信网络设备及器件,20240109,27.7,2.66,27320669.0,47694490.187
通信网络设备及器件,20240110,27.37,2.63,26985456.0,47055552.435453
通信网络设备及器件,20240111,28.08,2.7,27688900.0,48259020.509292
通信网络设备及器件,20240112,27.36,2.63,26990324.0,47085241.051547
通信网络设备及器件,20240115,27.63,2.65,27206488.0,47310885.71182
通信网络设备及器件,20240116,27.66,2.66,27211307.0,47218006.352548
通信网络设备及器件,20240117,27.23,2.62,26762661.0,46401392.322871
通信网络设备及器件,20240118,28.76,2.76,28233425.0,48782396.656957
通信网络设备及器件,20240119,28.59,2.75,28033793.0,48351690.021671
通信网络设备及器件,20240122,28.04,2.69,27431794.0,47179482.266341
通信网络设备及器件,20240123,29.03,2.79,28380145.0,48786901.633924
通信网络设备及器件,20240124,29.02,2.79,28375996.0,48850306.851417
通信网络设备及器件,20240125,29.99,2.88,29334677.0,50546168.073825
通信网络设备及器件,20240126,29.29,2.81,28626349.0,49262898.679562
通信网络设备及器件,20240129,27.17,2.61,26551150.0,45702259.354922
通信网络设备及器件,20240130,26.36,2.53,25696720.0,44110736.042701
通信网络设备及器件,20240131,25.66,2.46,25059939.0,43077038.823154
通信网络设备及器件,20240201,26.77,2.57,26089963.0,44743660.162728
通信网络设备及器件,20240202,26.2,2.52,25455019.0,43487785.168723
通信网络设备及器件,20240205,25.93,2.49,25047960.0,42383293.464118
通信网络设备及器件,20240206,28.1,2.7,27115330.0,45892767.285204
通信网络设备及器件,20240207,28.21,2.71,27173132.0,46014370.504946
通信网络设备及器件,20240208,29.13,2.8,28165420.0,47824477.922076
通信网络设备及器件,20240219,32.62,3.13,31508727.0,53313836.227741
通信网络设备及器件,20240220,32.76,3.15,31628442.0,53481112.768522
通信网络设备及器件,20240221,31.86,3.06,30800783.0,52214751.904412
通信网络设备及器件,20240222,32.81,3.15,31746681.0,53812150.715318
通信网络设备及器件,20240223,32.66,3.14,31704124.0,53989326.593149
通信网络设备及器件,20240226,32.84,3.15,31865657.0,54215718.36005
通信网络设备及器件,20240227,35.51,3.41,34447012.0,58608843.588271
通信网络设备及器件,20240228,33.25,3.19,32201936.0,54671975.23952
通信网络设备及器件,20240229,35.29,3.39,34158747.0,57957136.895361
通信网络设备及器件,20240301,36.59,3.51,35407575.0,60021238.09471
通信网络设备及器件,20240304,37.47,3.6,36210473.0,61294028.223103
通信网络设备及器件,20240305,36.92,3.55,35710392.0,60502274.168101
通信网络设备及器件,20240306,37.09,3.56,35848184.0,60693544.591401
通信网络设备及器件,20240307,36.05,3.46,34835839.0,58978333.65961
通信网络设备及器件,20240308,38.23,3.67,36881372.0,62262582.46854
通信网络设备及器件,20240311,37.47,3.61,36810063.0,62372284.425571
通信网络设备及器件,20240312,36.56,3.53,35942789.0,61006319.32482
通信网络设备及器件,20240313,36.52,3.52,35917899.0,61017183.769219
通信网络设备及器件,20240314,36.91,3.56,36245093.0,61461753.496047
通信网络设备及器件,20240315,38.7,3.72,37423620.0,63652547.004814
通信网络设备及器件,20240318,39.6,3.8,38287301.0,65101231.119767
通信网络设备及器件,20240319,38.97,3.77,37888141.0,64734589.154555
通信网络设备及器件,20240320,38.55,3.73,37482217.0,64132370.241928
通信网络设备及器件,20240321,38.18,3.7,37157528.0,63588857.242583
通信网络设备及器件,20240322,38.13,3.69,37174022.0,63695867.515104
通信网络设备及器件,20240325,37.56,3.62,36279346.0,62152851.515451
通信网络设备及器件,20240326,36.21,3.49,34946401.0,59830651.618975
通信网络设备及器件,20240327,34.95,3.37,33624940.0,57403728.2146
通信网络设备及器件,20240328,35.91,3.46,34608973.0,59284756.375663
通信网络设备及器件,20240329,36.07,3.51,35124798.0,60187651.835933
通信网络设备及器件,20240401,37.33,3.62,36273535.0,62085063.093271
通信网络设备及器件,20240402,36.85,3.58,35737030.0,60993296.510958
通信网络设备及器件,20240403,35.59,3.45,34496809.0,58887870.141986
通信网络设备及器件,20240408,36.14,3.5,34965295.0,59549480.107132
通信网络设备及器件,20240409,35.85,3.48,34693067.0,58998486.686057
通信网络设备及器件,20240410,34.68,3.36,33547333.0,57002398.789
通信网络设备及器件,20240411,34.9,3.38,33756550.0,57295717.29709
通信网络设备及器件,20240412,36.21,3.51,34976337.0,59265129.959035
通信网络设备及器件,20240415,36.41,3.53,35073773.0,59125628.631925
通信网络设备及器件,20240416,35.3,3.42,33901161.0,56901561.442852
通信网络设备及器件,20240417,37.23,3.61,35800183.0,60251376.745662
通信网络设备及器件,20240418,37.06,3.59,35627547.0,60006325.076606
通信网络设备及器件,20240419,36.04,3.51,34808677.0,58617398.092976
通信网络设备及器件,20240422,32.94,3.3,33415006.0,56420805.058855
通信网络设备及器件,20240423,32.95,3.31,33736407.0,56951595.429622
通信网络设备及器件,20240424,34.62,3.47,35437458.0,59568725.92816
通信网络设备及器件,20240425,34.07,3.41,34888972.0,58703808.288668
通信网络设备及器件,20240426,36.14,3.55,37247243.0,62118291.938561
通信网络设备及器件,20240429,36.71,3.61,37978305.0,63360187.790807
通信网络设备及器件,20240430,36.77,3.63,37632352.0,62726901.484235
通信网络设备及器件,20240506,35.02,3.58,37344410.0,62347949.448066
通信网络设备及器件,20240507,34.19,3.49,36463759.0,61000846.167919
通信网络设备及器件,20240508,33.65,3.44,35892881.0,60017414.44491
通信网络设备及器件,20240509,33.64,3.44,35881254.0,59978273.248618
通信网络设备及器件,20240510,33.21,3.39,35410744.0,59084501.142812
通信网络设备及器件,20240513,33.13,3.38,35290372.0,58668852.480605
通信网络设备及器件,20240514,32.68,3.34,34837428.0,58037096.29961
通信网络设备及器件,20240515,32.6,3.33,34747922.0,57868748.346421
通信网络设备及器件,20240516,33.17,3.39,35350788.0,58851504.250091
通信网络设备及器件,20240517,33.49,3.42,35698472.0,59591146.921053
通信网络设备及器件,20240520,34.1,3.48,36341935.0,60594575.35482
通信网络设备及器件,20240521,34.09,3.51,36947627.0,60204312.066433
通信网络设备及器件,20240522,33.71,3.47,36552490.0,59664810.434609
通信网络设备及器件,20240523,33.39,3.44,36204047.0,59088282.93278
通信网络设备及器件,20240524,32.63,3.36,35396692.0,57907574.843361
通信网络设备及器件,20240527,33.03,3.4,35780832.0,58204251.481132
通信网络设备及器件,20240528,32.07,3.26,34052491.0,56945920.092993
通信网络设备及器件,20240529,31.92,3.25,33893414.0,56683496.19224
通信网络设备及器件,20240530,31.73,3.23,33689720.0,56353783.697832
通信网络设备及器件,20240531,31.69,3.23,33668583.0,56444708.185866
通信网络设备及器件,20240603,32.96,3.36,35108618.0,58240668.699884
通信网络设备及器件,20240604,33.14,3.38,35270888.0,58341503.954782
通信网络设备及器件,20240605,32.41,3.3,34494080.0,57100023.954697
通信网络设备及器件,20240606,32.68,3.34,34770291.0,53341809.749542
通信网络设备及器件,20240607,31.83,3.25,33883012.0,52209331.688401
通信网络设备及器件,20240611,32.06,3.27,34136262.0,52732277.836239
通信网络设备及器件,20240612,32.33,3.3,34430133.0,53153321.054988
通信网络设备及器件,20240613,32.99,3.37,35125536.0,54115705.031303
通信网络设备及器件,20240614,35.25,3.6,37499651.0,57270917.14505
通信网络设备及器件,20240617,35.58,3.63,37859915.0,57608088.992058
通信网络设备及器件,20240618,36.59,3.74,38938879.0,59204674.309557
通信网络设备及器件,20240619,36.48,3.72,38811453.0,58986823.414151
通信网络设备及器件,20240620,55.64,3.67,12498870.0,58088595.478045
通信网络设备及器件,20240621,35.49,3.67,38181098.0,58024888.840894
通信网络设备及器件,20240624,34.46,3.56,37068155.0,56185341.294448
通信网络设备及器件,20240625,33.31,3.44,35852898.0,54393830.831841
通信网络设备及器件,20240626,34.39,3.55,37010779.0,56121771.853464
通信网络设备及器件,20240627,33.44,3.45,35990178.0,54604949.015747
通信网络设备及器件,20240628,34.19,3.53,36804050.0,55900646.251771
通信网络设备及器件,20240701,35.36,3.64,38033818.0,57371281.139202
通信网络设备及器件,20240702,35.28,3.63,37929841.0,57072547.887223
通信网络设备及器件,20240703,34.69,3.57,37287360.0,56022359.498718
通信网络设备及器件,20240704,34.48,3.55,37036144.0,55460750.517696
通信网络设备及器件,20240705,34.52,3.55,37070639.0,55602118.449744
通信网络设备及器件,20240708,34.52,3.55,37060656.0,55386177.600109
通信网络设备及器件,20240709,36.47,3.75,39155843.0,58399289.576597
通信网络设备及器件,20240710,36.87,3.79,39584591.0,59001278.693695
通信网络设备及器件,20240711,36.61,3.77,39334250.0,59017520.292473
通信网络设备及器件,20240712,35.83,3.69,38496649.0,57772669.620202
通信网络设备及器件,20240715,35.32,3.63,37968580.0,56969656.479656
通信网络设备及器件,20240716,35.59,3.66,38269280.0,57569318.956448
通信网络设备及器件,20240717,34.5,3.55,37087143.0,55837280.523267
通信网络设备及器件,20240718,34.28,3.53,36839114.0,55487040.53684
通信网络设备及器件,20240719,33.79,3.48,36343625.0,54877894.180622
通信网络设备及器件,20240722,33.77,3.48,36329994.0,54928574.556168
通信网络设备及器件,20240723,32.88,3.38,35369605.0,53475350.894093
通信网络设备及器件,20240724,32.77,3.37,35235708.0,53247668.29668
通信网络设备及器件,20240725,31.45,3.24,33835477.0,51357632.734124
通信网络设备及器件,20240726,31.95,3.29,34372166.0,52209016.05425
通信网络设备及器件,20240729,32.71,3.37,35183097.0,53279541.042419
通信网络设备及器件,20240730,32.59,3.35,35054076.0,53126163.484578
通信网络设备及器件,20240731,34.0,3.41,36564291.0,55355386.553119
通信网络设备及器件,20240801,34.09,3.42,36649003.0,55425876.189316
通信网络设备及器件,20240802,32.11,3.22,34533610.0,52442908.456199
通信网络设备及器件,20240805,30.23,3.04,32523045.0,49463663.318585
通信网络设备及器件,20240806,31.05,3.12,33399938.0,50704262.258478
通信网络设备及器件,20240807,31.2,3.13,33569543.0,51125285.937917
通信网络设备及器件,20240808,30.71,3.08,33043581.0,50329956.346678
通信网络设备及器件,20240809,31.0,3.11,33346672.0,50717865.777893
通信网络设备及器件,20240812,30.93,3.1,33273271.0,50541413.692386
通信网络设备及器件,20240813,31.42,3.15,33799669.0,51277279.169672
通信网络设备及器件,20240814,31.22,3.13,33593400.0,51002899.819646
通信网络设备及器件,20240815,31.37,3.15,33746219.0,51323246.149608
通信网络设备及器件,20240816,32.11,3.22,34541623.0,52413225.698534
通信网络设备及器件,20240819,32.36,3.26,34798258.0,52768433.198705
通信网络设备及器件,20240820,32.04,3.22,34444709.0,52134940.801286
通信网络设备及器件,20240821,32.03,3.22,34437343.0,52129913.825392
通信网络设备及器件,20240822,31.47,3.17,33842443.0,51259659.522346
通信网络设备及器件,20240823,31.34,3.16,33704361.0,51064756.527276
通信网络设备及器件,20240826,30.75,3.08,33078211.0,50293114.213742
通信网络设备及器件,20240827,30.34,3.04,32627799.0,49514722.725655
通信网络设备及器件,20240828,30.33,3.04,32620371.0,49532163.798964
通信网络设备及器件,20240829,29.7,2.97,31986533.0,48907989.351555
通信网络设备及器件,20240830,30.43,3.04,32789548.0,50188586.752184
通信网络设备及器件,20240902,26.37,2.93,31594499.0,48502750.859989
通信网络设备及器件,20240903,26.61,2.96,31879630.0,48939232.924699
通信网络设备及器件,20240904,26.46,2.95,32023572.0,48369135.528675
通信网络设备及器件,20240905,26.63,2.97,32226482.0,48631067.342109
通信网络设备及器件,20240906,26.08,2.91,31549367.0,47518091.550397
通信网络设备及器件,20240909,26.3,2.94,31806736.0,47859070.310684
通信网络设备及器件,20240910,26.99,3.01,32656174.0,49215572.037739
通信网络设备及器件,20240911,26.94,3.01,32583643.0,49058458.783856
通信网络设备及器件,20240912,27.1,3.03,32767451.0,49201876.153687
通信网络设备及器件,20240913,27.79,3.1,33561685.0,49938789.386564
通信网络设备及器件,20240918,27.52,3.07,33216949.0,49444508.816877
通信网络设备及器件,20240919,27.33,3.05,33009623.0,49324610.088027
通信网络设备及器件,20240920,27.29,3.05,32969478.0,49383803.179982
通信网络设备及器件,20240923,27.53,3.07,33261916.0,49843245.273363
通信网络设备及器件,20240924,29.44,3.29,35543303.0,52826656.555891
通信网络设备及器件,20240925,29.52,3.29,35654461.0,52983445.878588
通信网络设备及器件,20240926,30.86,3.44,37269367.0,55154492.636784
通信网络设备及器件,20240927,32.28,3.6,38993429.0,57847793.585086
通信网络设备及器件,20240930,36.55,4.07,44197354.0,65550449.974494
通信网络设备及器件,20241008,42.31,4.71,51172936.0,75538816.424974
通信网络设备及器件,20241009,38.91,4.33,46983875.0,69151509.341075
通信网络设备及器件,20241010,38.07,4.24,45972024.0,67774742.81613
通信网络设备及器件,20241011,36.92,4.11,44587857.0,65498130.011309
通信网络设备及器件,20241014,37.92,4.22,45792987.0,67440874.469347
通信网络设备及器件,20241015,37.05,4.13,44744956.0,66045878.956536
通信网络设备及器件,20241016,35.81,3.99,43283404.0,64312500.827356
通信网络设备及器件,20241017,36.13,4.02,43651861.0,64821407.925048
通信网络设备及器件,20241018,39.16,4.36,47288195.0,69914264.167154
通信网络设备及器件,20241021,39.71,4.42,47984492.0,71608834.838147
通信网络设备及器件,20241022,40.03,4.41,48434626.0,72144416.686833
通信网络设备及器件,20241023,39.13,4.26,47382828.0,71244373.360673
通信网络设备及器件,20241024,40.16,4.37,48620009.0,73219655.966163
通信网络设备及器件,20241025,40.57,4.38,49108584.0,73986537.293318
通信网络设备及器件,20241028,40.19,4.34,48658562.0,73801394.474353
通信网络设备及器件,20241029,39.35,4.25,47639977.0,72556619.302293
通信网络设备及器件,20241030,39.61,4.27,47955026.0,73347176.779949
通信网络设备及器件,20241031,40.03,4.31,48446811.0,74084874.796253
通信网络设备及器件,20241101,35.36,4.17,46849933.0,71294406.23358
通信网络设备及器件,20241104,35.98,4.25,47683951.0,72680025.140919
通信网络设备及器件,20241105,37.07,4.38,49126903.0,74873722.0787
通信网络设备及器件,20241106,36.53,4.31,48450390.0,74080321.701552
通信网络设备及器件,20241107,37.01,4.37,49133372.0,74923581.409952
通信网络设备及器件,20241108,37.2,4.39,49362805.0,75551045.451063
通信网络设备及器件,20241111,38.44,4.54,51025042.0,78055100.948777
通信网络设备及器件,20241112,38.18,4.51,50684768.0,77286853.218651
通信网络设备及器件,20241113,39.39,4.65,52258483.0,79198397.244415
通信网络设备及器件,20241114,37.58,4.44,49861441.0,75666831.158936
通信网络设备及器件,20241115,35.91,4.24,47651103.0,72418269.221411
通信网络设备及器件,20241118,34.54,4.08,45826559.0,69810885.300351
通信网络设备及器件,20241119,35.47,4.18,47105007.0,71794291.557273
通信网络设备及器件,20241120,36.27,4.28,48157485.0,73452560.542641
通信网络设备及器件,20241121,35.74,4.21,47462376.0,72523285.450302
通信网络设备及器件,20241122,34.31,4.04,45554360.0,69431249.86772
通信网络设备及器件,20241125,33.12,3.91,44015681.0,67267379.692797
通信网络设备及器件,20241126,33.19,3.91,44107309.0,67324922.565422
通信网络设备及器件,20241127,33.65,3.97,44723759.0,68327824.127074
通信网络设备及器件,20241128,32.88,3.88,43703429.0,66871020.031185
通信网络设备及器件,20241129,33.43,3.94,44421424.0,67908496.171573
通信网络设备及器件,20241202,34.63,4.08,46018653.0,70216793.29208
通信网络设备及器件,20241203,34.17,4.03,45419334.0,69406913.963074
通信网络设备及器件,20241204,33.68,3.97,44755626.0,68309310.49159
通信网络设备及器件,20241205,34.28,4.04,45560780.0,69438877.822709
通信网络设备及器件,20241206,34.32,4.05,45610921.0,69509424.397031
通信网络设备及器件,20241209,33.4,3.94,44404883.0,67876775.838041
通信网络设备及器件,20241210,33.35,3.93,44356270.0,67857448.833953
通信网络设备及器件,20241211,34.08,4.02,45307102.0,69294829.688426
通信网络设备及器件,20241212,34.87,4.11,46341159.0,70574115.181065
通信网络设备及器件,20241213,34.27,4.04,45539454.0,69387337.01961
通信网络设备及器件,20241216,34.5,4.07,45881279.0,70217776.609694
通信网络设备及器件,20241217,34.83,4.11,46319507.0,70679141.981863
通信网络设备及器件,20241218,34.99,4.12,46515380.0,71178712.525655
通信网络设备及器件,20241219,36.43,4.3,48484488.0,74632856.76288
通信网络设备及器件,20241220,36.6,4.32,48738959.0,75344466.839284
通信网络设备及器件,20241223,35.95,4.24,47858902.0,73829507.583885
通信网络设备及器件,20241224,35.93,4.24,47858090.0,73999645.486638
通信网络设备及器件,20241225,36.31,4.28,48348723.0,74633731.809395
通信网络设备及器件,20241226,38.37,4.52,51097603.0,78906668.261464
通信网络设备及器件,20241227,37.71,4.45,50166383.0,77081659.248079
通信网络设备及器件,20241230,36.91,4.35,49116125.0,75676553.874285
通信网络设备及器件,20241231,35.47,4.18,47210202.0,72817273.429447
通信网络设备及器件,20250102,34.6,4.08,46046691.0,70978143.633183
通信网络设备及器件,20250103,33.47,3.95,44528589.0,68295660.260336
