name,trade_date,pe,pb,float_mv,total_mv
通用设备,20240102,34.42,2.44,51447881.0,113982910.704842
通用设备,20240103,34.0,2.41,50751798.0,112131649.539658
通用设备,20240104,33.79,2.39,50465178.0,111574942.999618
通用设备,20240105,33.1,2.34,49477115.0,109482842.218892
通用设备,20240108,32.34,2.29,48318364.0,106874485.967578
通用设备,20240109,32.84,2.32,48991842.0,108160983.180477
通用设备,20240110,32.29,2.28,48220235.0,106324589.082863
通用设备,20240111,32.92,2.33,49172475.0,108410582.42058
通用设备,20240112,32.68,2.31,48740908.0,107455896.963793
通用设备,20240115,32.5,2.3,48343753.0,106497702.575833
通用设备,20240116,32.27,2.28,48032039.0,105842747.045106
通用设备,20240117,31.32,2.21,46526595.0,102450442.850359
通用设备,20240118,31.04,2.19,46130396.0,101527476.943498
通用设备,20240119,30.54,2.16,45330113.0,99619002.8157
通用设备,20240122,28.63,2.02,42486460.0,93361984.490974
通用设备,20240123,28.69,2.03,42621926.0,93653999.302599
通用设备,20240124,29.02,2.05,43031703.0,94438951.20562
通用设备,20240125,29.97,2.12,44497061.0,97627466.006155
通用设备,20240126,29.72,2.1,44015014.0,96663453.127631
通用设备,20240129,28.74,2.03,42600255.0,93697405.847114
通用设备,20240130,27.95,1.97,41394575.0,90905826.607005
通用设备,20240131,26.63,1.88,39372504.0,86400500.100877
通用设备,20240201,26.33,1.86,39006437.0,85597564.183796
通用设备,20240202,25.3,1.79,37398323.0,81956455.140521
通用设备,20240205,23.52,1.66,34568906.0,75628061.844494
通用设备,20240206,24.45,1.73,36007515.0,78857163.880792
通用设备,20240207,24.36,1.72,35819725.0,78322176.216903
通用设备,20240208,25.99,1.83,38512185.0,84256162.493707
通用设备,20240219,26.64,1.88,39390785.0,86167235.248968
通用设备,20240220,27.07,1.91,39974359.0,87412355.045145
通用设备,20240221,27.44,1.93,40589108.0,88660405.247478
通用设备,20240222,28.02,1.97,41464584.0,90595918.991896
通用设备,20240223,28.91,2.04,42853746.0,93801707.761555
通用设备,20240226,29.82,2.1,44300673.0,97131037.866459
通用设备,20240227,30.42,2.14,45222995.0,99213374.381951
通用设备,20240228,28.48,2.01,42143662.0,92160143.265397
通用设备,20240229,30.02,2.11,44418176.0,97176417.637578
通用设备,20240301,30.57,2.15,45082277.0,98794307.129305
通用设备,20240304,30.74,2.16,45272333.0,99156610.791612
通用设备,20240305,30.15,2.12,44363913.0,97250266.205447
通用设备,20240306,30.87,2.17,45398273.0,99480331.828641
通用设备,20240307,30.76,2.17,45204169.0,99147524.315387
通用设备,20240308,31.17,2.19,45771901.0,100362333.906683
通用设备,20240311,31.4,2.21,46204260.0,101289253.157058
通用设备,20240312,31.48,2.22,46427901.0,101895261.818403
通用设备,20240313,31.6,2.22,46600987.0,102128850.67512
通用设备,20240314,31.4,2.21,46293394.0,101435535.332039
通用设备,20240315,31.97,2.25,47162468.0,103405443.071352
通用设备,20240318,32.61,2.29,48175159.0,105386614.207746
通用设备,20240319,32.13,2.27,47746563.0,104506761.660601
通用设备,20240320,32.43,2.29,48162796.0,105306988.817223
通用设备,20240321,32.66,2.31,48416827.0,105827406.431097
通用设备,20240322,32.18,2.28,47786959.0,104346944.746435
通用设备,20240325,31.27,2.21,46360329.0,101091092.490907
通用设备,20240326,31.18,2.2,46155927.0,100549928.221764
通用设备,20240327,29.98,2.12,44423669.0,96660545.504832
通用设备,20240328,30.98,2.17,45630593.0,99317975.07252
通用设备,20240329,31.53,2.21,46403051.0,100872749.352147
通用设备,20240401,32.25,2.25,47243332.0,102843299.342452
通用设备,20240402,32.07,2.24,46921313.0,102169683.543588
通用设备,20240403,31.67,2.21,46259289.0,100675645.998271
通用设备,20240408,30.81,2.15,44993756.0,97847838.358076
通用设备,20240409,31.11,2.17,45440367.0,98904886.145976
通用设备,20240410,30.77,2.14,44855406.0,97639105.560929
通用设备,20240411,30.75,2.15,45046166.0,97941980.876111
通用设备,20240412,30.55,2.13,44684317.0,97136398.184148
通用设备,20240415,29.65,2.08,43541195.0,94644965.904525
通用设备,20240416,28.18,1.95,40638460.0,88718952.41236
通用设备,20240417,29.85,2.07,43185707.0,94346597.704691
通用设备,20240418,29.51,2.06,43055412.0,94137780.047963
通用设备,20240419,29.91,2.05,42874865.0,93514173.097698
通用设备,20240422,29.7,2.04,42615204.0,93026423.854353
通用设备,20240423,29.68,2.04,42862602.0,93636648.007965
通用设备,20240424,30.45,2.08,43723508.0,95365464.439327
通用设备,20240425,30.59,2.07,43645663.0,95116833.174155
